Year,Month,Day,AreaCode,CatchKG,DiscardedKG,Vessel_ID
2014,12,31,3,,68.04,21489
2014,12,31,3,,124.74,29923
2014,12,31,3,,4.54,30159
2014,12,31,3,,112.04,30741
2014,12,31,3,14718.47,142.88,312405
2014,12,31,4,4511.97,,20093
2014,12,31,4,,68.04,21489
2014,12,31,4,,272.16,29863
2014,12,31,4,,39.01,30159
2014,12,31,4,41001.31,300.73,312405
2014,12,31,9,254.02,18.59,29196
2014,12,31,9,,,29608
2014,12,30,3,3767.66,,20093
2014,12,30,3,,167.83,21489
2014,12,30,3,,106.6,29923
2014,12,30,3,,283.95,30159
2014,12,30,3,,11.34,30741
2014,12,30,4,80.42,,20093
2014,12,30,4,75694.43,561.1,312405
2014,12,30,9,11.72,10.43,29196
2014,12,29,3,,294.84,29923
2014,12,29,3,,86.18,30159
2014,12,29,3,,226.8,30741
2014,12,29,3,2102.47,16.33,312405
2014,12,29,4,,15.89,30159
2014,12,29,4,51514.45,215.91,312405
2014,12,28,3,,6.81,30159
2014,12,27,3,,124.74,30741
2014,12,21,1,,,29087
2014,12,19,1,,0.91,310641
2014,12,19,3,,408.24,30741
2014,12,19,4,27428.17,272.16,310988
2014,12,18,3,,12.7,30159
2014,12,18,3,,816.46,30741
2014,12,18,4,52229.32,362.88,310988
2014,12,17,3,,229.06,29923
2014,12,17,3,,78.01,30159
2014,12,17,4,198873.16,680.4,310988
2014,12,17,4,36614.35,1445.6,312275
2014,12,16,3,,147.42,29923
2014,12,16,3,,545.22,30741
2014,12,16,4,85242.03,317.52,310988
2014,12,16,4,30487.77,264.89,312275
2014,12,15,3,,945.75,30741
2014,12,14,4,96421.98,351.54,310988
2014,12,14,4,46441.59,390.09,312275
2014,12,13,3,35.18,9.07,29560
2014,12,13,3,,52.61,30159
2014,12,13,3,,842.32,30741
2014,12,13,4,154679.12,578.34,310988
2014,12,13,4,59643.12,656.8,312275
2014,12,12,3,,,24013
2014,12,12,3,,4.54,29456
2014,12,12,3,87.95,22.68,29560
2014,12,12,3,,48.53,30159
2014,12,12,3,,2117.82,30741
2014,12,12,4,170761.92,1018.77,310988
2014,12,12,4,52095.21,742.53,312275
2014,12,11,3,,47.63,30159
2014,12,11,3,,453.6,30741
2014,12,11,4,158696.74,430.92,310988
2014,12,11,4,55086.36,590.12,312275
2014,12,10,3,,430.91,30741
2014,12,10,4,15232.06,,312275
2014,12,8,3,3.11,,30741
2014,12,7,4,17058.96,76.2,312275
2014,12,6,3,,402.34,30159
2014,12,6,3,,45.36,30741
2014,12,6,4,118777.87,638.19,310988
2014,12,6,4,53068.04,382.84,312275
2014,12,6,9,6.22,41.73,23291
2014,12,5,3,,294.84,30741
2014,12,5,4,16760.44,13.61,310913
2014,12,5,4,54381.97,341.11,310988
2014,12,5,4,41586.01,432.28,312275
2014,12,5,5,,24.49,30282
2014,12,5,9,,88.46,23291
2014,12,4,3,,15.42,30159
2014,12,4,3,,45.36,30741
2014,12,4,4,,,20600
2014,12,4,4,,,29608
2014,12,4,4,,45.36,30741
2014,12,4,4,54003.08,889.49,310913
2014,12,4,4,130198.58,400.52,310988
2014,12,4,4,76301.67,830.99,312275
2014,12,4,5,,22.68,23276
2014,12,4,6,,11.34,23276
2014,12,4,8,,22.68,23291
2014,12,4,9,,113.4,23291
2014,12,4,9,60.9,6.8,29196
2014,12,3,3,,,20471
2014,12,3,3,,53.53,29923
2014,12,3,3,,5.44,30159
2014,12,3,4,,,20600
2014,12,3,4,,,21933
2014,12,3,4,,,25320
2014,12,3,4,,49.9,30282
2014,12,3,4,,2465.72,30629
2014,12,3,4,46665.06,759.31,310913
2014,12,3,4,157687.75,417.76,310988
2014,12,3,5,,45.36,23276
2014,12,3,5,,,23734
2014,12,3,9,,,23864
2014,12,2,3,,95.71,21489
2014,12,2,3,1385.93,,29200
2014,12,2,3,,29.48,29560
2014,12,2,3,,23.59,29923
2014,12,2,3,,403.24,30741
2014,12,2,4,,,20600
2014,12,2,4,,,21933
2014,12,2,4,,,29608
2014,12,2,4,,98.89,30159
2014,12,2,4,,2218.52,30629
2014,12,2,4,54354.33,738.44,310913
2014,12,2,4,96250.79,305.72,310988
2014,12,2,5,,,23734
2014,12,2,9,,,23864
2014,12,1,3,391.18,1709.14,21489
2014,12,1,3,,,21933
2014,12,1,3,6067.62,,29200
2014,12,1,3,,434.99,29560
2014,12,1,3,,9.07,29923
2014,12,1,4,,,20600
2014,12,1,4,,,21933
2014,12,1,4,,,25320
2014,12,1,4,1039.45,,29200
2014,12,1,4,,,29608
2014,12,1,4,,145.6,30159
2014,12,1,4,,90.72,30282
2014,12,1,4,,1611.16,30629
2014,12,1,4,,90.72,30741
2014,12,1,4,70875.27,645.46,310913
2014,12,1,5,,,23734
2014,12,1,5,,,29608
2014,12,1,9,,,23864
2014,11,30,3,,,20471
2014,11,30,3,,43.99,29923
2014,11,30,3,,45.36,30741
2014,11,30,4,,,20600
2014,11,30,4,,,25320
2014,11,30,4,,,29608
2014,11,30,4,,87.54,30159
2014,11,30,4,,2411.3,30629
2014,11,30,4,49729.72,678.57,310913
2014,11,30,5,,,20470
2014,11,30,5,,,23734
2014,11,30,5,,,29608
2014,11,30,8,588.11,111.13,23291
2014,11,30,9,,,23864
2014,11,29,3,,,20471
2014,11,29,3,,2.27,29560
2014,11,29,3,,45.36,29923
2014,11,29,3,,29.48,30282
2014,11,29,3,,226.8,30741
2014,11,29,4,,22.68,29863
2014,11,29,4,,88.9,30282
2014,11,29,4,,2858.54,30629
2014,11,29,5,,,29608
2014,11,29,8,1156.61,385.56,23291
2014,11,28,3,,,20471
2014,11,28,3,852.15,190.51,30282
2014,11,28,4,,27.22,29863
2014,11,28,4,,22.68,30741
2014,11,28,4,72678.73,2069.75,310988
2014,11,28,4,50095.16,525.26,312275
2014,11,28,8,235.24,31.75,23291
2014,11,27,3,,428.19,30741
2014,11,27,4,,49.9,29863
2014,11,27,4,117480.71,7677.05,310988
2014,11,27,4,58187.65,634.58,312275
2014,11,27,5,,124.74,23276
2014,11,27,5,,,29608
2014,11,27,5,,18.59,30159
2014,11,27,8,588.11,181.44,23291
2014,11,27,9,,317.52,22252
2014,11,27,9,,,27080
2014,11,26,3,,113.4,30741
2014,11,26,4,90350.98,6039.12,310988
2014,11,26,4,44525.24,431.82,312275
2014,11,26,5,,8.16,30159
2014,11,26,6,,346.09,29863
2014,11,26,8,156.83,11.34,23291
2014,11,26,8,504.19,,25869
2014,11,26,9,,8203.67,22252
2014,11,26,9,,,23864
2014,11,26,9,,,27080
2014,11,26,9,,2382.27,30629
2014,11,25,3,,113.4,30741
2014,11,25,4,37426.61,306.18,310913
2014,11,25,4,163967.75,10147.75,310988
2014,11,25,4,48199.42,615.53,312275
2014,11,25,6,,272.16,29863
2014,11,25,8,688.12,,23291
2014,11,25,8,197.72,139.71,25869
2014,11,25,9,,,23285
2014,11,25,9,,,23864
2014,11,25,9,,,27080
2014,11,25,9,,1745.42,30629
2014,11,24,3,,226.8,30741
2014,11,24,4,46953.38,487.62,310913
2014,11,24,4,61727.14,4470.6,310988
2014,11,24,4,42958.46,616.43,312275
2014,11,24,6,,,23734
2014,11,24,8,2699.05,124.74,22252
2014,11,24,8,894.64,,23291
2014,11,24,9,,,23864
2014,11,24,9,,,27080
2014,11,23,4,42189.99,351.54,310913
2014,11,23,4,98197.81,4434.77,310988
2014,11,23,4,52919.81,944.38,312275
2014,11,23,8,1965.77,138.34,22252
2014,11,23,8,805.84,,23291
2014,11,23,9,,,23864
2014,11,23,9,,,29608
2014,11,22,4,41509.51,328.86,310913
2014,11,22,4,116361.05,3644.17,310988
2014,11,22,5,127.13,,23276
2014,11,22,8,1576.24,310.72,22252
2014,11,22,8,1282.27,,23291
2014,11,22,9,,,23285
2014,11,22,9,,,23864
2014,11,22,9,,,29608
2014,11,21,4,23816.93,,310913
2014,11,21,4,84225.72,4092.31,310988
2014,11,21,9,,,23864
2014,11,21,9,,,29608
2014,11,20,4,,9.07,23276
2014,11,20,4,117494.3,7689.29,310988
2014,11,20,9,,,23285
2014,11,20,9,,,23864
2014,11,20,9,,,27080
2014,11,20,9,,,29608
2014,11,19,4,23498.86,530.7,310988
2014,11,19,8,1834.65,589.68,22252
2014,11,19,9,,,23285
2014,11,19,9,,,23864
2014,11,19,9,,,27080
2014,11,19,9,,,29608
2014,11,18,1,,2.27,24097
2014,11,18,4,,24.49,30741
2014,11,18,4,4581.83,,312275
2014,11,18,5,,,20600
2014,11,18,8,926.5,158.76,22252
2014,11,17,3,,1022.85,30741
2014,11,17,4,,14.06,20513
2014,11,17,4,,,20600
2014,11,17,4,,453.59,30741
2014,11,17,4,20618.25,,312275
2014,11,17,4,11001.08,382.38,312405
2014,11,17,5,,40.82,21489
2014,11,17,5,,573.34,23277
2014,11,17,6,,1071.39,23277
2014,11,17,8,3647.93,521.64,22252
2014,11,17,9,,,23285
2014,11,17,9,,,23864
2014,11,17,9,,,29608
2014,11,16,3,34.57,,20093
2014,11,16,4,,,20600
2014,11,16,4,,15.88,22200
2014,11,16,4,13743.51,,310988
2014,11,16,4,32072.8,453.59,312275
2014,11,16,5,,183.25,20513
2014,11,16,5,,45.36,21489
2014,11,16,5,,843.23,23277
2014,11,16,5,,,23734
2014,11,16,6,,340.19,23277
2014,11,16,7,,,24869
2014,11,16,8,891.03,,23291
2014,11,16,9,,,23285
2014,11,16,9,,79.83,29196
2014,11,16,9,,,29608
2014,11,15,3,2672.31,,20093
2014,11,15,4,2982.08,,20093
2014,11,15,4,,31.75,21489
2014,11,15,4,73115.76,2316.05,310988
2014,11,15,4,36654.63,453.59,312275
2014,11,15,4,14088.08,1088.62,312405
2014,11,15,5,,120.2,20513
2014,11,15,5,,621.42,23277
2014,11,15,5,,680.39,30159
2014,11,15,6,,1197.93,23277
2014,11,15,6,,1632.93,30159
2014,11,15,8,,206.38,21076
2014,11,15,8,621.81,,22252
2014,11,15,8,931.43,,23291
2014,11,15,9,,,23285
2014,11,15,9,29.34,1.81,29196
2014,11,15,9,,,29608
2014,11,14,3,,294.84,30741
2014,11,14,4,1054.41,,20093
2014,11,14,4,,,20600
2014,11,14,4,,45.36,21489
2014,11,14,4,,81.65,22200
2014,11,14,4,25038.07,45.36,310913
2014,11,14,4,116040.44,2851.74,310988
2014,11,14,4,61854.7,,312275
2014,11,14,5,,1980.38,20513
2014,11,14,5,,107.96,23277
2014,11,14,5,3.53,45.36,30159
2014,11,14,6,,1051.88,23277
2014,11,14,6,,351.54,29863
2014,11,14,6,,691.73,30159
2014,11,14,8,406.8,,22252
2014,11,14,8,1104.58,,23291
2014,11,14,9,234.7,9.98,21076
2014,11,14,9,,,23285
2014,11,14,9,,,27080
2014,11,14,9,29.34,9.07,29196
2014,11,14,9,,,29608
2014,11,14,9,,295.29,30629
2014,11,13,4,,,20600
2014,11,13,4,62072.93,3617.85,310913
2014,11,13,4,88736.86,5728.87,310988
2014,11,13,4,43527.39,453.6,312275
2014,11,13,5,,1877.41,23277
2014,11,13,5,,725.75,30159
2014,11,13,6,,789.25,23277
2014,11,13,6,,68.04,29863
2014,11,13,6,141.38,45.36,30159
2014,11,13,8,965.62,,23291
2014,11,13,9,,,23285
2014,11,13,9,,,27080
2014,11,13,9,,,29608
2014,11,13,9,,620.51,30629
2014,11,12,4,25065.66,589.67,310913
2014,11,12,4,131967.95,5962.02,310988
2014,11,12,5,,90.72,29863
2014,11,12,5,,113.4,30159
2014,11,12,6,,181.44,29863
2014,11,12,6,,664.97,30159
2014,11,12,9,,,23285
2014,11,12,9,,,27080
2014,11,12,9,,,29608
2014,11,11,4,41904.18,981.12,310913
2014,11,11,4,163820.96,4784.49,310988
2014,11,11,5,,68.04,29863
2014,11,11,6,,192.78,29863
2014,11,11,8,118.24,,22252
2014,11,11,8,1313.86,,23291
2014,11,11,9,,,23285
2014,11,11,9,,,29608
2014,11,11,9,,444.52,30629
2014,11,10,4,74442.62,1745.88,310913
2014,11,10,4,113764.72,3618.3,310988
2014,11,10,4,13745.48,,312275
2014,11,10,5,,158.76,29863
2014,11,10,6,,68.04,29863
2014,11,10,7,0.44,158.76,29518
2014,11,10,8,1209.54,,23291
2014,11,10,8,,1207.92,29196
2014,11,10,9,,,23285
2014,11,10,9,,,27080
2014,11,10,9,,,29608
2014,11,10,9,,796.51,30629
2014,11,9,4,,762.94,30282
2014,11,9,4,18310.62,1188.87,310913
2014,11,9,4,116058.29,2327.39,310988
2014,11,9,4,34363.74,,312275
2014,11,9,4,29221.61,232.69,312405
2014,11,9,8,2187.92,,22252
2014,11,9,8,1212.8,,23291
2014,11,9,8,,907.2,25278
2014,11,9,9,,7.26,21076
2014,11,9,9,,,23285
2014,11,9,9,,,27080
2014,11,9,9,230.65,285.76,29196
2014,11,9,9,,,29608
2014,11,9,9,,651.81,30629
2014,11,8,3,,,30015
2014,11,8,4,2507.48,,20093
2014,11,8,4,8902.44,3785.68,30282
2014,11,8,4,145733.26,2367.75,310988
2014,11,8,4,48109.2,226.8,312275
2014,11,8,4,59384.3,487.16,312405
2014,11,8,7,,6.8,29518
2014,11,8,8,570.77,,22252
2014,11,8,8,,464.49,25278
2014,11,8,8,,,27080
2014,11,8,9,694.94,76.2,21076
2014,11,8,9,,,23285
2014,11,8,9,,,27080
2014,11,8,9,769.96,19.95,29196
2014,11,8,9,,,29608
2014,11,8,9,,449.97,30629
2014,11,7,3,,,30015
2014,11,7,3,6872.75,,312275
2014,11,7,4,590.83,,20093
2014,11,7,4,9599.44,139.26,30282
2014,11,7,4,,4.54,30741
2014,11,7,4,35796.71,3326.19,310913
2014,11,7,4,6872.75,272.16,312275
2014,11,7,4,84232.74,637.3,312405
2014,11,7,9,347.47,20.41,21076
2014,11,7,9,,1333.11,29196
2014,11,7,9,,,29608
2014,11,6,5,,133.81,30741
2014,11,6,7,,,29087
2014,11,6,9,,168.74,30629
2014,11,5,7,,,23806
2014,11,5,7,,,29087
2014,11,4,1,,0.91,24097
2014,11,4,4,,,20600
2014,11,4,4,,34.02,29863
2014,11,4,4,7277.94,181.44,30282
2014,11,4,4,,13.61,30741
2014,11,4,4,,,310026
2014,11,4,4,44603.5,1160.29,310988
2014,11,4,4,46464.34,284.39,312405
2014,11,4,5,,68.04,23277
2014,11,4,5,,22.68,29863
2014,11,4,7,,,23806
2014,11,4,7,,,29087
2014,11,3,4,,,20600
2014,11,3,4,,,310026
2014,11,3,4,120946.27,5046.67,310988
2014,11,3,4,58241.97,429.55,312405
2014,11,3,6,,,23806
2014,11,2,3,,,30015
2014,11,2,3,,,310026
2014,11,2,4,6405.04,,20093
2014,11,2,4,,,20600
2014,11,2,4,35464.42,1128.99,310988
2014,11,2,4,66123.51,473.55,312405
2014,11,2,5,,204.12,23277
2014,11,2,6,,,20816
2014,11,2,6,,,27728
2014,11,2,6,,,29087
2014,11,2,7,,,24869
2014,11,2,8,,311.61,22252
2014,11,2,9,,,20037
2014,11,2,9,,,23229
2014,11,2,9,,315.7,30629
2014,11,1,3,8231.11,,20093
2014,11,1,3,,589.67,29560
2014,11,1,3,,,30015
2014,11,1,3,,,310026
2014,11,1,4,,,20600
2014,11,1,4,,34.02,23277
2014,11,1,4,,,29608
2014,11,1,4,59497.76,4791.29,310988
2014,11,1,4,66616.73,497.14,312405
2014,11,1,5,,204.12,23277
2014,11,1,6,,,20470
2014,11,1,6,,,22717
2014,11,1,6,,,23386
2014,11,1,6,,,23734
2014,11,1,7,,,24869
2014,11,1,9,,,20037
2014,10,31,3,295.28,,20093
2014,10,31,3,,,29608
2014,10,31,3,,,310026
2014,10,31,4,,,20600
2014,10,31,4,,,29608
2014,10,31,4,16735.7,3575.21,30282
2014,10,31,4,70226.86,1783.08,310988
2014,10,31,4,63042.67,733.01,312405
2014,10,31,5,,68.04,20513
2014,10,31,5,,45.36,23277
2014,10,31,6,,,20470
2014,10,31,6,,2381.36,20513
2014,10,31,6,,,22717
2014,10,31,6,,158.76,23277
2014,10,31,6,,,23734
2014,10,31,7,,,24869
2014,10,31,9,,1143.05,22252
2014,10,31,9,,,23229
2014,10,31,9,,68.95,30629
2014,10,30,3,,,310026
2014,10,30,4,38299.45,1398.87,310913
2014,10,30,4,60473.12,1778.08,310988
2014,10,30,7,,,24869
2014,10,30,8,,,25536
2014,10,30,9,,,23229
2014,10,30,9,,,25734
2014,10,29,3,,,310026
2014,10,29,4,57568.73,3081.26,310913
2014,10,29,4,72389.56,6182,310988
2014,10,29,5,,113.4,30741
2014,10,29,6,,,23734
2014,10,29,6,,,29087
2014,10,29,8,,,23529
2014,10,29,8,,,24893
2014,10,29,9,,,23285
2014,10,28,3,,,29608
2014,10,28,4,6362.73,498.5,310913
2014,10,28,4,64374.63,2736.98,310988
