FYear,SumQuarterMean,SumQMeanXCatch,Annual_Catch,NumQuarters,AnnualMeanWeight_A,AnnualMeanWeight_B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,7.012540238,4794672.779,1974294,3,2.42855,2.337513413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,6.959891095,7364780.659,3118953.6,3,2.36130,2.319963698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,10.50114823,14499503.78,5701525.2,4,2.54309,2.625287058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,9.685188205,8722529.746,3515400,4,2.48123,2.421297051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,9.778261593,5960935.655,2390925.6,4,2.49315,2.444565398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,10.29469712,3927157.86,1520694,4,2.58248,2.573674279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,9.512883898,4949389.677,2055715.2,4,2.40762,2.378220974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,8.700187714,5971861.15,2658096,4,2.24667,2.175046929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,8.510590009,13420065.32,6323637.6,4,2.12221,2.127647502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,10.46409813,23022308.09,8869694.4,4,2.59561,2.616024533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
