ft1_gear1_1964,ft1_gear1_1965,ft1_gear1_1966,ft1_gear1_1967,ft1_gear1_1968,ft1_gear1_1969,ft1_gear1_1970,ft1_gear1_1971,ft1_gear1_1972,ft1_gear1_1973,ft1_gear1_1974,ft1_gear1_1975,ft1_gear1_1976,ft1_gear1_1977,ft1_gear1_1978,ft1_gear1_1979,ft1_gear1_1980,ft1_gear1_1981,ft1_gear1_1982,ft1_gear1_1983,ft1_gear1_1984,ft1_gear1_1985,ft1_gear1_1986,ft1_gear1_1987,ft1_gear1_1988,ft1_gear1_1989,ft1_gear1_1990,ft1_gear1_1991,ft1_gear1_1992,ft1_gear1_1993,ft1_gear1_1994,ft1_gear1_1995,ft1_gear1_1996,ft1_gear1_1997,ft1_gear1_1998,ft1_gear1_1999,ft1_gear1_2000,ft1_gear1_2001,ft1_gear1_2002,ft1_gear1_2003,ft1_gear1_2004,ft1_gear1_2005,ft1_gear1_2006,ft1_gear1_2007,ft1_gear1_2008,ft1_gear1_2009,ft1_gear1_2010,ft1_gear1_2011,ft1_gear1_2012,ft1_gear1_2013,ft1_gear2_1964,ft1_gear2_1965,ft1_gear2_1966,ft1_gear2_1967,ft1_gear2_1968,ft1_gear2_1969,ft1_gear2_1970,ft1_gear2_1971,ft1_gear2_1972,ft1_gear2_1973,ft1_gear2_1974,ft1_gear2_1975,ft1_gear2_1976,ft1_gear2_1977,ft1_gear2_1978,ft1_gear2_1979,ft1_gear2_1980,ft1_gear2_1981,ft1_gear2_1982,ft1_gear2_1983,ft1_gear2_1984,ft1_gear2_1985,ft1_gear2_1986,ft1_gear2_1987,ft1_gear2_1988,ft1_gear2_1989,ft1_gear2_1990,ft1_gear2_1991,ft1_gear2_1992,ft1_gear2_1993,ft1_gear2_1994,ft1_gear2_1995,ft1_gear2_1996,ft1_gear2_1997,ft1_gear2_1998,ft1_gear2_1999,ft1_gear2_2000,ft1_gear2_2001,ft1_gear2_2002,ft1_gear2_2003,ft1_gear2_2004,ft1_gear2_2005,ft1_gear2_2006,ft1_gear2_2007,ft1_gear2_2008,ft1_gear2_2009,ft1_gear2_2010,ft1_gear2_2011,ft1_gear2_2012,ft1_gear2_2013,ft1_gear3_1964,ft1_gear3_1965,ft1_gear3_1966,ft1_gear3_1967,ft1_gear3_1968,ft1_gear3_1969,ft1_gear3_1970,ft1_gear3_1971,ft1_gear3_1972,ft1_gear3_1973,ft1_gear3_1974,ft1_gear3_1975,ft1_gear3_1976,ft1_gear3_1977,ft1_gear3_1978,ft1_gear3_1979,ft1_gear3_1980,ft1_gear3_1981,ft1_gear3_1982,ft1_gear3_1983,ft1_gear3_1984,ft1_gear3_1985,ft1_gear3_1986,ft1_gear3_1987,ft1_gear3_1988,ft1_gear3_1989,ft1_gear3_1990,ft1_gear3_1991,ft1_gear3_1992,ft1_gear3_1993,ft1_gear3_1994,ft1_gear3_1995,ft1_gear3_1996,ft1_gear3_1997,ft1_gear3_1998,ft1_gear3_1999,ft1_gear3_2000,ft1_gear3_2001,ft1_gear3_2002,ft1_gear3_2003,ft1_gear3_2004,ft1_gear3_2005,ft1_gear3_2006,ft1_gear3_2007,ft1_gear3_2008,ft1_gear3_2009,ft1_gear3_2010,ft1_gear3_2011,ft1_gear3_2012,ft1_gear3_2013,ft2_gear1_1964,ft2_gear1_1965,ft2_gear1_1966,ft2_gear1_1967,ft2_gear1_1968,ft2_gear1_1969,ft2_gear1_1970,ft2_gear1_1971,ft2_gear1_1972,ft2_gear1_1973,ft2_gear1_1974,ft2_gear1_1975,ft2_gear1_1976,ft2_gear1_1977,ft2_gear1_1978,ft2_gear1_1979,ft2_gear1_1980,ft2_gear1_1981,ft2_gear1_1982,ft2_gear1_1983,ft2_gear1_1984,ft2_gear1_1985,ft2_gear1_1986,ft2_gear1_1987,ft2_gear1_1988,ft2_gear1_1989,ft2_gear1_1990,ft2_gear1_1991,ft2_gear1_1992,ft2_gear1_1993,ft2_gear1_1994,ft2_gear1_1995,ft2_gear1_1996,ft2_gear1_1997,ft2_gear1_1998,ft2_gear1_1999,ft2_gear1_2000,ft2_gear1_2001,ft2_gear1_2002,ft2_gear1_2003,ft2_gear1_2004,ft2_gear1_2005,ft2_gear1_2006,ft2_gear1_2007,ft2_gear1_2008,ft2_gear1_2009,ft2_gear1_2010,ft2_gear1_2011,ft2_gear1_2012,ft2_gear1_2013,ft2_gear2_1964,ft2_gear2_1965,ft2_gear2_1966,ft2_gear2_1967,ft2_gear2_1968,ft2_gear2_1969,ft2_gear2_1970,ft2_gear2_1971,ft2_gear2_1972,ft2_gear2_1973,ft2_gear2_1974,ft2_gear2_1975,ft2_gear2_1976,ft2_gear2_1977,ft2_gear2_1978,ft2_gear2_1979,ft2_gear2_1980,ft2_gear2_1981,ft2_gear2_1982,ft2_gear2_1983,ft2_gear2_1984,ft2_gear2_1985,ft2_gear2_1986,ft2_gear2_1987,ft2_gear2_1988,ft2_gear2_1989,ft2_gear2_1990,ft2_gear2_1991,ft2_gear2_1992,ft2_gear2_1993,ft2_gear2_1994,ft2_gear2_1995,ft2_gear2_1996,ft2_gear2_1997,ft2_gear2_1998,ft2_gear2_1999,ft2_gear2_2000,ft2_gear2_2001,ft2_gear2_2002,ft2_gear2_2003,ft2_gear2_2004,ft2_gear2_2005,ft2_gear2_2006,ft2_gear2_2007,ft2_gear2_2008,ft2_gear2_2009,ft2_gear2_2010,ft2_gear2_2011,ft2_gear2_2012,ft2_gear2_2013,ft2_gear3_1964,ft2_gear3_1965,ft2_gear3_1966,ft2_gear3_1967,ft2_gear3_1968,ft2_gear3_1969,ft2_gear3_1970,ft2_gear3_1971,ft2_gear3_1972,ft2_gear3_1973,ft2_gear3_1974,ft2_gear3_1975,ft2_gear3_1976,ft2_gear3_1977,ft2_gear3_1978,ft2_gear3_1979,ft2_gear3_1980,ft2_gear3_1981,ft2_gear3_1982,ft2_gear3_1983,ft2_gear3_1984,ft2_gear3_1985,ft2_gear3_1986,ft2_gear3_1987,ft2_gear3_1988,ft2_gear3_1989,ft2_gear3_1990,ft2_gear3_1991,ft2_gear3_1992,ft2_gear3_1993,ft2_gear3_1994,ft2_gear3_1995,ft2_gear3_1996,ft2_gear3_1997,ft2_gear3_1998,ft2_gear3_1999,ft2_gear3_2000,ft2_gear3_2001,ft2_gear3_2002,ft2_gear3_2003,ft2_gear3_2004,ft2_gear3_2005,ft2_gear3_2006,ft2_gear3_2007,ft2_gear3_2008,ft2_gear3_2009,ft2_gear3_2010,ft2_gear3_2011,ft2_gear3_2012,ft2_gear3_2013
0.36136,0.747091,0.106089,4.89847,3.08685,1.61353,0.543351,5.30585e-012,0.219978,0.000191789,0.000532706,0.338339,0.0551049,0.225477,0.177335,2.50738,0.048627,1.87494,0.0255917,0.0138954,0.113018,0.375364,0.12512,0.105667,0.0729044,0.0987324,0.119103,0.0696831,0.0411161,0.035134,0.0115903,0.234833,0.255121,0.0335858,0.0397029,0.0239454,0.0261867,0.0559145,0.0942981,0.0612039,0.240899,0.108205,0.45358,0.0518677,0.615665,0.167455,0.703797,0.12965,0.291946,0.0930378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36136,0.747091,0.106089,4.89847,3.08685,1.61353,0.543351,5.30585e-012,0.219978,0.000191789,0.000532706,0.338339,0.0551049,0.225477,0.177335,2.50738,0.048627,1.87494,0.0255917,0.0138954,0.113018,0.375364,0.12512,0.105667,0.0729044,0.0987324,0.119103,0.0696831,0.0411161,0.035134,0.0115903,0.234833,0.255121,0.0335858,0.0397029,0.0239454,0.0261867,0.0559145,0.0942981,0.0612039,0.240899,0.108205,0.45358,0.0518677,0.615665,0.167455,0.703797,0.12965,0.291946,0.0930378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36136,0.747091,0.106089,4.89847,3.08685,1.61353,0.543351,5.30585e-012,0.219978,0.000191789,0.000532706,0.338339,0.0551049,0.225477,0.177335,2.50738,0.048627,1.87494,0.0255917,0.0138954,0.113018,0.375364,0.12512,0.105667,0.0729044,0.0987324,0.119103,0.0696831,0.0411161,0.035134,0.0115903,0.234833,0.255121,0.0335858,0.0397029,0.0239454,0.0261867,0.0559145,0.0942981,0.0612039,0.240899,0.108205,0.45358,0.0518677,0.615665,0.167455,0.703797,0.12965,0.291946,0.0930378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36136,0.747091,0.106089,4.89847,3.08685,1.61353,0.543351,5.30585e-012,0.219978,0.000191789,0.000532706,0.338339,0.0551049,0.225477,0.177335,2.50738,0.048627,1.87494,0.0255917,0.0138954,0.113018,0.375364,0.12512,0.105667,0.0729044,0.0987324,0.119103,0.0696831,0.0411161,0.035134,0.0115903,0.234833,0.255121,0.0335858,0.0397029,0.0239454,0.0261867,0.0559145,0.0942981,0.0612039,0.240899,0.108205,0.45358,0.0518677,0.615665,0.167455,0.703797,0.12965,0.291946,0.0930378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36136,0.747091,0.106089,4.89847,3.08685,1.61353,0.543351,5.30585e-012,0.219978,0.000191789,0.000532706,0.338339,0.0551049,0.225477,0.177335,2.50738,0.048627,1.87494,0.0255917,0.0138954,0.113018,0.375364,0.12512,0.105667,0.0729044,0.0987324,0.119103,0.0696831,0.0411161,0.035134,0.0115903,0.234833,0.255121,0.0335858,0.0397029,0.0239454,0.0261867,0.0559145,0.0942981,0.0612039,0.240899,0.108205,0.45358,0.0518677,0.615665,0.167455,0.703797,0.12965,0.291946,0.0930378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36136,0.747091,0.106089,4.89847,3.08685,1.61353,0.543351,5.30585e-012,0.219978,0.000191789,0.000532706,0.338339,0.0551049,0.225477,0.177335,2.50738,0.048627,1.87494,0.0255917,0.0138954,0.113018,0.375364,0.12512,0.105667,0.0729044,0.0987324,0.119103,0.0696831,0.0411161,0.035134,0.0115903,0.234833,0.255121,0.0335858,0.0397029,0.0239454,0.0261867,0.0559145,0.0942981,0.0612039,0.240899,0.108205,0.45358,0.0518677,0.615665,0.167455,0.703797,0.12965,0.291946,0.0930378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36136,0.747091,0.106089,4.89847,3.08685,1.61353,0.543351,5.30585e-012,0.219978,0.000191789,0.000532706,0.338339,0.0551049,0.225477,0.177335,2.50738,0.048627,1.87494,0.0255917,0.0138954,0.113018,0.375364,0.12512,0.105667,0.0729044,0.0987324,0.119103,0.0696831,0.0411161,0.035134,0.0115903,0.234833,0.255121,0.0335858,0.0397029,0.0239454,0.0261867,0.0559145,0.0942981,0.0612039,0.240899,0.108205,0.45358,0.0518677,0.615665,0.167455,0.703797,0.12965,0.291946,0.0930378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36136,0.747091,0.106089,4.89847,3.08685,1.61353,0.543351,5.30585e-012,0.219978,0.000191789,0.000532706,0.338339,0.0551049,0.225477,0.177335,2.50738,0.048627,1.87494,0.0255917,0.0138954,0.113018,0.375364,0.12512,0.105667,0.0729044,0.0987324,0.119103,0.0696831,0.0411161,0.035134,0.0115903,0.234833,0.255121,0.0335858,0.0397029,0.0239454,0.0261867,0.0559145,0.0942981,0.0612039,0.240899,0.108205,0.45358,0.0518677,0.615665,0.167455,0.703797,0.12965,0.291946,0.0930378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36136,0.747091,0.106089,4.89847,3.08685,1.61353,0.543351,5.30585e-012,0.219978,0.000191789,0.000532706,0.338339,0.0551049,0.225477,0.177335,2.50738,0.048627,1.87494,0.0255917,0.0138954,0.113018,0.375364,0.12512,0.105667,0.0729044,0.0987324,0.119103,0.0696831,0.0411161,0.035134,0.0115903,0.234833,0.255121,0.0335858,0.0397029,0.0239454,0.0261867,0.0559145,0.0942981,0.0612039,0.240899,0.108205,0.45358,0.0518677,0.615665,0.167455,0.703797,0.12965,0.291946,0.0930378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36136,0.747091,0.106089,4.89847,3.08685,1.61353,0.543351,5.30585e-012,0.219978,0.000191789,0.000532706,0.338339,0.0551049,0.225477,0.177335,2.50738,0.048627,1.87494,0.0255917,0.0138954,0.113018,0.375364,0.12512,0.105667,0.0729044,0.0987324,0.119103,0.0696831,0.0411161,0.035134,0.0115903,0.234833,0.255121,0.0335858,0.0397029,0.0239454,0.0261867,0.0559145,0.0942981,0.0612039,0.240899,0.108205,0.45358,0.0518677,0.615665,0.167455,0.703797,0.12965,0.291946,0.0930378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36136,0.747091,0.106089,4.89847,3.08685,1.61353,0.543351,5.30585e-012,0.219978,0.000191789,0.000532706,0.338339,0.0551049,0.225477,0.177335,2.50738,0.048627,1.87494,0.0255917,0.0138954,0.113018,0.375364,0.12512,0.105667,0.0729044,0.0987324,0.119103,0.0696831,0.0411161,0.035134,0.0115903,0.234833,0.255121,0.0335858,0.0397029,0.0239454,0.0261867,0.0559145,0.0942981,0.0612039,0.240899,0.108205,0.45358,0.0518677,0.615665,0.167455,0.703797,0.12965,0.291946,0.0930378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36136,0.747091,0.106089,4.89847,3.08685,1.61353,0.543351,5.30585e-012,0.219978,0.000191789,0.000532706,0.338339,0.0551049,0.225477,0.177335,2.50738,0.048627,1.87494,0.0255917,0.0138954,0.113018,0.375364,0.12512,0.105667,0.0729044,0.0987324,0.119103,0.0696831,0.0411161,0.035134,0.0115903,0.234833,0.255121,0.0335858,0.0397029,0.0239454,0.0261867,0.0559145,0.0942981,0.0612039,0.240899,0.108205,0.45358,0.0518677,0.615665,0.167455,0.703797,0.12965,0.291946,0.0930378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36136,0.747091,0.106089,4.89847,3.08685,1.61353,0.543351,5.30585e-012,0.219978,0.000191789,0.000532706,0.338339,0.0551049,0.225477,0.177335,2.50738,0.048627,1.87494,0.0255917,0.0138954,0.113018,0.375364,0.12512,0.105667,0.0729044,0.0987324,0.119103,0.0696831,0.0411161,0.035134,0.0115903,0.234833,0.255121,0.0335858,0.0397029,0.0239454,0.0261867,0.0559145,0.0942981,0.0612039,0.240899,0.108205,0.45358,0.0518677,0.615665,0.167455,0.703797,0.12965,0.291946,0.0930378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36136,0.747091,0.106089,4.89847,3.08685,1.61353,0.543351,5.30585e-012,0.219978,0.000191789,0.000532706,0.338339,0.0551049,0.225477,0.177335,2.50738,0.048627,1.87494,0.0255917,0.0138954,0.113018,0.375364,0.12512,0.105667,0.0729044,0.0987324,0.119103,0.0696831,0.0411161,0.035134,0.0115903,0.234833,0.255121,0.0335858,0.0397029,0.0239454,0.0261867,0.0559145,0.0942981,0.0612039,0.240899,0.108205,0.45358,0.0518677,0.615665,0.167455,0.703797,0.12965,0.291946,0.0930378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36136,0.747091,0.106089,4.89847,3.08685,1.61353,0.543351,5.30585e-012,0.219978,0.000191789,0.000532706,0.338339,0.0551049,0.225477,0.177335,2.50738,0.048627,1.87494,0.0255917,0.0138954,0.113018,0.375364,0.12512,0.105667,0.0729044,0.0987324,0.119103,0.0696831,0.0411161,0.035134,0.0115903,0.234833,0.255121,0.0335858,0.0397029,0.0239454,0.0261867,0.0559145,0.0942981,0.0612039,0.240899,0.108205,0.45358,0.0518677,0.615665,0.167455,0.703797,0.12965,0.291946,0.0930378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36136,0.747091,0.106089,4.89847,3.08685,1.61353,0.543351,5.30585e-012,0.219978,0.000191789,0.000532706,0.338339,0.0551049,0.225477,0.177335,2.50738,0.048627,1.87494,0.0255917,0.0138954,0.113018,0.375364,0.12512,0.105667,0.0729044,0.0987324,0.119103,0.0696831,0.0411161,0.035134,0.0115903,0.234833,0.255121,0.0335858,0.0397029,0.0239454,0.0261867,0.0559145,0.0942981,0.0612039,0.240899,0.108205,0.45358,0.0518677,0.615665,0.167455,0.703797,0.12965,0.291946,0.0930378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36136,0.747091,0.106089,4.89847,3.08685,1.61353,0.543351,5.30585e-012,0.219978,0.000191789,0.000532706,0.338339,0.0551049,0.225477,0.177335,2.50738,0.048627,1.87494,0.0255917,0.0138954,0.113018,0.375364,0.12512,0.105667,0.0729044,0.0987324,0.119103,0.0696831,0.0411161,0.035134,0.0115903,0.234833,0.255121,0.0335858,0.0397029,0.0239454,0.0261867,0.0559145,0.0942981,0.0612039,0.240899,0.108205,0.45358,0.0518677,0.615665,0.167455,0.703797,0.12965,0.291946,0.0930378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36136,0.747091,0.106089,4.89847,3.08685,1.61353,0.543351,5.30585e-012,0.219978,0.000191789,0.000532706,0.338339,0.0551049,0.225477,0.177335,2.50738,0.048627,1.87494,0.0255917,0.0138954,0.113018,0.375364,0.12512,0.105667,0.0729044,0.0987324,0.119103,0.0696831,0.0411161,0.035134,0.0115903,0.234833,0.255121,0.0335858,0.0397029,0.0239454,0.0261867,0.0559145,0.0942981,0.0612039,0.240899,0.108205,0.45358,0.0518677,0.615665,0.167455,0.703797,0.12965,0.291946,0.0930378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.36136,0.747091,0.106089,4.89847,3.08685,1.61353,0.543351,5.30585e-012,0.219978,0.000191789,0.000532706,0.338339,0.0551049,0.225477,0.177335,2.50738,0.048627,1.87494,0.0255917,0.0138954,0.113018,0.375364,0.12512,0.105667,0.0729044,0.0987324,0.119103,0.0696831,0.0411161,0.035134,0.0115903,0.234833,0.255121,0.0335858,0.0397029,0.0239454,0.0261867,0.0559145,0.0942981,0.0612039,0.240899,0.108205,0.45358,0.0518677,0.615665,0.167455,0.703797,0.12965,0.291946,0.0930378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.36136,0.747091,0.106089,4.89847,3.08685,1.61353,0.543351,5.30585e-012,0.219978,0.000191789,0.000532706,0.338339,0.0551049,0.225477,0.177335,2.50738,0.048627,1.87494,0.0255917,0.0138954,0.113018,0.375364,0.12512,0.105667,0.0729044,0.0987324,0.119103,0.0696831,0.0411161,0.035134,0.0115903,0.234833,0.255121,0.0335858,0.0397029,0.0239454,0.0261867,0.0559145,0.0942981,0.0612039,0.240899,0.108205,0.45358,0.0518677,0.615665,0.167455,0.703797,0.12965,0.291946,0.0930378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
