ro_gr1,h_gr1,m_gs1,m_gs2,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,bmsy,msy1,fmsy1,q1,q2,SSB1,f
120.7,0.722825,0.377056,0.22248,60.8714,7.32614,0.987847,2.00193, 136.92,59.9676,36.0076,0.179861,97.2627,4.67089,39.2016,-597.081
120.7,0.722825,0.377056,0.22248,60.8714,7.32614,0.987847,2.00193, 136.92,59.9676,36.0076,0.179861,97.2627,4.67089,39.2016,-597.081
120.7,0.722825,0.377056,0.22248,60.8714,7.32614,0.987847,2.00193, 136.92,59.9676,36.0076,0.179861,97.2627,4.67089,39.2016,-597.081
120.7,0.722825,0.377056,0.22248,60.8714,7.32614,0.987847,2.00193, 136.92,59.9676,36.0076,0.179861,97.2627,4.67089,39.2016,-597.081
120.7,0.722825,0.377056,0.22248,60.8714,7.32614,0.987847,2.00193, 136.92,59.9676,36.0076,0.179861,97.2627,4.67089,39.2016,-597.081
120.7,0.722825,0.377056,0.22248,60.8714,7.32614,0.987847,2.00193, 136.92,59.9676,36.0076,0.179861,97.2627,4.67089,39.2016,-597.081
120.7,0.722825,0.377056,0.22248,60.8714,7.32614,0.987847,2.00193, 136.92,59.9676,36.0076,0.179861,97.2627,4.67089,39.2016,-597.081
120.7,0.722825,0.377056,0.22248,60.8714,7.32614,0.987847,2.00193, 136.92,59.9676,36.0076,0.179861,97.2627,4.67089,39.2016,-597.081
120.7,0.722825,0.377056,0.22248,60.8714,7.32614,0.987847,2.00193, 136.92,59.9676,36.0076,0.179861,97.2627,4.67089,39.2016,-597.081
120.7,0.722825,0.377056,0.22248,60.8714,7.32614,0.987847,2.00193, 136.92,59.9676,36.0076,0.179861,97.2627,4.67089,39.2016,-597.081
120.7,0.722825,0.377056,0.22248,60.8714,7.32614,0.987847,2.00193, 136.92,59.9676,36.0076,0.179861,97.2627,4.67089,39.2016,-597.081
120.7,0.722825,0.377056,0.22248,60.8714,7.32614,0.987847,2.00193, 136.92,59.9676,36.0076,0.179861,97.2627,4.67089,39.2016,-597.081
120.7,0.722825,0.377056,0.22248,60.8714,7.32614,0.987847,2.00193, 136.92,59.9676,36.0076,0.179861,97.2627,4.67089,39.2016,-597.081
120.7,0.722825,0.377056,0.22248,60.8714,7.32614,0.987847,2.00193, 136.92,59.9676,36.0076,0.179861,97.2627,4.67089,39.2016,-597.081
120.7,0.722825,0.377056,0.22248,60.8714,7.32614,0.987847,2.00193, 136.92,59.9676,36.0076,0.179861,97.2627,4.67089,39.2016,-597.081
120.7,0.722825,0.377056,0.22248,60.8714,7.32614,0.987847,2.00193, 136.92,59.9676,36.0076,0.179861,97.2627,4.67089,39.2016,-597.081
120.7,0.722825,0.377056,0.22248,60.8714,7.32614,0.987847,2.00193, 136.92,59.9676,36.0076,0.179861,97.2627,4.67089,39.2016,-597.081
120.7,0.722825,0.377056,0.22248,60.8714,7.32614,0.987847,2.00193, 136.92,59.9676,36.0076,0.179861,97.2627,4.67089,39.2016,-597.081
120.7,0.722825,0.377056,0.22248,60.8714,7.32614,0.987847,2.00193, 136.92,59.9676,36.0076,0.179861,97.2627,4.67089,39.2016,-597.081
120.7,0.722825,0.377056,0.22248,60.8714,7.32614,0.987847,2.00193, 136.92,59.9676,36.0076,0.179861,97.2627,4.67089,39.2016,-597.081
120.7,0.722825,0.377056,0.22248,60.8714,7.32614,0.987847,2.00193, 136.92,59.9676,36.0076,0.179861,97.2627,4.67089,39.2016,-597.081
114.946,0.750148,0.3793,0.221735,59.5816,6.81997,0.987514,1.91515, 131.849,54.2099,35.0775,0.180311,101.899,4.74485,37.7361,-593.958
114.955,0.760623,0.374965,0.221593,58.8146,5.77146,0.987441,1.96681, 132.138,52.8778,35.5095,0.178968,100.401,4.77169,37.9954,-591.059
117.932,0.744589,0.377475,0.221486,59.5097,5.82861,0.987314,1.95099, 135.779,56.5191,35.9746,0.179688,99.5255,4.7648,38.9121,-587.984
129.8,0.709834,0.376575,0.224212,61.9196,6.50872,0.987042,1.88646, 143.498,64.4816,37.8772,0.180236,96.4661,4.60798,41.2772,-589.26
123.335,0.730029,0.380334,0.224904,63.4336,6.22277,0.987337,1.87544, 134.958,57.9103,36.1735,0.181571,99.5087,4.57018,38.4491,-583.064
124.291,0.729486,0.37322,0.225231,63.0609,5.75615,0.987219,1.83167, 135.346,57.9929,36.5719,0.179535,96.5991,4.53883,39.1964,-580.607
128.397,0.72247,0.368532,0.226805,63.603,5.83183,0.987188,1.86169, 136.594,59.2879,37.3088,0.178601,97.2199,4.48989,39.6068,-579.557
129.543,0.726586,0.377348,0.229895,67.3621,6.51634,0.987065,1.8203, 131.67,56.5335,36.5618,0.182173,94.8738,4.34708,39.3452,-578.296
129.543,0.726586,0.377348,0.229895,67.3621,6.51634,0.987065,1.8203, 131.67,56.5335,36.5618,0.182173,94.8738,4.34708,39.3452,-578.296
127.316,0.736325,0.376139,0.228778,64.8823,6.33171,0.986873,1.7904, 131.554,55.2531,36.5326,0.181475,99.124,4.46755,38.3995,-580.879
123.906,0.741702,0.372821,0.227713,64.2247,6.26959,0.986979,1.76248, 130.059,53.9449,36.0904,0.18016,96.9311,4.46583,37.9833,-580.616
127.037,0.733073,0.372241,0.225858,62.8365,5.99949,0.987081,1.85355, 137.056,58.143,37.3299,0.17943,93.2547,4.50702,39.8493,-579.819
124.463,0.732405,0.37149,0.226967,65.2097,6.54336,0.987098,1.92253, 132.093,56.0629,36.273,0.179537,91.7625,4.41608,38.952,-579.979
125.9,0.733352,0.372651,0.229828,67.1893,6.76475,0.98686,1.91838, 128.094,54.0324,35.8823,0.180744,93.2763,4.36031,38.2292,-580.324
