sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014
6.70548,4.3842,3.99266,5.44993,4.82072,2.96586,6.68614,9.87239,9.66968,10.5231,13.8658,14.996,14.9233,15.6832,16.1976,7.31792,5.78912,6.06338,7.32634,11.921,17.5671,21.25,23.8147,27.4495,31.1977,32.9121,32.1125,31.8312,33.2466,36.5641,42.0841,44.9484,44.1232,46.8007,53.1051,59.93,66.4713,71.039,72.8033,74.4785,72.0412,69.1273,61.3761,58.458,52.1709,47.7051,42.9917,41.3275,45.3329,50.1536,59.3374
6.70548,4.3842,3.99266,5.44993,4.82072,2.96586,6.68614,9.87239,9.66968,10.5231,13.8658,14.996,14.9233,15.6832,16.1976,7.31792,5.78912,6.06338,7.32634,11.921,17.5671,21.25,23.8147,27.4495,31.1977,32.9121,32.1125,31.8312,33.2466,36.5641,42.0841,44.9484,44.1232,46.8007,53.1051,59.93,66.4713,71.039,72.8033,74.4785,72.0412,69.1273,61.3761,58.458,52.1709,47.7051,42.9917,41.3275,45.3329,50.1536,59.3374
6.70548,4.3842,3.99266,5.44993,4.82072,2.96586,6.68614,9.87239,9.66968,10.5231,13.8658,14.996,14.9233,15.6832,16.1976,7.31792,5.78912,6.06338,7.32634,11.921,17.5671,21.25,23.8147,27.4495,31.1977,32.9121,32.1125,31.8312,33.2466,36.5641,42.0841,44.9484,44.1232,46.8007,53.1051,59.93,66.4713,71.039,72.8033,74.4785,72.0412,69.1273,61.3761,58.458,52.1709,47.7051,42.9917,41.3275,45.3329,50.1536,59.3374
6.70548,4.3842,3.99266,5.44993,4.82072,2.96586,6.68614,9.87239,9.66968,10.5231,13.8658,14.996,14.9233,15.6832,16.1976,7.31792,5.78912,6.06338,7.32634,11.921,17.5671,21.25,23.8147,27.4495,31.1977,32.9121,32.1125,31.8312,33.2466,36.5641,42.0841,44.9484,44.1232,46.8007,53.1051,59.93,66.4713,71.039,72.8033,74.4785,72.0412,69.1273,61.3761,58.458,52.1709,47.7051,42.9917,41.3275,45.3329,50.1536,59.3374
6.70548,4.3842,3.99266,5.44993,4.82072,2.96586,6.68614,9.87239,9.66968,10.5231,13.8658,14.996,14.9233,15.6832,16.1976,7.31792,5.78912,6.06338,7.32634,11.921,17.5671,21.25,23.8147,27.4495,31.1977,32.9121,32.1125,31.8312,33.2466,36.5641,42.0841,44.9484,44.1232,46.8007,53.1051,59.93,66.4713,71.039,72.8033,74.4785,72.0412,69.1273,61.3761,58.458,52.1709,47.7051,42.9917,41.3275,45.3329,50.1536,59.3374
6.70548,4.3842,3.99266,5.44993,4.82072,2.96586,6.68614,9.87239,9.66968,10.5231,13.8658,14.996,14.9233,15.6832,16.1976,7.31792,5.78912,6.06338,7.32634,11.921,17.5671,21.25,23.8147,27.4495,31.1977,32.9121,32.1125,31.8312,33.2466,36.5641,42.0841,44.9484,44.1232,46.8007,53.1051,59.93,66.4713,71.039,72.8033,74.4785,72.0412,69.1273,61.3761,58.458,52.1709,47.7051,42.9917,41.3275,45.3329,50.1536,59.3374
6.70548,4.3842,3.99266,5.44993,4.82072,2.96586,6.68614,9.87239,9.66968,10.5231,13.8658,14.996,14.9233,15.6832,16.1976,7.31792,5.78912,6.06338,7.32634,11.921,17.5671,21.25,23.8147,27.4495,31.1977,32.9121,32.1125,31.8312,33.2466,36.5641,42.0841,44.9484,44.1232,46.8007,53.1051,59.93,66.4713,71.039,72.8033,74.4785,72.0412,69.1273,61.3761,58.458,52.1709,47.7051,42.9917,41.3275,45.3329,50.1536,59.3374
6.70548,4.3842,3.99266,5.44993,4.82072,2.96586,6.68614,9.87239,9.66968,10.5231,13.8658,14.996,14.9233,15.6832,16.1976,7.31792,5.78912,6.06338,7.32634,11.921,17.5671,21.25,23.8147,27.4495,31.1977,32.9121,32.1125,31.8312,33.2466,36.5641,42.0841,44.9484,44.1232,46.8007,53.1051,59.93,66.4713,71.039,72.8033,74.4785,72.0412,69.1273,61.3761,58.458,52.1709,47.7051,42.9917,41.3275,45.3329,50.1536,59.3374
6.70548,4.3842,3.99266,5.44993,4.82072,2.96586,6.68614,9.87239,9.66968,10.5231,13.8658,14.996,14.9233,15.6832,16.1976,7.31792,5.78912,6.06338,7.32634,11.921,17.5671,21.25,23.8147,27.4495,31.1977,32.9121,32.1125,31.8312,33.2466,36.5641,42.0841,44.9484,44.1232,46.8007,53.1051,59.93,66.4713,71.039,72.8033,74.4785,72.0412,69.1273,61.3761,58.458,52.1709,47.7051,42.9917,41.3275,45.3329,50.1536,59.3374
6.70548,4.3842,3.99266,5.44993,4.82072,2.96586,6.68614,9.87239,9.66968,10.5231,13.8658,14.996,14.9233,15.6832,16.1976,7.31792,5.78912,6.06338,7.32634,11.921,17.5671,21.25,23.8147,27.4495,31.1977,32.9121,32.1125,31.8312,33.2466,36.5641,42.0841,44.9484,44.1232,46.8007,53.1051,59.93,66.4713,71.039,72.8033,74.4785,72.0412,69.1273,61.3761,58.458,52.1709,47.7051,42.9917,41.3275,45.3329,50.1536,59.3374
