ro_gr1,h_gr1,m_gs1,m_gs2,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,bmsy,msy1,fmsy1,q1,q2,SSB1,f
121.319,0.717602,0.378011,0.223558,62.5968,8.15312,0.98785,1.98911, 135.432,59.9631,35.7313,0.180471,97.118,4.57014,38.9437,-597.023
121.319,0.717602,0.378011,0.223558,62.5968,8.15312,0.98785,1.98911, 135.432,59.9631,35.7313,0.180471,97.118,4.57014,38.9437,-597.023
121.319,0.717602,0.378011,0.223558,62.5968,8.15312,0.98785,1.98911, 135.432,59.9631,35.7313,0.180471,97.118,4.57014,38.9437,-597.023
121.319,0.717602,0.378011,0.223558,62.5968,8.15312,0.98785,1.98911, 135.432,59.9631,35.7313,0.180471,97.118,4.57014,38.9437,-597.023
121.319,0.717602,0.378011,0.223558,62.5968,8.15312,0.98785,1.98911, 135.432,59.9631,35.7313,0.180471,97.118,4.57014,38.9437,-597.023
121.319,0.717602,0.378011,0.223558,62.5968,8.15312,0.98785,1.98911, 135.432,59.9631,35.7313,0.180471,97.118,4.57014,38.9437,-597.023
121.319,0.717602,0.378011,0.223558,62.5968,8.15312,0.98785,1.98911, 135.432,59.9631,35.7313,0.180471,97.118,4.57014,38.9437,-597.023
121.319,0.717602,0.378011,0.223558,62.5968,8.15312,0.98785,1.98911, 135.432,59.9631,35.7313,0.180471,97.118,4.57014,38.9437,-597.023
121.319,0.717602,0.378011,0.223558,62.5968,8.15312,0.98785,1.98911, 135.432,59.9631,35.7313,0.180471,97.118,4.57014,38.9437,-597.023
121.319,0.717602,0.378011,0.223558,62.5968,8.15312,0.98785,1.98911, 135.432,59.9631,35.7313,0.180471,97.118,4.57014,38.9437,-597.023
121.319,0.717602,0.378011,0.223558,62.5968,8.15312,0.98785,1.98911, 135.432,59.9631,35.7313,0.180471,97.118,4.57014,38.9437,-597.023
121.319,0.717602,0.378011,0.223558,62.5968,8.15312,0.98785,1.98911, 135.432,59.9631,35.7313,0.180471,97.118,4.57014,38.9437,-597.023
121.319,0.717602,0.378011,0.223558,62.5968,8.15312,0.98785,1.98911, 135.432,59.9631,35.7313,0.180471,97.118,4.57014,38.9437,-597.023
121.319,0.717602,0.378011,0.223558,62.5968,8.15312,0.98785,1.98911, 135.432,59.9631,35.7313,0.180471,97.118,4.57014,38.9437,-597.023
121.319,0.717602,0.378011,0.223558,62.5968,8.15312,0.98785,1.98911, 135.432,59.9631,35.7313,0.180471,97.118,4.57014,38.9437,-597.023
121.319,0.717602,0.378011,0.223558,62.5968,8.15312,0.98785,1.98911, 135.432,59.9631,35.7313,0.180471,97.118,4.57014,38.9437,-597.023
121.319,0.717602,0.378011,0.223558,62.5968,8.15312,0.98785,1.98911, 135.432,59.9631,35.7313,0.180471,97.118,4.57014,38.9437,-597.023
121.319,0.717602,0.378011,0.223558,62.5968,8.15312,0.98785,1.98911, 135.432,59.9631,35.7313,0.180471,97.118,4.57014,38.9437,-597.023
121.319,0.717602,0.378011,0.223558,62.5968,8.15312,0.98785,1.98911, 135.432,59.9631,35.7313,0.180471,97.118,4.57014,38.9437,-597.023
121.319,0.717602,0.378011,0.223558,62.5968,8.15312,0.98785,1.98911, 135.432,59.9631,35.7313,0.180471,97.118,4.57014,38.9437,-597.023
121.319,0.717602,0.378011,0.223558,62.5968,8.15312,0.98785,1.98911, 135.432,59.9631,35.7313,0.180471,97.118,4.57014,38.9437,-597.023
115.617,0.744519,0.380213,0.222779,61.2941,7.61955,0.987516,1.90212, 130.573,54.3565,34.8317,0.180897,101.663,4.6735,37.5251,-593.868
115.626,0.755015,0.375909,0.22268,60.5573,6.41732,0.987444,1.95142, 130.775,52.9984,35.2475,0.179577,100.212,4.69941,37.7478,-590.844
118.577,0.73919,0.378424,0.222576,61.2417,6.45744,0.987317,1.93614, 134.319,56.5692,35.7011,0.1803,99.3076,4.69321,38.6677,-587.598
130.33,0.705269,0.377621,0.225394,63.739,7.15623,0.987046,1.87146, 141.58,64.2042,37.5315,0.180904,96.272,4.54013,40.9583,-589.198
123.93,0.725023,0.381319,0.22601,65.2896,6.91168,0.987341,1.86145, 133.402,57.8487,35.8812,0.182199,99.3853,4.50341,38.1701,-583.155
124.876,0.724552,0.374242,0.226376,64.9397,6.37502,0.987223,1.81684, 133.694,57.881,36.2624,0.180185,96.5045,4.4711,38.8928,-580.489
124.876,0.724552,0.374242,0.226376,64.9397,6.37502,0.987223,1.81684, 133.694,57.881,36.2624,0.180185,96.5045,4.4711,38.8928,-580.489
125.295,0.721698,0.377524,0.227936,66.7023,6.90119,0.986986,1.77189, 131.085,57.0528,35.7693,0.181638,96.5014,4.41044,38.4117,-580.4
125.295,0.721698,0.377524,0.227936,66.7023,6.90119,0.986986,1.77189, 131.085,57.0528,35.7693,0.181638,96.5014,4.41044,38.4117,-580.4
123.172,0.731293,0.37631,0.226836,64.2596,6.68954,0.986794,1.74125, 130.976,55.7983,35.7403,0.180944,100.787,4.53379,37.477,-581.83
111.699,0.756176,0.370289,0.223416,60.0235,5.71039,0.987015,1.69279, 124.956,50.2502,34.0447,0.178111,104.495,4.69246,34.7511,-581.572
114.508,0.7321,0.369742,0.219159,57.2714,5.46041,0.987291,1.82989, 136.503,58.4294,35.4884,0.17667,101.634,4.8007,36.506,-579.266
107.033,0.750359,0.366898,0.218682,58.1252,5.65559,0.987137,1.8649, 128.508,52.7073,33.8019,0.175674,100.019,4.79796,34.6522,-578.632
108.25,0.751417,0.368055,0.221423,59.9114,5.86632,0.986899,1.86055, 124.749,50.8235,33.4625,0.176843,101.562,4.73342,34.0423,-578.686
105.741,0.747238,0.366773,0.221805,60.9609,6.52728,0.98672,1.7606, 121.164,49.8439,32.5311,0.176573,103.339,4.71675,32.1793,-578.551
111.031,0.719468,0.367042,0.219818,60.4235,6.87302,0.986819,1.82798, 131.058,57.6601,34.0161,0.176058,99.3214,4.69691,34.9906,-578.57
113.727,0.714615,0.367538,0.22209,62.7802,7.45717,0.986877,1.82206, 129.761,57.5444,34.1003,0.176888,96.2981,5.17717,35.3932,-578.762
102.089,0.729857,0.358528,0.21446,54.95,5.58105,0.986514,1.8228, 130.61,56.3165,33.0839,0.171897,101.656,4.97839,32.4413,-576.991
96.7472,0.744411,0.354697,0.213921,53.8141,5.53725,0.985913,1.78493, 124.788,52.0361,31.912,0.170586,107.525,5.08591,30.0013,-574.354
94.0822,0.748826,0.352993,0.214373,53.1185,6.15488,0.985479,1.74135, 120.525,49.643,31.0727,0.17021,116.103,5.17218,27.8319,-575.435
