ro_gr1,h_gr1,m_gs1,m_gs2,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,bmsy,msy1,fmsy1,q1,q2,SSB1,f
128.912,0.831897,0.392595,0.240705,81.7056,10.0165,0.987842,2.0708, 111.899,35.3877,35.7632,0.18999,87.3425,52.9812,38.3118,-600.326
128.912,0.831897,0.392595,0.240705,81.7056,10.0165,0.987842,2.0708, 111.899,35.3877,35.7632,0.18999,87.3425,52.9812,38.3118,-600.326
128.912,0.831897,0.392595,0.240705,81.7056,10.0165,0.987842,2.0708, 111.899,35.3877,35.7632,0.18999,87.3425,52.9812,38.3118,-600.326
128.912,0.831897,0.392595,0.240705,81.7056,10.0165,0.987842,2.0708, 111.899,35.3877,35.7632,0.18999,87.3425,52.9812,38.3118,-600.326
128.912,0.831897,0.392595,0.240705,81.7056,10.0165,0.987842,2.0708, 111.899,35.3877,35.7632,0.18999,87.3425,52.9812,38.3118,-600.326
128.912,0.831897,0.392595,0.240705,81.7056,10.0165,0.987842,2.0708, 111.899,35.3877,35.7632,0.18999,87.3425,52.9812,38.3118,-600.326
128.912,0.831897,0.392595,0.240705,81.7056,10.0165,0.987842,2.0708, 111.899,35.3877,35.7632,0.18999,87.3425,52.9812,38.3118,-600.326
128.912,0.831897,0.392595,0.240705,81.7056,10.0165,0.987842,2.0708, 111.899,35.3877,35.7632,0.18999,87.3425,52.9812,38.3118,-600.326
128.912,0.831897,0.392595,0.240705,81.7056,10.0165,0.987842,2.0708, 111.899,35.3877,35.7632,0.18999,87.3425,52.9812,38.3118,-600.326
128.912,0.831897,0.392595,0.240705,81.7056,10.0165,0.987842,2.0708, 111.899,35.3877,35.7632,0.18999,87.3425,52.9812,38.3118,-600.326
128.912,0.831897,0.392595,0.240705,81.7056,10.0165,0.987842,2.0708, 111.899,35.3877,35.7632,0.18999,87.3425,52.9812,38.3118,-600.326
128.912,0.831897,0.392595,0.240705,81.7056,10.0165,0.987842,2.0708, 111.899,35.3877,35.7632,0.18999,87.3425,52.9812,38.3118,-600.326
128.912,0.831897,0.392595,0.240705,81.7056,10.0165,0.987842,2.0708, 111.899,35.3877,35.7632,0.18999,87.3425,52.9812,38.3118,-600.326
128.912,0.831897,0.392595,0.240705,81.7056,10.0165,0.987842,2.0708, 111.899,35.3877,35.7632,0.18999,87.3425,52.9812,38.3118,-600.326
128.912,0.831897,0.392595,0.240705,81.7056,10.0165,0.987842,2.0708, 111.899,35.3877,35.7632,0.18999,87.3425,52.9812,38.3118,-600.326
128.912,0.831897,0.392595,0.240705,81.7056,10.0165,0.987842,2.0708, 111.899,35.3877,35.7632,0.18999,87.3425,52.9812,38.3118,-600.326
128.912,0.831897,0.392595,0.240705,81.7056,10.0165,0.987842,2.0708, 111.899,35.3877,35.7632,0.18999,87.3425,52.9812,38.3118,-600.326
128.912,0.831897,0.392595,0.240705,81.7056,10.0165,0.987842,2.0708, 111.899,35.3877,35.7632,0.18999,87.3425,52.9812,38.3118,-600.326
128.912,0.831897,0.392595,0.240705,81.7056,10.0165,0.987842,2.0708, 111.899,35.3877,35.7632,0.18999,87.3425,52.9812,38.3118,-600.326
128.912,0.831897,0.392595,0.240705,81.7056,10.0165,0.987842,2.0708, 111.899,35.3877,35.7632,0.18999,87.3425,52.9812,38.3118,-600.326
128.912,0.831897,0.392595,0.240705,81.7056,10.0165,0.987842,2.0708, 111.899,35.3877,35.7632,0.18999,87.3425,52.9812,38.3118,-600.326
123.233,0.848649,0.392576,0.237892,77.879,9.1934,0.987508,1.99218, 111.426,33.3838,35.4017,0.189141,91.3488,56.0654,37.1232,-596.671
124.487,0.847475,0.388847,0.238316,78.4427,8.18822,0.987353,1.96964, 111.869,33.5789,35.7408,0.188149,88.4074,49.8565,37.5543,-594.165
136.179,0.83085,0.398737,0.245408,86.8616,10.1368,0.987339,1.91057, 110.449,34.7728,36.2505,0.193244,89.7388,52.9716,37.9921,-593.719
150.182,0.816537,0.402278,0.251494,94.1869,11.102,0.987056,1.81799, 111.639,36.4881,37.6515,0.196132,85.2532,55.9063,39.9785,-592.862
142.659,0.819165,0.404478,0.248229,91.1643,9.85907,0.987237,1.77595, 111.114,36.2472,36.641,0.195812,88.4751,55.1704,38.0188,-589.149
142.528,0.824868,0.403573,0.248546,91.3402,8.87643,0.987105,1.74021, 110.509,35.3177,36.7282,0.195636,87.6564,55.445,37.9143,-587.574
148.105,0.829649,0.401995,0.252721,97.0366,9.9445,0.987008,1.77768, 108.187,33.7271,37.2178,0.196415,86.9122,58.9594,37.8872,-587.642
148.857,0.837892,0.406969,0.25331,98.8533,10.297,0.987124,1.78733, 107.828,32.6728,37.3253,0.198084,85.4635,41.5399,38.0339,-586.237
147.909,0.844858,0.409043,0.252971,99.059,9.99305,0.987096,1.79365, 107.66,31.8279,37.3335,0.198604,84.3751,40.5715,38.0614,-585.37
145.88,0.86319,0.40848,0.252284,97.1225,10.5781,0.986821,1.78921, 107.227,29.5113,37.6394,0.198229,86.1026,40.9824,37.679,-585.065
138.111,0.869276,0.402252,0.249614,92.7002,9.63852,0.986899,1.75392, 105.459,28.3849,36.7565,0.19556,87.7899,39.6367,35.9437,-583.254
136.904,0.846333,0.401997,0.246584,90.2358,9.22369,0.98703,1.75533, 109.176,32.4101,36.5043,0.194575,87.3891,60.4012,36.358,-581.379
133.008,0.843539,0.398715,0.246048,91.083,11.1772,0.987054,1.82831, 106.889,32.0797,35.6262,0.193429,86.6285,42.1403,35.4829,-580.635
139.073,0.847106,0.403836,0.249735,95.2305,11.0492,0.986991,1.8122, 106.01,31.2061,36.1939,0.196071,84.8412,38.1183,36.1988,-579.814
140.566,0.841717,0.407405,0.250986,97.3932,12.4175,0.98695,1.70586, 105.251,31.5662,35.9601,0.197517,84.7833,32.8871,35.7221,-579.228
144.827,0.846433,0.409125,0.253414,101.473,13.3822,0.987021,1.68947, 104.754,30.7468,36.4862,0.198762,83.7186,43.6189,36.5058,-579.14
139.618,0.846536,0.407599,0.2507,97.3131,13.0558,0.987195,1.69611, 104.968,30.954,35.9329,0.19749,85.9514,46.5176,35.6605,-578.591
