rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013
62.5042,50.2321,38.842,38.3294,23.6638,18.7978,43.4051,32.2705,28.2978,44.0945,71.3041,89.3395,94.389,96.4548,96.5608,93.6081,64.5504,48.3602,40.5144,45.4429,75.4566,98.467,106.403,113.353,108.438,117.257,120.277,117.504,113.212,114.312,116.4,121.671,112.842,122.875,122.447,119.305,129.29,131.373,121.238,127.86,119.662,118.644,120.619,130.257,118.584,126.656,117.377,117.1,115.09,115.776
62.5042,50.2321,38.842,38.3294,23.6638,18.7978,43.4051,32.2705,28.2978,44.0945,71.3041,89.3395,94.389,96.4548,96.5608,93.6081,64.5504,48.3602,40.5144,45.4429,75.4566,98.467,106.403,113.353,108.438,117.257,120.277,117.504,113.212,114.312,116.4,121.671,112.842,122.875,122.447,119.305,129.29,131.373,121.238,127.86,119.662,118.644,120.619,130.257,118.584,126.656,117.377,117.1,115.09,115.776
62.5042,50.2321,38.842,38.3294,23.6638,18.7978,43.4051,32.2705,28.2978,44.0945,71.3041,89.3395,94.389,96.4548,96.5608,93.6081,64.5504,48.3602,40.5144,45.4429,75.4566,98.467,106.403,113.353,108.438,117.257,120.277,117.504,113.212,114.312,116.4,121.671,112.842,122.875,122.447,119.305,129.29,131.373,121.238,127.86,119.662,118.644,120.619,130.257,118.584,126.656,117.377,117.1,115.09,115.776
62.5042,50.2321,38.842,38.3294,23.6638,18.7978,43.4051,32.2705,28.2978,44.0945,71.3041,89.3395,94.389,96.4548,96.5608,93.6081,64.5504,48.3602,40.5144,45.4429,75.4566,98.467,106.403,113.353,108.438,117.257,120.277,117.504,113.212,114.312,116.4,121.671,112.842,122.875,122.447,119.305,129.29,131.373,121.238,127.86,119.662,118.644,120.619,130.257,118.584,126.656,117.377,117.1,115.09,115.776
62.5042,50.2321,38.842,38.3294,23.6638,18.7978,43.4051,32.2705,28.2978,44.0945,71.3041,89.3395,94.389,96.4548,96.5608,93.6081,64.5504,48.3602,40.5144,45.4429,75.4566,98.467,106.403,113.353,108.438,117.257,120.277,117.504,113.212,114.312,116.4,121.671,112.842,122.875,122.447,119.305,129.29,131.373,121.238,127.86,119.662,118.644,120.619,130.257,118.584,126.656,117.377,117.1,115.09,115.776
62.5042,50.2321,38.842,38.3294,23.6638,18.7978,43.4051,32.2705,28.2978,44.0945,71.3041,89.3395,94.389,96.4548,96.5608,93.6081,64.5504,48.3602,40.5144,45.4429,75.4566,98.467,106.403,113.353,108.438,117.257,120.277,117.504,113.212,114.312,116.4,121.671,112.842,122.875,122.447,119.305,129.29,131.373,121.238,127.86,119.662,118.644,120.619,130.257,118.584,126.656,117.377,117.1,115.09,115.776
62.5042,50.2321,38.842,38.3294,23.6638,18.7978,43.4051,32.2705,28.2978,44.0945,71.3041,89.3395,94.389,96.4548,96.5608,93.6081,64.5504,48.3602,40.5144,45.4429,75.4566,98.467,106.403,113.353,108.438,117.257,120.277,117.504,113.212,114.312,116.4,121.671,112.842,122.875,122.447,119.305,129.29,131.373,121.238,127.86,119.662,118.644,120.619,130.257,118.584,126.656,117.377,117.1,115.09,115.776
62.5042,50.2321,38.842,38.3294,23.6638,18.7978,43.4051,32.2705,28.2978,44.0945,71.3041,89.3395,94.389,96.4548,96.5608,93.6081,64.5504,48.3602,40.5144,45.4429,75.4566,98.467,106.403,113.353,108.438,117.257,120.277,117.504,113.212,114.312,116.4,121.671,112.842,122.875,122.447,119.305,129.29,131.373,121.238,127.86,119.662,118.644,120.619,130.257,118.584,126.656,117.377,117.1,115.09,115.776
62.5042,50.2321,38.842,38.3294,23.6638,18.7978,43.4051,32.2705,28.2978,44.0945,71.3041,89.3395,94.389,96.4548,96.5608,93.6081,64.5504,48.3602,40.5144,45.4429,75.4566,98.467,106.403,113.353,108.438,117.257,120.277,117.504,113.212,114.312,116.4,121.671,112.842,122.875,122.447,119.305,129.29,131.373,121.238,127.86,119.662,118.644,120.619,130.257,118.584,126.656,117.377,117.1,115.09,115.776
62.5042,50.2321,38.842,38.3294,23.6638,18.7978,43.4051,32.2705,28.2978,44.0945,71.3041,89.3395,94.389,96.4548,96.5608,93.6081,64.5504,48.3602,40.5144,45.4429,75.4566,98.467,106.403,113.353,108.438,117.257,120.277,117.504,113.212,114.312,116.4,121.671,112.842,122.875,122.447,119.305,129.29,131.373,121.238,127.86,119.662,118.644,120.619,130.257,118.584,126.656,117.377,117.1,115.09,115.776
62.5042,50.2321,38.842,38.3294,23.6638,18.7978,43.4051,32.2705,28.2978,44.0945,71.3041,89.3395,94.389,96.4548,96.5608,93.6081,64.5504,48.3602,40.5144,45.4429,75.4566,98.467,106.403,113.353,108.438,117.257,120.277,117.504,113.212,114.312,116.4,121.671,112.842,122.875,122.447,119.305,129.29,131.373,121.238,127.86,119.662,118.644,120.619,130.257,118.584,126.656,117.377,117.1,115.09,115.776
62.5042,50.2321,38.842,38.3294,23.6638,18.7978,43.4051,32.2705,28.2978,44.0945,71.3041,89.3395,94.389,96.4548,96.5608,93.6081,64.5504,48.3602,40.5144,45.4429,75.4566,98.467,106.403,113.353,108.438,117.257,120.277,117.504,113.212,114.312,116.4,121.671,112.842,122.875,122.447,119.305,129.29,131.373,121.238,127.86,119.662,118.644,120.619,130.257,118.584,126.656,117.377,117.1,115.09,115.776
62.5042,50.2321,38.842,38.3294,23.6638,18.7978,43.4051,32.2705,28.2978,44.0945,71.3041,89.3395,94.389,96.4548,96.5608,93.6081,64.5504,48.3602,40.5144,45.4429,75.4566,98.467,106.403,113.353,108.438,117.257,120.277,117.504,113.212,114.312,116.4,121.671,112.842,122.875,122.447,119.305,129.29,131.373,121.238,127.86,119.662,118.644,120.619,130.257,118.584,126.656,117.377,117.1,115.09,115.776
62.5042,50.2321,38.842,38.3294,23.6638,18.7978,43.4051,32.2705,28.2978,44.0945,71.3041,89.3395,94.389,96.4548,96.5608,93.6081,64.5504,48.3602,40.5144,45.4429,75.4566,98.467,106.403,113.353,108.438,117.257,120.277,117.504,113.212,114.312,116.4,121.671,112.842,122.875,122.447,119.305,129.29,131.373,121.238,127.86,119.662,118.644,120.619,130.257,118.584,126.656,117.377,117.1,115.09,115.776
62.5042,50.2321,38.842,38.3294,23.6638,18.7978,43.4051,32.2705,28.2978,44.0945,71.3041,89.3395,94.389,96.4548,96.5608,93.6081,64.5504,48.3602,40.5144,45.4429,75.4566,98.467,106.403,113.353,108.438,117.257,120.277,117.504,113.212,114.312,116.4,121.671,112.842,122.875,122.447,119.305,129.29,131.373,121.238,127.86,119.662,118.644,120.619,130.257,118.584,126.656,117.377,117.1,115.09,115.776
62.5042,50.2321,38.842,38.3294,23.6638,18.7978,43.4051,32.2705,28.2978,44.0945,71.3041,89.3395,94.389,96.4548,96.5608,93.6081,64.5504,48.3602,40.5144,45.4429,75.4566,98.467,106.403,113.353,108.438,117.257,120.277,117.504,113.212,114.312,116.4,121.671,112.842,122.875,122.447,119.305,129.29,131.373,121.238,127.86,119.662,118.644,120.619,130.257,118.584,126.656,117.377,117.1,115.09,115.776
62.5042,50.2321,38.842,38.3294,23.6638,18.7978,43.4051,32.2705,28.2978,44.0945,71.3041,89.3395,94.389,96.4548,96.5608,93.6081,64.5504,48.3602,40.5144,45.4429,75.4566,98.467,106.403,113.353,108.438,117.257,120.277,117.504,113.212,114.312,116.4,121.671,112.842,122.875,122.447,119.305,129.29,131.373,121.238,127.86,119.662,118.644,120.619,130.257,118.584,126.656,117.377,117.1,115.09,115.776
62.5042,50.2321,38.842,38.3294,23.6638,18.7978,43.4051,32.2705,28.2978,44.0945,71.3041,89.3395,94.389,96.4548,96.5608,93.6081,64.5504,48.3602,40.5144,45.4429,75.4566,98.467,106.403,113.353,108.438,117.257,120.277,117.504,113.212,114.312,116.4,121.671,112.842,122.875,122.447,119.305,129.29,131.373,121.238,127.86,119.662,118.644,120.619,130.257,118.584,126.656,117.377,117.1,115.09,115.776
62.5042,50.2321,38.842,38.3294,23.6638,18.7978,43.4051,32.2705,28.2978,44.0945,71.3041,89.3395,94.389,96.4548,96.5608,93.6081,64.5504,48.3602,40.5144,45.4429,75.4566,98.467,106.403,113.353,108.438,117.257,120.277,117.504,113.212,114.312,116.4,121.671,112.842,122.875,122.447,119.305,129.29,131.373,121.238,127.86,119.662,118.644,120.619,130.257,118.584,126.656,117.377,117.1,115.09,115.776
62.5042,50.2321,38.842,38.3294,23.6638,18.7978,43.4051,32.2705,28.2978,44.0945,71.3041,89.3395,94.389,96.4548,96.5608,93.6081,64.5504,48.3602,40.5144,45.4429,75.4566,98.467,106.403,113.353,108.438,117.257,120.277,117.504,113.212,114.312,116.4,121.671,112.842,122.875,122.447,119.305,129.29,131.373,121.238,127.86,119.662,118.644,120.619,130.257,118.584,126.656,117.377,117.1,115.09,115.776
62.5042,50.2321,38.842,38.3294,23.6638,18.7978,43.4051,32.2705,28.2978,44.0945,71.3041,89.3395,94.389,96.4548,96.5608,93.6081,64.5504,48.3602,40.5144,45.4429,75.4566,98.467,106.403,113.353,108.438,117.257,120.277,117.504,113.212,114.312,116.4,121.671,112.842,122.875,122.447,119.305,129.29,131.373,121.238,127.86,119.662,118.644,120.619,130.257,118.584,126.656,117.377,117.1,115.09,115.776
66.4562,51.3735,37.5694,34.1255,17.8828,14.3411,41.0678,29.2806,27.0453,44.2303,71.7245,89.0278,93.9871,96.1818,95.3962,88.9371,59.4884,41.8161,35.8489,42.5439,75.2061,96.5553,104.24,109.046,106.935,113.182,117.487,113.778,110.172,108.914,109.873,115.741,107.192,115.538,117.782,113.176,122.971,127.341,116.701,123.068,116.172,114.894,118.95,126.78,113.624,118.686,112.888,112.156,110.74,109.322
63.852,47.5386,34.3177,29.932,15.4774,14.2112,43.3645,31.2332,28.5644,49.2854,75.7858,87.9598,93.8121,95.2724,93.0603,87.1665,58.3688,40.9524,36.2094,43.9332,78.0712,98.9967,104.687,108.758,107.854,114.74,117.097,115.255,110.597,110.376,109.651,117.948,108.926,114.601,119.642,114.622,124.647,129.429,116.86,122.813,116.934,114.966,119.158,128.982,115.79,120.794,115.021,114.388,112.237,110.045
68.2072,54.7052,44.1739,39.1984,21.9562,15.152,41.7013,29.9357,28.2084,52.9951,83.4582,95.9632,101.632,106.638,105.828,98.7909,69.9547,48.082,40.0939,48.5451,83.3035,109.38,111.534,120.681,114.77,127.627,128.176,124.631,122.288,122.827,120.342,128.428,118.289,123.688,131.003,124.152,136.41,143.001,125.607,132.67,127.933,127.292,129.079,141.368,124.808,131.233,123.953,123.797,121.29,121.815
66.9213,51.2028,41.8732,40.3406,26.3644,18.8468,50.4014,37.3927,35.7108,54.7714,85.4802,102.983,104.745,115.056,111.03,102.626,74.4967,54.5152,46.1346,55.7161,87.3283,119.067,123.176,131.911,121.934,136.502,141.976,136.188,131.72,133.763,131.676,140.583,129.315,135.386,141.137,136.509,150.03,158.7,137.691,146.471,139.997,135.545,140.181,158.013,134.761,145.972,134.339,137.647,131.045,133.193
60.1888,44.5864,33.7079,33.45,22.6195,19.5754,54.5392,43.4591,39.5938,60.8153,82.4063,98.6508,99.3938,106.377,103.262,95.6951,70.8531,57.2772,51.4616,60.1846,87.5742,116.596,118.652,125.514,116.518,130.182,132.108,131.594,123.325,127.863,123.483,137.056,122.971,129.812,134.426,130.508,141.43,151.722,131.724,135.912,130.948,130.187,133.553,154.967,128.505,139.566,128.349,130.597,123.827,122.967
58.0715,42.0712,31.854,30.645,20.6547,19.9712,59.2747,47.2206,42.1037,62.6872,82.3099,97.8974,98.1725,103.884,101.548,94.2715,70.9838,60.3066,55.0106,62.5292,89.2656,118.512,118.438,127.313,115.674,130.257,132.895,131.256,122.921,129.238,123.047,136.352,123.242,129.883,134.141,132.705,142.729,152.792,130.219,136.715,131.31,130.352,133.963,156.498,128.67,139.018,128.214,131.843,123.236,124.015
