ft1_gear1_1956,ft1_gear1_1957,ft1_gear1_1958,ft1_gear1_1959,ft1_gear1_1960,ft1_gear1_1961,ft1_gear1_1962,ft1_gear1_1963,ft1_gear1_1964,ft1_gear1_1965,ft1_gear1_1966,ft1_gear1_1967,ft1_gear1_1968,ft1_gear1_1969,ft1_gear1_1970,ft1_gear1_1971,ft1_gear1_1972,ft1_gear1_1973,ft1_gear1_1974,ft1_gear1_1975,ft1_gear1_1976,ft1_gear1_1977,ft1_gear1_1978,ft1_gear1_1979,ft1_gear1_1980,ft1_gear1_1981,ft1_gear1_1982,ft1_gear1_1983,ft1_gear1_1984,ft1_gear1_1985,ft1_gear1_1986,ft1_gear1_1987,ft1_gear1_1988,ft1_gear1_1989,ft1_gear1_1990,ft1_gear1_1991,ft1_gear1_1992,ft1_gear1_1993,ft1_gear1_1994,ft1_gear1_1995,ft1_gear1_1996,ft1_gear1_1997,ft1_gear1_1998,ft1_gear1_1999,ft1_gear1_2000,ft1_gear1_2001,ft1_gear1_2002,ft1_gear1_2003,ft1_gear1_2004,ft1_gear1_2005,ft1_gear1_2006,ft1_gear1_2007,ft1_gear1_2008,ft1_gear1_2009,ft1_gear1_2010,ft1_gear1_2011,ft1_gear1_2012,ft1_gear1_2013,ft1_gear2_1956,ft1_gear2_1957,ft1_gear2_1958,ft1_gear2_1959,ft1_gear2_1960,ft1_gear2_1961,ft1_gear2_1962,ft1_gear2_1963,ft1_gear2_1964,ft1_gear2_1965,ft1_gear2_1966,ft1_gear2_1967,ft1_gear2_1968,ft1_gear2_1969,ft1_gear2_1970,ft1_gear2_1971,ft1_gear2_1972,ft1_gear2_1973,ft1_gear2_1974,ft1_gear2_1975,ft1_gear2_1976,ft1_gear2_1977,ft1_gear2_1978,ft1_gear2_1979,ft1_gear2_1980,ft1_gear2_1981,ft1_gear2_1982,ft1_gear2_1983,ft1_gear2_1984,ft1_gear2_1985,ft1_gear2_1986,ft1_gear2_1987,ft1_gear2_1988,ft1_gear2_1989,ft1_gear2_1990,ft1_gear2_1991,ft1_gear2_1992,ft1_gear2_1993,ft1_gear2_1994,ft1_gear2_1995,ft1_gear2_1996,ft1_gear2_1997,ft1_gear2_1998,ft1_gear2_1999,ft1_gear2_2000,ft1_gear2_2001,ft1_gear2_2002,ft1_gear2_2003,ft1_gear2_2004,ft1_gear2_2005,ft1_gear2_2006,ft1_gear2_2007,ft1_gear2_2008,ft1_gear2_2009,ft1_gear2_2010,ft1_gear2_2011,ft1_gear2_2012,ft1_gear2_2013,ft1_gear3_1956,ft1_gear3_1957,ft1_gear3_1958,ft1_gear3_1959,ft1_gear3_1960,ft1_gear3_1961,ft1_gear3_1962,ft1_gear3_1963,ft1_gear3_1964,ft1_gear3_1965,ft1_gear3_1966,ft1_gear3_1967,ft1_gear3_1968,ft1_gear3_1969,ft1_gear3_1970,ft1_gear3_1971,ft1_gear3_1972,ft1_gear3_1973,ft1_gear3_1974,ft1_gear3_1975,ft1_gear3_1976,ft1_gear3_1977,ft1_gear3_1978,ft1_gear3_1979,ft1_gear3_1980,ft1_gear3_1981,ft1_gear3_1982,ft1_gear3_1983,ft1_gear3_1984,ft1_gear3_1985,ft1_gear3_1986,ft1_gear3_1987,ft1_gear3_1988,ft1_gear3_1989,ft1_gear3_1990,ft1_gear3_1991,ft1_gear3_1992,ft1_gear3_1993,ft1_gear3_1994,ft1_gear3_1995,ft1_gear3_1996,ft1_gear3_1997,ft1_gear3_1998,ft1_gear3_1999,ft1_gear3_2000,ft1_gear3_2001,ft1_gear3_2002,ft1_gear3_2003,ft1_gear3_2004,ft1_gear3_2005,ft1_gear3_2006,ft1_gear3_2007,ft1_gear3_2008,ft1_gear3_2009,ft1_gear3_2010,ft1_gear3_2011,ft1_gear3_2012,ft1_gear3_2013,ft1_gear4_1956,ft1_gear4_1957,ft1_gear4_1958,ft1_gear4_1959,ft1_gear4_1960,ft1_gear4_1961,ft1_gear4_1962,ft1_gear4_1963,ft1_gear4_1964,ft1_gear4_1965,ft1_gear4_1966,ft1_gear4_1967,ft1_gear4_1968,ft1_gear4_1969,ft1_gear4_1970,ft1_gear4_1971,ft1_gear4_1972,ft1_gear4_1973,ft1_gear4_1974,ft1_gear4_1975,ft1_gear4_1976,ft1_gear4_1977,ft1_gear4_1978,ft1_gear4_1979,ft1_gear4_1980,ft1_gear4_1981,ft1_gear4_1982,ft1_gear4_1983,ft1_gear4_1984,ft1_gear4_1985,ft1_gear4_1986,ft1_gear4_1987,ft1_gear4_1988,ft1_gear4_1989,ft1_gear4_1990,ft1_gear4_1991,ft1_gear4_1992,ft1_gear4_1993,ft1_gear4_1994,ft1_gear4_1995,ft1_gear4_1996,ft1_gear4_1997,ft1_gear4_1998,ft1_gear4_1999,ft1_gear4_2000,ft1_gear4_2001,ft1_gear4_2002,ft1_gear4_2003,ft1_gear4_2004,ft1_gear4_2005,ft1_gear4_2006,ft1_gear4_2007,ft1_gear4_2008,ft1_gear4_2009,ft1_gear4_2010,ft1_gear4_2011,ft1_gear4_2012,ft1_gear4_2013
0.298218,0.791969,0.739643,0.560962,0.513025,0.401222,0.42018,0.306395,0.433498,0.724392,0.738489,0.717329,0.891674,0.7389,0.451962,0.468051,0.34341,0.284605,0.399545,0.570972,0.729064,0.781674,0.624123,0.990451,0.878504,0.580713,0.427575,0.465506,0.468074,0.351737,0.312437,0.764205,0.675194,0.527371,0.673295,20.0855,1.41455,1.77316,0.650789,0.479989,0.385711,0.407283,0.369201,0.34897,0.396862,0.0749117,0.0734995,0.12381,0.178201,0.327517,0.494447,0.337018,0.14729,0.20056,0.355094,0.340963,0.25605,0.188011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.298218,0.791969,0.739643,0.560962,0.513025,0.401222,0.42018,0.306395,0.433498,0.724392,0.738489,0.717329,0.891674,0.7389,0.451962,0.468051,0.34341,0.284605,0.399545,0.570972,0.729064,0.781674,0.624123,0.990451,0.878504,0.580713,0.427575,0.465506,0.468074,0.351737,0.312437,0.764205,0.675194,0.527371,0.673295,20.0855,1.41455,1.77316,0.650789,0.479989,0.385711,0.407283,0.369201,0.34897,0.396862,0.0749117,0.0734995,0.12381,0.178201,0.327517,0.494447,0.337018,0.14729,0.20056,0.355094,0.340963,0.25605,0.188011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.298846,0.807139,0.760486,0.571937,0.522489,0.42254,0.413496,0.329339,0.435374,0.716934,0.743991,0.707704,0.880444,0.739421,0.452204,0.473016,0.347806,0.281659,0.393655,0.553685,0.7262,0.790196,0.623879,1.00277,0.916106,0.626924,0.433066,0.463043,0.473065,0.35451,0.314362,0.77361,0.685537,0.527514,0.669002,20.0832,1.4626,1.73237,0.668018,0.479299,0.386088,0.40366,0.362147,0.338847,0.400541,0.0762108,0.0737735,0.123723,0.176473,0.321936,0.486323,0.322946,0.132124,0.190231,0.338064,0.319388,0.227155,0.178083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.292825,0.710773,0.70247,0.464347,0.440163,0.367878,0.407407,0.35613,0.409048,0.591282,0.653929,0.660418,0.837091,0.701449,0.371079,0.370873,0.329489,0.273039,0.383132,0.518117,0.664226,0.777101,0.576472,1.05549,0.934905,0.520034,0.409909,0.421642,0.406529,0.29839,0.274736,0.642864,0.628852,0.546988,0.723641,20.0853,1.16953,1.677,0.565622,0.430057,0.317213,0.331282,0.306382,0.293894,0.329927,0.0636934,0.0644907,0.106183,0.151059,0.276639,0.395426,0.262565,0.11784,0.161311,0.276118,0.257083,0.222983,0.16968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.273643,0.720149,0.569179,0.395816,0.348468,0.255537,0.296719,0.251764,0.367959,0.551615,0.601726,0.538228,0.68001,0.58213,0.360526,0.383886,0.288223,0.285956,0.399962,0.536383,0.692054,0.679453,0.605136,0.924427,0.859553,0.451508,0.350979,0.369246,0.368158,0.282094,0.233764,0.61424,0.589441,0.490462,0.575254,20.0568,1.45219,1.40858,0.456135,0.312846,0.306385,0.345052,0.276429,0.265016,0.307238,0.0590068,0.0601918,0.0954977,0.134044,0.224306,0.279976,0.175424,0.0868184,0.120155,0.212548,0.223061,0.178979,0.143375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.276286,0.739029,0.60335,0.393403,0.355843,0.288468,0.430491,0.251165,0.375124,0.663041,0.660424,0.577066,0.610683,0.584831,0.322196,0.458124,0.325008,0.290889,0.373798,0.469193,0.610805,0.663772,0.584673,0.884294,0.783341,0.428811,0.3657,0.387211,0.330341,0.249935,0.279868,0.616987,0.548634,0.412408,0.528493,20.0823,1.30803,1.34231,0.420494,0.309419,0.245119,0.286564,0.225622,0.219128,0.258596,0.0551904,0.0558715,0.0897045,0.123502,0.20063,0.255185,0.15813,0.0743374,0.115971,0.193745,0.217434,0.160033,0.135226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.272678,0.723518,0.62023,0.435648,0.375365,0.315194,0.398521,0.290307,0.495862,0.730913,0.719187,0.624688,0.642789,0.627412,0.380689,0.463828,0.320428,0.285375,0.395076,0.496501,0.678234,0.668966,0.517429,0.953555,0.662356,0.446553,0.372218,0.393151,0.387926,0.296544,0.269413,0.622395,0.56082,0.432951,0.556484,20.0714,0.999688,1.27499,0.470716,0.335787,0.298871,0.334857,0.244751,0.232912,0.282734,0.0618732,0.0603653,0.0947014,0.126529,0.208461,0.271603,0.161442,0.0806325,0.126838,0.213851,0.217062,0.172677,0.152727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.269822,0.724469,0.658073,0.444527,0.374039,0.313048,0.385269,0.334864,0.466972,0.680996,0.630283,0.517167,0.588286,0.552916,0.362092,0.424288,0.296377,0.285845,0.400829,0.509228,0.613149,0.629582,0.576991,0.73761,0.61301,0.490923,0.369728,0.398581,0.348665,0.275506,0.248172,0.646489,0.567968,0.439452,0.558808,20.0703,1.08238,1.21452,0.475112,0.357126,0.295891,0.348571,0.275272,0.277688,0.325051,0.0584439,0.0544668,0.0860868,0.111411,0.174817,0.220142,0.120021,0.0787617,0.120314,0.188186,0.170527,0.138319,0.124349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.275735,0.710607,0.580873,0.425834,0.361498,0.294218,0.404865,0.272035,0.383264,0.555003,0.685365,0.561839,0.634599,0.561985,0.324972,0.379542,0.333969,0.281585,0.359119,0.471191,0.659487,0.573139,0.457716,0.72631,0.620844,0.430643,0.366334,0.39804,0.302415,0.250978,0.269354,0.645697,0.564981,0.404201,0.595463,20.0693,1.14183,1.37034,0.522684,0.367428,0.293564,0.334636,0.274544,0.276716,0.311833,0.0565652,0.0531905,0.0819096,0.102469,0.174356,0.2119,0.134124,0.0873824,0.126607,0.205149,0.189539,0.142021,0.120151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.26535,0.809775,0.645967,0.461864,0.342752,0.297755,0.389425,0.32429,0.440135,0.58434,0.61195,0.555866,0.714112,0.642567,0.365977,0.397254,0.350962,0.298319,0.393315,0.519245,0.664711,0.632345,0.488933,0.837297,0.775331,0.507118,0.377071,0.384155,0.345444,0.299419,0.264066,0.738432,0.622627,0.443923,0.565412,20.0531,1.28609,1.66724,0.599497,0.521164,0.331768,0.34984,0.287769,0.316267,0.346524,0.0564314,0.0574367,0.0897247,0.116297,0.195948,0.254254,0.155094,0.0994938,0.13892,0.239647,0.202967,0.146814,0.128484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.259747,0.768685,0.676407,0.516159,0.372341,0.330383,0.366084,0.265262,0.446345,0.689102,0.656438,0.586353,0.734746,0.60755,0.366203,0.392026,0.327937,0.297686,0.392105,0.525999,0.653556,0.569466,0.424926,0.854509,0.831861,0.448251,0.348589,0.347711,0.302185,0.261137,0.264894,0.688558,0.67791,0.546433,0.536611,20.0422,1.20117,1.41064,0.720524,0.452312,0.308799,0.376633,0.305504,0.321454,0.359664,0.0585852,0.0578222,0.0995873,0.126783,0.227859,0.291953,0.167977,0.0869209,0.126785,0.216272,0.193864,0.160075,0.135032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.257129,0.863539,0.645923,0.481207,0.403818,0.320818,0.372924,0.284977,0.365449,0.643872,0.655185,0.593146,0.691298,0.645119,0.385671,0.323059,0.351092,0.283979,0.375156,0.510701,0.683052,0.543606,0.38248,0.718711,0.702275,0.487678,0.348858,0.329678,0.285573,0.2068,0.278533,0.696602,0.690154,0.539175,0.679547,20.0403,1.2322,1.45756,0.648336,0.521363,0.3307,0.342563,0.260268,0.236445,0.27544,0.0534108,0.0488305,0.0829985,0.0993443,0.166391,0.208979,0.120932,0.0731028,0.11067,0.190213,0.157472,0.132788,0.10238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.265263,0.905558,0.657476,0.469112,0.3541,0.325857,0.267034,0.226277,0.330783,0.55242,0.611619,0.526258,0.541039,0.515154,0.301779,0.333249,0.330221,0.310264,0.395306,0.521474,0.655999,0.448795,0.350308,0.666724,0.645269,0.510486,0.322872,0.310427,0.257189,0.20675,0.268358,0.726509,0.674315,0.556845,0.771642,20.0417,1.10252,1.4034,0.622933,0.515302,0.315434,0.296113,0.21972,0.204238,0.222923,0.0503381,0.0462674,0.0801978,0.0992163,0.179528,0.248767,0.135712,0.0726595,0.101627,0.183097,0.174131,0.129479,0.0911178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
