rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013
17850.7,2698.18,1639.58,2209.41,6043.67,12455.3,18100.8,5360.19,18192.7,3347.2,1818.63,4629.09,1239.13,2900.44,15892.6,12756.7,4643.11,2308.03,2584.74,6021.96,3716.77,12421.5,6175.78,5167.43,6951.97,1395.73,1001.69,1660.8,25097.6,6917.16,6781.99,3258.59,4617.58,5416.57,14376.7,3163.23,3429.8,2105.62,3441.42,1349.42,644.946,345.009,422.209,4312.56,684.088,352.456,327.808,299.596,269.506,311.798,2920.12,1731.53,1093.59,1210.11,2017.03,2220.3,3224.17
17850.7,2698.18,1639.58,2209.41,6043.67,12455.3,18100.8,5360.19,18192.7,3347.2,1818.63,4629.09,1239.13,2900.44,15892.6,12756.7,4643.11,2308.03,2584.74,6021.96,3716.77,12421.5,6175.78,5167.43,6951.97,1395.73,1001.69,1660.8,25097.6,6917.16,6781.99,3258.59,4617.58,5416.57,14376.7,3163.23,3429.8,2105.62,3441.42,1349.42,644.946,345.009,422.209,4312.56,684.088,352.456,327.808,299.596,269.506,311.798,2920.12,1731.53,1093.59,1210.11,2017.03,2220.3,3224.17
17584.8,3080.29,1593.94,2011.17,6622.69,10880.2,20289.4,4999.32,17777.3,3793.69,1734.22,4548.46,1258.05,2808.68,15720.6,13475.7,4567.92,2369.8,2199.33,6074.97,3795.14,12179.3,6071.32,4937.04,7675.47,1281.48,896.203,1747.96,24635.5,7262.82,6681.39,3751.27,4493.31,5287.85,14129.6,3620.22,3205.45,2271.43,3386.15,1471.87,639.85,328.072,360.151,4231.56,839.738,331.632,363.199,304.492,275.078,315.305,3310.01,1497.94,1191.11,1246.09,2364.27,1847.9,2653.47
17328,4843.4,653.171,1807.87,5719.5,9775.9,25225,8305.6,14971.2,2879.25,1182.97,4996.87,1945.18,3001.95,15079.2,13412.3,5316.38,2652.33,2090.56,5245.29,4988.08,11091.6,6623.56,7599.89,5502.58,2503.65,1004.16,1803.3,26665.1,7177.98,4793.9,2116.74,4405.7,7181.62,15129.3,2074.62,3744.83,1985.39,4122.42,1104.16,534.365,249.955,470.913,4882.34,829.623,384.724,181.611,420.715,236.883,219.763,3522.94,1989.98,1238.6,1156.42,1526.85,2771.26,3441.34
21477.6,2327.71,629.188,2435.38,5831.31,13025,19650.6,6594.36,16752.6,2573.61,849.718,4392.67,826.285,3059.92,17469.6,10460.3,5967.13,2051.16,3217.16,5935,3770.51,13088.3,5334.69,7869.25,5931.8,1788.32,507.309,1744.5,30971.7,3865.5,5243.94,2351.66,5107.67,4173.22,13225.4,5180.87,3522.95,2888.5,2562.57,1469.83,976.685,177.396,321.963,5330.28,1047.9,421.129,390.681,480.921,233.971,232.542,4425.99,2385.52,868.572,703.912,2281.49,2720.79,17089.1
21253.9,2756.38,648.047,1541.13,3714.48,18513.8,18657.7,2331.42,21360.8,3469.95,1464.36,3466.04,1570.37,1764.57,16531,12919.1,7720.94,1749.72,2405.73,5433.13,3844.69,12764.5,5643.43,7270.8,5663.17,2051.9,1233.67,1379.27,25169,9586.87,5654.98,3520.41,2788.73,4116.34,13835.5,4442.28,3670.04,2233.64,3808.86,1181.71,566.286,156.187,323.632,5500,1142.11,263.091,766.646,689.456,126.597,205.882,5195.25,1751.25,1265.04,463.333,3203.07,2491.05,16449
20095,3033.93,1033.77,1010.09,4750.35,13982.5,15116.5,8715.53,20964,3637.83,2479.09,3103.83,1219.68,2318.93,17021.6,13072.4,4138.89,2453.02,3068.06,5892.98,4557.98,10701.4,9413.08,4434.08,6632.88,1627.35,435.04,1868.86,27526.8,6561.24,5657.24,3225.6,2992.14,4368.73,16081.2,1707.39,3269.7,2363.23,3079.92,1838.94,960.29,108.232,319.364,4919.91,1561.9,381.6,729.757,540.028,136.533,250.953,4663.28,1783,1145.54,837.745,2255.17,2169.93,8327.6
18914.8,4618.83,1160.92,987.967,5163.78,11118.5,20366.3,6800.74,23295.1,2009.22,1053.86,3353,870.159,2626.39,18114.7,10910.5,5308.15,2474.97,4753.54,5155.14,3384.56,14594.8,5514.42,3589.38,7882.6,1390.16,1054.3,1416.65,28795.1,4185.07,6537.68,3532.47,2712.87,4883.92,15303.4,2346.35,2975.08,2214.99,3445.72,1208.27,922.249,133.577,382.625,5539.53,1879.02,377.707,1135.01,607.107,84.7582,356.979,4180.13,2279.28,1937.63,943.994,2171.71,2870.44,3709.97
21058.2,2345.43,983.944,1326.87,4345.4,16439.7,18655.7,6444.47,16097.5,4766.84,1463.28,3403.51,1571.6,2372.26,15131.7,14779.8,5396.69,1822,1953.88,7720.44,3586.49,12525.5,5591.26,4707.41,6085.73,3195.51,1793.65,1019.62,24794.8,8687.04,6277.11,4122.93,1765.51,5910.42,15057.4,2416.11,3012.72,2719.67,3172.98,1419.09,710.238,167.241,458.903,5653.38,1603.96,851.378,679.964,324.413,105.355,198.925,4024.74,2431.06,1602.73,904.235,2842.32,2768.53,1198.66
20638.6,3448.63,2103.93,903.815,4868.54,11918.9,20254.5,12520.4,17591.9,1634.36,1368.64,3481.74,2312.92,2422.58,14059.4,14895,4356.13,3016.43,3199.09,6167.09,4400.44,11103.8,5297.61,5673.51,7050.84,3049.67,580.945,997.216,26151.8,4380.53,10654.5,4010.57,2415.65,4836.44,14219.6,2892.91,3294.94,1518.09,4650.98,1423.07,471.914,117.685,858.186,5543.81,814.841,630.17,803.377,473.885,109.999,196.994,3488.41,2711.7,1134.09,1518.96,2684.48,2073.03,2828.56
