sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014
8749.79,6248.01,11440,8845.65,6472.88,5095.26,6591.39,11631.3,19931.8,18164.2,18411.1,12242.8,7087.9,5204.8,3577.06,3904.55,11015.1,17271.7,17989.2,13657.1,8584.91,6920.39,5533.45,9269.29,7566.11,6532.01,7961.13,6956.16,5045.85,3962.86,15780.9,18725,13361.6,9150.22,7803.32,1020.34,6666.68,3749.32,2598.76,2897.83,3940.65,3927.29,3155.6,2329.24,1733.03,3397.89,4405.73,4504.46,3882.66,2959.78,1919.71,1175.73,2305.75,3429.5,3726.87,3340.99,3483.27,4089.73,5493.01
8749.79,6248.01,11440,8845.65,6472.88,5095.26,6591.39,11631.3,19931.8,18164.2,18411.1,12242.8,7087.9,5204.8,3577.06,3904.55,11015.1,17271.7,17989.2,13657.1,8584.91,6920.39,5533.45,9269.29,7566.11,6532.01,7961.13,6956.16,5045.85,3962.86,15780.9,18725,13361.6,9150.22,7803.32,1020.34,6666.68,3749.32,2598.76,2897.83,3940.65,3927.29,3155.6,2329.24,1733.03,3397.89,4405.73,4504.46,3882.66,2959.78,1919.71,1175.73,2305.75,3429.5,3726.87,3340.99,3483.27,4089.73,5493.01
8771.11,6197.66,11216.6,8749.69,6381.04,4908.91,6678.48,10986.9,20108.2,18378.5,18388.6,12358.1,7205.09,5239.18,3586.49,3858.49,10865.5,17466.2,18281.4,13992.2,8695.27,6939.46,5541.83,9154.17,7373.07,6162.4,7913.59,6963.1,5027.38,3967.21,15547.9,18610.5,13189.1,9241.48,7876.58,1018.98,6521.25,3821.39,2547.69,2901.82,3935.32,3983.94,3222.16,2385.2,1746.19,3342.26,4404.05,4522.51,3928.24,3014.77,1971.93,1216.27,2549.52,3641.33,3951.27,3558.29,3868.84,4334.3,5337.57
9150.36,7232.48,12043.5,10518,7894.95,5935.97,6894.99,10296.9,21683.1,22453.8,21159.8,13905.8,7725.99,5664.11,4291.72,4775.1,11480.6,17902.8,19036.3,14889.5,9494.18,7116.63,6151.36,9172.92,7344.84,7532.88,8467.97,7823.34,5928.12,4809.15,17372.5,21015.7,14847.8,9317.58,7336.6,1073.73,7188.16,4105.25,2899.76,3203.65,4603.72,4625.15,3774.47,2781.45,2084.51,3974.25,5153.05,5286.25,4518.91,3517.77,2348.75,1456.21,2823.3,4188.26,4640.05,4225.46,4027.13,4701.75,6192.87
9314.21,7120.88,14103.1,12117.6,9230.23,7486.55,8573.93,13767.8,22937,22247,21981.9,15091.1,9161.44,6505.57,4369.09,4580.28,12496.5,17986.5,18761.7,14123.1,9381.78,7517.78,6202.17,10040.5,7808.9,8079.61,9449.59,8600.99,6328.39,5002.5,19764.9,22707.9,16059.7,10363.9,8649.97,1046.2,6112.35,4548.39,3388.29,4260.79,5002.1,4830.06,4050.27,3095.44,2287.54,4334.07,5694.22,5890.57,5202.82,4187.64,2959.1,2007.26,3758.34,5479.69,5833.15,5022.39,4921.64,5583.91,14264.3
9259.96,6940.2,13786,11803.5,9107.58,6914.03,6660.44,14202.5,23840.3,20526.4,21418.1,15027.4,9508.5,6677.22,4728.23,4326.6,11377.4,17797.2,19943.4,15653.5,10490,8012.69,6398.27,10052.3,8177.39,8289.13,9463.74,8535.06,6602.3,5315.04,16970.1,21522.6,16223.6,11769.2,9120.53,1057.87,6485.96,4683.19,3576.17,4152.37,5484.07,5526.42,4559.17,3486.79,2586.77,4652.85,6045.84,6154.91,5599.09,4720.29,3425.49,2343.98,4408.56,5922.61,6317.52,5364.63,5617.06,6272.02,14517.7
9604.62,7170.61,13318,11308.7,8641.72,6309.5,6637.47,12124.9,18961.5,17968.2,19999.8,13900,9131.63,6338.53,4214.79,4049.16,11556.9,18205.7,18518.9,14127.1,9618.09,7647.74,6737.72,9569.79,9444.1,8475.89,9598.59,8385.14,5962.09,4732.5,17716.9,21244.8,15692.5,11097.3,8587.44,1025.73,7770.69,4955.8,3392.11,3836.17,4761.97,4957.5,4293.19,3372.91,2537.42,4300.28,5778.02,6017.23,5524.54,4604.81,3297.11,2241.36,4059.29,5476.87,5789.86,5055.57,4994.89,5370.13,9234.02
9428.85,6939.56,12542.8,11209,8806.62,6532.08,7043.07,10996.6,19915.4,18761.7,22104.6,15633.3,10059.5,6901.9,4511.39,4349.4,12444.8,18194.7,18706.7,14247.7,10531.2,8318.92,6544.11,11146.8,9765.95,8023.26,9431.08,8323.21,6263.76,4980.37,18584.7,21204.4,15540.5,11151,8519.73,1052.44,7334.79,4770.39,3312.84,3658.97,4731.41,4683.59,3931.54,2984.99,2206.18,4382.54,6256.97,6665.47,6389.08,5507.42,4084.08,2927.72,4374.47,5816.27,6549.38,6025.12,5968.18,6612.96,8026.51
9618.76,6903.08,13694.9,11667.3,8859.61,6649.6,6778.33,13405.6,22583.2,21744.6,21150.3,14660.7,9416.96,6529.28,4733.05,4669.99,11197.8,18302.2,19562.6,15282.5,9887.82,8636.48,7438.35,11231.9,9641.73,8464.56,9279.49,8878.14,7271.76,5903.03,17173.6,21186.7,15834.7,11783.4,8763.93,1102.43,7174.26,4466.81,2993.71,3630.28,4654.55,4739.86,3941.94,2977.58,2236.56,4496.14,6258.33,6860.8,6438.29,5356.73,3864.56,2657.76,3997.95,5494.77,6112.23,5533.93,5849.34,6647.22,6817.27
9617.06,6479.53,12847.2,11081.2,8984.13,6928.44,7249.32,11462,20452.2,22536.1,23108.5,15449.1,9366.32,6017.41,4549.69,4608.13,10613.6,17587.1,18172,14317.6,9780.87,8006.53,7058.74,10150.5,8114.28,7338.93,8870.63,8767.36,6711.37,5067.32,17051,19176,15516.8,11574.2,8904.17,1078.08,6678.73,3960.52,2671.08,2694.45,4285.75,4597.72,3783,2788.66,2227.12,4477.76,5842.85,6134.9,5694.7,4769.77,3428.8,2315.5,3466.03,5047.47,5480.61,5165.33,5582.48,6095.81,7032.87
