ro_gr1,h_gr1,m_gs1,m_gs2,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,bmsy,msy1,fmsy1,q1,q2,SSB1,f
1847.16,0.75,0.199888,0.199888,732.251,1096.7,0.5,15, 21605.2,14268.8,3294.72,0.119933,0.139984,0.00758542,2566.01,194.257
1847.16,0.75,0.199888,0.199888,732.251,1096.7,0.5,15, 21605.2,14268.8,3294.72,0.119933,0.139984,0.00758542,2566.01,194.257
1847.16,0.75,0.199888,0.199888,732.251,1096.7,0.5,15, 21605.2,14268.8,3294.72,0.119933,0.139984,0.00758542,2566.01,194.257
1847.16,0.75,0.199888,0.199888,732.251,1096.7,0.5,15, 21605.2,14268.8,3294.72,0.119933,0.139984,0.00758542,2566.01,194.257
1847.16,0.75,0.199888,0.199888,732.251,1096.7,0.5,15, 21605.2,14268.8,3294.72,0.119933,0.139984,0.00758542,2566.01,194.257
1847.16,0.75,0.199888,0.199888,732.251,1096.7,0.5,15, 21605.2,14268.8,3294.72,0.119933,0.139984,0.00758542,2566.01,194.257
1847.16,0.75,0.199888,0.199888,732.251,1096.7,0.5,15, 21605.2,14268.8,3294.72,0.119933,0.139984,0.00758542,2566.01,194.257
1847.16,0.75,0.199888,0.199888,732.251,1096.7,0.5,15, 21605.2,14268.8,3294.72,0.119933,0.139984,0.00758542,2566.01,194.257
1847.16,0.75,0.199888,0.199888,732.251,1096.7,0.5,15, 21605.2,14268.8,3294.72,0.119933,0.139984,0.00758542,2566.01,194.257
1847.16,0.75,0.199888,0.199888,732.251,1096.7,0.5,15, 21605.2,14268.8,3294.72,0.119933,0.139984,0.00758542,2566.01,194.257
1847.16,0.75,0.199888,0.199888,732.251,1096.7,0.5,15, 21605.2,14268.8,3294.72,0.119933,0.139984,0.00758542,2566.01,194.257
1847.16,0.75,0.199888,0.199888,732.251,1096.7,0.5,15, 21605.2,14268.8,3294.72,0.119933,0.139984,0.00758542,2566.01,194.257
1847.16,0.75,0.199888,0.199888,732.251,1096.7,0.5,15, 21605.2,14268.8,3294.72,0.119933,0.139984,0.00758542,2566.01,194.257
