rt1_1928,rt1_1929,rt1_1930,rt1_1931,rt1_1932,rt1_1933,rt1_1934,rt1_1935,rt1_1936,rt1_1937,rt1_1938,rt1_1939,rt1_1940,rt1_1941,rt1_1942,rt1_1943,rt1_1944,rt1_1945,rt1_1946,rt1_1947,rt1_1948,rt1_1949,rt1_1950,rt1_1951,rt1_1952,rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002
1876.08,1980.79,2057.51,2101.51,2107.19,2087.81,2065.58,2035.75,1978.75,1890.71,1829.67,1805.24,1775.49,1764.45,1767.39,1766.88,1756.22,1647.88,1475.19,1342.83,1249.55,1188.41,1153.7,1139.48,1150.92,1147.54,1143.99,1129.94,1108.39,1076.4,1010.96,942.37,867.971,801.012,765.741,750.011,759.34,744.467,676.134,580.319,540.459,542.815,575.01,527.368,481.764,486.316,505.371,518.492,475.349,445.922,449.157,438.811,397.227,385.852,360.135,316.463,291.139,297.438,279.584,267.796,239.095,210.347,172.042,151.754,168.163,203.536,254.264,318.883,343.02,374.811,437.704,534.481,617.183,710.689,823.519
1876.08,1980.79,2057.51,2101.51,2107.19,2087.81,2065.58,2035.75,1978.75,1890.71,1829.67,1805.24,1775.49,1764.45,1767.39,1766.88,1756.22,1647.88,1475.19,1342.83,1249.55,1188.41,1153.7,1139.48,1150.92,1147.54,1143.99,1129.94,1108.39,1076.4,1010.96,942.37,867.971,801.012,765.741,750.011,759.34,744.467,676.134,580.319,540.459,542.815,575.01,527.368,481.764,486.316,505.371,518.492,475.349,445.922,449.157,438.811,397.227,385.852,360.135,316.463,291.139,297.438,279.584,267.796,239.095,210.347,172.042,151.754,168.163,203.536,254.264,318.883,343.02,374.811,437.704,534.481,617.183,710.689,823.519
1876.08,1980.79,2057.51,2101.51,2107.19,2087.81,2065.58,2035.75,1978.75,1890.71,1829.67,1805.24,1775.49,1764.45,1767.39,1766.88,1756.22,1647.88,1475.19,1342.83,1249.55,1188.41,1153.7,1139.48,1150.92,1147.54,1143.99,1129.94,1108.39,1076.4,1010.96,942.37,867.971,801.012,765.741,750.011,759.34,744.467,676.134,580.319,540.459,542.815,575.01,527.368,481.764,486.316,505.371,518.492,475.349,445.922,449.157,438.811,397.227,385.852,360.135,316.463,291.139,297.438,279.584,267.796,239.095,210.347,172.042,151.754,168.163,203.536,254.264,318.883,343.02,374.811,437.704,534.481,617.183,710.689,823.519
1876.08,1980.79,2057.51,2101.51,2107.19,2087.81,2065.58,2035.75,1978.75,1890.71,1829.67,1805.24,1775.49,1764.45,1767.39,1766.88,1756.22,1647.88,1475.19,1342.83,1249.55,1188.41,1153.7,1139.48,1150.92,1147.54,1143.99,1129.94,1108.39,1076.4,1010.96,942.37,867.971,801.012,765.741,750.011,759.34,744.467,676.134,580.319,540.459,542.815,575.01,527.368,481.764,486.316,505.371,518.492,475.349,445.922,449.157,438.811,397.227,385.852,360.135,316.463,291.139,297.438,279.584,267.796,239.095,210.347,172.042,151.754,168.163,203.536,254.264,318.883,343.02,374.811,437.704,534.481,617.183,710.689,823.519
1876.08,1980.79,2057.51,2101.51,2107.19,2087.81,2065.58,2035.75,1978.75,1890.71,1829.67,1805.24,1775.49,1764.45,1767.39,1766.88,1756.22,1647.88,1475.19,1342.83,1249.55,1188.41,1153.7,1139.48,1150.92,1147.54,1143.99,1129.94,1108.39,1076.4,1010.96,942.37,867.971,801.012,765.741,750.011,759.34,744.467,676.134,580.319,540.459,542.815,575.01,527.368,481.764,486.316,505.371,518.492,475.349,445.922,449.157,438.811,397.227,385.852,360.135,316.463,291.139,297.438,279.584,267.796,239.095,210.347,172.042,151.754,168.163,203.536,254.264,318.883,343.02,374.811,437.704,534.481,617.183,710.689,823.519
1876.08,1980.79,2057.51,2101.51,2107.19,2087.81,2065.58,2035.75,1978.75,1890.71,1829.67,1805.24,1775.49,1764.45,1767.39,1766.88,1756.22,1647.88,1475.19,1342.83,1249.55,1188.41,1153.7,1139.48,1150.92,1147.54,1143.99,1129.94,1108.39,1076.4,1010.96,942.37,867.971,801.012,765.741,750.011,759.34,744.467,676.134,580.319,540.459,542.815,575.01,527.368,481.764,486.316,505.371,518.492,475.349,445.922,449.157,438.811,397.227,385.852,360.135,316.463,291.139,297.438,279.584,267.796,239.095,210.347,172.042,151.754,168.163,203.536,254.264,318.883,343.02,374.811,437.704,534.481,617.183,710.689,823.519
1876.08,1980.79,2057.51,2101.51,2107.19,2087.81,2065.58,2035.75,1978.75,1890.71,1829.67,1805.24,1775.49,1764.45,1767.39,1766.88,1756.22,1647.88,1475.19,1342.83,1249.55,1188.41,1153.7,1139.48,1150.92,1147.54,1143.99,1129.94,1108.39,1076.4,1010.96,942.37,867.971,801.012,765.741,750.011,759.34,744.467,676.134,580.319,540.459,542.815,575.01,527.368,481.764,486.316,505.371,518.492,475.349,445.922,449.157,438.811,397.227,385.852,360.135,316.463,291.139,297.438,279.584,267.796,239.095,210.347,172.042,151.754,168.163,203.536,254.264,318.883,343.02,374.811,437.704,534.481,617.183,710.689,823.519
1876.08,1980.79,2057.51,2101.51,2107.19,2087.81,2065.58,2035.75,1978.75,1890.71,1829.67,1805.24,1775.49,1764.45,1767.39,1766.88,1756.22,1647.88,1475.19,1342.83,1249.55,1188.41,1153.7,1139.48,1150.92,1147.54,1143.99,1129.94,1108.39,1076.4,1010.96,942.37,867.971,801.012,765.741,750.011,759.34,744.467,676.134,580.319,540.459,542.815,575.01,527.368,481.764,486.316,505.371,518.492,475.349,445.922,449.157,438.811,397.227,385.852,360.135,316.463,291.139,297.438,279.584,267.796,239.095,210.347,172.042,151.754,168.163,203.536,254.264,318.883,343.02,374.811,437.704,534.481,617.183,710.689,823.519
1876.08,1980.79,2057.51,2101.51,2107.19,2087.81,2065.58,2035.75,1978.75,1890.71,1829.67,1805.24,1775.49,1764.45,1767.39,1766.88,1756.22,1647.88,1475.19,1342.83,1249.55,1188.41,1153.7,1139.48,1150.92,1147.54,1143.99,1129.94,1108.39,1076.4,1010.96,942.37,867.971,801.012,765.741,750.011,759.34,744.467,676.134,580.319,540.459,542.815,575.01,527.368,481.764,486.316,505.371,518.492,475.349,445.922,449.157,438.811,397.227,385.852,360.135,316.463,291.139,297.438,279.584,267.796,239.095,210.347,172.042,151.754,168.163,203.536,254.264,318.883,343.02,374.811,437.704,534.481,617.183,710.689,823.519
1876.08,1980.79,2057.51,2101.51,2107.19,2087.81,2065.58,2035.75,1978.75,1890.71,1829.67,1805.24,1775.49,1764.45,1767.39,1766.88,1756.22,1647.88,1475.19,1342.83,1249.55,1188.41,1153.7,1139.48,1150.92,1147.54,1143.99,1129.94,1108.39,1076.4,1010.96,942.37,867.971,801.012,765.741,750.011,759.34,744.467,676.134,580.319,540.459,542.815,575.01,527.368,481.764,486.316,505.371,518.492,475.349,445.922,449.157,438.811,397.227,385.852,360.135,316.463,291.139,297.438,279.584,267.796,239.095,210.347,172.042,151.754,168.163,203.536,254.264,318.883,343.02,374.811,437.704,534.481,617.183,710.689,823.519
