ro_gr1,h_gr1,m_gs1,m_gs2,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,bmsy,msy1,fmsy1,q1,q2,SSB1,f
2780.83,0.783898,0.199888,0.199888,857.354,1096.65,0.588429,0.735, 32525.8,20898.9,5001.64,0.119933,0.108172,0.00506254,4539.2,259.537
2780.83,0.783898,0.199888,0.199888,857.354,1096.65,0.588429,0.735, 32525.8,20898.9,5001.64,0.119933,0.108172,0.00506254,4539.2,259.537
2780.83,0.783898,0.199888,0.199888,857.354,1096.65,0.588429,0.735, 32525.8,20898.9,5001.64,0.119933,0.108172,0.00506254,4539.2,259.537
2780.83,0.783898,0.199888,0.199888,857.354,1096.65,0.588429,0.735, 32525.8,20898.9,5001.64,0.119933,0.108172,0.00506254,4539.2,259.537
2780.83,0.783898,0.199888,0.199888,857.354,1096.65,0.588429,0.735, 32525.8,20898.9,5001.64,0.119933,0.108172,0.00506254,4539.2,259.537
2780.83,0.783898,0.199888,0.199888,857.354,1096.65,0.588429,0.735, 32525.8,20898.9,5001.64,0.119933,0.108172,0.00506254,4539.2,259.537
2780.83,0.783898,0.199888,0.199888,857.354,1096.65,0.588429,0.735, 32525.8,20898.9,5001.64,0.119933,0.108172,0.00506254,4539.2,259.537
2780.83,0.783898,0.199888,0.199888,857.354,1096.65,0.588429,0.735, 32525.8,20898.9,5001.64,0.119933,0.108172,0.00506254,4539.2,259.537
2780.83,0.783898,0.199888,0.199888,857.354,1096.65,0.588429,0.735, 32525.8,20898.9,5001.64,0.119933,0.108172,0.00506254,4539.2,259.537
2780.83,0.783898,0.199888,0.199888,857.354,1096.65,0.588429,0.735, 32525.8,20898.9,5001.64,0.119933,0.108172,0.00506254,4539.2,259.537
2780.83,0.783898,0.199888,0.199888,857.354,1096.65,0.588429,0.735, 32525.8,20898.9,5001.64,0.119933,0.108172,0.00506254,4539.2,259.537
2780.83,0.783898,0.199888,0.199888,857.354,1096.65,0.588429,0.735, 32525.8,20898.9,5001.64,0.119933,0.108172,0.00506254,4539.2,259.537
2780.83,0.783898,0.199888,0.199888,857.354,1096.65,0.588429,0.735, 32525.8,20898.9,5001.64,0.119933,0.108172,0.00506254,4539.2,259.537
2780.83,0.783898,0.199888,0.199888,857.354,1096.65,0.588429,0.735, 32525.8,20898.9,5001.64,0.119933,0.108172,0.00506254,4539.2,259.537
2780.83,0.783898,0.199888,0.199888,857.354,1096.65,0.588429,0.735, 32525.8,20898.9,5001.64,0.119933,0.108172,0.00506254,4539.2,259.537
2780.83,0.783898,0.199888,0.199888,857.354,1096.65,0.588429,0.735, 32525.8,20898.9,5001.64,0.119933,0.108172,0.00506254,4539.2,259.537
2780.83,0.783898,0.199888,0.199888,857.354,1096.65,0.588429,0.735, 32525.8,20898.9,5001.64,0.119933,0.108172,0.00506254,4539.2,259.537
2780.83,0.783898,0.199888,0.199888,857.354,1096.65,0.588429,0.735, 32525.8,20898.9,5001.64,0.119933,0.108172,0.00506254,4539.2,259.537
2780.83,0.783898,0.199888,0.199888,857.354,1096.65,0.588429,0.735, 32525.8,20898.9,5001.64,0.119933,0.108172,0.00506254,4539.2,259.537
2780.83,0.783898,0.199888,0.199888,857.354,1096.65,0.588429,0.735, 32525.8,20898.9,5001.64,0.119933,0.108172,0.00506254,4539.2,259.537
2685.12,0.806184,0.199888,0.199888,847.522,2.01169,0.589531,0.735, 31406.4,19829.3,4855.52,0.119933,0.113094,0.0053703,4249.12,260.089
2734.55,0.793719,0.199888,0.199888,872.338,12151.1,0.590056,0.735, 31984.5,20392.1,4930.11,0.119933,0.10798,0.00499735,4519.43,264.694
2834.55,0.774457,0.199888,0.199888,836.306,342757,0.586572,0.735, 33154.1,21464,5086.54,0.119933,0.110548,0.00548035,4052.73,267.66
2945.91,0.754994,0.199888,0.199888,848.383,39326.4,0.589794,0.735, 34456.7,22662.8,5261.06,0.119933,0.102925,0.00547812,4104.91,269.248
2872.51,0.771555,0.199888,0.199888,838.865,225453,0.600179,0.735, 33598.1,21802.2,5150.99,0.119933,0.107651,0.00559745,4036.12,271.416
2590.55,0.752206,0.199888,0.199888,804.551,34174.6,0.609639,0.735, 30300.2,19974.8,4623.22,0.119933,0.10311,0.0059188,3899,275.332
2552.65,0.739297,0.199888,0.199888,776.595,6.09499,0.608369,0.735, 29857,19895.2,4540.91,0.119933,0.110986,0.00637232,3531.31,276.406
2543.01,0.750446,0.199888,0.199888,766.197,994.048,0.605652,0.735, 29744.2,19636.8,4536.39,0.119933,0.112733,0.00655107,3439.5,278.833
2484.5,0.751812,0.199888,0.199888,741.639,1315.79,0.597736,0.735, 29059.8,19163.3,4433.52,0.119933,0.109745,0.00688179,3296.67,279.62
2671.13,0.735147,0.199888,0.199888,750.78,25.2889,0.603824,0.735, 31242.7,20891.4,4746.7,0.119933,0.107988,0.00647778,3640.72,280.728
2710.11,0.765967,0.199888,0.199888,724.461,7.02995,0.597314,0.735, 31698.6,20662.8,4853.1,0.119933,0.118145,0.00726942,3251.38,280.897
2597,0.751893,0.199888,0.199888,689.879,17.2814,0.588687,0.735, 30375.7,20029.8,4634.38,0.119933,0.122863,0.00790814,2961.2,286.352
2484.87,0.759918,0.199888,0.199888,691.1,1556.61,0.593471,0.735, 29064.2,19039.1,4443.12,0.119933,0.114462,0.00762129,3021.48,291.929
2473.07,0.740506,0.199888,0.199888,695.746,609.848,0.590213,0.735, 28926.1,19255.4,4400.67,0.119933,0.108361,0.00728544,3132.76,291.794
2708.08,0.781084,0.199888,0.199888,705.087,24.2283,0.59917,0.735, 31674.9,20397.8,4867.47,0.119933,0.117096,0.00725513,3303.87,294.285
2524.4,0.793293,0.199888,0.199888,720.086,7124.86,0.606348,0.735, 29526.5,18831.3,4550.77,0.119933,0.109702,0.00668105,3558.91,296.849
2360.3,0.804617,0.199888,0.199888,727.194,26.4315,0.606874,0.735, 27607.1,17451.8,4266.54,0.119933,0.111767,0.0060819,4066,297.136
2366.98,0.789301,0.199888,0.199888,722.189,1.67768,0.602265,0.735, 27685.3,17712.7,4262.88,0.119933,0.11017,0.00629052,3830.48,298.207
2370.73,0.801086,0.199888,0.199888,729.686,1312.02,0.588524,0.735, 27729.1,17577.2,4281.77,0.119933,0.11842,0.00632746,4152.61,299.081
2392.45,0.832659,0.199888,0.199888,723.961,1164.07,0.570166,0.735, 27983.2,17312.3,4353.45,0.119933,0.12598,0.00631876,4230,298.83
2470.22,0.820953,0.199888,0.199888,727.398,150193,0.569891,0.735, 28892.8,18035.4,4482.61,0.119933,0.120028,0.00581462,4752.24,301.838
2567.18,0.781272,0.199888,0.199888,748.845,1.12096e+006,0.556298,0.735, 30026.9,19333.6,4614.42,0.119933,0.119974,0.00558815,4877.36,302.58
2696.95,0.736619,0.199888,0.199888,728.553,1.76651,0.558469,0.735, 31544.8,21067.2,4794.37,0.119933,0.1114,0.00596499,4266.01,305.085
2663.39,0.763456,0.199888,0.199888,748.237,92811.4,0.550949,0.735, 31152.2,20348.1,4766.49,0.119933,0.120563,0.00575626,4533.89,305.83
2688.96,0.809401,0.199888,0.199888,724.828,25612.9,0.549823,0.735, 31451.2,19808.1,4866.18,0.119933,0.133412,0.00649535,4057.6,313.262
2833.9,0.734962,0.199888,0.199888,723.69,199329,0.56052,0.735, 33146.5,22167.9,5035.72,0.119933,0.12338,0.00624667,4362.59,312.84
2961.78,0.670159,0.199888,0.199888,717.119,129.552,0.556215,0.735, 34642.3,24539,5176.04,0.119933,0.112964,0.00582705,4515.86,312.838
2817.42,0.664476,0.199888,0.199888,726.642,86.5205,0.551228,0.735, 32953.8,23468.1,4916.44,0.119933,0.110769,0.00600074,4433.81,311.981
2668.74,0.658777,0.199888,0.199888,721.281,1.74318e+006,0.560255,0.735, 31214.8,22350.4,4650.04,0.119933,0.111945,0.00621019,4145.77,314.814
2539.22,0.744588,0.199888,0.199888,701.276,1182.83,0.552866,0.735, 29699.9,19703.1,4523.01,0.119933,0.134091,0.00736362,3842.49,320.043
2596.48,0.6886,0.199888,0.199888,700.975,1.62452e+006,0.547457,0.735, 30369.6,21150.2,4559.47,0.119933,0.123469,0.00738196,3635.2,320.626
2603.38,0.682939,0.199888,0.199888,735.366,605.62,0.544251,0.735, 30450.3,21316,4564.89,0.119933,0.117997,0.00644617,4159.13,319.802
2535.45,0.677125,0.199888,0.199888,740.953,195332,0.547021,0.735, 29655.7,20871.1,4439.04,0.119933,0.115083,0.0063537,4184.29,320.307
2911.34,0.652646,0.199888,0.199888,756.006,2197.49,0.489377,0.735, 34052.3,24526.3,5064.58,0.119933,0.0954876,0.00588656,4026.84,317.478
3059.62,0.591792,0.199888,0.199888,800.106,347266,0.472835,0.735, 35786.7,27449.1,5237.86,0.119933,0.0747105,0.00474874,4784.25,317.958
3165.51,0.596975,0.199888,0.199888,811.398,3136.09,0.477417,0.735, 37025.2,28237.3,5426.5,0.119933,0.0744202,0.0047118,4909.97,317.95
3201.7,0.610741,0.199888,0.199888,785.103,82.5048,0.484965,0.735, 37448.5,28140,5508.47,0.119933,0.0825173,0.00525517,4240.62,319.201
3176.7,0.649315,0.199888,0.199888,751.261,3.43683,0.483578,0.735, 37156.1,26848.5,5521.37,0.119933,0.0983703,0.00605093,3721.47,320.987
2890.4,0.707709,0.199888,0.199888,751.754,45.5713,0.482831,0.735, 33807.4,23146.5,5100.66,0.119933,0.106095,0.00611697,3790.85,321.817
