rt1_1928,rt1_1929,rt1_1930,rt1_1931,rt1_1932,rt1_1933,rt1_1934,rt1_1935,rt1_1936,rt1_1937,rt1_1938,rt1_1939,rt1_1940,rt1_1941,rt1_1942,rt1_1943,rt1_1944,rt1_1945,rt1_1946,rt1_1947,rt1_1948,rt1_1949,rt1_1950,rt1_1951,rt1_1952,rt1_1953,rt1_1954,rt1_1955,rt1_1956,rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002
1994.46,2090.13,2177.45,2258.29,2326.56,2379.15,2412.05,2427.18,2409.4,2335.01,2264.03,2221.33,2167.76,2147.84,2150.18,2147.8,2130.25,1972.54,1724.61,1538.53,1408.82,1326.92,1281.6,1264.3,1275.01,1268.03,1258.16,1234.69,1201.64,1156.75,1077.12,998.386,916.372,839.817,787.293,747.999,751.672,750.259,717.124,675.48,647.424,605.2,572.471,521.65,496.531,502.203,519.546,528.639,510.871,502.659,499.979,474.871,418.161,388.365,356.853,308.776,270.515,257.549,253.711,253.17,259.601,274.936,286.986,304.098,338.929,385.259,446.139,521.181,565.707,618.923,702.547,814.274,909.924,1011.53,1121.59
1994.46,2090.13,2177.45,2258.29,2326.56,2379.15,2412.05,2427.18,2409.4,2335.01,2264.03,2221.33,2167.76,2147.84,2150.18,2147.8,2130.25,1972.54,1724.61,1538.53,1408.82,1326.92,1281.6,1264.3,1275.01,1268.03,1258.16,1234.69,1201.64,1156.75,1077.12,998.386,916.372,839.817,787.293,747.999,751.672,750.259,717.124,675.48,647.424,605.2,572.471,521.65,496.531,502.203,519.546,528.639,510.871,502.659,499.979,474.871,418.161,388.365,356.853,308.776,270.515,257.549,253.711,253.17,259.601,274.936,286.986,304.098,338.929,385.259,446.139,521.181,565.707,618.923,702.547,814.274,909.924,1011.53,1121.59
1994.46,2090.13,2177.45,2258.29,2326.56,2379.15,2412.05,2427.18,2409.4,2335.01,2264.03,2221.33,2167.76,2147.84,2150.18,2147.8,2130.25,1972.54,1724.61,1538.53,1408.82,1326.92,1281.6,1264.3,1275.01,1268.03,1258.16,1234.69,1201.64,1156.75,1077.12,998.386,916.372,839.817,787.293,747.999,751.672,750.259,717.124,675.48,647.424,605.2,572.471,521.65,496.531,502.203,519.546,528.639,510.871,502.659,499.979,474.871,418.161,388.365,356.853,308.776,270.515,257.549,253.711,253.17,259.601,274.936,286.986,304.098,338.929,385.259,446.139,521.181,565.707,618.923,702.547,814.274,909.924,1011.53,1121.59
1994.46,2090.13,2177.45,2258.29,2326.56,2379.15,2412.05,2427.18,2409.4,2335.01,2264.03,2221.33,2167.76,2147.84,2150.18,2147.8,2130.25,1972.54,1724.61,1538.53,1408.82,1326.92,1281.6,1264.3,1275.01,1268.03,1258.16,1234.69,1201.64,1156.75,1077.12,998.386,916.372,839.817,787.293,747.999,751.672,750.259,717.124,675.48,647.424,605.2,572.471,521.65,496.531,502.203,519.546,528.639,510.871,502.659,499.979,474.871,418.161,388.365,356.853,308.776,270.515,257.549,253.711,253.17,259.601,274.936,286.986,304.098,338.929,385.259,446.139,521.181,565.707,618.923,702.547,814.274,909.924,1011.53,1121.59
1994.46,2090.13,2177.45,2258.29,2326.56,2379.15,2412.05,2427.18,2409.4,2335.01,2264.03,2221.33,2167.76,2147.84,2150.18,2147.8,2130.25,1972.54,1724.61,1538.53,1408.82,1326.92,1281.6,1264.3,1275.01,1268.03,1258.16,1234.69,1201.64,1156.75,1077.12,998.386,916.372,839.817,787.293,747.999,751.672,750.259,717.124,675.48,647.424,605.2,572.471,521.65,496.531,502.203,519.546,528.639,510.871,502.659,499.979,474.871,418.161,388.365,356.853,308.776,270.515,257.549,253.711,253.17,259.601,274.936,286.986,304.098,338.929,385.259,446.139,521.181,565.707,618.923,702.547,814.274,909.924,1011.53,1121.59
1994.46,2090.13,2177.45,2258.29,2326.56,2379.15,2412.05,2427.18,2409.4,2335.01,2264.03,2221.33,2167.76,2147.84,2150.18,2147.8,2130.25,1972.54,1724.61,1538.53,1408.82,1326.92,1281.6,1264.3,1275.01,1268.03,1258.16,1234.69,1201.64,1156.75,1077.12,998.386,916.372,839.817,787.293,747.999,751.672,750.259,717.124,675.48,647.424,605.2,572.471,521.65,496.531,502.203,519.546,528.639,510.871,502.659,499.979,474.871,418.161,388.365,356.853,308.776,270.515,257.549,253.711,253.17,259.601,274.936,286.986,304.098,338.929,385.259,446.139,521.181,565.707,618.923,702.547,814.274,909.924,1011.53,1121.59
1994.46,2090.13,2177.45,2258.29,2326.56,2379.15,2412.05,2427.18,2409.4,2335.01,2264.03,2221.33,2167.76,2147.84,2150.18,2147.8,2130.25,1972.54,1724.61,1538.53,1408.82,1326.92,1281.6,1264.3,1275.01,1268.03,1258.16,1234.69,1201.64,1156.75,1077.12,998.386,916.372,839.817,787.293,747.999,751.672,750.259,717.124,675.48,647.424,605.2,572.471,521.65,496.531,502.203,519.546,528.639,510.871,502.659,499.979,474.871,418.161,388.365,356.853,308.776,270.515,257.549,253.711,253.17,259.601,274.936,286.986,304.098,338.929,385.259,446.139,521.181,565.707,618.923,702.547,814.274,909.924,1011.53,1121.59
1994.46,2090.13,2177.45,2258.29,2326.56,2379.15,2412.05,2427.18,2409.4,2335.01,2264.03,2221.33,2167.76,2147.84,2150.18,2147.8,2130.25,1972.54,1724.61,1538.53,1408.82,1326.92,1281.6,1264.3,1275.01,1268.03,1258.16,1234.69,1201.64,1156.75,1077.12,998.386,916.372,839.817,787.293,747.999,751.672,750.259,717.124,675.48,647.424,605.2,572.471,521.65,496.531,502.203,519.546,528.639,510.871,502.659,499.979,474.871,418.161,388.365,356.853,308.776,270.515,257.549,253.711,253.17,259.601,274.936,286.986,304.098,338.929,385.259,446.139,521.181,565.707,618.923,702.547,814.274,909.924,1011.53,1121.59
1994.46,2090.13,2177.45,2258.29,2326.56,2379.15,2412.05,2427.18,2409.4,2335.01,2264.03,2221.33,2167.76,2147.84,2150.18,2147.8,2130.25,1972.54,1724.61,1538.53,1408.82,1326.92,1281.6,1264.3,1275.01,1268.03,1258.16,1234.69,1201.64,1156.75,1077.12,998.386,916.372,839.817,787.293,747.999,751.672,750.259,717.124,675.48,647.424,605.2,572.471,521.65,496.531,502.203,519.546,528.639,510.871,502.659,499.979,474.871,418.161,388.365,356.853,308.776,270.515,257.549,253.711,253.17,259.601,274.936,286.986,304.098,338.929,385.259,446.139,521.181,565.707,618.923,702.547,814.274,909.924,1011.53,1121.59
1994.46,2090.13,2177.45,2258.29,2326.56,2379.15,2412.05,2427.18,2409.4,2335.01,2264.03,2221.33,2167.76,2147.84,2150.18,2147.8,2130.25,1972.54,1724.61,1538.53,1408.82,1326.92,1281.6,1264.3,1275.01,1268.03,1258.16,1234.69,1201.64,1156.75,1077.12,998.386,916.372,839.817,787.293,747.999,751.672,750.259,717.124,675.48,647.424,605.2,572.471,521.65,496.531,502.203,519.546,528.639,510.871,502.659,499.979,474.871,418.161,388.365,356.853,308.776,270.515,257.549,253.711,253.17,259.601,274.936,286.986,304.098,338.929,385.259,446.139,521.181,565.707,618.923,702.547,814.274,909.924,1011.53,1121.59
