sbt1_1927,sbt1_1928,sbt1_1929,sbt1_1930,sbt1_1931,sbt1_1932,sbt1_1933,sbt1_1934,sbt1_1935,sbt1_1936,sbt1_1937,sbt1_1938,sbt1_1939,sbt1_1940,sbt1_1941,sbt1_1942,sbt1_1943,sbt1_1944,sbt1_1945,sbt1_1946,sbt1_1947,sbt1_1948,sbt1_1949,sbt1_1950,sbt1_1951,sbt1_1952,sbt1_1953,sbt1_1954,sbt1_1955,sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003
31262.8,28929.2,26667.9,24338.6,22113.8,20207.9,18579.1,16913.2,14874,12739.3,11420.9,10774.6,10178.3,9883.85,9809.46,9729.74,9545.86,8274.05,6635.34,5590.79,4935.82,4540.34,4332.72,4252.82,4308.2,4286.51,4253.47,4159.39,4018.9,3826.48,3494.54,3194.87,2906.72,2635.37,2444.62,2284.25,2192.43,2148.01,2083.77,2007.86,1917.26,1826.88,1734.29,1578.24,1465.4,1441.93,1474.83,1517.99,1527.55,1534.15,1502.47,1387.82,1207.9,1093.58,1021.67,913.853,812.757,732.57,701.48,711.294,737.893,791.803,857.398,966.73,1129.95,1317.57,1521.92,1738.42,1968.66,2222.02,2506.1,2827.57,3195.12,3603.22,4042.44,4539.2,4546.83
31262.8,28929.2,26667.9,24338.6,22113.8,20207.9,18579.1,16913.2,14874,12739.3,11420.9,10774.6,10178.3,9883.85,9809.46,9729.74,9545.86,8274.05,6635.34,5590.79,4935.82,4540.34,4332.72,4252.82,4308.2,4286.51,4253.47,4159.39,4018.9,3826.48,3494.54,3194.87,2906.72,2635.37,2444.62,2284.25,2192.43,2148.01,2083.77,2007.86,1917.26,1826.88,1734.29,1578.24,1465.4,1441.93,1474.83,1517.99,1527.55,1534.15,1502.47,1387.82,1207.9,1093.58,1021.67,913.853,812.757,732.57,701.48,711.294,737.893,791.803,857.398,966.73,1129.95,1317.57,1521.92,1738.42,1968.66,2222.02,2506.1,2827.57,3195.12,3603.22,4042.44,4539.2,4546.83
31262.8,28929.2,26667.9,24338.6,22113.8,20207.9,18579.1,16913.2,14874,12739.3,11420.9,10774.6,10178.3,9883.85,9809.46,9729.74,9545.86,8274.05,6635.34,5590.79,4935.82,4540.34,4332.72,4252.82,4308.2,4286.51,4253.47,4159.39,4018.9,3826.48,3494.54,3194.87,2906.72,2635.37,2444.62,2284.25,2192.43,2148.01,2083.77,2007.86,1917.26,1826.88,1734.29,1578.24,1465.4,1441.93,1474.83,1517.99,1527.55,1534.15,1502.47,1387.82,1207.9,1093.58,1021.67,913.853,812.757,732.57,701.48,711.294,737.893,791.803,857.398,966.73,1129.95,1317.57,1521.92,1738.42,1968.66,2222.02,2506.1,2827.57,3195.12,3603.22,4042.44,4539.2,4546.83
31262.8,28929.2,26667.9,24338.6,22113.8,20207.9,18579.1,16913.2,14874,12739.3,11420.9,10774.6,10178.3,9883.85,9809.46,9729.74,9545.86,8274.05,6635.34,5590.79,4935.82,4540.34,4332.72,4252.82,4308.2,4286.51,4253.47,4159.39,4018.9,3826.48,3494.54,3194.87,2906.72,2635.37,2444.62,2284.25,2192.43,2148.01,2083.77,2007.86,1917.26,1826.88,1734.29,1578.24,1465.4,1441.93,1474.83,1517.99,1527.55,1534.15,1502.47,1387.82,1207.9,1093.58,1021.67,913.853,812.757,732.57,701.48,711.294,737.893,791.803,857.398,966.73,1129.95,1317.57,1521.92,1738.42,1968.66,2222.02,2506.1,2827.57,3195.12,3603.22,4042.44,4539.2,4546.83
31262.8,28929.2,26667.9,24338.6,22113.8,20207.9,18579.1,16913.2,14874,12739.3,11420.9,10774.6,10178.3,9883.85,9809.46,9729.74,9545.86,8274.05,6635.34,5590.79,4935.82,4540.34,4332.72,4252.82,4308.2,4286.51,4253.47,4159.39,4018.9,3826.48,3494.54,3194.87,2906.72,2635.37,2444.62,2284.25,2192.43,2148.01,2083.77,2007.86,1917.26,1826.88,1734.29,1578.24,1465.4,1441.93,1474.83,1517.99,1527.55,1534.15,1502.47,1387.82,1207.9,1093.58,1021.67,913.853,812.757,732.57,701.48,711.294,737.893,791.803,857.398,966.73,1129.95,1317.57,1521.92,1738.42,1968.66,2222.02,2506.1,2827.57,3195.12,3603.22,4042.44,4539.2,4546.83
31262.8,28929.2,26667.9,24338.6,22113.8,20207.9,18579.1,16913.2,14874,12739.3,11420.9,10774.6,10178.3,9883.85,9809.46,9729.74,9545.86,8274.05,6635.34,5590.79,4935.82,4540.34,4332.72,4252.82,4308.2,4286.51,4253.47,4159.39,4018.9,3826.48,3494.54,3194.87,2906.72,2635.37,2444.62,2284.25,2192.43,2148.01,2083.77,2007.86,1917.26,1826.88,1734.29,1578.24,1465.4,1441.93,1474.83,1517.99,1527.55,1534.15,1502.47,1387.82,1207.9,1093.58,1021.67,913.853,812.757,732.57,701.48,711.294,737.893,791.803,857.398,966.73,1129.95,1317.57,1521.92,1738.42,1968.66,2222.02,2506.1,2827.57,3195.12,3603.22,4042.44,4539.2,4546.83
31262.8,28929.2,26667.9,24338.6,22113.8,20207.9,18579.1,16913.2,14874,12739.3,11420.9,10774.6,10178.3,9883.85,9809.46,9729.74,9545.86,8274.05,6635.34,5590.79,4935.82,4540.34,4332.72,4252.82,4308.2,4286.51,4253.47,4159.39,4018.9,3826.48,3494.54,3194.87,2906.72,2635.37,2444.62,2284.25,2192.43,2148.01,2083.77,2007.86,1917.26,1826.88,1734.29,1578.24,1465.4,1441.93,1474.83,1517.99,1527.55,1534.15,1502.47,1387.82,1207.9,1093.58,1021.67,913.853,812.757,732.57,701.48,711.294,737.893,791.803,857.398,966.73,1129.95,1317.57,1521.92,1738.42,1968.66,2222.02,2506.1,2827.57,3195.12,3603.22,4042.44,4539.2,4546.83
31262.8,28929.2,26667.9,24338.6,22113.8,20207.9,18579.1,16913.2,14874,12739.3,11420.9,10774.6,10178.3,9883.85,9809.46,9729.74,9545.86,8274.05,6635.34,5590.79,4935.82,4540.34,4332.72,4252.82,4308.2,4286.51,4253.47,4159.39,4018.9,3826.48,3494.54,3194.87,2906.72,2635.37,2444.62,2284.25,2192.43,2148.01,2083.77,2007.86,1917.26,1826.88,1734.29,1578.24,1465.4,1441.93,1474.83,1517.99,1527.55,1534.15,1502.47,1387.82,1207.9,1093.58,1021.67,913.853,812.757,732.57,701.48,711.294,737.893,791.803,857.398,966.73,1129.95,1317.57,1521.92,1738.42,1968.66,2222.02,2506.1,2827.57,3195.12,3603.22,4042.44,4539.2,4546.83
31262.8,28929.2,26667.9,24338.6,22113.8,20207.9,18579.1,16913.2,14874,12739.3,11420.9,10774.6,10178.3,9883.85,9809.46,9729.74,9545.86,8274.05,6635.34,5590.79,4935.82,4540.34,4332.72,4252.82,4308.2,4286.51,4253.47,4159.39,4018.9,3826.48,3494.54,3194.87,2906.72,2635.37,2444.62,2284.25,2192.43,2148.01,2083.77,2007.86,1917.26,1826.88,1734.29,1578.24,1465.4,1441.93,1474.83,1517.99,1527.55,1534.15,1502.47,1387.82,1207.9,1093.58,1021.67,913.853,812.757,732.57,701.48,711.294,737.893,791.803,857.398,966.73,1129.95,1317.57,1521.92,1738.42,1968.66,2222.02,2506.1,2827.57,3195.12,3603.22,4042.44,4539.2,4546.83
31262.8,28929.2,26667.9,24338.6,22113.8,20207.9,18579.1,16913.2,14874,12739.3,11420.9,10774.6,10178.3,9883.85,9809.46,9729.74,9545.86,8274.05,6635.34,5590.79,4935.82,4540.34,4332.72,4252.82,4308.2,4286.51,4253.47,4159.39,4018.9,3826.48,3494.54,3194.87,2906.72,2635.37,2444.62,2284.25,2192.43,2148.01,2083.77,2007.86,1917.26,1826.88,1734.29,1578.24,1465.4,1441.93,1474.83,1517.99,1527.55,1534.15,1502.47,1387.82,1207.9,1093.58,1021.67,913.853,812.757,732.57,701.48,711.294,737.893,791.803,857.398,966.73,1129.95,1317.57,1521.92,1738.42,1968.66,2222.02,2506.1,2827.57,3195.12,3603.22,4042.44,4539.2,4546.83
