ft1_gear1_1956,ft1_gear1_1957,ft1_gear1_1958,ft1_gear1_1959,ft1_gear1_1960,ft1_gear1_1961,ft1_gear1_1962,ft1_gear1_1963,ft1_gear1_1964,ft1_gear1_1965,ft1_gear1_1966,ft1_gear1_1967,ft1_gear1_1968,ft1_gear1_1969,ft1_gear1_1970,ft1_gear1_1971,ft1_gear1_1972,ft1_gear1_1973,ft1_gear1_1974,ft1_gear1_1975,ft1_gear1_1976,ft1_gear1_1977,ft1_gear1_1978,ft1_gear1_1979,ft1_gear1_1980,ft1_gear1_1981,ft1_gear1_1982,ft1_gear1_1983,ft1_gear1_1984,ft1_gear1_1985,ft1_gear1_1986,ft1_gear1_1987,ft1_gear1_1988,ft1_gear1_1989,ft1_gear1_1990,ft1_gear1_1991,ft1_gear1_1992,ft1_gear1_1993,ft1_gear1_1994,ft1_gear1_1995,ft1_gear1_1996,ft1_gear1_1997,ft1_gear1_1998,ft1_gear1_1999,ft1_gear1_2000,ft1_gear1_2001,ft1_gear1_2002,ft1_gear1_2003,ft1_gear1_2004,ft1_gear1_2005,ft1_gear1_2006,ft1_gear1_2007,ft1_gear1_2008,ft1_gear1_2009,ft1_gear1_2010,ft1_gear1_2011,ft1_gear1_2012,ft1_gear1_2013,ft1_gear2_1956,ft1_gear2_1957,ft1_gear2_1958,ft1_gear2_1959,ft1_gear2_1960,ft1_gear2_1961,ft1_gear2_1962,ft1_gear2_1963,ft1_gear2_1964,ft1_gear2_1965,ft1_gear2_1966,ft1_gear2_1967,ft1_gear2_1968,ft1_gear2_1969,ft1_gear2_1970,ft1_gear2_1971,ft1_gear2_1972,ft1_gear2_1973,ft1_gear2_1974,ft1_gear2_1975,ft1_gear2_1976,ft1_gear2_1977,ft1_gear2_1978,ft1_gear2_1979,ft1_gear2_1980,ft1_gear2_1981,ft1_gear2_1982,ft1_gear2_1983,ft1_gear2_1984,ft1_gear2_1985,ft1_gear2_1986,ft1_gear2_1987,ft1_gear2_1988,ft1_gear2_1989,ft1_gear2_1990,ft1_gear2_1991,ft1_gear2_1992,ft1_gear2_1993,ft1_gear2_1994,ft1_gear2_1995,ft1_gear2_1996,ft1_gear2_1997,ft1_gear2_1998,ft1_gear2_1999,ft1_gear2_2000,ft1_gear2_2001,ft1_gear2_2002,ft1_gear2_2003,ft1_gear2_2004,ft1_gear2_2005,ft1_gear2_2006,ft1_gear2_2007,ft1_gear2_2008,ft1_gear2_2009,ft1_gear2_2010,ft1_gear2_2011,ft1_gear2_2012,ft1_gear2_2013,ft1_gear3_1956,ft1_gear3_1957,ft1_gear3_1958,ft1_gear3_1959,ft1_gear3_1960,ft1_gear3_1961,ft1_gear3_1962,ft1_gear3_1963,ft1_gear3_1964,ft1_gear3_1965,ft1_gear3_1966,ft1_gear3_1967,ft1_gear3_1968,ft1_gear3_1969,ft1_gear3_1970,ft1_gear3_1971,ft1_gear3_1972,ft1_gear3_1973,ft1_gear3_1974,ft1_gear3_1975,ft1_gear3_1976,ft1_gear3_1977,ft1_gear3_1978,ft1_gear3_1979,ft1_gear3_1980,ft1_gear3_1981,ft1_gear3_1982,ft1_gear3_1983,ft1_gear3_1984,ft1_gear3_1985,ft1_gear3_1986,ft1_gear3_1987,ft1_gear3_1988,ft1_gear3_1989,ft1_gear3_1990,ft1_gear3_1991,ft1_gear3_1992,ft1_gear3_1993,ft1_gear3_1994,ft1_gear3_1995,ft1_gear3_1996,ft1_gear3_1997,ft1_gear3_1998,ft1_gear3_1999,ft1_gear3_2000,ft1_gear3_2001,ft1_gear3_2002,ft1_gear3_2003,ft1_gear3_2004,ft1_gear3_2005,ft1_gear3_2006,ft1_gear3_2007,ft1_gear3_2008,ft1_gear3_2009,ft1_gear3_2010,ft1_gear3_2011,ft1_gear3_2012,ft1_gear3_2013,ft1_gear4_1956,ft1_gear4_1957,ft1_gear4_1958,ft1_gear4_1959,ft1_gear4_1960,ft1_gear4_1961,ft1_gear4_1962,ft1_gear4_1963,ft1_gear4_1964,ft1_gear4_1965,ft1_gear4_1966,ft1_gear4_1967,ft1_gear4_1968,ft1_gear4_1969,ft1_gear4_1970,ft1_gear4_1971,ft1_gear4_1972,ft1_gear4_1973,ft1_gear4_1974,ft1_gear4_1975,ft1_gear4_1976,ft1_gear4_1977,ft1_gear4_1978,ft1_gear4_1979,ft1_gear4_1980,ft1_gear4_1981,ft1_gear4_1982,ft1_gear4_1983,ft1_gear4_1984,ft1_gear4_1985,ft1_gear4_1986,ft1_gear4_1987,ft1_gear4_1988,ft1_gear4_1989,ft1_gear4_1990,ft1_gear4_1991,ft1_gear4_1992,ft1_gear4_1993,ft1_gear4_1994,ft1_gear4_1995,ft1_gear4_1996,ft1_gear4_1997,ft1_gear4_1998,ft1_gear4_1999,ft1_gear4_2000,ft1_gear4_2001,ft1_gear4_2002,ft1_gear4_2003,ft1_gear4_2004,ft1_gear4_2005,ft1_gear4_2006,ft1_gear4_2007,ft1_gear4_2008,ft1_gear4_2009,ft1_gear4_2010,ft1_gear4_2011,ft1_gear4_2012,ft1_gear4_2013
0.0857059,0.113338,0.09888,0.100327,0.101274,0.107855,0.093936,0.108602,0.103418,0.103293,0.113348,0.109183,0.114176,0.118874,0.120801,0.144528,0.110194,0.102524,0.107591,0.110178,0.107153,0.11338,0.0996839,0.0994684,0.117683,0.0927857,0.105213,0.100936,0.0981944,0.0950534,0.107821,0.104537,0.106617,0.111107,0.112878,0.104656,0.0980155,0.0968935,0.105258,0.0975196,0.0960494,0.110116,0.117065,0.112473,0.115207,0.110629,0.112959,0.110408,0.117179,0.121196,0.122662,0.126618,0.105175,0.0943045,0.103164,0.100994,0.102715,0.125442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.123832,0.254685,0.102113,0.0869347,0.0685038,0.0966826,0.114943,0.089791,0.0981918,0.0915523,0.122002,0.112805,0.111691,0.109586,0.0916001,0.139667,0.114147,0.107232,0.126569,0.113032,0.101321,0.117969,0.105543,0.100614,0.130736,0.113153,0.108489,0.104508,0.107491,0.121208,0.0847067,0.108961,0.125039,0.108546,0.105753,0.12969,0.105136,0.0911886,0.106175,0.0933312,0.0862513,0.108199,0.128459,0.156755,0.155261,0.156921,0.128753,0.114155,0.115864,0.123386,0.123909,0.148906,0.107461,0.139541,0.148334,0.178865,0.147863,0.141222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.123832,0.254685,0.102113,0.0869347,0.0685038,0.0966826,0.114943,0.089791,0.0981918,0.0915523,0.122002,0.112805,0.111691,0.109586,0.0916001,0.139667,0.114147,0.107232,0.126569,0.113032,0.101321,0.117969,0.105543,0.100614,0.130736,0.113153,0.108489,0.104508,0.107491,0.121208,0.0847067,0.108961,0.125039,0.108546,0.105753,0.12969,0.105136,0.0911886,0.106175,0.0933312,0.0862513,0.108199,0.128459,0.156755,0.155261,0.156921,0.128753,0.114155,0.115864,0.123386,0.123909,0.148906,0.107461,0.139541,0.148334,0.178865,0.147863,0.141222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.156495,0.297652,0.106843,0.0905037,0.0685267,0.0929789,0.100793,0.0781913,0.0986548,0.0969064,0.129612,0.109657,0.110259,0.114909,0.0881581,0.129616,0.100727,0.0984141,0.119105,0.105697,0.0954171,0.114404,0.104139,0.0906447,0.132005,0.104235,0.109829,0.099529,0.105223,0.114472,0.105645,0.123469,0.130194,0.110139,0.110533,0.126208,0.0961578,0.0847005,0.0974466,0.0895243,0.0758789,0.0971024,0.117472,0.138864,0.134626,0.136461,0.121313,0.110584,0.114741,0.123605,0.128183,0.145578,0.108127,0.142199,0.143418,0.160124,0.138782,0.147439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.180479,0.431017,0.106301,0.109936,0.0751764,0.0858499,0.093652,0.0939633,0.11193,0.112984,0.135479,0.118432,0.115484,0.123846,0.0894907,0.140756,0.107275,0.116404,0.118476,0.100145,0.095077,0.115208,0.11661,0.0783386,0.151652,0.119749,0.118603,0.104124,0.116392,0.112648,0.134365,0.138487,0.135725,0.114689,0.111076,0.138175,0.0952042,0.0931737,0.10516,0.0897783,0.0665866,0.0921647,0.119076,0.148155,0.138872,0.157959,0.118984,0.0957417,0.0953417,0.0986456,0.0896963,0.107738,0.0809898,0.0820222,0.0755416,0.0777692,0.0558321,0.0902857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.134516,0.42348,0.106273,0.101627,0.0747025,0.0826743,0.107301,0.07892,0.106216,0.101732,0.125697,0.108627,0.111422,0.117307,0.0771028,0.123048,0.100234,0.111278,0.109971,0.0963115,0.0908713,0.110586,0.11222,0.0764513,0.144163,0.116622,0.119588,0.0994802,0.116433,0.101863,0.124159,0.136186,0.14118,0.115667,0.113033,0.130566,0.0952672,0.0886995,0.097104,0.0844039,0.0627935,0.0862601,0.108163,0.137201,0.125581,0.144796,0.112116,0.0882654,0.0918277,0.0948484,0.0862334,0.0995921,0.0779713,0.0835452,0.0742277,0.0830949,0.0643579,0.080679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.131074,0.379446,0.100268,0.0901694,0.0682672,0.0728237,0.0955561,0.0915944,0.106841,0.0970577,0.117523,0.10697,0.112296,0.118642,0.0770252,0.11826,0.0988884,0.11187,0.107692,0.0920824,0.0852869,0.103637,0.107992,0.0723938,0.133698,0.111455,0.115944,0.0952105,0.116426,0.0980051,0.120441,0.126483,0.12673,0.107059,0.10811,0.141211,0.0970701,0.0951909,0.0976662,0.0838777,0.0629304,0.0811062,0.103396,0.129824,0.12656,0.146508,0.111095,0.0905631,0.0935858,0.096455,0.0866625,0.0989688,0.0708164,0.0756448,0.0632497,0.070587,0.0552674,0.0774835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.133447,0.425371,0.101824,0.0876034,0.0638903,0.0679265,0.0872924,0.0923498,0.113759,0.105695,0.123955,0.102893,0.10612,0.115202,0.0728063,0.110888,0.0967848,0.11153,0.107984,0.0938558,0.0901406,0.100992,0.100629,0.0757585,0.131069,0.104783,0.111272,0.0938216,0.112238,0.0934767,0.108166,0.125969,0.129682,0.111644,0.107624,0.144862,0.0982098,0.0964907,0.0959119,0.0814675,0.0579534,0.0722634,0.0938065,0.120408,0.12002,0.145734,0.106465,0.0862637,0.0891016,0.091899,0.0824748,0.0982652,0.0676786,0.0740618,0.0608519,0.0678858,0.0503317,0.0792377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.131747,0.443035,0.102069,0.0852559,0.0632888,0.0630561,0.0721896,0.0926615,0.113808,0.107344,0.129047,0.104745,0.108957,0.119345,0.0742116,0.122957,0.0949413,0.112225,0.102134,0.08797,0.0797055,0.0889693,0.0861099,0.0756918,0.136255,0.0986317,0.106554,0.0852314,0.105445,0.0876188,0.105777,0.117756,0.119307,0.102116,0.0948106,0.119204,0.0908341,0.0830124,0.0811576,0.0762544,0.0560538,0.0731705,0.0917496,0.119136,0.122203,0.148962,0.104477,0.0824574,0.084381,0.0882275,0.0780905,0.0911022,0.0623148,0.0696529,0.0555459,0.0634566,0.0455991,0.079881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.129079,0.467453,0.101994,0.0876198,0.0646892,0.0647804,0.0713264,0.0884281,0.110599,0.105222,0.131638,0.102347,0.107009,0.120521,0.072262,0.124025,0.0942696,0.115746,0.100681,0.0808784,0.0715723,0.0774838,0.0718131,0.075838,0.130195,0.0972179,0.104827,0.0865214,0.104013,0.0847047,0.10121,0.116199,0.115135,0.0944466,0.0865519,0.107736,0.08656,0.0793277,0.0737127,0.0681288,0.0510105,0.0657297,0.0838069,0.111092,0.111986,0.140403,0.0987575,0.0771636,0.0796757,0.0848655,0.0732321,0.0855337,0.0560332,0.065345,0.0487771,0.0566598,0.0419752,0.0779073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
