rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013
4004.29,1973.1,1474.91,3646.79,3607.5,2226.51,2850.67,15415.9,1394.39,3352.91,4318.74,2188.48,2065.38,1559.93,2981.58,4586.12,1603.17,7538.59,2899.46,2593.96,9777.74,2753.61,826.854,7345.77,1274.64,4551.63,2410.59,4291.89,2527.89,2638.08,8863.39,1889.57,2428.98,3513.02,3113.11,1852.84,2128.35,3789.52,2779.67,933.18,3207.86,3199.67,2315.57,3451.64,2381.42,4050.47,2141.7,1325.18,1957.34,2613.92,3611.2,3087.98,903.421,7625.21,4717.89,1910.72,1401.56
17711.1,99.5562,4385.34,1043.24,1764.35,4481.07,2081.38,139931,364.665,4160.94,19536.6,3426.02,2725.83,605.044,2791.65,34951,1230.99,39362,2847.99,2087.36,31676.3,2741.95,341.989,5608.19,4992.56,1118.43,1333.63,3882.11,3611.05,331.125,66390.9,11955.7,2268.61,2069.68,3966.44,2625.8,2254.81,4396.3,2476.18,466.811,3372.1,2083.43,1355.41,3725.24,2660.18,1633.63,3094.67,828.08,1103.51,1236.52,3555.77,365.694,1593.07,3668.57,7247.06,2566.74,6167.82
17711.1,99.5562,4385.34,1043.24,1764.35,4481.07,2081.38,139931,364.665,4160.94,19536.6,3426.02,2725.83,605.044,2791.65,34951,1230.99,39362,2847.99,2087.36,31676.3,2741.95,341.989,5608.19,4992.56,1118.43,1333.63,3882.11,3611.05,331.125,66390.9,11955.7,2268.61,2069.68,3966.44,2625.8,2254.81,4396.3,2476.18,466.811,3372.1,2083.43,1355.41,3725.24,2660.18,1633.63,3094.67,828.08,1103.51,1236.52,3555.77,365.694,1593.07,3668.57,7247.06,2566.74,6167.82
20358.5,23.2559,7307.93,1019.74,2382.16,4918.21,1655.1,108709,812.537,4238.14,7861.84,3486.2,4660.66,823.698,2977.97,63540.2,917.178,46891.2,2870.05,1925.07,33001.1,3112.07,130.005,9218.13,2947.46,1895.01,1353.49,3797.92,2850.58,797.566,74954,12797.5,2113.11,2240.53,4533.5,796.412,2580.44,3808.02,3370.18,396.926,3488.81,2283.09,2216.01,2300.01,2723.6,811.424,3063.31,637.371,1901.07,1092.69,3468.51,359.545,2127.71,9116.31,3652.63,2311.82,4584.71
37382.3,0.34352,35111.6,1715.02,1779.16,3295.37,1960.52,54409.3,1722.28,3322.37,13785.2,2805.19,6514.6,558.295,2739.1,87360.4,1609.36,35127.6,1948.66,2254.49,9480.02,4270.88,15.5494,12691.2,4362.35,1831.46,788.92,10452.1,2114.37,2498.62,74847.7,11189.6,1774.56,1972.14,5389.72,200.379,2421.57,6892.81,4105.97,196.471,2726.32,2598.03,1725.85,1224.83,3159.75,3316.91,7016.19,2043.95,2169.55,428.708,5709.2,1328.42,2679.69,9758.05,17598.7,2664.71,2753
42004.6,0.844106,16393.6,3266.2,932.76,5276.45,1705.73,72575.2,1610.45,2538.96,12851.2,3747.09,11909.4,518.338,2825.76,45828.8,1648.38,18541.8,2572.01,2073.11,10915,4362.85,17.116,12524.9,2883.8,6136.74,508.57,23841.8,2280.33,1786.93,29873,19546.7,1411.97,3358.01,4057.03,608.035,2895.22,7137.76,3414.04,244.399,3177.16,2248.54,2223.84,1016.82,3391.73,3313.34,2760.63,1820.97,2250.58,817.736,5161.5,1134.61,3370.96,6212.69,7740.22,3885.68,1507.84
42248.1,0.986512,14405.6,4325.89,872.835,3741.79,2257.49,59073.2,1391.89,2073.3,10498.9,4198.79,10399,684.169,2737.78,51062.3,1735.21,32625.9,2621.6,2049.42,9942.56,4462.14,16.0494,12487,2949.6,5455.16,485.875,35524.3,2294.18,2251.77,35867.8,8884.37,1448.23,2425.28,4929.77,280.109,5676.5,5271.49,3654.89,420.2,2488.99,2276.99,1528.23,1094.23,3510.33,1489.02,2717.02,3050.31,2495.17,673.458,6250.58,941.512,5338.29,3330.32,7185.32,3932.89,3354.15
47868.1,1.45725,16192.8,4030.06,946.191,3330.99,2116.34,61245,2335.44,2237.81,8769.34,4193.8,11767.4,665.282,2704.4,61069.7,1876.73,14096.2,2796.71,2733.89,10458.5,3660.99,32.9327,13196.6,2428.69,6070.34,484.518,37438.3,2512.55,1275.64,47535.1,9427.63,1512.48,2644.8,4859.72,309.328,4580.57,6220.87,4498.03,419.828,2118.72,2319.3,860.813,1155.08,3836.07,833.505,3975.15,2771.01,2127.95,533.248,6763.38,852.557,5754.83,4444.49,9281.7,3332.46,1981.47
56125.8,1.37673,13694.2,4811.08,1493.93,2530.27,2257.32,64984.6,2098.37,2575.24,6626.95,3834.41,13205.9,531.714,2868.45,72902.2,1996.87,10364.9,3783.94,2636.25,13974.9,3015.88,37.8577,18659.9,1898.72,7801.68,374.497,45427,2554.14,1564.74,45920,6468.14,1860.51,2543.14,4063.15,864.296,4013.22,4484.96,4371.87,430.747,2529.66,2192.77,747.419,729.812,4196.6,796.634,2004.7,2262.55,3162.5,551.774,7165.94,893.456,6224.34,4309.99,8610.86,3136.74,1958.82
60698.3,0.626018,17222.1,6417.62,1407.12,2652.91,2300.16,54786.4,1306.32,3988.62,4234.45,4162.52,13160.2,551.752,2821.74,75048.1,2421.52,13416.1,4143.16,3005.56,17332.9,2313.81,76.1573,16412.7,1878.79,8272.83,387.402,50003.5,2645.49,1408.69,51870.8,9146.29,1956.95,2141.07,3933.07,1061.17,5094.65,4733.38,3831.06,504.733,2390.96,2279.92,681.705,937.204,4474.85,837.333,1351.01,1575.1,4042.43,559.334,8048.68,710.045,9508.76,1868.86,8144.87,3156.48,1247.33
