sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014
30081.7,25711.4,21642.5,17981.4,14667.3,13113,12549,11921.9,11405.2,17820.7,19134.7,18703.9,17993.9,16135.1,13999.4,11782.8,10508.8,11092.3,10766,13086.1,13836.9,13622,16684.9,17364.7,15696.1,16372.7,15290,15012.7,14106.1,14060.7,13486.1,12666.4,15236.1,15314.8,14441.3,13760.3,13216,12186.4,11171.6,11122.7,11126.2,10128.6,9849.83,9975.11,9881.59,10247.5,10235,10904.9,10797.2,9843.46,8963.8,8623.62,9131.58,9844.08,9368.54,11833.2,13867.8,13882.2,12531.9
23405.9,18783,21989.4,21763.6,21334.7,18957.3,15847.3,14421.2,13160,85329.6,108931,104708,96552.3,79993.8,62592,46718.3,33365.9,42005.3,41349,55721.7,56086.9,49687.2,55607.9,52311.4,43815.7,35671.7,29835.7,23777.7,18577.9,15673.6,14101.5,12021.9,44484.5,59116.8,59098.2,50925.4,40702.9,32123.4,25299.3,20990.1,17814,14401.9,12445.1,10772.3,9015.13,8849.87,8816.49,8490.93,8808.59,8097.61,7136.94,6278.15,6770.98,6355.93,5962.38,6735.89,9700.42,10915.3,13205.8
23405.9,18783,21989.4,21763.6,21334.7,18957.3,15847.3,14421.2,13160,85329.6,108931,104708,96552.3,79993.8,62592,46718.3,33365.9,42005.3,41349,55721.7,56086.9,49687.2,55607.9,52311.4,43815.7,35671.7,29835.7,23777.7,18577.9,15673.6,14101.5,12021.9,44484.5,59116.8,59098.2,50925.4,40702.9,32123.4,25299.3,20990.1,17814,14401.9,12445.1,10772.3,9015.13,8849.87,8816.49,8490.93,8808.59,8097.61,7136.94,6278.15,6770.98,6355.93,5962.38,6735.89,9700.42,10915.3,13205.8
17979.5,14808.6,20770,21824.5,23490.8,21842.9,19010.7,17581.5,15701,70452,87414.4,83272.1,72903.4,58853.1,46393.1,35433.2,26486.1,53198,59477.8,78291.3,77467.3,67382,69462.7,62786.2,51636.7,42787.8,34959.6,27557.2,21356.6,17575.8,14978.2,12314.5,49022.3,65197,64972.1,55686.3,44733.3,34515.8,26782.2,21597.6,18437.4,15067.9,13150.5,11542.3,10241.5,9405.44,9084.73,8131.59,8206.42,7380.78,6909.45,6223.57,6782.24,6365.63,6238.98,10006.9,11906,12203.3,12887.6
19108.4,17199.7,30920.8,35031.8,50687,52925,47400.7,39411.7,31119.3,51638.4,54887.6,49521.6,47012.2,40426.6,34951.2,28444.2,22161.1,63035.3,73840.7,86795.1,81557.5,68621.4,56698.6,45560.4,35225.6,31028.7,27691.6,23383,18759.3,19406.1,18178.7,16143.7,52413.4,66729.1,65097,55045.2,43951.1,33759.3,25858,22353,20399.4,17405.8,14835,12724,10671.3,8885.43,8365.53,8877.52,11768.7,12644.5,12440.4,10845.6,11500.3,11169.7,11016.7,14743.7,24135.3,27585.1,26748.8
15168.5,12916.8,30229.7,35697,42179.1,41566.4,35774.3,30277.6,24952.3,57411.7,65885.2,60888.7,56297.7,47688.2,43258.7,36582.2,29127.5,46382.4,48836.2,53070.5,49102.5,41529.3,37344.6,32604.3,26682.1,25892.5,23758.8,22718.8,19557.3,27837.6,29233.6,26263,36396.6,45612.6,44474,39019.3,32345.6,25642.5,20721.6,19435.4,18445.3,16105.6,14310.9,12488.9,10889.7,9196.22,8810.57,9318.98,9918.46,9819.37,9606.67,8672.59,9743.35,9711.55,10222.2,12486.4,16075.9,18048.9,17418.6
15754.7,14910.5,32511.3,37993.3,43367.2,42682.9,36900.3,30519.7,24611.9,49855.9,56148.2,51719,47424.4,40491.7,37061.8,31693.5,25669.5,46742.7,50923,63259.4,61943.2,53990.9,47110.1,39685.6,31715.8,29279.6,26062.7,23906.1,20140.9,34260.4,37721.1,34698.3,46732.1,49930.8,45567.7,37870.1,30630.1,23941.1,20730.4,19336.9,18433.9,16180.6,14103.3,12221.7,10297.6,8550.9,8309.46,7996.76,8323.3,8961.74,9372.87,8707.07,10473.7,10636.8,12200.1,13271.2,15933.3,17509.8,17758.4
16664,16169.7,36073,42472.6,48778,47821.5,41320.2,33811.3,26680.2,52088.7,58312.7,53564.7,48280,40865.4,37870.1,32724.5,26739.5,52940,58697.9,60783.7,54711.3,45607.7,40207.5,34333.6,27580.9,26885.2,24574,23333.5,20013.7,35430.1,39601.2,36386.8,54024.5,58802.7,53880.8,44801.2,35574.9,27446.7,22528.7,20669.2,19903.7,17671,15278.2,13127.9,10612,8592.65,8391.62,7787.01,8692.08,9432.15,9657.4,8787.27,10703.6,10901.8,12679.8,14414.4,18412.9,20117.6,19250.5
18852.6,18705.8,42081.7,49698.2,54424.7,52308.9,45111.5,36671.8,28515.8,55188.8,61380.3,56141.3,49160.8,40558.1,37778,32717.5,26668.5,59323.2,67227,67482.1,60186,49927.7,45456.6,39239.4,31475.7,32466.3,30191.4,29129.7,25176,43802.2,48629.6,44562.8,59844.3,61517.2,55270.1,45729.9,36268.5,28027.9,22869,20012.7,18721.5,16365.1,14323.8,12473.8,10138.4,8011.33,8034.74,7577.22,7548.95,7726.45,8467.92,8065.71,10575.4,11117.6,13292.5,15108.5,18717.6,20112,19026.1
17414,15713.6,41861.5,50652.9,57643.5,57071.6,49942.9,40968.6,31989,52320.7,55601.9,50590.3,43494.5,35928.8,34227.1,30156.4,24903.8,59262.6,67973.2,70331.7,64212.9,54367.5,51456.8,45073.9,36192.2,34759.8,31047.6,29485.2,25285.4,46316.1,52189,48138.9,65953.6,69562.1,63557.6,52909.5,41863,32168.2,26417.5,23100.7,21016.9,18068.7,15485.3,13311.1,10715.3,8547.19,8631.91,8175.47,7742.95,7336.44,8320.83,8103.6,11211,11926.6,15850.1,17031.4,19849.4,20672.2,18850.6
