ft1_gear1_1956,ft1_gear1_1957,ft1_gear1_1958,ft1_gear1_1959,ft1_gear1_1960,ft1_gear1_1961,ft1_gear1_1962,ft1_gear1_1963,ft1_gear1_1964,ft1_gear1_1965,ft1_gear1_1966,ft1_gear1_1967,ft1_gear1_1968,ft1_gear1_1969,ft1_gear1_1970,ft1_gear1_1971,ft1_gear1_1972,ft1_gear1_1973,ft1_gear1_1974,ft1_gear1_1975,ft1_gear1_1976,ft1_gear1_1977,ft1_gear1_1978,ft1_gear1_1979,ft1_gear1_1980,ft1_gear1_1981,ft1_gear1_1982,ft1_gear1_1983,ft1_gear1_1984,ft1_gear1_1985,ft1_gear1_1986,ft1_gear1_1987,ft1_gear1_1988,ft1_gear1_1989,ft1_gear1_1990,ft1_gear1_1991,ft1_gear1_1992,ft1_gear1_1993,ft1_gear1_1994,ft1_gear1_1995,ft1_gear1_1996,ft1_gear1_1997,ft1_gear1_1998,ft1_gear1_1999,ft1_gear1_2000,ft1_gear1_2001,ft1_gear1_2002,ft1_gear1_2003,ft1_gear1_2004,ft1_gear1_2005,ft1_gear1_2006,ft1_gear1_2007,ft1_gear1_2008,ft1_gear1_2009,ft1_gear1_2010,ft1_gear1_2011,ft1_gear1_2012,ft1_gear1_2013,ft1_gear2_1956,ft1_gear2_1957,ft1_gear2_1958,ft1_gear2_1959,ft1_gear2_1960,ft1_gear2_1961,ft1_gear2_1962,ft1_gear2_1963,ft1_gear2_1964,ft1_gear2_1965,ft1_gear2_1966,ft1_gear2_1967,ft1_gear2_1968,ft1_gear2_1969,ft1_gear2_1970,ft1_gear2_1971,ft1_gear2_1972,ft1_gear2_1973,ft1_gear2_1974,ft1_gear2_1975,ft1_gear2_1976,ft1_gear2_1977,ft1_gear2_1978,ft1_gear2_1979,ft1_gear2_1980,ft1_gear2_1981,ft1_gear2_1982,ft1_gear2_1983,ft1_gear2_1984,ft1_gear2_1985,ft1_gear2_1986,ft1_gear2_1987,ft1_gear2_1988,ft1_gear2_1989,ft1_gear2_1990,ft1_gear2_1991,ft1_gear2_1992,ft1_gear2_1993,ft1_gear2_1994,ft1_gear2_1995,ft1_gear2_1996,ft1_gear2_1997,ft1_gear2_1998,ft1_gear2_1999,ft1_gear2_2000,ft1_gear2_2001,ft1_gear2_2002,ft1_gear2_2003,ft1_gear2_2004,ft1_gear2_2005,ft1_gear2_2006,ft1_gear2_2007,ft1_gear2_2008,ft1_gear2_2009,ft1_gear2_2010,ft1_gear2_2011,ft1_gear2_2012,ft1_gear2_2013,ft1_gear3_1956,ft1_gear3_1957,ft1_gear3_1958,ft1_gear3_1959,ft1_gear3_1960,ft1_gear3_1961,ft1_gear3_1962,ft1_gear3_1963,ft1_gear3_1964,ft1_gear3_1965,ft1_gear3_1966,ft1_gear3_1967,ft1_gear3_1968,ft1_gear3_1969,ft1_gear3_1970,ft1_gear3_1971,ft1_gear3_1972,ft1_gear3_1973,ft1_gear3_1974,ft1_gear3_1975,ft1_gear3_1976,ft1_gear3_1977,ft1_gear3_1978,ft1_gear3_1979,ft1_gear3_1980,ft1_gear3_1981,ft1_gear3_1982,ft1_gear3_1983,ft1_gear3_1984,ft1_gear3_1985,ft1_gear3_1986,ft1_gear3_1987,ft1_gear3_1988,ft1_gear3_1989,ft1_gear3_1990,ft1_gear3_1991,ft1_gear3_1992,ft1_gear3_1993,ft1_gear3_1994,ft1_gear3_1995,ft1_gear3_1996,ft1_gear3_1997,ft1_gear3_1998,ft1_gear3_1999,ft1_gear3_2000,ft1_gear3_2001,ft1_gear3_2002,ft1_gear3_2003,ft1_gear3_2004,ft1_gear3_2005,ft1_gear3_2006,ft1_gear3_2007,ft1_gear3_2008,ft1_gear3_2009,ft1_gear3_2010,ft1_gear3_2011,ft1_gear3_2012,ft1_gear3_2013,ft1_gear4_1956,ft1_gear4_1957,ft1_gear4_1958,ft1_gear4_1959,ft1_gear4_1960,ft1_gear4_1961,ft1_gear4_1962,ft1_gear4_1963,ft1_gear4_1964,ft1_gear4_1965,ft1_gear4_1966,ft1_gear4_1967,ft1_gear4_1968,ft1_gear4_1969,ft1_gear4_1970,ft1_gear4_1971,ft1_gear4_1972,ft1_gear4_1973,ft1_gear4_1974,ft1_gear4_1975,ft1_gear4_1976,ft1_gear4_1977,ft1_gear4_1978,ft1_gear4_1979,ft1_gear4_1980,ft1_gear4_1981,ft1_gear4_1982,ft1_gear4_1983,ft1_gear4_1984,ft1_gear4_1985,ft1_gear4_1986,ft1_gear4_1987,ft1_gear4_1988,ft1_gear4_1989,ft1_gear4_1990,ft1_gear4_1991,ft1_gear4_1992,ft1_gear4_1993,ft1_gear4_1994,ft1_gear4_1995,ft1_gear4_1996,ft1_gear4_1997,ft1_gear4_1998,ft1_gear4_1999,ft1_gear4_2000,ft1_gear4_2001,ft1_gear4_2002,ft1_gear4_2003,ft1_gear4_2004,ft1_gear4_2005,ft1_gear4_2006,ft1_gear4_2007,ft1_gear4_2008,ft1_gear4_2009,ft1_gear4_2010,ft1_gear4_2011,ft1_gear4_2012,ft1_gear4_2013
0.146772,0.199006,0.356051,0.243634,0.174383,0.109747,0.128749,0.115098,0.205853,0.299839,0.389241,0.333207,0.295612,0.230173,0.117205,0.125436,0.145473,0.165901,0.23276,0.27734,0.250121,0.224328,0.157242,0.36457,0.299496,0.19259,0.186405,0.187684,0.142768,0.0867822,0.171304,0.378568,0.28525,0.183371,0.200297,0.505563,0.482131,0.431727,0.18522,0.172217,0.210884,0.247812,0.199464,0.140991,0.119912,0.0502646,0.0389093,0.0531191,0.060056,0.0819141,0.0808371,0.0366991,0.0281581,0.0481827,0.0810884,0.0701219,0.0560921,0.0451115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.146772,0.199006,0.356051,0.243634,0.174383,0.109747,0.128749,0.115098,0.205853,0.299839,0.389241,0.333207,0.295612,0.230173,0.117205,0.125436,0.145473,0.165901,0.23276,0.27734,0.250121,0.224328,0.157242,0.36457,0.299496,0.19259,0.186405,0.187684,0.142768,0.0867822,0.171304,0.378568,0.28525,0.183371,0.200297,0.505563,0.482131,0.431727,0.18522,0.172217,0.210884,0.247812,0.199464,0.140991,0.119912,0.0502646,0.0389093,0.0531191,0.060056,0.0819141,0.0808371,0.0366991,0.0281581,0.0481827,0.0810884,0.0701219,0.0560921,0.0451115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.12307,0.173758,0.330535,0.23752,0.176667,0.11459,0.133957,0.103874,0.179836,0.259462,0.350879,0.326393,0.265575,0.200513,0.107424,0.117684,0.139208,0.15809,0.212492,0.240655,0.218145,0.204335,0.146342,0.348051,0.280551,0.183894,0.181171,0.180401,0.132299,0.0763011,0.153828,0.370841,0.296097,0.17473,0.192932,0.498125,0.448834,0.391014,0.16996,0.163971,0.206366,0.241763,0.208862,0.147986,0.131076,0.0499851,0.0385993,0.0534618,0.0620839,0.0779449,0.0826346,0.0401508,0.0274273,0.0488023,0.0825498,0.0645536,0.0533697,0.0386987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.112183,0.152565,0.280471,0.211248,0.149502,0.102427,0.141758,0.0958587,0.171512,0.23005,0.312577,0.286999,0.246269,0.191465,0.107702,0.123102,0.130567,0.156949,0.221287,0.248906,0.229864,0.219924,0.167486,0.388861,0.316643,0.207463,0.192474,0.185094,0.138159,0.0767523,0.160522,0.377477,0.29891,0.191486,0.19734,0.457556,0.433315,0.35545,0.156108,0.144222,0.191603,0.216074,0.192147,0.14185,0.12443,0.05034,0.0350383,0.0466515,0.0561851,0.0754882,0.0833442,0.0406759,0.0292225,0.0526467,0.091018,0.0724556,0.0599985,0.0503603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.119129,0.156874,0.259224,0.199864,0.128067,0.0830901,0.129133,0.090773,0.154398,0.216641,0.274904,0.240552,0.214941,0.166755,0.0880664,0.10203,0.124778,0.15011,0.184888,0.217899,0.184128,0.181784,0.131945,0.33255,0.27436,0.169951,0.155573,0.138252,0.105109,0.0571806,0.140845,0.318277,0.245554,0.151036,0.165573,0.436701,0.375954,0.313367,0.128413,0.121417,0.156698,0.19307,0.156005,0.125494,0.113563,0.048617,0.0299475,0.0390914,0.0484707,0.066426,0.0677074,0.0345133,0.0240592,0.044046,0.0778904,0.0738177,0.0589507,0.0424004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.105468,0.151727,0.263993,0.198734,0.122954,0.0844231,0.127062,0.0999838,0.151698,0.22294,0.31013,0.267773,0.230779,0.191295,0.0955306,0.123424,0.144503,0.172074,0.21218,0.268604,0.209074,0.18283,0.138595,0.341485,0.304909,0.157105,0.141749,0.14791,0.122879,0.0712751,0.107474,0.272339,0.213023,0.145508,0.170293,0.450637,0.396336,0.309806,0.128168,0.115331,0.155069,0.168419,0.131065,0.109558,0.0943378,0.0416521,0.0286542,0.0401769,0.0459795,0.0648757,0.0589745,0.0269491,0.0218383,0.0385833,0.0700463,0.0644599,0.0520098,0.0422333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.108551,0.144268,0.275515,0.201193,0.135764,0.100581,0.132629,0.113128,0.163224,0.254722,0.33724,0.282897,0.267305,0.211474,0.102272,0.130401,0.140118,0.162812,0.195357,0.231643,0.194287,0.169848,0.128603,0.271328,0.250983,0.137092,0.135182,0.143331,0.117928,0.0695775,0.125286,0.309763,0.225845,0.148203,0.182274,0.456627,0.41643,0.356666,0.136059,0.106247,0.14632,0.159179,0.131409,0.0997521,0.0885167,0.0395668,0.0311892,0.0434953,0.0501619,0.069643,0.0591579,0.0272383,0.0220011,0.0399204,0.0691728,0.0646006,0.0536305,0.0415463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.119006,0.16868,0.313781,0.200802,0.137661,0.0993421,0.144924,0.119922,0.170683,0.269011,0.329407,0.297118,0.277024,0.208281,0.100353,0.118237,0.126976,0.15904,0.194239,0.220934,0.171402,0.174397,0.127633,0.256345,0.21707,0.146565,0.145376,0.148144,0.117971,0.0675773,0.173777,0.375895,0.279736,0.1798,0.222489,0.497104,0.436972,0.359674,0.13956,0.117663,0.147316,0.168175,0.131048,0.0957317,0.0815613,0.0345607,0.0288724,0.0404772,0.0480099,0.0621959,0.0548366,0.0241542,0.0194863,0.0329947,0.0543292,0.039915,0.0326054,0.0285647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.131604,0.176644,0.290249,0.186434,0.135436,0.0885566,0.115055,0.106082,0.164762,0.263507,0.33913,0.29157,0.281976,0.206983,0.0911909,0.102198,0.149197,0.180127,0.228051,0.269676,0.228131,0.189663,0.135006,0.292763,0.261396,0.175969,0.16683,0.171846,0.12599,0.0784772,0.189288,0.383034,0.281075,0.179047,0.215861,0.472366,0.430049,0.367668,0.145212,0.12988,0.15677,0.176221,0.131452,0.0977793,0.0778553,0.0343851,0.0285994,0.0428037,0.0501922,0.0720644,0.0623008,0.0280054,0.0209884,0.0333349,0.0534414,0.042229,0.033265,0.0297507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.142522,0.168594,0.314747,0.202103,0.140882,0.104462,0.109986,0.0952211,0.150858,0.245272,0.339915,0.302263,0.304872,0.22882,0.112428,0.114373,0.146151,0.171847,0.220947,0.292565,0.255174,0.210368,0.146575,0.298263,0.255421,0.171758,0.171933,0.160287,0.123406,0.084993,0.180509,0.365339,0.282006,0.181148,0.206281,0.491653,0.416188,0.360191,0.136996,0.117293,0.136376,0.143345,0.111723,0.085818,0.0765945,0.0308755,0.0275904,0.0380241,0.0471477,0.0656483,0.0607484,0.0258262,0.0209516,0.0355964,0.0600322,0.0463153,0.0348053,0.0340404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
