rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013
4188.52,3587.11,2940.18,3258.1,5665.29,13959.5,11790.8,4276.26,4186.24,3542.5,2226.72,2166.28,1926.07,3145.97,16317.9,3333.17,4760.61,3161.96,3564.3,5187.91,3004.73,6764.9,4075,3805.53,2817.06,2252.88,2698.97,2470.65,18472.6,7375.25,3125.87,2882.78,4848.5,4495.33,2976.3,1708.62,1214.17,1243.58,1144.75,1016.35,1085.68,1129.16,683.471,683.551,4554.36,1330.53,1139.46,984.327,1153.56,1347.99,3650.92,2449.67,2296.32,1680.88,2188.82,3650.92
4188.52,3587.11,2940.18,3258.1,5665.29,13959.5,11790.8,4276.26,4186.24,3542.5,2226.72,2166.28,1926.07,3145.97,16317.9,3333.17,4760.61,3161.96,3564.3,5187.91,3004.73,6764.9,4075,3805.53,2817.06,2252.88,2698.97,2470.65,18472.6,7375.25,3125.87,2882.78,4848.5,4495.33,2976.3,1708.62,1214.17,1243.58,1144.75,1016.35,1085.68,1129.16,683.471,683.551,4554.36,1330.53,1139.46,984.327,1153.56,1347.99,3650.92,2449.67,2296.32,1680.88,2188.82,3650.92
2521.34,3750.28,2876.54,2915.23,7158.62,18782.9,9981.17,4002.33,4803.91,2689.76,3503.14,2090.49,1497.25,3626.96,16517.1,5143.21,4615.78,4010.48,3116.22,4327.84,3318.15,7164.37,4039.79,4148.35,2623.83,2847.43,3236.37,3191.18,17366.9,7067.78,2925.09,4722.32,4733.98,4439.24,3215.04,1878.57,1419.4,910.681,1057.97,1248.02,811.448,1324.37,616.718,1160.05,4606.42,1357.91,1631.89,828.713,782.678,1477.47,4585.35,1844.64,2962.27,2830.43,2311.57,5692.2
2567.88,3281.3,2957.78,3101.52,4763.29,23659.3,10734.7,6373.96,3434.27,3199.93,3265.31,1269.68,1909.76,2667.65,20346.2,4023.87,3728.42,5328.57,3356.91,3721.19,3116.8,7538.48,4325.57,4292.39,2964.86,3476.8,2850.09,3514.06,17745.3,7463.05,3476.55,2793.89,6281.84,6849.25,2093.95,2407.34,1080.44,1462.2,846.791,1419.3,985.855,923.439,828.974,1199.58,5644.18,1638.84,1244.11,673.14,729.633,1637.07,3724.96,2174.77,2960.22,2165.03,1756.93,4124.2
5713.6,2506.95,4599.44,3672.49,4090.14,24374.7,13274.2,6747.63,3258.21,2456.1,2942.85,1708.21,2802.96,3670.38,17392.9,5911.65,8012.2,3519.23,4472.79,3685.73,3673.62,6200.27,5733.14,3828.77,5043.61,5709.5,2587.48,3960.84,16951.8,10554.9,2614.63,3804.18,7273.18,3233.36,3415.3,2579.78,1308.11,1564.1,767.455,1530.33,1312.87,794.95,815.236,940.131,7838.4,1413.14,1157.19,1037.7,1106.72,1338.28,5344.9,1828.64,2582.04,1538.09,1989.29,8618.63
7257.94,2455.2,5757.53,3148.31,4272.18,19207.9,21156.3,4305.88,2244.86,3637.54,3160,1436.46,3047.82,2403.88,16322.5,6785.92,8574.93,3981.27,5234.65,5262.21,2689.48,7098.34,4829.23,9225.53,2560.4,3716.13,1459.38,5196.8,32245.8,4660.54,1803.87,3619.63,7350.62,2714.34,5381.48,3129.91,1420.61,1794.25,822.485,2381.63,1233.46,1120.24,910.227,877.927,7481.73,1069.97,2359.02,1673.02,2103.02,1743.54,5071.11,2739.91,2519.12,2235.38,2152.25,4439.84
4080.61,2640.54,3519.79,1887.63,5345.51,17670.1,16011.3,3091.33,4357.81,2558.16,1597.82,2277.9,3046.42,1970.35,16836.5,4653.3,9701.71,2920.43,4287.52,5974.74,2201.93,10605.2,3393.28,5116.51,1967.24,3429.12,2026.05,3962.26,24112.4,4916.65,3248.65,2921.75,5461.29,4016.92,3369.63,2925.77,1981.24,2285.33,608.6,1851.97,1068.23,1348.96,756.83,832.126,5621.77,1474.04,1920.79,1251.02,2003.17,1597.3,4403.35,2276.33,2498.8,2106.14,1987.4,4310.46
5327.1,3794.07,2740.31,2617.55,2859.4,17392.5,15650.6,3890.25,2942.31,2736.89,1857.23,2224.95,3502.96,1824.51,19480.3,1506.4,9011.24,5164.31,3527.32,4225.14,2278.09,10656,4672.41,2030.84,2075.09,5203.25,2155.75,2674.23,15433.5,9062.56,3073.07,2704.53,5181,5398.05,3196.52,2989.1,1596.11,1633.03,827.907,1785.89,1397.22,1315.7,670.109,1213.13,5503.46,1714.12,1408.24,1891.62,1711.09,1782.46,5566.56,3231.81,6065.35,2698.07,2075.2,3673.42
7682.61,2868.96,2021.05,4855.22,4742.74,14365.3,13281.6,4265.74,2049.14,2549.73,2903.37,1899.49,4353.38,3050.12,12418.7,2836.05,6041.43,5878.07,2757.46,6319.72,1560.55,7524.03,5660.66,1545.85,2689.48,3866.55,2091.86,2395.39,14990.6,10611.6,3133.46,3022.8,4813.86,4510.68,3370.79,1724.99,1371.92,1729.37,1114.65,1283.01,1622.14,1528.36,667.888,1057.07,5214.44,722.335,1787.98,1319.62,1463.64,1289.84,6064.08,3933.25,5711.99,1488.94,2516.37,3165.53
5700.62,3029.18,2675.81,2385.48,11535.4,15784.7,10905.6,5631.88,1342.55,2580.36,2095.94,2426.38,2436.73,5096.42,12630.5,5345.16,4469.39,4094.24,2418.84,7696.47,1875.92,8949.45,5269.57,1631.34,2939.87,4092.23,1488.04,2392.15,17408.7,9175.23,3559.51,2431.48,7045.73,3307.8,4655,2179.23,1406.28,2138.21,1901.77,1270.52,1085.31,1793.17,703.172,1472.62,5388.71,1252.49,1698.22,1723.26,1462.84,1875.85,4475.48,3429.47,4571.15,2318.93,2374.87,2719.26
