sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014
16667.7,20152.3,20844,18141.1,16814.4,16664.2,19248.3,28669.7,38463.2,37783.2,31120.9,23143.3,17588.9,14045.8,12178.3,12785,24089.7,28239.9,29004.5,25412,21287.8,19989,18583.5,20572.5,18297.9,17147.5,16697.8,15541.2,14645.9,14398.1,27239,33186.3,27681.3,23251.6,22236.6,20757.8,14778.8,10448.4,7754.18,7201.66,6741.29,6063.27,5453.57,5306.99,5152.26,4994.06,8142.35,10133.4,10929.4,10734.5,10065.1,9602.7,11485.5,13400.4,14679.9,14638.7,14689.7,16063.2,17551.9
16667.7,20152.3,20844,18141.1,16814.4,16664.2,19248.3,28669.7,38463.2,37783.2,31120.9,23143.3,17588.9,14045.8,12178.3,12785,24089.7,28239.9,29004.5,25412,21287.8,19989,18583.5,20572.5,18297.9,17147.5,16697.8,15541.2,14645.9,14398.1,27239,33186.3,27681.3,23251.6,22236.6,20757.8,14778.8,10448.4,7754.18,7201.66,6741.29,6063.27,5453.57,5306.99,5152.26,4994.06,8142.35,10133.4,10929.4,10734.5,10065.1,9602.7,11485.5,13400.4,14679.9,14638.7,14689.7,16063.2,17551.9
20826.7,23929.1,22644.2,18973.7,16981.2,16163.2,19581.8,33053.6,43026.3,41847.4,35040.9,25468.9,19674.3,15900.4,13427.3,13906.5,25118.3,30436.6,31273,28211.2,23730.7,21283,19426,21384.3,18960,17990.9,17270.7,16325.1,15818.2,16201.6,28311.2,33626.6,27432.2,23939.8,23306.5,21703,15517.1,11288.5,8692.5,7763.09,6955.32,6251.62,5375.34,5226.87,4994.94,5158.69,8504.72,10525.3,11605.1,11293.3,10197.1,9526.47,11999.4,13692.1,15259.4,16115.3,16593.1,19539,21636.2
22757.7,26706.2,25486.8,21172.6,18546.2,17473.8,18587.9,34662.2,46171.8,46843.6,39101,28875.1,22062.3,16720.2,13753.2,13123,26834,32070.3,31551.2,28442.8,23847,20632.1,18151.1,19982.3,17562.5,16615,16137.8,15867.5,15303.5,15820.8,28190.8,33431.1,27357.7,22225.2,22030.5,22697.1,16396,12194.6,9246.25,8493,7507.85,6752.57,5937.94,5385.45,5084.46,5218.19,9320.68,11817.5,12640.4,11853.3,10307.4,9470.53,11142.6,12630.7,14087,14359.9,14156.2,15637.4,17099.6
21079.6,24465.4,25807.1,22132.7,20844.5,20624.6,21261.9,37175.3,50194.3,51490.6,43005.9,31710.2,24073.1,18411.8,15825.7,15996.2,27401.5,32846.6,35719.8,32532.5,28161.9,24650.5,21947.8,22296.8,20278.5,18777,19667.2,21376,20965.9,21218.4,32202.4,38761,32156.5,27192.4,27282,24428,17552,13485.6,10592.3,9835.71,8622.07,7748.37,6968.41,6266.21,5746.21,5473.01,11065.1,13996,14733.7,13879.9,12323.9,11042.8,13569.8,14976.6,15829,15055.2,14298.1,19065.2,22197.9
24602.2,25882.4,26942.2,22531.2,21758.6,21091.7,21358.5,32788.6,49648.3,50368,40373.3,29024.6,21840.1,16418.8,14159.9,13567.5,23786.1,29157.3,32329.5,29420.1,25431.6,23607.7,20949.7,21846.2,19092.7,21321,21482.8,20917.8,18149.6,18382.3,41590.1,48220.4,38948.3,31394.7,29405.3,24541.4,18260.2,14364.3,11459.5,10680,9323.59,8864.41,8063.66,7449.56,6825.76,6300.99,11325.8,13445.8,14610.7,14427.7,13849.7,13153.4,15435.2,16994.4,17491.6,16783.3,15899.8,16993.9,18300
24572.9,27947.1,27576.3,22616.4,20141.8,18081.9,19090,30421.2,44012.1,44019.3,36592.2,26447.4,19185,14710.6,13248.3,12974.1,24005.9,28797.4,33425.8,30963.1,26989.8,25686.3,22957.5,26707,24010.9,22646.3,21120,19892.7,17822.2,17727.7,34737.2,40198.2,33576.1,28017.7,26228.1,23174.2,16561.6,12839.4,10592.2,10830.6,9997.81,9335.47,8355.28,7870.8,7290.02,6779.95,10371,12403.4,13516.2,13329.2,12974.1,12570.9,14696.3,16147.1,16914.5,16582.4,15976.6,17273.9,18719.8
21102.5,23545.7,24252.2,21229.2,19555.7,18579.1,18161.6,28698.1,42166.7,43410.2,35584.6,26191.4,19215.1,14897,14000.8,13917.1,27226.1,30758.5,34191.7,33115.7,29215.5,26745,23258.5,26936.7,25794.6,22907.9,20486.2,20388.5,19070.4,18347.8,28170.8,33599.6,27819.8,23251.5,22389.1,21268.4,15644.5,12543.6,10350.9,10158.1,9375.41,8885.08,8336.03,8118.61,7647.15,7513.6,11199.9,13546.3,14437.9,14645.3,14258.1,13942.2,17016.1,19726.4,23871.9,25316.1,25166.8,25347.4,25460.3
19597.8,22523.5,25684.5,23114.7,20913.5,21263.1,22963.8,31932.8,42707.7,43191.3,34686.9,25044.5,19290.3,15106.5,15014.4,16358.5,24620,26680.2,27641.2,26953.6,23222,22994.8,20836.3,22992.1,22346.2,19430.1,17934.1,17577.1,16403.4,15941.1,25756,32798.3,28009,24132.7,23242.2,21467.2,16024.4,11890.9,9322.05,9151.95,8730.86,8151.38,7875.38,8054.28,7811.27,7702.85,11168,12676.2,13528.6,13415.8,12798.2,12159.9,15666.8,19435.9,24077.6,24938.5,24857.5,24786.9,24852.1
18559.1,21546.2,23374.3,20351.1,18664.1,17505.1,23952.7,36313.3,46304,46707.8,36760.7,25724.2,18491.9,14125.7,12452.6,14701.9,23667.6,28120.9,28575.8,25886,20669.6,21079.4,19448.5,23028.7,22448.2,19562.6,18108.1,17739.2,16135.7,15340.5,26768.3,33236.4,28506,23707.2,24125.6,21771.5,16675.7,12944.2,10239.2,10251.7,10392.3,9859.45,9003.37,8926.75,8440.95,8407.7,11976.4,13772.7,14540.5,14499.2,13748.1,13314.7,15511,17974.4,20913.4,21635.8,21611.6,21485.3,21733.5
22159.4,23638,25545.9,21676.7,18979.1,18129.3,24698.2,37731.7,48888,48499.2,38858,26931.7,19548.5,15458,14226.7,16095.5,24577.6,28918.9,30137.1,27234.2,22431.3,23979.3,22529.7,27031.4,26901.1,23808.1,20836.6,18903.4,16586.4,15702.7,34256.5,41161.5,36076.8,29477.3,28192.5,24461.2,17843.4,13450.7,11398.7,10650.6,11015,10382.7,9608.31,9718.99,9141.65,9262.92,13747,15323.2,15353.2,15023.5,14129.1,13155.1,15653.5,19662.5,21758.5,22510.9,22976.2,23576.4,24057.8
25757.7,25951.7,25610.6,20848.6,18097.9,18329.4,25008.6,35088.4,51260.9,52783.2,43855.5,30652.1,21993,17398,15487.5,16787.9,25512.4,32416.1,33141.8,28962,23400.2,25133,24693.9,28131.1,26108.8,22328.3,19021.8,18002.8,16493.1,15906.2,34061.2,42638.6,36796.7,30355.1,27894.1,23105.5,17323.9,13971.3,11572.1,11309.5,12020,11559,11124.3,11643.7,11133.6,10968.3,15054,16493.4,17132.7,16416.8,14731.7,13656.2,15822.5,18033.9,20880.6,22691.8,23618,25000.2,25815.3
