ft1_gear1_1956,ft1_gear1_1957,ft1_gear1_1958,ft1_gear1_1959,ft1_gear1_1960,ft1_gear1_1961,ft1_gear1_1962,ft1_gear1_1963,ft1_gear1_1964,ft1_gear1_1965,ft1_gear1_1966,ft1_gear1_1967,ft1_gear1_1968,ft1_gear1_1969,ft1_gear1_1970,ft1_gear1_1971,ft1_gear1_1972,ft1_gear1_1973,ft1_gear1_1974,ft1_gear1_1975,ft1_gear1_1976,ft1_gear1_1977,ft1_gear1_1978,ft1_gear1_1979,ft1_gear1_1980,ft1_gear1_1981,ft1_gear1_1982,ft1_gear1_1983,ft1_gear1_1984,ft1_gear1_1985,ft1_gear1_1986,ft1_gear1_1987,ft1_gear1_1988,ft1_gear1_1989,ft1_gear1_1990,ft1_gear1_1991,ft1_gear1_1992,ft1_gear1_1993,ft1_gear1_1994,ft1_gear1_1995,ft1_gear1_1996,ft1_gear1_1997,ft1_gear1_1998,ft1_gear1_1999,ft1_gear1_2000,ft1_gear1_2001,ft1_gear1_2002,ft1_gear1_2003,ft1_gear1_2004,ft1_gear1_2005,ft1_gear1_2006,ft1_gear1_2007,ft1_gear1_2008,ft1_gear1_2009,ft1_gear1_2010,ft1_gear1_2011,ft1_gear1_2012,ft1_gear1_2013,ft1_gear2_1956,ft1_gear2_1957,ft1_gear2_1958,ft1_gear2_1959,ft1_gear2_1960,ft1_gear2_1961,ft1_gear2_1962,ft1_gear2_1963,ft1_gear2_1964,ft1_gear2_1965,ft1_gear2_1966,ft1_gear2_1967,ft1_gear2_1968,ft1_gear2_1969,ft1_gear2_1970,ft1_gear2_1971,ft1_gear2_1972,ft1_gear2_1973,ft1_gear2_1974,ft1_gear2_1975,ft1_gear2_1976,ft1_gear2_1977,ft1_gear2_1978,ft1_gear2_1979,ft1_gear2_1980,ft1_gear2_1981,ft1_gear2_1982,ft1_gear2_1983,ft1_gear2_1984,ft1_gear2_1985,ft1_gear2_1986,ft1_gear2_1987,ft1_gear2_1988,ft1_gear2_1989,ft1_gear2_1990,ft1_gear2_1991,ft1_gear2_1992,ft1_gear2_1993,ft1_gear2_1994,ft1_gear2_1995,ft1_gear2_1996,ft1_gear2_1997,ft1_gear2_1998,ft1_gear2_1999,ft1_gear2_2000,ft1_gear2_2001,ft1_gear2_2002,ft1_gear2_2003,ft1_gear2_2004,ft1_gear2_2005,ft1_gear2_2006,ft1_gear2_2007,ft1_gear2_2008,ft1_gear2_2009,ft1_gear2_2010,ft1_gear2_2011,ft1_gear2_2012,ft1_gear2_2013,ft1_gear3_1956,ft1_gear3_1957,ft1_gear3_1958,ft1_gear3_1959,ft1_gear3_1960,ft1_gear3_1961,ft1_gear3_1962,ft1_gear3_1963,ft1_gear3_1964,ft1_gear3_1965,ft1_gear3_1966,ft1_gear3_1967,ft1_gear3_1968,ft1_gear3_1969,ft1_gear3_1970,ft1_gear3_1971,ft1_gear3_1972,ft1_gear3_1973,ft1_gear3_1974,ft1_gear3_1975,ft1_gear3_1976,ft1_gear3_1977,ft1_gear3_1978,ft1_gear3_1979,ft1_gear3_1980,ft1_gear3_1981,ft1_gear3_1982,ft1_gear3_1983,ft1_gear3_1984,ft1_gear3_1985,ft1_gear3_1986,ft1_gear3_1987,ft1_gear3_1988,ft1_gear3_1989,ft1_gear3_1990,ft1_gear3_1991,ft1_gear3_1992,ft1_gear3_1993,ft1_gear3_1994,ft1_gear3_1995,ft1_gear3_1996,ft1_gear3_1997,ft1_gear3_1998,ft1_gear3_1999,ft1_gear3_2000,ft1_gear3_2001,ft1_gear3_2002,ft1_gear3_2003,ft1_gear3_2004,ft1_gear3_2005,ft1_gear3_2006,ft1_gear3_2007,ft1_gear3_2008,ft1_gear3_2009,ft1_gear3_2010,ft1_gear3_2011,ft1_gear3_2012,ft1_gear3_2013,ft1_gear4_1956,ft1_gear4_1957,ft1_gear4_1958,ft1_gear4_1959,ft1_gear4_1960,ft1_gear4_1961,ft1_gear4_1962,ft1_gear4_1963,ft1_gear4_1964,ft1_gear4_1965,ft1_gear4_1966,ft1_gear4_1967,ft1_gear4_1968,ft1_gear4_1969,ft1_gear4_1970,ft1_gear4_1971,ft1_gear4_1972,ft1_gear4_1973,ft1_gear4_1974,ft1_gear4_1975,ft1_gear4_1976,ft1_gear4_1977,ft1_gear4_1978,ft1_gear4_1979,ft1_gear4_1980,ft1_gear4_1981,ft1_gear4_1982,ft1_gear4_1983,ft1_gear4_1984,ft1_gear4_1985,ft1_gear4_1986,ft1_gear4_1987,ft1_gear4_1988,ft1_gear4_1989,ft1_gear4_1990,ft1_gear4_1991,ft1_gear4_1992,ft1_gear4_1993,ft1_gear4_1994,ft1_gear4_1995,ft1_gear4_1996,ft1_gear4_1997,ft1_gear4_1998,ft1_gear4_1999,ft1_gear4_2000,ft1_gear4_2001,ft1_gear4_2002,ft1_gear4_2003,ft1_gear4_2004,ft1_gear4_2005,ft1_gear4_2006,ft1_gear4_2007,ft1_gear4_2008,ft1_gear4_2009,ft1_gear4_2010,ft1_gear4_2011,ft1_gear4_2012,ft1_gear4_2013
0.146872,0.198773,0.355651,0.243366,0.174209,0.109653,0.128655,0.114984,0.205643,0.299528,0.388815,0.332819,0.295268,0.229919,0.117096,0.125345,0.1453,0.165702,0.232486,0.277015,0.249834,0.224082,0.157087,0.364196,0.299159,0.19237,0.186204,0.187498,0.142648,0.0867283,0.171114,0.378139,0.284911,0.18317,0.200109,0.505112,0.481631,0.431205,0.184983,0.172004,0.21062,0.247485,0.199185,0.140797,0.11976,0.0502084,0.0388581,0.053054,0.059992,0.0818422,0.0807819,0.0366817,0.0281437,0.0481601,0.0810591,0.0701088,0.0560927,0.0451057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.146872,0.198773,0.355651,0.243366,0.174209,0.109653,0.128655,0.114984,0.205643,0.299528,0.388815,0.332819,0.295268,0.229919,0.117096,0.125345,0.1453,0.165702,0.232486,0.277015,0.249834,0.224082,0.157087,0.364196,0.299159,0.19237,0.186204,0.187498,0.142648,0.0867283,0.171114,0.378139,0.284911,0.18317,0.200109,0.505112,0.481631,0.431205,0.184983,0.172004,0.21062,0.247485,0.199185,0.140797,0.11976,0.0502084,0.0388581,0.053054,0.059992,0.0818422,0.0807819,0.0366817,0.0281437,0.0481601,0.0810591,0.0701088,0.0560927,0.0451057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.160519,0.243425,0.418624,0.262112,0.197062,0.129494,0.144817,0.13379,0.235875,0.357516,0.457126,0.357905,0.321469,0.235162,0.122656,0.126429,0.149332,0.184114,0.255427,0.290878,0.250546,0.232983,0.174748,0.397024,0.314573,0.202118,0.20244,0.209142,0.154494,0.0925243,0.176157,0.394333,0.294766,0.204318,0.203267,0.552835,0.536136,0.462273,0.192859,0.170731,0.219242,0.234012,0.18758,0.133778,0.110316,0.0496615,0.0382841,0.0520485,0.061137,0.0845812,0.0849605,0.0397257,0.0313395,0.0499524,0.08014,0.0681922,0.0532243,0.0452157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.180746,0.231181,0.391278,0.248883,0.189703,0.118308,0.124779,0.106461,0.196839,0.302147,0.406058,0.34144,0.319404,0.209409,0.109507,0.100859,0.136094,0.168881,0.23675,0.297567,0.253169,0.246511,0.187957,0.441739,0.360603,0.198632,0.208756,0.214396,0.144197,0.0873598,0.164199,0.392297,0.315353,0.193392,0.181778,0.511198,0.470486,0.421802,0.17501,0.15485,0.181135,0.182577,0.140995,0.0986427,0.0883866,0.0390926,0.0316992,0.0435464,0.0505058,0.0724112,0.0739352,0.0347293,0.0241992,0.036864,0.0622499,0.0580783,0.0458692,0.0400541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.27618,0.343765,0.527973,0.349945,0.256432,0.162437,0.148968,0.152248,0.246929,0.347997,0.45961,0.413822,0.327106,0.22275,0.11665,0.109891,0.165443,0.213818,0.312395,0.393578,0.356831,0.33264,0.222228,0.548452,0.477081,0.245759,0.243032,0.233266,0.167695,0.104548,0.186849,0.415782,0.354838,0.218316,0.227328,0.558901,0.532774,0.487804,0.205459,0.198607,0.216328,0.235538,0.202147,0.148117,0.120486,0.049603,0.0419062,0.0557901,0.0590639,0.077908,0.080882,0.0361287,0.0316418,0.0488119,0.0700973,0.0570542,0.0471594,0.0455898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.209733,0.276345,0.485063,0.340193,0.253235,0.155006,0.15611,0.159998,0.249049,0.314691,0.416714,0.391789,0.30293,0.226511,0.108201,0.109842,0.171426,0.225385,0.319066,0.366669,0.316976,0.304016,0.217086,0.48677,0.461148,0.231134,0.242102,0.24096,0.151959,0.0850247,0.184986,0.386532,0.331032,0.208139,0.193941,0.480248,0.480547,0.415921,0.189191,0.175796,0.205425,0.214831,0.163566,0.105261,0.0854381,0.0353226,0.0307431,0.0416025,0.0439771,0.0581491,0.0586318,0.0255859,0.0224732,0.0345238,0.0534576,0.044166,0.0358008,0.0330842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.215194,0.264048,0.491251,0.309167,0.243661,0.156158,0.143355,0.150551,0.248351,0.303952,0.417645,0.363884,0.306553,0.22999,0.112306,0.108438,0.179678,0.241828,0.339601,0.414536,0.319218,0.310192,0.208979,0.466281,0.458129,0.269254,0.262745,0.244555,0.146202,0.0820561,0.185038,0.401719,0.325805,0.205354,0.195449,0.49879,0.506707,0.424781,0.195703,0.173907,0.204028,0.218528,0.169316,0.101841,0.0864296,0.0364957,0.0280851,0.0450769,0.0443072,0.0564136,0.0552951,0.0244762,0.0203195,0.0306672,0.0462907,0.0398632,0.0326511,0.0292474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.210221,0.266721,0.492272,0.306379,0.246997,0.166613,0.175275,0.165143,0.255564,0.312475,0.446795,0.364376,0.314925,0.264448,0.120853,0.115649,0.157638,0.20182,0.271775,0.347884,0.301302,0.299417,0.22156,0.477697,0.407525,0.264962,0.245658,0.244175,0.152558,0.0924334,0.180931,0.437516,0.356188,0.252874,0.234665,0.506958,0.458633,0.386072,0.180963,0.177858,0.210648,0.221688,0.1897,0.131478,0.109844,0.0464092,0.0352786,0.056496,0.0569681,0.0746132,0.070266,0.0317773,0.02372,0.0324,0.0547673,0.0476362,0.0389046,0.0312024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.186379,0.253237,0.52195,0.335868,0.290409,0.177485,0.189418,0.179522,0.251309,0.300441,0.439059,0.36532,0.341061,0.271288,0.119005,0.123938,0.157155,0.198176,0.284834,0.382195,0.316,0.28847,0.211794,0.42961,0.410752,0.242251,0.230533,0.228996,0.154339,0.0974734,0.18428,0.400254,0.32814,0.213388,0.219875,0.486117,0.453494,0.395471,0.197393,0.192436,0.203185,0.221649,0.200233,0.141769,0.117424,0.0435232,0.0349923,0.0529585,0.0506,0.0663379,0.0649932,0.0315442,0.0233693,0.0345787,0.062695,0.0508798,0.0421501,0.0350864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.152755,0.225188,0.471219,0.31032,0.246822,0.146456,0.160607,0.142458,0.22813,0.319358,0.433569,0.363717,0.351199,0.283103,0.123317,0.139824,0.145999,0.1672,0.252138,0.325613,0.285091,0.255811,0.182301,0.394214,0.391688,0.226399,0.209081,0.214397,0.139306,0.0825518,0.182615,0.3922,0.305381,0.201255,0.216736,0.54413,0.487049,0.421171,0.202154,0.206795,0.199936,0.235123,0.205395,0.146695,0.127244,0.0457043,0.0387804,0.0615092,0.060239,0.0844139,0.0792016,0.0389953,0.0264933,0.0468639,0.0837956,0.0653977,0.0599241,0.0477413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
