ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,bmsy,msy1,fmsy1,q1,q2,q3,SSB1,f
8783.27,0.573727,0.367661,4172.31,2578.52,0.088968,1.42349, 54074.7, 20954.7, 3690.25, 0.234409,0.124123,0.118277,0.0189215,16067.4,73.6992
8783.27,0.573727,0.367661,4172.31,2578.52,0.088968,1.42349, 54074.7, 20954.7, 3690.25, 0.234409,0.124123,0.118277,0.0189215,16067.4,73.6992
10036.6,0.530434,0.353323,3917.64,2085.93,0.088968,1.42349, 66572.2, 26560, 4102.24, 0.201215,0.124821,0.120262,0.0202167,16330.1,90.0807
7885.95,0.617344,0.341122,3889.6,1823.62,0.088968,1.42349, 55831.7, 20962, 3803.29, 0.239141,0.110082,0.100398,0.0192602,18567.1,107.533
6740.47,0.699272,0.307202,3154.91,940.329,0.088968,1.42349, 57756.1, 20486.8, 3978.36, 0.25372,0.135753,0.113318,0.023705,17325,123.676
7169.5,0.745379,0.332349,3887.11,1457.27,0.088968,1.42349, 53253.3, 18349.1, 4086.5, 0.300572,0.11295,0.0839235,0.0219094,23167.3,116.342
6935.94,0.728102,0.31239,3581.7,1054.89,0.088968,1.42349, 57665.3, 20077.7, 4143.35, 0.272576,0.116353,0.0792828,0.0223819,24950.3,122.871
5567.09,0.744013,0.326603,3499.28,1285.43,0.088968,1.42349, 42692.3, 14720, 3226.48, 0.294226,0.126041,0.090746,0.0225589,22781.4,117.078
4607.68,0.846234,0.323609,3397.97,1512.85,0.088968,1.42349, 35933.6, 11548.6, 2940.36, 0.349898,0.125071,0.0954253,0.0224086,20572.3,128.913
5313.42,0.833307,0.342617,3546.63,2036.7,0.088968,1.42349, 37315.5, 12103.3, 3164.65, 0.364761,0.127604,0.120534,0.0210611,14554.2,123.33
5811.79,0.783156,0.34883,3599.74,1881.29,0.088968,1.42349, 39478.3, 13263, 3259.55, 0.340058,0.125742,0.133343,0.0201268,14038.8,116.771
5506.91,0.787785,0.333143,3338.66,1307.72,0.088968,1.42349, 40725.2, 13635.2, 3252.36, 0.325663,0.138023,0.119284,0.0219446,18043.5,116.775
6431.76,0.636495,0.332058,3191.04,1824.94,0.088968,1.42349, 47850.4, 17725, 3266.86, 0.242274,0.130494,0.143904,0.0203144,15252.9,128.693
6063.23,0.630818,0.313682,2748.34,1245.3,0.088968,1.42349, 50035.2, 18575.7, 3241.1, 0.225752,0.146514,0.14536,0.0226861,14294,137.937
6592.94,0.589051,0.326539,2935.51,1506.82,0.088968,1.42349, 50577.6, 19330.9, 3200.97, 0.214393,0.140684,0.168745,0.0222193,11106.4,128.191
7224.73,0.599089,0.32813,2934.82,1240.86,0.088968,1.42349, 54934.1, 20857.4, 3539.32, 0.220472,0.148932,0.188412,0.0219325,10253.1,126.69
7253.79,0.622142,0.33114,3050.16,1200.6,0.088968,1.42349, 54240.5, 20283.7, 3629.23, 0.234245,0.151469,0.182592,0.0220991,9884.65,125.372
7051.79,0.641577,0.324928,3062.45,1054.54,0.088968,1.42349, 54587.9, 20141.5, 3685.04, 0.239414,0.14257,0.176899,0.0217439,10802.4,130.962
8134.61,0.501912,0.334182,3064,1389.71,0.088968,1.42349, 59814.8, 24309.2, 3342.26, 0.17549,0.140998,0.17283,0.0210033,10902.8,120.354
7098.41,0.621817,0.355816,3454.27,1643.28,0.088968,1.42349, 46469.6, 17412.1, 3295.91, 0.252684,0.132882,0.15597,0.020232,10612.8,123.374
6524.38,0.65308,0.332137,3010.4,1481.27,0.088968,1.42349, 48518.2, 17775.5, 3379.46, 0.250897,0.147389,0.183786,0.0216197,8547.78,123.325
7186.31,0.589898,0.320336,2985.32,1083.64,0.088968,1.42349, 57089.6, 21794.6, 3562.12, 0.210656,0.147138,0.158286,0.023586,10578.2,129.473
8031.7,0.549669,0.34366,3197.43,1402.88,0.088968,1.42349, 56089.5, 22057.9, 3487.66, 0.20548,0.141934,0.172481,0.0205584,9229.35,132.133
9028.71,0.500891,0.345975,3358.09,1709.74,0.088968,1.42349, 62272.6, 25358.9, 3573.41, 0.181314,0.137952,0.149046,0.0193412,11473.9,132.361
8739.2,0.5794,0.328177,3063.7,1331,0.088968,1.42349, 66432.1, 25560.7, 4163.42, 0.210693,0.147402,0.163396,0.0222563,11237.3,133.276
9035.18,0.601088,0.350575,3718.05,2368.58,0.088968,1.42349, 60807.5, 23097.9, 4145.99, 0.237408,0.127785,0.134289,0.0201019,14177.7,142.684
9762.2,0.525481,0.353368,3231.66,2203.1,0.088968,1.42349, 64736.6, 25918.9, 3955.42, 0.198578,0.152024,0.180144,0.0218974,10990.7,138.418
10015.4,0.458676,0.322984,2681.78,1718.15,0.088968,1.42349, 78382, 32849.2, 3886.16, 0.148366,0.168184,0.224476,0.0235633,8638.74,142.381
9170.93,0.502452,0.325292,2709.64,1666.05,0.088968,1.42349, 70847.5, 28753, 3876.62, 0.17104,0.154651,0.219169,0.0234083,9096.21,134.572
6965.64,0.543379,0.328562,2764.22,1953.28,0.088968,1.42349, 52836.8, 20839.3, 3134.9, 0.193062,0.144741,0.190566,0.0239606,9248.16,129.949
6594.63,0.62901,0.335078,3032.7,1631.88,0.088968,1.42349, 48253.1, 17967.6, 3287.99, 0.240706,0.154238,0.149689,0.0244796,13490.6,122.668
7095.73,0.588006,0.323022,2862.3,1847.5,0.088968,1.42349, 55520.5, 21228, 3478.18, 0.211524,0.159516,0.149531,0.0246805,13468.4,130.298
6891.61,0.642224,0.314096,2691.28,1641.04,0.088968,1.42349, 56735.6, 20905.9, 3730.81, 0.23155,0.160321,0.185365,0.0231725,11015.1,127.969
7271.24,0.550309,0.324447,2810.08,1953.4,0.088968,1.42349, 56439.2, 22144.2, 3352.23, 0.194,0.163443,0.167043,0.0233476,12146,123.784
11114.4,0.483967,0.33341,2953.48,1609.28,0.088968,1.42349, 82073.4, 33792.8, 4415.81, 0.166008,0.152292,0.141059,0.0228234,13350.4,132.088
10062.3,0.511099,0.341205,3180.13,1979.98,0.088968,1.42349, 71207.8, 28769.9, 4118.37, 0.184016,0.148611,0.129457,0.0219845,14170.9,122.171
5512.36,0.748843,0.335849,3255.49,1786.49,0.088968,1.42349, 40164, 13808.6, 3118.22, 0.305985,0.152663,0.124164,0.0228304,15963.4,120.1
5826.49,0.709305,0.346629,3358.86,1809.28,0.088968,1.42349, 40045.8, 14144, 3069.78, 0.29392,0.144522,0.138983,0.0208924,14279.2,122.093
5055.22,0.757881,0.332643,3078.85,1264.29,0.088968,1.42349, 37488, 12808.9, 2912.19, 0.307893,0.155413,0.167097,0.0229272,11686.2,131.237
7639.83,0.702453,0.337694,3148.25,1368.13,0.088968,1.42349, 55106.3, 19544.6, 4106.67, 0.28189,0.159832,0.159418,0.0225389,12653.5,127.702
