rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013
6058.6,5189.31,4252.2,4711.74,8192.22,20199.8,17055.6,6184.07,6053.38,5122.41,3219.88,3132.62,2785.2,4548.83,23613.1,4821.63,6886.16,4572.99,5154.63,7502.85,4345.63,9784.61,5893.83,5504.51,4074.98,3258.37,3902.63,3571.96,26729.6,10660.1,4520.26,4168.56,7010.76,6499.59,4303.46,2470.94,1756.4,1799.38,1656.61,1470.6,1570.85,1633.64,988.888,989.06,6591.49,1925.52,1648.69,1423.83,1668.39,1949.18,5281.69,3543.15,3320.53,2430.01,3163.68,5284.85,4245.96
6058.6,5189.31,4252.2,4711.74,8192.22,20199.8,17055.6,6184.07,6053.38,5122.41,3219.88,3132.62,2785.2,4548.83,23613.1,4821.63,6886.16,4572.99,5154.63,7502.85,4345.63,9784.61,5893.83,5504.51,4074.98,3258.37,3902.63,3571.96,26729.6,10660.1,4520.26,4168.56,7010.76,6499.59,4303.46,2470.94,1756.4,1799.38,1656.61,1470.6,1570.85,1633.64,988.888,989.06,6591.49,1925.52,1648.69,1423.83,1668.39,1949.18,5281.69,3543.15,3320.53,2430.01,3163.68,5284.85,4245.96
7982.17,4445.76,4281.07,3811.37,8268.62,16393.7,15649.4,5689.32,5447.09,8412.35,2816.17,2900.36,2504.4,5327.47,20321.4,4349.19,6458.83,4850.15,4482.74,6128.98,4075.29,10489.5,4388.78,5916.7,3246.7,2015.95,5467.65,2578.12,25297.2,9646.87,3537.11,3797.34,7789.77,5278.87,4314.39,3214.79,1752.52,1515.35,1463.58,2139.64,1247.35,1595.3,964.051,750.987,6750.32,1637.21,1149.33,1092.91,1199.75,1749.1,4926.39,4434.15,2861.41,2744.97,2393.92,5091.9,8072.27
4772.05,4856.39,3802.92,4025.46,9506.04,22048.5,9974.3,5394.62,6522.01,4994.85,2352.56,5140.81,2158.26,6997.73,18307.4,5097.42,5634.47,2979.88,3684.16,6591.63,3366.92,8521.15,6162.5,5167.37,3235.23,1840.24,6631.31,2171.96,25981.6,7503.31,4265.73,4721.35,7558.63,5268.37,3004.78,2625.49,2238.55,1499.88,2031.68,2093.72,1169.55,1735.39,1020.81,1019.06,7252.76,2589.85,818.906,789.316,1150.72,1845.78,8107.18,4741.46,1991.35,1834.66,3197.23,4294.34,8590
6781.35,3334.06,3430.02,2555.2,8572.37,11004.1,16575,3198.4,5575.7,5423.16,2918.65,3050.3,1514.74,5353.53,13654.2,1582.89,6919.27,1849.84,3807.95,5941.44,4418.69,5444.37,3942.66,5909.18,3838.35,1352.16,3229.06,1850.11,22852.8,6374.52,2687.79,5533.08,3455.28,6960.28,2626.13,2278.19,1442.11,1024.06,1557.17,1530.12,495.714,1560.15,1195.12,784.767,4734.45,2069.57,1181.89,1043.58,538.244,1220.3,3858.75,5750.34,2577.5,1847.82,2058.36,2864.48,7957.69
4241.42,4891.83,2537,4367.88,6985.58,12353.5,22521.8,3689.25,6302.32,5171.2,2922.83,2802.7,2166.8,4976.61,14369.4,1799.84,10421.7,2598.93,4928.61,6084.21,3276,8188.3,3239.67,7673.05,2616.36,3016.85,5511.28,3245.94,19052.3,12997.7,2392.44,5724.78,5823.68,7060.1,1860.32,2370.7,1553.87,1867.73,1185.89,2603.59,1022.04,2038.68,1266.87,1037.47,6948.29,2469.83,2129.06,1395.78,1433.94,1778.84,4970.55,7682.09,4419.71,2211.57,2671.11,5062.79,12648.9
4070.76,4693.96,1888.99,3660.48,8829.86,11146.5,19573,3094.35,5470.54,4464.43,1648.58,3511.08,1859.2,5902.84,11986.6,1441.13,9764.04,2782.88,5699.13,4923.8,3052.76,8982.78,2015.99,5150.6,3969,3311.29,5392.06,2299.87,18149.4,10408.3,2387.72,4879.42,5892.28,4591.12,2288.08,2271.47,1197.11,1972.27,801.155,2437.75,1268.08,1600.33,1063.78,887.493,7562.97,1167.72,2020.66,2132.3,1198.81,2074.5,5998.14,5273.56,4738.74,1765.51,2753.73,5730.3,13315
5753.94,5225.35,1649.51,3162.16,5695.49,14419.4,18388.1,6378.84,5122.94,4545.68,2767.19,1310.91,3854.46,5218.29,15642.2,2557.65,6227.56,1893.09,5364.14,5498.27,2405.06,11050.6,3194.78,3479.74,4470.08,3622.31,4802.96,1209.94,21793.3,7194.07,3840.5,2497.39,9230.57,8148.08,2519.16,1740.8,1138.69,1580.78,835.647,2594.32,973.175,1287.44,822.637,922.67,6614.22,717.771,1946.42,2568.67,964.247,2489.33,5812.48,6659.54,3043.89,1444.24,3063.48,6726.89,9019.33
4059.55,5706.5,1326.62,4361.29,4447.43,14401.1,22832,5291.29,3840.18,5642.86,1617.87,1627.75,4169.98,4353.6,15744.4,2139.1,5127.26,1374.87,6662.77,6705.7,2420.45,11454,2430.26,3848.83,4802.79,3446.4,4045.05,1114.98,20968.4,10880.2,3295.93,2756.55,8241.12,5063.41,2523.85,1922.21,877.389,2593.35,1145.55,1390.6,914.498,1140.12,1070.98,1854.32,6114.31,1144.05,1981.21,1306,1251.29,2301.45,5399.65,5872.61,2011.33,2037.74,3988.58,3875.53,9427.3
3936.6,5272.46,3543.08,4044.82,5371.2,18814.1,16742.1,4294.56,5233.82,7111.4,1364.05,2323.7,3732.55,3479.6,21364.4,2749.03,4590.62,1762.37,6512.58,8426.86,3413.55,8377.38,4001.88,4620.52,5391.41,3128.38,5464.43,1948.85,20058,12704.5,4643.7,2341.47,6370.51,6091.12,4341.11,2027.74,905.303,2567.12,2429.59,828.226,961.08,1010.28,1415.31,1592.43,5622.49,692.852,2331.68,916.852,1504.18,2397.6,4640.25,3265.15,2931.28,1844.2,2103.69,3441.73,6606.94
4739.3,5868.33,3126.68,5700.76,6469.03,19593.5,16442.5,4109.26,4843.94,5855.52,2021.85,1800.77,3386.27,2917.19,24132.5,1571.22,5204.85,2409.44,5577.45,6716.26,4387.44,11597.5,5977.21,4822.84,3488.2,4247.52,6524.28,1897.02,22029.3,14370.4,3565.93,3551.9,5263.44,6136.8,3387.45,2638.04,1055.54,1735.82,2018.33,908.089,1278.29,1205.61,1288.65,1411.2,4531.05,1078.65,2474.43,958.019,1964.61,1502.83,4081.87,3056.37,1295.43,1938.5,3815.92,4841.3,4903.84
4593.66,4124.37,4136.91,4061.53,6136.34,12492.5,22036.7,4295.54,6083.11,4059.68,1584.32,1726.57,1784.78,3173.25,23522.5,1729.79,2865.75,2061.75,6498.93,7261.29,3119.47,10206.1,5505.11,4941.88,3179.74,2261.52,4782.73,1649.84,26025.2,5412.29,4267.95,3903.84,8181.62,3340.91,2562.73,2785.94,1457.27,1120.4,1415.04,701.373,1568.56,1204.57,1407.78,1590.8,3915.11,1204.73,3154.01,768.854,1009.8,2139.68,4169.65,2404.9,2721.75,1821.88,3991.75,8060.26,4532.37
5630.69,3604.92,3305.94,2677.97,6682.24,15188.9,21423.8,2143.15,7565.86,3677.2,2130.54,1743.76,1843.25,2922.43,25181.9,2464.7,4432.98,1517.25,5155.26,8056.69,4200.74,9083.9,4932.01,4687.95,3415.5,2908.93,2908.47,1516.1,28582.2,4491.93,4791.5,4254.42,7210.46,3055.22,2715.49,2695.64,1569.78,1156.32,1832.96,617.08,1385.37,1286.17,2097.07,874.254,3978.39,1128.35,2003.38,768.03,857.37,1319,2318.75,1923.43,3552.05,2113.65,2732.13,7808.26,3916.41
3565.31,3584.12,2414.5,1636.9,7104.25,12238.9,23535.1,2579.84,6254.62,2882.78,1831.77,1174.05,1266.6,3218.07,22210.1,1767.85,3911.07,1137.09,4461.32,8706.8,3614.07,8421.94,5565.25,2303.63,3694.31,3335,1188.42,1720.44,25653.5,3255.2,6706.11,2166.36,7858.4,3238.54,2995.01,2369.48,1378.29,1375.32,1930.11,589.088,742.32,1079.03,1528.97,683.056,3842.05,1526.34,1549.3,386.907,899.099,1081.96,3046.23,2049,3865.1,1354.55,3095.47,3598.7,2295.49
4818.3,3908.54,1947.05,2862.55,9105.55,12275.5,20866.5,2631.91,5401.8,2884.53,3076.58,2198.01,1594.52,3740.5,20934,2992.98,3901.52,1626.47,4860.61,7765.41,3642.55,10129.6,5488.58,2312.32,4153.72,2353.81,1764.08,2158.54,29541.8,2967.8,4902.87,2272.35,7473.45,3250.98,4498.82,2390.18,1232.45,1890.85,2010.09,729.196,686.86,1335.82,1352.16,1078.18,3515.61,1806.16,1245.56,433.316,770.374,1050.66,2885.98,2240.53,1890.53,1333.73,2360.79,4186.68,2397.33
5448.99,3633.59,2103.37,3838.41,7244.11,15869.2,17364.2,2573.87,4315.7,2992.48,3638.7,2811.99,1525.32,3426.26,21561.7,2947.64,4494.53,2796.33,4237.27,7009.79,3917.89,10311.8,5279.3,2154.95,3070.45,2200.24,2008.89,1684.44,27777.5,4038.04,6119.34,2631.29,8143.41,2131.94,3457.69,2833.79,1268.72,1809.64,1335.97,1127.32,603.218,1038.84,1340.59,1065.67,3717.03,1178.11,1434.62,444.016,586.499,1004.93,2325.83,1748.93,1838.8,1315.55,2522.79,4546.36,3882.48
6098.61,2481.34,3681.57,2678.16,9891.48,16491.7,18978.4,1671.64,4261.83,3436.21,3831.27,3258.7,1911.88,2901.72,20906.9,1881.76,6609.73,2831.39,6076.48,5328.05,6186.34,8045.37,5562.76,2608.97,2440.51,1996.05,3379.29,1868.66,28170.1,2822.88,8373.89,3300.83,5130.62,3450.28,3068.91,3573.95,1789.34,1857.75,1148.58,921.129,804.736,1187.42,1349.92,1357.22,3369.85,1004.36,1666.18,531.015,644.687,1778.81,2725.2,1291.68,1752.1,1390.44,2666.93,3534.76,3568.62
4626.94,3144.58,4217.48,2299.11,8835,13501.9,19956.2,2311.93,4178.95,3580.83,2757.77,3011.32,2578.71,2802.61,17502.7,3416.52,5533.14,4905.36,6671.51,3756.1,6082.99,9444.71,3699.73,4218,1885.61,3841.53,3367.4,1454.46,25363.6,3134,11010.3,4096.51,3074.04,3025.91,5172.11,3259.45,1224.22,2144.46,1025.34,870.156,795.983,1292.68,1122.27,1394.67,4005.54,824.736,1168.67,752.202,833.632,1138.86,2619.64,1065.24,1496.91,2693.52,2940.52,3231.85,2188.85
4419.69,4290.42,4316.83,4110.91,5295.64,26032,12350.5,1962.95,5577.19,3681.19,2095.48,2162.06,2123.66,4523.83,23017.9,2665.79,5239.15,3746.32,5824.2,4649.09,4619.02,10033.3,4520.71,3322.15,2376.52,3055.34,4369.67,1816.45,27681,4779.53,8014.81,4753.62,3425.87,2964.04,3637.09,1550.89,1347.06,2708.13,1122.31,978.726,922.522,1336.4,1184.74,1128.1,4828.33,512.385,983.999,922.639,914.474,1224.49,3353.32,1421.87,1209.01,3026.51,2928.76,2633.45,1828.35
5626.69,6996.07,3983.56,4656.57,6012.37,19543.1,18088.6,3476.97,5929.41,6208.83,2514.06,2124.9,3141.31,3554.12,24378,1895.44,5499.85,4733.83,5389,5583.68,5403.07,11455,3756.11,4396.2,2267.88,3643.13,3683.26,2856.77,29815.4,4698.99,8826.35,3720.95,5098.97,3653.81,3187.66,1759.94,1819.1,2786,2164.03,720.708,1639.81,1557.79,1148.91,1131.85,6043.92,445.533,1908.89,1198.14,996.733,1606.09,2498.73,2318.13,1928.65,3325.32,1599.96,3156.67,1808.18
4841.92,5206.13,3153.86,3021.29,4753.73,28253.8,11827.6,4054.18,3804.64,4795.13,2049.98,2053.6,3235.06,2922.31,19097.5,1869.93,5588.6,3889.45,5053.63,3144.6,5600.03,11725,3194.08,3405.1,2399.41,3376.83,3205.31,3142.01,27559.7,4311.19,8069.82,3544.01,4214.51,2752.22,3409.68,1738.14,1789.58,1687.23,2412.04,667.845,1365.64,1249.29,1138.7,1127.44,3784.24,830.53,1539.21,804.315,839.872,1617.63,1950.53,1548.61,2370.66,1890.73,1423.46,1578.67,1621.76
5999.62,6253.69,2929.91,2583.42,6585.23,19885.6,8748.44,4205.81,6751.59,5240.21,1527.04,1515.88,3883.38,3768.66,16207.6,1339.11,4283.83,4397.36,5343.61,3152.26,4772.3,9986.52,3077.88,2892.04,2607.69,2468.72,2918.59,2568.23,29951.1,3102.37,7428.6,3711.83,3667.26,4451.59,1943.03,1535.9,1668.93,1955.13,2548.68,892.893,976.841,1001.65,1104.28,1320.97,2879.25,1500.62,1641.28,944.643,578.901,1799.03,2977.14,2476.52,2105.62,1543.06,1396.96,1953.54,3087.66
4001.54,5130.41,6046.86,3886.59,11785.5,24522.3,10219.8,3504.12,5142.07,6440.43,2373.81,1535.46,3155.86,4381.1,19071.1,4167.17,5260.16,3198.48,6284.17,2971.75,3531.7,11623.6,4303.44,3125.13,2366.91,3390.26,3285.19,2353.39,34507.5,5446.33,6417.49,1677.58,4639.89,5270.08,2579.71,1653.19,2116.97,1579.48,1779.13,1889.01,644.991,1332.65,1469.77,1151.19,3845.94,1287.27,1589.03,662.772,663.603,1645.76,3227.16,2703.6,1877.09,1691.81,1437.72,1579.89,1799.69
5935.43,5979.93,5805.59,3130.21,14851.8,22542.9,11948.7,2823.02,5596.15,5476.34,2406.54,2047.18,2518.35,5040.11,20392.6,3341.87,6930.84,4809.32,4936.31,4836.29,2802.1,9199.47,5007.59,3970.71,2109.64,3680.51,3328.77,1830.86,35803,5453.59,6832.06,1503.74,5093.09,5139.3,3650.33,1388.06,2136.09,1254.26,1760.62,980.404,889.138,1182.2,1839.49,1042.92,5003.62,1281.7,1415.47,994.532,839.243,1862.06,3507.49,2854.21,2532.47,1678.32,2363.12,2134.84,1768.36
