sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014
16659.1,20177.1,20867.4,18161.7,16832.4,16680.1,19264.3,28700.8,38504.6,37823.2,31154.4,23170,17609.5,14061.9,12190.9,12795.6,24120.2,28275.4,29039.5,25442,21312.8,20011.8,18603.3,20593.7,18318.7,17168,16716.9,15557.6,14659.6,14408.7,27271.1,33223.4,27714.5,23278.5,22258.9,20776.2,14793.7,10460.6,7764.5,7210.96,6749.97,6071.37,5461.35,5314.62,5159.22,5000.22,8154.03,10147,10942.3,10745.1,10073.1,9608.52,11492.8,13408.4,14687.1,14643.3,14691.6,16067.4,17601.6
16659.1,20177.1,20867.4,18161.7,16832.4,16680.1,19264.3,28700.8,38504.6,37823.2,31154.4,23170,17609.5,14061.9,12190.9,12795.6,24120.2,28275.4,29039.5,25442,21312.8,20011.8,18603.3,20593.7,18318.7,17168,16716.9,15557.6,14659.6,14408.7,27271.1,33223.4,27714.5,23278.5,22258.9,20776.2,14793.7,10460.6,7764.5,7210.96,6749.97,6071.37,5461.35,5314.62,5159.22,5000.22,8154.03,10147,10942.3,10745.1,10073.1,9608.52,11492.8,13408.4,14687.1,14643.3,14691.6,16067.4,17601.6
15793.5,17811.4,18933.9,16113.6,15337.5,15055,17840.1,25622.3,34274.3,33248.4,26492.8,21197.4,16889.2,13737.2,12037.3,13210.1,23220.8,26812.7,27182.2,23919.2,20042.8,18553.8,17157.9,19702.9,16914.2,16231.8,15703.9,13963.9,13912.8,13692.6,26177.2,31858.7,26057.8,21722.8,21316.9,19832.6,13796.1,9980.03,7580.51,7094.46,6636.9,6351.46,5794.2,5664.05,5503.74,5226.89,8453.63,10415.7,10991.2,10537.7,9538.18,8903.87,10653.3,13185.8,14726.9,15130.4,15042.6,16330.1,20046.1
14229.1,18726.6,19502.6,17061.2,16101.3,15893.3,19586.9,31319.9,39063.5,37665.1,31189.4,23253.1,17460.3,15004,13605,15867.3,25431.1,29310.8,29373.2,24843.5,19703.3,18192.9,16432.7,17901.4,15895,15103.9,15073,13529.2,14374.3,14522.7,27767.3,32893,27064,22850.4,22797.8,21651.9,14799,10604.2,8320.45,7864.69,7745.43,7616.18,7096.43,7028.14,6877.11,6653.46,10161.3,12809.7,13495.7,12770,11388.8,10466,13823.7,17428.2,18933.7,18472.4,18053.8,18567.1,22139.4
9859.9,13421.4,15267.8,12799.1,12068.5,11684.4,15418.6,21853.4,31680.6,31273.5,26336.5,20254.5,15696.3,13388.8,11944.7,13609.4,20933.8,22333.3,22939.1,18767.7,14810.2,13957.1,13674.8,14713.6,11729.6,11618.9,12806.2,12011.4,11695.9,11434.3,23552.2,28683.1,23436.4,20470.8,19103.9,18834.6,13040.4,9276.99,6910.03,6353.99,6095.58,5896.35,5144.26,5067.14,5231.83,5298.25,7840.87,9981.5,10999.2,11073.6,10150.6,9331.36,10572,13944.6,16251.2,16961.8,17064.2,17325,20758.1
12396.8,15758.2,15859.2,13487.5,11899.1,12094.7,14931.3,21209.5,33649.7,33817.4,29316.2,22463.4,16948.5,13897.2,12170.4,13401.1,20501.7,21462.2,23507.5,19953.3,16745.7,15864.7,14419.2,16141.6,12808.8,13054.6,13389.5,12831.9,13552.2,14445,24356.1,31297.1,25982.2,22507.6,21777.4,21598.7,14927.2,10432.8,7807.23,7389.17,6832.6,6909.07,6425.02,6643.62,6873.18,6928.44,10459.1,13087,14561.3,14676.1,13876.9,13051,14502.6,18603.7,21852.9,22638.9,22460,23167.3,28853.7
11664.9,15402,15983.6,13705.7,12214.4,12067.5,15977.9,22500.6,33858.3,33601.6,29084.1,22089.7,16430.3,13725.5,12097.1,14068.5,20446.1,20950.7,22583.7,19161.2,16413,15539.6,14151.7,16724.3,13136.3,11867.6,12343,12337.1,13577.1,14420.2,24132.7,29977.6,24674.4,21435.1,21203.9,20130.4,13843.4,9678.5,7225.53,7037.08,6511.01,6631.4,6394.12,6538.55,6730.89,6733.96,10746.5,13116,14472.7,15097.5,14581.7,14163,16511.1,19869.9,23028.2,23683.4,23630.3,24950.3,31657.5
11909.5,15124.3,16305.3,14286.3,12590.3,11863.5,13460.9,20463,31220.9,32725.6,28441.9,21195.1,16338.8,12457.4,11340.6,13187.9,21502,23742.9,24026.1,19896.4,16677.7,15628.8,13714.7,16954,14048.3,12173.7,12404.2,12474.8,13196.6,13008.3,24059.2,28530.1,22999.8,18213.9,19074.2,20408.5,15022.7,10822.1,8060.04,7343.59,6438.78,6429.14,5955.94,5721.64,5512.65,5375.24,8775.84,10509,11508.8,12295.3,11853.6,11872.9,14423.7,18690.3,21304.8,21281.9,20974.2,22781.4,27285.1
13265.8,15494.6,15303.7,13148.6,11227.7,11138.3,12503.2,19450.8,32728.1,34740.1,29778.5,22537.8,16670.1,12335.2,11360.9,12858.8,21045.3,23165,22955.6,18303.2,15753.5,15887.4,14613.9,18328.4,15213.9,13023.3,13481.7,13461.1,13648.4,13030.9,23402.9,29878.3,25211.3,20669.6,21046.8,20116,14305.8,10243.1,7443.08,7296.56,6829.54,6356.51,5624.62,5183.64,5074.51,5588.3,9120.89,11161.1,12322.5,12457.2,11833,11648.3,13879.6,17589.1,19359.2,19317.9,19791.7,20572.3,24864.9
16915.6,18711,17685.6,14453.1,13188.8,13007.8,14642.4,23775.6,34159.7,33831.3,27952.6,21870,16198.7,12194.7,10951.5,11709.1,22396.6,25939.8,25905.5,20979.1,17813.8,18173.1,17253.8,19016.3,15972.8,13925.5,14615.2,14339.2,14958.9,14840,24510.5,30914.5,26535.6,21762.3,20622.1,19304.3,13856.1,9949.42,7175.79,7012.41,7157.37,6559.68,5638.27,4990.84,4940.1,5265.12,8323.75,9715.98,10667.7,10479,9873.02,9849.06,11749.2,13730.6,14993.8,14732.1,14310.6,14554.2,17172.9
