ft1_gear1_1956,ft1_gear1_1957,ft1_gear1_1958,ft1_gear1_1959,ft1_gear1_1960,ft1_gear1_1961,ft1_gear1_1962,ft1_gear1_1963,ft1_gear1_1964,ft1_gear1_1965,ft1_gear1_1966,ft1_gear1_1967,ft1_gear1_1968,ft1_gear1_1969,ft1_gear1_1970,ft1_gear1_1971,ft1_gear1_1972,ft1_gear1_1973,ft1_gear1_1974,ft1_gear1_1975,ft1_gear1_1976,ft1_gear1_1977,ft1_gear1_1978,ft1_gear1_1979,ft1_gear1_1980,ft1_gear1_1981,ft1_gear1_1982,ft1_gear1_1983,ft1_gear1_1984,ft1_gear1_1985,ft1_gear1_1986,ft1_gear1_1987,ft1_gear1_1988,ft1_gear1_1989,ft1_gear1_1990,ft1_gear1_1991,ft1_gear1_1992,ft1_gear1_1993,ft1_gear1_1994,ft1_gear1_1995,ft1_gear1_1996,ft1_gear1_1997,ft1_gear1_1998,ft1_gear1_1999,ft1_gear1_2000,ft1_gear1_2001,ft1_gear1_2002,ft1_gear1_2003,ft1_gear1_2004,ft1_gear1_2005,ft1_gear1_2006,ft1_gear1_2007,ft1_gear1_2008,ft1_gear1_2009,ft1_gear1_2010,ft1_gear1_2011,ft1_gear1_2012,ft1_gear1_2013,ft1_gear2_1956,ft1_gear2_1957,ft1_gear2_1958,ft1_gear2_1959,ft1_gear2_1960,ft1_gear2_1961,ft1_gear2_1962,ft1_gear2_1963,ft1_gear2_1964,ft1_gear2_1965,ft1_gear2_1966,ft1_gear2_1967,ft1_gear2_1968,ft1_gear2_1969,ft1_gear2_1970,ft1_gear2_1971,ft1_gear2_1972,ft1_gear2_1973,ft1_gear2_1974,ft1_gear2_1975,ft1_gear2_1976,ft1_gear2_1977,ft1_gear2_1978,ft1_gear2_1979,ft1_gear2_1980,ft1_gear2_1981,ft1_gear2_1982,ft1_gear2_1983,ft1_gear2_1984,ft1_gear2_1985,ft1_gear2_1986,ft1_gear2_1987,ft1_gear2_1988,ft1_gear2_1989,ft1_gear2_1990,ft1_gear2_1991,ft1_gear2_1992,ft1_gear2_1993,ft1_gear2_1994,ft1_gear2_1995,ft1_gear2_1996,ft1_gear2_1997,ft1_gear2_1998,ft1_gear2_1999,ft1_gear2_2000,ft1_gear2_2001,ft1_gear2_2002,ft1_gear2_2003,ft1_gear2_2004,ft1_gear2_2005,ft1_gear2_2006,ft1_gear2_2007,ft1_gear2_2008,ft1_gear2_2009,ft1_gear2_2010,ft1_gear2_2011,ft1_gear2_2012,ft1_gear2_2013,ft1_gear3_1956,ft1_gear3_1957,ft1_gear3_1958,ft1_gear3_1959,ft1_gear3_1960,ft1_gear3_1961,ft1_gear3_1962,ft1_gear3_1963,ft1_gear3_1964,ft1_gear3_1965,ft1_gear3_1966,ft1_gear3_1967,ft1_gear3_1968,ft1_gear3_1969,ft1_gear3_1970,ft1_gear3_1971,ft1_gear3_1972,ft1_gear3_1973,ft1_gear3_1974,ft1_gear3_1975,ft1_gear3_1976,ft1_gear3_1977,ft1_gear3_1978,ft1_gear3_1979,ft1_gear3_1980,ft1_gear3_1981,ft1_gear3_1982,ft1_gear3_1983,ft1_gear3_1984,ft1_gear3_1985,ft1_gear3_1986,ft1_gear3_1987,ft1_gear3_1988,ft1_gear3_1989,ft1_gear3_1990,ft1_gear3_1991,ft1_gear3_1992,ft1_gear3_1993,ft1_gear3_1994,ft1_gear3_1995,ft1_gear3_1996,ft1_gear3_1997,ft1_gear3_1998,ft1_gear3_1999,ft1_gear3_2000,ft1_gear3_2001,ft1_gear3_2002,ft1_gear3_2003,ft1_gear3_2004,ft1_gear3_2005,ft1_gear3_2006,ft1_gear3_2007,ft1_gear3_2008,ft1_gear3_2009,ft1_gear3_2010,ft1_gear3_2011,ft1_gear3_2012,ft1_gear3_2013,ft1_gear4_1956,ft1_gear4_1957,ft1_gear4_1958,ft1_gear4_1959,ft1_gear4_1960,ft1_gear4_1961,ft1_gear4_1962,ft1_gear4_1963,ft1_gear4_1964,ft1_gear4_1965,ft1_gear4_1966,ft1_gear4_1967,ft1_gear4_1968,ft1_gear4_1969,ft1_gear4_1970,ft1_gear4_1971,ft1_gear4_1972,ft1_gear4_1973,ft1_gear4_1974,ft1_gear4_1975,ft1_gear4_1976,ft1_gear4_1977,ft1_gear4_1978,ft1_gear4_1979,ft1_gear4_1980,ft1_gear4_1981,ft1_gear4_1982,ft1_gear4_1983,ft1_gear4_1984,ft1_gear4_1985,ft1_gear4_1986,ft1_gear4_1987,ft1_gear4_1988,ft1_gear4_1989,ft1_gear4_1990,ft1_gear4_1991,ft1_gear4_1992,ft1_gear4_1993,ft1_gear4_1994,ft1_gear4_1995,ft1_gear4_1996,ft1_gear4_1997,ft1_gear4_1998,ft1_gear4_1999,ft1_gear4_2000,ft1_gear4_2001,ft1_gear4_2002,ft1_gear4_2003,ft1_gear4_2004,ft1_gear4_2005,ft1_gear4_2006,ft1_gear4_2007,ft1_gear4_2008,ft1_gear4_2009,ft1_gear4_2010,ft1_gear4_2011,ft1_gear4_2012,ft1_gear4_2013
0.172313,0.211957,0.37049,0.25688,0.188422,0.121452,0.147101,0.11562,0.205437,0.299508,0.392405,0.344246,0.314387,0.252394,0.131477,0.143772,0.143955,0.161153,0.228751,0.277308,0.256739,0.238862,0.169999,0.385183,0.317067,0.204915,0.199569,0.204434,0.161401,0.101031,0.162246,0.373778,0.288642,0.189916,0.212755,0.54837,0.52235,0.469409,0.199558,0.180661,0.21578,0.249183,0.199382,0.143332,0.12215,0.0498497,0.0396667,0.0554217,0.0638686,0.0885486,0.0892209,0.0412336,0.0310916,0.0524043,0.0877816,0.0753731,0.0598655,0.0480577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.172313,0.211957,0.37049,0.25688,0.188422,0.121452,0.147101,0.11562,0.205437,0.299508,0.392405,0.344246,0.314387,0.252394,0.131477,0.143772,0.143955,0.161153,0.228751,0.277308,0.256739,0.238862,0.169999,0.385183,0.317067,0.204915,0.199569,0.204434,0.161401,0.101031,0.162246,0.373778,0.288642,0.189916,0.212755,0.54837,0.52235,0.469409,0.199558,0.180661,0.21578,0.249183,0.199382,0.143332,0.12215,0.0498497,0.0396667,0.0554217,0.0638686,0.0885486,0.0892209,0.0412336,0.0310916,0.0524043,0.0877816,0.0753731,0.0598655,0.0480577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.172313,0.211957,0.37049,0.25688,0.188422,0.121452,0.147101,0.11562,0.205437,0.299508,0.392405,0.344246,0.314387,0.252394,0.131477,0.143772,0.143955,0.161153,0.228751,0.277308,0.256739,0.238862,0.169999,0.385183,0.317067,0.204915,0.199569,0.204434,0.161401,0.101031,0.162246,0.373778,0.288642,0.189916,0.212755,0.54837,0.52235,0.469409,0.199558,0.180661,0.21578,0.249183,0.199382,0.143332,0.12215,0.0498497,0.0396667,0.0554217,0.0638686,0.0885486,0.0892209,0.0412336,0.0310916,0.0524043,0.0877816,0.0753731,0.0598655,0.0480577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.172313,0.211957,0.37049,0.25688,0.188422,0.121452,0.147101,0.11562,0.205437,0.299508,0.392405,0.344246,0.314387,0.252394,0.131477,0.143772,0.143955,0.161153,0.228751,0.277308,0.256739,0.238862,0.169999,0.385183,0.317067,0.204915,0.199569,0.204434,0.161401,0.101031,0.162246,0.373778,0.288642,0.189916,0.212755,0.54837,0.52235,0.469409,0.199558,0.180661,0.21578,0.249183,0.199382,0.143332,0.12215,0.0498497,0.0396667,0.0554217,0.0638686,0.0885486,0.0892209,0.0412336,0.0310916,0.0524043,0.0877816,0.0753731,0.0598655,0.0480577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.172313,0.211957,0.37049,0.25688,0.188422,0.121452,0.147101,0.11562,0.205437,0.299508,0.392405,0.344246,0.314387,0.252394,0.131477,0.143772,0.143955,0.161153,0.228751,0.277308,0.256739,0.238862,0.169999,0.385183,0.317067,0.204915,0.199569,0.204434,0.161401,0.101031,0.162246,0.373778,0.288642,0.189916,0.212755,0.54837,0.52235,0.469409,0.199558,0.180661,0.21578,0.249183,0.199382,0.143332,0.12215,0.0498497,0.0396667,0.0554217,0.0638686,0.0885486,0.0892209,0.0412336,0.0310916,0.0524043,0.0877816,0.0753731,0.0598655,0.0480577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158771,0.220289,0.377638,0.264751,0.187041,0.113207,0.14083,0.108729,0.194282,0.287703,0.375724,0.326047,0.30688,0.252264,0.122584,0.14101,0.139013,0.163595,0.23182,0.292151,0.271587,0.237499,0.152379,0.318539,0.291908,0.187986,0.189595,0.201291,0.17675,0.110928,0.157373,0.347056,0.259562,0.174928,0.193176,0.513511,0.506549,0.462012,0.187019,0.175614,0.211712,0.24515,0.209985,0.139095,0.125091,0.0542899,0.0401211,0.0529197,0.0645412,0.0881064,0.0899948,0.041823,0.0303925,0.0506687,0.0828357,0.0711165,0.0573255,0.0474297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.147495,0.211657,0.362764,0.258724,0.185894,0.112634,0.131654,0.110374,0.189763,0.290933,0.375654,0.314392,0.287287,0.242001,0.122983,0.131351,0.144005,0.163564,0.232192,0.28522,0.263938,0.232613,0.148399,0.307679,0.277568,0.184295,0.19119,0.197609,0.174426,0.101566,0.159074,0.338375,0.25065,0.165249,0.193113,0.489937,0.501593,0.428474,0.183237,0.172893,0.200433,0.224036,0.180841,0.116356,0.107092,0.0442307,0.0370788,0.0483217,0.0610767,0.0810807,0.0840347,0.0367562,0.0269715,0.0456116,0.0706469,0.0650644,0.0491185,0.0411622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.175575,0.214942,0.36012,0.255458,0.185617,0.114807,0.138668,0.101206,0.185644,0.295814,0.373489,0.33651,0.297021,0.264534,0.140287,0.146421,0.149948,0.168835,0.243519,0.305625,0.300853,0.247182,0.156381,0.309944,0.285784,0.195378,0.193777,0.20013,0.177032,0.0959818,0.158269,0.348813,0.257009,0.171307,0.193578,0.474841,0.508211,0.430217,0.188157,0.167221,0.187885,0.214992,0.167519,0.105757,0.0956657,0.0389976,0.0344874,0.0449387,0.0548513,0.0693245,0.0717498,0.032367,0.0243238,0.0402651,0.0597162,0.0556434,0.0427483,0.0324252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.173573,0.200452,0.338646,0.239189,0.168626,0.108831,0.123798,0.101353,0.175813,0.288482,0.35717,0.311131,0.290777,0.264751,0.137969,0.144264,0.134545,0.156934,0.233228,0.296359,0.292439,0.239485,0.143362,0.304628,0.261016,0.180519,0.1713,0.171858,0.154359,0.084409,0.155924,0.335328,0.240949,0.161529,0.188792,0.442377,0.472717,0.404454,0.169509,0.157944,0.173557,0.196626,0.150978,0.0991524,0.0948109,0.0382508,0.0348071,0.0417048,0.0529899,0.0706986,0.0745614,0.0342852,0.0258708,0.0411887,0.0631538,0.0610289,0.046997,0.0333356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.180372,0.196394,0.35328,0.250892,0.173543,0.10695,0.120662,0.10771,0.176587,0.287521,0.345106,0.311322,0.309753,0.278061,0.143747,0.144857,0.138699,0.155815,0.231835,0.288805,0.280381,0.223629,0.138288,0.287321,0.233979,0.16711,0.171131,0.178584,0.161045,0.0907636,0.146883,0.339375,0.238884,0.155809,0.184102,0.458123,0.467952,0.400782,0.171156,0.153914,0.180515,0.210699,0.165358,0.109828,0.104224,0.0424325,0.0385635,0.0466519,0.0594454,0.082142,0.0870215,0.0411299,0.0318162,0.0530303,0.0817978,0.0784056,0.0619262,0.0445991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
