ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,bmsy,msy1,fmsy1,q1,q2,q3,SSB1,f
8418.79,0.600886,0.387533,4327.07,2492.97,0.088968,1.42349, 47052.7, 17892.1, 3474.33, 0.264296,0.128039,0.127228,0.0197221,15206.5,79.1854
8418.79,0.600886,0.387533,4327.07,2492.97,0.088968,1.42349, 47052.7, 17892.1, 3474.33, 0.264296,0.128039,0.127228,0.0197221,15206.5,79.1854
8418.79,0.600886,0.387533,4327.07,2492.97,0.088968,1.42349, 47052.7, 17892.1, 3474.33, 0.264296,0.128039,0.127228,0.0197221,15206.5,79.1854
8418.79,0.600886,0.387533,4327.07,2492.97,0.088968,1.42349, 47052.7, 17892.1, 3474.33, 0.264296,0.128039,0.127228,0.0197221,15206.5,79.1854
8418.79,0.600886,0.387533,4327.07,2492.97,0.088968,1.42349, 47052.7, 17892.1, 3474.33, 0.264296,0.128039,0.127228,0.0197221,15206.5,79.1854
8328.12,0.636013,0.400407,4497.55,2659.26,0.088968,1.42349, 43709.1, 16231, 3473.61, 0.297279,0.123443,0.123004,0.0187258,15852.5,90.0707
8409.37,0.731829,0.404601,4884.65,3102.43,0.088968,1.42349, 43255.1, 15029.3, 3848.21, 0.367488,0.115202,0.109272,0.0183166,17990.5,95.9603
6533.32,0.8245,0.387431,4697.87,2773.87,0.088968,1.42349, 36533.2, 11882.3, 3396.07, 0.415797,0.109829,0.0946983,0.0185508,22147.6,111.332
6370.86,0.843426,0.399642,4929.97,2886.83,0.088968,1.42349, 33560.4, 10752.8, 3253.32, 0.448854,0.104347,0.0962179,0.0174814,21791.3,119.597
7060.95,0.765339,0.392147,4452.52,2518.04,0.088968,1.42349, 38577.2, 13093.1, 3445.86, 0.37729,0.110592,0.119774,0.01769,17140.5,116.513
6802.59,0.782596,0.39329,4524.11,3122.07,0.088968,1.42349, 36958.3, 12389.9, 3360.48, 0.391421,0.109252,0.118798,0.0178168,17333,114.921
6614.27,0.797628,0.396957,4605.68,3249.01,0.088968,1.42349, 35298.7, 11704.2, 3277.52, 0.40763,0.103215,0.112164,0.0177502,17553.2,119.738
7646.35,0.755738,0.402888,4778.1,3189.92,0.088968,1.42349, 39654.7, 13547.8, 3594.8, 0.383148,0.104082,0.111979,0.0172973,18027.2,122.614
8230.93,0.795812,0.422719,5476.25,3258.99,0.088968,1.42349, 38877, 12889.5, 3809.52, 0.441419,0.0960801,0.0937986,0.0158355,21182.1,118.556
8748.52,0.771091,0.423071,5461.13,3368.29,0.088968,1.42349, 41254.6, 13929.2, 3959.39, 0.42087,0.100376,0.0927321,0.0159284,23434.3,121.771
9519.19,0.742766,0.429349,5571.08,3225.99,0.088968,1.42349, 43611.2, 15026.7, 4132.4, 0.405606,0.0995794,0.0942549,0.0154457,22293.5,122.881
9667,0.742831,0.424589,5387.72,3113.6,0.088968,1.42349, 45267.3, 15599.2, 4246.98, 0.399711,0.103895,0.0987619,0.0158859,19157.2,127.653
9202.81,0.77489,0.427687,5394.28,3972.22,0.088968,1.42349, 42483.9, 14300.8, 4131.07, 0.430299,0.105562,0.0943051,0.0161636,19373.3,122.128
9095.44,0.77317,0.43122,5533.21,3875.36,0.088968,1.42349, 41315.4, 13922.2, 4041.09, 0.433652,0.101868,0.0943605,0.0154761,20845.5,122.719
10450,0.668714,0.447134,5685.87,3995.19,0.088968,1.42349, 44192.2, 16049.5, 4026.18, 0.366622,0.102325,0.10679,0.0145977,19829.6,122.487
10181,0.671525,0.444352,5458.84,3546.94,0.088968,1.42349, 43590.3, 15799.5, 3961.22, 0.365851,0.10058,0.114417,0.0146991,16209.2,124.586
8518.79,0.721741,0.43416,5411.47,2797.42,0.088968,1.42349, 38182.5, 13354.5, 3581.02, 0.39441,0.107508,0.1012,0.0159573,20911,122.642
8320.85,0.693275,0.423807,5151.25,2876.42,0.088968,1.42349, 39104.5, 13958.6, 3486.32, 0.360358,0.109302,0.103491,0.0156449,19875.9,127.35
7484.03,0.778742,0.421694,5334.12,2862.9,0.088968,1.42349, 35517.5, 11926, 3421.96, 0.425421,0.101224,0.0939239,0.0153997,22483.3,125.566
7288.89,0.767059,0.425728,5393.68,2695.68,0.088968,1.42349, 33952.7, 11496.1, 3265.09, 0.421034,0.0982344,0.0896218,0.0157244,23530.3,127.007
7370.54,0.775014,0.436155,5582.9,2638.34,0.088968,1.42349, 32738.9, 11013.7, 3240.55, 0.442109,0.0981488,0.08768,0.0160734,23127.8,128.06
7731.68,0.737225,0.445501,5510.05,2462.15,0.088968,1.42349, 32934.4, 11385.8, 3209.8, 0.421576,0.1011,0.105371,0.0158814,18622.1,129.986
9466.24,0.645928,0.440283,5623.61,2449.77,0.088968,1.42349, 41273.5, 15234.1, 3611.78, 0.34175,0.0954036,0.0926631,0.0154872,23070.1,129.199
9035.71,0.621758,0.429742,5405.35,2110.55,0.088968,1.42349, 41322, 15512, 3434.47, 0.313833,0.0930752,0.0926206,0.0154913,21786.9,124.949
7863.31,0.67456,0.424606,5509.53,1978.92,0.088968,1.42349, 36818.3, 13316.6, 3222.36, 0.347266,0.0895538,0.0819223,0.0149296,24906.9,127.665
8667.23,0.644175,0.437756,5751.43,2508.18,0.088968,1.42349, 38221.6, 14124.8, 3320.39, 0.337915,0.0911872,0.0830055,0.0148956,24432.6,124.084
8852.15,0.65,0.444514,5829.75,2859.14,0.088968,1.42349, 37873.2, 13939.2, 3359.24, 0.349145,0.0953364,0.0852888,0.015301,23442,122.75
10230,0.53086,0.445796,5761.06,2685.76,0.088968,1.42349, 43519.4, 17456.1, 3273.04, 0.261571,0.0959609,0.0955142,0.0148308,19344.1,126.838
9584.47,0.645081,0.461062,6187.84,3166.39,0.088968,1.42349, 38133.5, 14084.8, 3477.34, 0.362322,0.093409,0.0936672,0.0139941,19848.2,126.951
9259.32,0.654719,0.459451,6058.05,3816.75,0.088968,1.42349, 37098, 13607.7, 3410.38, 0.368533,0.0939436,0.102444,0.0134685,18415.5,124.892
9181.19,0.658246,0.453135,5970.7,3976.21,0.088968,1.42349, 37812.7, 13835.3, 3446.09, 0.364656,0.0958704,0.102643,0.0134921,17024.4,130.263
11447.4,0.525634,0.447174,5736.6,3771.56,0.088968,1.42349, 48401.3, 19491.8, 3617.91, 0.258774,0.0943332,0.109412,0.0131732,16080.1,130.632
