rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013
6240.75,4980.77,4106.13,4545.11,7413.1,25513.9,16514.3,6930.88,6381.16,5005.51,3277.65,3125.5,2751.87,4207.94,27834.4,5015.29,6654.01,4697.7,5105.8,7169.78,4775.12,10928.6,6119.29,5674.39,4296.84,3218.88,3412.44,3328.23,34050.1,6751.34,4862.08,4450.23,6911.83,6924.01,5314.99,2783.77,2019.03,2077.47,1909.97,1648.37,1669.88,1584.66,1158.73,1333.75,6352.68,1917.57,1693.68,1473.03,1575.31,1849.25,5438.67,3747.57,3424.25,2714.02,3381.53,5282.62,4370.16
6240.75,4980.77,4106.13,4545.11,7413.1,25513.9,16514.3,6930.88,6381.16,5005.51,3277.65,3125.5,2751.87,4207.94,27834.4,5015.29,6654.01,4697.7,5105.8,7169.78,4775.12,10928.6,6119.29,5674.39,4296.84,3218.88,3412.44,3328.23,34050.1,6751.34,4862.08,4450.23,6911.83,6924.01,5314.99,2783.77,2019.03,2077.47,1909.97,1648.37,1669.88,1584.66,1158.73,1333.75,6352.68,1917.57,1693.68,1473.03,1575.31,1849.25,5438.67,3747.57,3424.25,2714.02,3381.53,5282.62,4370.16
6240.75,4980.77,4106.13,4545.11,7413.1,25513.9,16514.3,6930.88,6381.16,5005.51,3277.65,3125.5,2751.87,4207.94,27834.4,5015.29,6654.01,4697.7,5105.8,7169.78,4775.12,10928.6,6119.29,5674.39,4296.84,3218.88,3412.44,3328.23,34050.1,6751.34,4862.08,4450.23,6911.83,6924.01,5314.99,2783.77,2019.03,2077.47,1909.97,1648.37,1669.88,1584.66,1158.73,1333.75,6352.68,1917.57,1693.68,1473.03,1575.31,1849.25,5438.67,3747.57,3424.25,2714.02,3381.53,5282.62,4370.16
6240.75,4980.77,4106.13,4545.11,7413.1,25513.9,16514.3,6930.88,6381.16,5005.51,3277.65,3125.5,2751.87,4207.94,27834.4,5015.29,6654.01,4697.7,5105.8,7169.78,4775.12,10928.6,6119.29,5674.39,4296.84,3218.88,3412.44,3328.23,34050.1,6751.34,4862.08,4450.23,6911.83,6924.01,5314.99,2783.77,2019.03,2077.47,1909.97,1648.37,1669.88,1584.66,1158.73,1333.75,6352.68,1917.57,1693.68,1473.03,1575.31,1849.25,5438.67,3747.57,3424.25,2714.02,3381.53,5282.62,4370.16
6240.75,4980.77,4106.13,4545.11,7413.1,25513.9,16514.3,6930.88,6381.16,5005.51,3277.65,3125.5,2751.87,4207.94,27834.4,5015.29,6654.01,4697.7,5105.8,7169.78,4775.12,10928.6,6119.29,5674.39,4296.84,3218.88,3412.44,3328.23,34050.1,6751.34,4862.08,4450.23,6911.83,6924.01,5314.99,2783.77,2019.03,2077.47,1909.97,1648.37,1669.88,1584.66,1158.73,1333.75,6352.68,1917.57,1693.68,1473.03,1575.31,1849.25,5438.67,3747.57,3424.25,2714.02,3381.53,5282.62,4370.16
8404.96,5733.33,4410.98,6195.21,6686.49,30389.3,15134.3,7612.01,7105.58,5139.78,2907.58,3863.3,2923.94,4367,29254.4,4578.07,6244.57,5071.35,5621.15,9466.14,6986.56,12020.2,4087.84,7401.2,3514.03,2909.84,2997.13,3150.92,40980.8,7284.65,5792.18,2889.9,9051.78,6303.26,5018.51,3215.07,2213.83,2204.89,1715.95,1743.39,1569.55,1910.09,1351.94,902.453,7102.18,2310.05,1305.14,1841.27,1708.92,1871.49,6457.26,3391.71,4844.09,3175.32,2947.66,5486.23,3990.1
7698.07,5051.74,4198,6403.61,9590.85,25964.5,16929.9,6783.53,7978.81,7154.16,2721.8,2889.07,2913.84,5633.57,27751.1,5716.1,6089.73,5329.44,6271.07,9432.3,7936.31,12323.8,3945.67,6778.58,4171.29,2752.96,3900.29,4268.06,37532.2,11428.6,5790.84,3981.56,6285.02,8368.22,4359.13,3299.25,2131.96,2296.41,1996.64,2105.96,1856.69,2236.22,1631,1252.8,6487.31,3439.12,1222.72,2101.69,2066.95,2479.67,7301.3,3622.53,5602.84,2918.27,3882.17,6178.52,5329.37
5821.7,4697.88,3099.14,6912.65,7931.1,32888.8,10228.6,6777.2,7808.71,5622.86,2386.71,2096.02,2132.23,6010.17,27357.6,5287.54,4637.15,4103.96,4341.66,13022.2,5649.99,13803.8,2754.96,5831.98,4774.32,2301.67,3790.01,5295.81,34298.6,9447.89,4660.55,4369.05,6341.76,8370.93,3244.48,3881.44,1509.86,3126.53,2087.59,1558.17,2115.06,2401.3,1614.26,1341.16,6208.05,3938.22,1456.53,1787.63,2081.58,2841.89,7117.56,4450.96,5791.34,3289.49,3666.45,9239.26,7316.76
5274.36,5326.32,3815.55,6847.96,9296.15,30880.3,13530.2,4713.64,11547.9,5814.81,1850.92,2143.75,2293.87,7948.75,31803.9,3229.88,4182.36,4534.19,5955.59,11935.5,8439.12,12815.2,3708.36,5691.91,4925.7,3656.45,3179.14,5507.55,35018,13844,5213.33,3669.15,6217.99,9351.39,3585.74,3309.61,1924.03,2766.57,2667.6,1425.82,2918.08,2132.87,1422.53,1411.46,6803.83,4684.45,1137.85,1876.57,2097.66,2658.7,7062.55,5366.25,4318.73,3616.91,3607.26,11454.9,8082.63
4539.7,6288.71,3412.47,7771.09,8824.99,27277,16557.1,4311.46,9335.61,5047.9,1515.55,2383.03,2065.42,7778.21,31530.4,2484.48,3794.33,6932.71,5381.23,11871.8,6964.53,13393.3,4181.44,5008.55,3052.45,3136.26,3823.19,4426.01,37978.9,7562.94,6056.84,4030.08,5693.46,7617.69,4052.44,3405.07,1814.92,2679.43,2395.88,1074.6,2629.53,1919.38,1373.64,1324.55,6213.37,3329.22,942.318,1456.57,1917.04,1801.43,5385.65,3678.49,3626.03,2859.25,2869.69,9651.91,6224.53
