sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014
14434.8,19151.8,20282.5,17415.5,15757.5,15237,17092.1,28766,38822.1,38072,31085.2,22626.9,16755.3,13002.4,10994.1,11315.2,24514.3,29225.9,29656,25560.7,20912.1,18990.2,17384.4,19727.1,17502.1,16298.3,15780.9,14460.2,13147,12529.7,28892.6,33800.5,27573.2,22656.7,21171.3,19523.1,13916.1,9804.13,7287.91,6936.84,6648.12,6076.26,5495.1,5263.8,5098.24,5071.68,8047.89,9792.22,10367.2,10028.3,9216.06,8624.54,10490.6,12431.9,13694.8,13745.9,13885,15206.5,16648.9
14434.8,19151.8,20282.5,17415.5,15757.5,15237,17092.1,28766,38822.1,38072,31085.2,22626.9,16755.3,13002.4,10994.1,11315.2,24514.3,29225.9,29656,25560.7,20912.1,18990.2,17384.4,19727.1,17502.1,16298.3,15780.9,14460.2,13147,12529.7,28892.6,33800.5,27573.2,22656.7,21171.3,19523.1,13916.1,9804.13,7287.91,6936.84,6648.12,6076.26,5495.1,5263.8,5098.24,5071.68,8047.89,9792.22,10367.2,10028.3,9216.06,8624.54,10490.6,12431.9,13694.8,13745.9,13885,15206.5,16648.9
14434.8,19151.8,20282.5,17415.5,15757.5,15237,17092.1,28766,38822.1,38072,31085.2,22626.9,16755.3,13002.4,10994.1,11315.2,24514.3,29225.9,29656,25560.7,20912.1,18990.2,17384.4,19727.1,17502.1,16298.3,15780.9,14460.2,13147,12529.7,28892.6,33800.5,27573.2,22656.7,21171.3,19523.1,13916.1,9804.13,7287.91,6936.84,6648.12,6076.26,5495.1,5263.8,5098.24,5071.68,8047.89,9792.22,10367.2,10028.3,9216.06,8624.54,10490.6,12431.9,13694.8,13745.9,13885,15206.5,16648.9
14434.8,19151.8,20282.5,17415.5,15757.5,15237,17092.1,28766,38822.1,38072,31085.2,22626.9,16755.3,13002.4,10994.1,11315.2,24514.3,29225.9,29656,25560.7,20912.1,18990.2,17384.4,19727.1,17502.1,16298.3,15780.9,14460.2,13147,12529.7,28892.6,33800.5,27573.2,22656.7,21171.3,19523.1,13916.1,9804.13,7287.91,6936.84,6648.12,6076.26,5495.1,5263.8,5098.24,5071.68,8047.89,9792.22,10367.2,10028.3,9216.06,8624.54,10490.6,12431.9,13694.8,13745.9,13885,15206.5,16648.9
14434.8,19151.8,20282.5,17415.5,15757.5,15237,17092.1,28766,38822.1,38072,31085.2,22626.9,16755.3,13002.4,10994.1,11315.2,24514.3,29225.9,29656,25560.7,20912.1,18990.2,17384.4,19727.1,17502.1,16298.3,15780.9,14460.2,13147,12529.7,28892.6,33800.5,27573.2,22656.7,21171.3,19523.1,13916.1,9804.13,7287.91,6936.84,6648.12,6076.26,5495.1,5263.8,5098.24,5071.68,8047.89,9792.22,10367.2,10028.3,9216.06,8624.54,10490.6,12431.9,13694.8,13745.9,13885,15206.5,16648.9
15910.4,19360.2,20646.8,17904.7,16210.8,16435.8,18030.1,31741.2,41320,40133.2,32764.8,23846.4,17386.1,13574.8,11441.8,11747,25337.6,29637.3,29244.4,24859.5,20189.7,19404.4,19296.1,22655.9,19511,18279.9,16986.8,14909.8,12867.6,11672.3,31229.4,37238.3,31234.3,24986.9,23597.3,21221.5,14754.7,10333.4,7658.68,7293.14,6781.85,6109.14,5392.66,5218.34,5184.29,4919.95,8101.85,10068.5,10462.8,10125,9313.27,8665.43,10958.8,12790.8,14606.4,14980.1,14815.5,15852.5,16725.9
16997.3,20659.5,21419.5,18039.2,15956,16126.1,19238.5,31129.6,40676,39194.3,32230.7,24633.3,18447.5,14083.8,11601.6,12338.5,25232.6,29585.2,29104.1,24818.3,20601.6,19865.6,20154.6,23674.2,20339.3,18610.3,17336.9,15055.9,13409.9,12859.1,30697.6,37991.9,32370.3,26695.9,23828,21777.5,15067.4,10501.8,7863.18,7445.81,7030.61,6578.41,6061.12,6087.65,6198.31,6055.12,8835.41,11070.4,11436.1,11093.2,10344.1,9905.78,12616.5,14587.6,16642.6,16782.1,16732.6,17990.5,19440.9
15415.2,20619.2,21449.3,18187.9,15695.1,16158.5,18698.7,34507.6,42785.5,40755.4,33177.4,24620.8,17806.8,13106.1,10232.1,11251.1,24545.8,29305.2,28506.3,23602.7,18371,19558.7,19623.6,24183.6,20664.5,18388,17332.4,15083.2,13506.2,13639,30520.8,36913.5,30772,25632.6,23341.2,21928.5,15084.6,10768.7,7876.53,7877.49,7736.18,7097.73,6615.98,6768.18,6944.09,6873.9,9569.53,12095.2,12771,12404.9,11628,11325.9,14002,16447.1,18886.3,19431.9,19354.8,22147.6,25353.8
15776.8,22164.6,22942.2,19655.4,17245.4,17456.3,20291.9,34749.3,43607.7,40612,34554.7,26305.2,19065.1,13780.1,10570.2,12387.4,27978.7,32219.3,30337.8,24707.1,19744.3,20059.2,21132.2,25300.4,21721.6,19315.4,18089.6,16466,14675.6,14626.3,31367.1,39469.5,33593.5,27737.5,24631.6,23016.4,16201.3,11335.2,8386.91,8102.78,8070.55,7364.45,7245.61,7300.2,7207.87,6944.26,9778.23,12653.6,13224.6,12708.2,11718.4,11119.7,13529.1,16234,17915.2,18189.2,17911.3,21791.3,25864.4
15387.3,21677.6,22289.6,19450.5,17020.8,17857.4,20830.2,33576.3,43422.1,40944,34095.9,25641.3,18218.7,13032.9,9925.61,11847.5,27616.5,31691.4,29838.1,25704,20919,21231.1,21586.7,25849.6,22844.5,20456,18132.1,15726.2,14065.5,13647.1,32119.5,38126.6,32315.4,27066.4,24229.3,21998.2,15458.9,11096.7,8320.85,8069.45,7966.35,7034.03,6709.74,6635.74,6552.2,6347.11,9004.61,11190.5,11481.8,10828,9922.9,9146.6,10814.5,12536.8,13749.8,13879.8,13670.8,17140.5,20526.1
