ft1_gear1_1956,ft1_gear1_1957,ft1_gear1_1958,ft1_gear1_1959,ft1_gear1_1960,ft1_gear1_1961,ft1_gear1_1962,ft1_gear1_1963,ft1_gear1_1964,ft1_gear1_1965,ft1_gear1_1966,ft1_gear1_1967,ft1_gear1_1968,ft1_gear1_1969,ft1_gear1_1970,ft1_gear1_1971,ft1_gear1_1972,ft1_gear1_1973,ft1_gear1_1974,ft1_gear1_1975,ft1_gear1_1976,ft1_gear1_1977,ft1_gear1_1978,ft1_gear1_1979,ft1_gear1_1980,ft1_gear1_1981,ft1_gear1_1982,ft1_gear1_1983,ft1_gear1_1984,ft1_gear1_1985,ft1_gear1_1986,ft1_gear1_1987,ft1_gear1_1988,ft1_gear1_1989,ft1_gear1_1990,ft1_gear1_1991,ft1_gear1_1992,ft1_gear1_1993,ft1_gear1_1994,ft1_gear1_1995,ft1_gear1_1996,ft1_gear1_1997,ft1_gear1_1998,ft1_gear1_1999,ft1_gear1_2000,ft1_gear1_2001,ft1_gear1_2002,ft1_gear1_2003,ft1_gear1_2004,ft1_gear1_2005,ft1_gear1_2006,ft1_gear1_2007,ft1_gear1_2008,ft1_gear1_2009,ft1_gear1_2010,ft1_gear1_2011,ft1_gear1_2012,ft1_gear1_2013,ft1_gear2_1956,ft1_gear2_1957,ft1_gear2_1958,ft1_gear2_1959,ft1_gear2_1960,ft1_gear2_1961,ft1_gear2_1962,ft1_gear2_1963,ft1_gear2_1964,ft1_gear2_1965,ft1_gear2_1966,ft1_gear2_1967,ft1_gear2_1968,ft1_gear2_1969,ft1_gear2_1970,ft1_gear2_1971,ft1_gear2_1972,ft1_gear2_1973,ft1_gear2_1974,ft1_gear2_1975,ft1_gear2_1976,ft1_gear2_1977,ft1_gear2_1978,ft1_gear2_1979,ft1_gear2_1980,ft1_gear2_1981,ft1_gear2_1982,ft1_gear2_1983,ft1_gear2_1984,ft1_gear2_1985,ft1_gear2_1986,ft1_gear2_1987,ft1_gear2_1988,ft1_gear2_1989,ft1_gear2_1990,ft1_gear2_1991,ft1_gear2_1992,ft1_gear2_1993,ft1_gear2_1994,ft1_gear2_1995,ft1_gear2_1996,ft1_gear2_1997,ft1_gear2_1998,ft1_gear2_1999,ft1_gear2_2000,ft1_gear2_2001,ft1_gear2_2002,ft1_gear2_2003,ft1_gear2_2004,ft1_gear2_2005,ft1_gear2_2006,ft1_gear2_2007,ft1_gear2_2008,ft1_gear2_2009,ft1_gear2_2010,ft1_gear2_2011,ft1_gear2_2012,ft1_gear2_2013,ft1_gear3_1956,ft1_gear3_1957,ft1_gear3_1958,ft1_gear3_1959,ft1_gear3_1960,ft1_gear3_1961,ft1_gear3_1962,ft1_gear3_1963,ft1_gear3_1964,ft1_gear3_1965,ft1_gear3_1966,ft1_gear3_1967,ft1_gear3_1968,ft1_gear3_1969,ft1_gear3_1970,ft1_gear3_1971,ft1_gear3_1972,ft1_gear3_1973,ft1_gear3_1974,ft1_gear3_1975,ft1_gear3_1976,ft1_gear3_1977,ft1_gear3_1978,ft1_gear3_1979,ft1_gear3_1980,ft1_gear3_1981,ft1_gear3_1982,ft1_gear3_1983,ft1_gear3_1984,ft1_gear3_1985,ft1_gear3_1986,ft1_gear3_1987,ft1_gear3_1988,ft1_gear3_1989,ft1_gear3_1990,ft1_gear3_1991,ft1_gear3_1992,ft1_gear3_1993,ft1_gear3_1994,ft1_gear3_1995,ft1_gear3_1996,ft1_gear3_1997,ft1_gear3_1998,ft1_gear3_1999,ft1_gear3_2000,ft1_gear3_2001,ft1_gear3_2002,ft1_gear3_2003,ft1_gear3_2004,ft1_gear3_2005,ft1_gear3_2006,ft1_gear3_2007,ft1_gear3_2008,ft1_gear3_2009,ft1_gear3_2010,ft1_gear3_2011,ft1_gear3_2012,ft1_gear3_2013,ft1_gear4_1956,ft1_gear4_1957,ft1_gear4_1958,ft1_gear4_1959,ft1_gear4_1960,ft1_gear4_1961,ft1_gear4_1962,ft1_gear4_1963,ft1_gear4_1964,ft1_gear4_1965,ft1_gear4_1966,ft1_gear4_1967,ft1_gear4_1968,ft1_gear4_1969,ft1_gear4_1970,ft1_gear4_1971,ft1_gear4_1972,ft1_gear4_1973,ft1_gear4_1974,ft1_gear4_1975,ft1_gear4_1976,ft1_gear4_1977,ft1_gear4_1978,ft1_gear4_1979,ft1_gear4_1980,ft1_gear4_1981,ft1_gear4_1982,ft1_gear4_1983,ft1_gear4_1984,ft1_gear4_1985,ft1_gear4_1986,ft1_gear4_1987,ft1_gear4_1988,ft1_gear4_1989,ft1_gear4_1990,ft1_gear4_1991,ft1_gear4_1992,ft1_gear4_1993,ft1_gear4_1994,ft1_gear4_1995,ft1_gear4_1996,ft1_gear4_1997,ft1_gear4_1998,ft1_gear4_1999,ft1_gear4_2000,ft1_gear4_2001,ft1_gear4_2002,ft1_gear4_2003,ft1_gear4_2004,ft1_gear4_2005,ft1_gear4_2006,ft1_gear4_2007,ft1_gear4_2008,ft1_gear4_2009,ft1_gear4_2010,ft1_gear4_2011,ft1_gear4_2012,ft1_gear4_2013
0.220886,0.336719,0.61968,0.510917,0.332112,0.188624,0.252077,0.22473,0.321752,0.410507,0.588979,0.487725,0.51486,0.470644,0.266582,0.244184,0.388888,0.437233,0.564163,0.709668,0.631369,0.582284,0.366089,0.830594,0.811782,0.555944,0.379484,0.350051,0.22286,0.128857,0.367361,0.680536,0.497296,0.356983,0.338718,0.619747,0.573091,0.575789,0.317681,0.334239,0.415413,0.558573,0.689646,0.760424,0.821843,0.318125,0.310846,0.198532,0.0900406,0.0671917,0.040134,0.012834,0.00662777,0.00707519,0.0100455,0.00757875,0.00594267,0.00496266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.220886,0.336719,0.61968,0.510917,0.332112,0.188624,0.252077,0.22473,0.321752,0.410507,0.588979,0.487725,0.51486,0.470644,0.266582,0.244184,0.388888,0.437233,0.564163,0.709668,0.631369,0.582284,0.366089,0.830594,0.811782,0.555944,0.379484,0.350051,0.22286,0.128857,0.367361,0.680536,0.497296,0.356983,0.338718,0.619747,0.573091,0.575789,0.317681,0.334239,0.415413,0.558573,0.689646,0.760424,0.821843,0.318125,0.310846,0.198532,0.0900406,0.0671917,0.040134,0.012834,0.00662777,0.00707519,0.0100455,0.00757875,0.00594267,0.00496266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.220886,0.336719,0.61968,0.510917,0.332112,0.188624,0.252077,0.22473,0.321752,0.410507,0.588979,0.487725,0.51486,0.470644,0.266582,0.244184,0.388888,0.437233,0.564163,0.709668,0.631369,0.582284,0.366089,0.830594,0.811782,0.555944,0.379484,0.350051,0.22286,0.128857,0.367361,0.680536,0.497296,0.356983,0.338718,0.619747,0.573091,0.575789,0.317681,0.334239,0.415413,0.558573,0.689646,0.760424,0.821843,0.318125,0.310846,0.198532,0.0900406,0.0671917,0.040134,0.012834,0.00662777,0.00707519,0.0100455,0.00757875,0.00594267,0.00496266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.220886,0.336719,0.61968,0.510917,0.332112,0.188624,0.252077,0.22473,0.321752,0.410507,0.588979,0.487725,0.51486,0.470644,0.266582,0.244184,0.388888,0.437233,0.564163,0.709668,0.631369,0.582284,0.366089,0.830594,0.811782,0.555944,0.379484,0.350051,0.22286,0.128857,0.367361,0.680536,0.497296,0.356983,0.338718,0.619747,0.573091,0.575789,0.317681,0.334239,0.415413,0.558573,0.689646,0.760424,0.821843,0.318125,0.310846,0.198532,0.0900406,0.0671917,0.040134,0.012834,0.00662777,0.00707519,0.0100455,0.00757875,0.00594267,0.00496266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.220886,0.336719,0.61968,0.510917,0.332112,0.188624,0.252077,0.22473,0.321752,0.410507,0.588979,0.487725,0.51486,0.470644,0.266582,0.244184,0.388888,0.437233,0.564163,0.709668,0.631369,0.582284,0.366089,0.830594,0.811782,0.555944,0.379484,0.350051,0.22286,0.128857,0.367361,0.680536,0.497296,0.356983,0.338718,0.619747,0.573091,0.575789,0.317681,0.334239,0.415413,0.558573,0.689646,0.760424,0.821843,0.318125,0.310846,0.198532,0.0900406,0.0671917,0.040134,0.012834,0.00662777,0.00707519,0.0100455,0.00757875,0.00594267,0.00496266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.220886,0.336719,0.61968,0.510917,0.332112,0.188624,0.252077,0.22473,0.321752,0.410507,0.588979,0.487725,0.51486,0.470644,0.266582,0.244184,0.388888,0.437233,0.564163,0.709668,0.631369,0.582284,0.366089,0.830594,0.811782,0.555944,0.379484,0.350051,0.22286,0.128857,0.367361,0.680536,0.497296,0.356983,0.338718,0.619747,0.573091,0.575789,0.317681,0.334239,0.415413,0.558573,0.689646,0.760424,0.821843,0.318125,0.310846,0.198532,0.0900406,0.0671917,0.040134,0.012834,0.00662777,0.00707519,0.0100455,0.00757875,0.00594267,0.00496266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.220886,0.336719,0.61968,0.510917,0.332112,0.188624,0.252077,0.22473,0.321752,0.410507,0.588979,0.487725,0.51486,0.470644,0.266582,0.244184,0.388888,0.437233,0.564163,0.709668,0.631369,0.582284,0.366089,0.830594,0.811782,0.555944,0.379484,0.350051,0.22286,0.128857,0.367361,0.680536,0.497296,0.356983,0.338718,0.619747,0.573091,0.575789,0.317681,0.334239,0.415413,0.558573,0.689646,0.760424,0.821843,0.318125,0.310846,0.198532,0.0900406,0.0671917,0.040134,0.012834,0.00662777,0.00707519,0.0100455,0.00757875,0.00594267,0.00496266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.220886,0.336719,0.61968,0.510917,0.332112,0.188624,0.252077,0.22473,0.321752,0.410507,0.588979,0.487725,0.51486,0.470644,0.266582,0.244184,0.388888,0.437233,0.564163,0.709668,0.631369,0.582284,0.366089,0.830594,0.811782,0.555944,0.379484,0.350051,0.22286,0.128857,0.367361,0.680536,0.497296,0.356983,0.338718,0.619747,0.573091,0.575789,0.317681,0.334239,0.415413,0.558573,0.689646,0.760424,0.821843,0.318125,0.310846,0.198532,0.0900406,0.0671917,0.040134,0.012834,0.00662777,0.00707519,0.0100455,0.00757875,0.00594267,0.00496266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.220886,0.336719,0.61968,0.510917,0.332112,0.188624,0.252077,0.22473,0.321752,0.410507,0.588979,0.487725,0.51486,0.470644,0.266582,0.244184,0.388888,0.437233,0.564163,0.709668,0.631369,0.582284,0.366089,0.830594,0.811782,0.555944,0.379484,0.350051,0.22286,0.128857,0.367361,0.680536,0.497296,0.356983,0.338718,0.619747,0.573091,0.575789,0.317681,0.334239,0.415413,0.558573,0.689646,0.760424,0.821843,0.318125,0.310846,0.198532,0.0900406,0.0671917,0.040134,0.012834,0.00662777,0.00707519,0.0100455,0.00757875,0.00594267,0.00496266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.220886,0.336719,0.61968,0.510917,0.332112,0.188624,0.252077,0.22473,0.321752,0.410507,0.588979,0.487725,0.51486,0.470644,0.266582,0.244184,0.388888,0.437233,0.564163,0.709668,0.631369,0.582284,0.366089,0.830594,0.811782,0.555944,0.379484,0.350051,0.22286,0.128857,0.367361,0.680536,0.497296,0.356983,0.338718,0.619747,0.573091,0.575789,0.317681,0.334239,0.415413,0.558573,0.689646,0.760424,0.821843,0.318125,0.310846,0.198532,0.0900406,0.0671917,0.040134,0.012834,0.00662777,0.00707519,0.0100455,0.00757875,0.00594267,0.00496266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
