rt1_1957,rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013
2562.21,5136.37,5928.89,360.568,6850.73,16374.3,17819.1,665.624,12539.2,789.738,3249.71,1523.47,2252.14,6478.38,4805.29,9764.43,4910.31,6504.11,5529.35,4487.11,5974.42,7924.36,1092.12,9884.84,1501.92,5778.42,2499.22,1952.2,17337.7,12138.3,2538.72,3632.36,14598.6,5204.4,3096.92,527.712,1110.67,1635.61,1407.12,402.924,505.836,667.236,721.54,526.413,586.709,6337.86,5129.96,8696.99,7607.73,9605.71,62211.1,15779.9,31745.4,12221.4,20523.7,46276.5,7194.84
2562.21,5136.37,5928.89,360.568,6850.73,16374.3,17819.1,665.624,12539.2,789.738,3249.71,1523.47,2252.14,6478.38,4805.29,9764.43,4910.31,6504.11,5529.35,4487.11,5974.42,7924.36,1092.12,9884.84,1501.92,5778.42,2499.22,1952.2,17337.7,12138.3,2538.72,3632.36,14598.6,5204.4,3096.92,527.712,1110.67,1635.61,1407.12,402.924,505.836,667.236,721.54,526.413,586.709,6337.86,5129.96,8696.99,7607.73,9605.71,62211.1,15779.9,31745.4,12221.4,20523.7,46276.5,7194.84
2562.21,5136.37,5928.89,360.568,6850.73,16374.3,17819.1,665.624,12539.2,789.738,3249.71,1523.47,2252.14,6478.38,4805.29,9764.43,4910.31,6504.11,5529.35,4487.11,5974.42,7924.36,1092.12,9884.84,1501.92,5778.42,2499.22,1952.2,17337.7,12138.3,2538.72,3632.36,14598.6,5204.4,3096.92,527.712,1110.67,1635.61,1407.12,402.924,505.836,667.236,721.54,526.413,586.709,6337.86,5129.96,8696.99,7607.73,9605.71,62211.1,15779.9,31745.4,12221.4,20523.7,46276.5,7194.84
2562.21,5136.37,5928.89,360.568,6850.73,16374.3,17819.1,665.624,12539.2,789.738,3249.71,1523.47,2252.14,6478.38,4805.29,9764.43,4910.31,6504.11,5529.35,4487.11,5974.42,7924.36,1092.12,9884.84,1501.92,5778.42,2499.22,1952.2,17337.7,12138.3,2538.72,3632.36,14598.6,5204.4,3096.92,527.712,1110.67,1635.61,1407.12,402.924,505.836,667.236,721.54,526.413,586.709,6337.86,5129.96,8696.99,7607.73,9605.71,62211.1,15779.9,31745.4,12221.4,20523.7,46276.5,7194.84
2562.21,5136.37,5928.89,360.568,6850.73,16374.3,17819.1,665.624,12539.2,789.738,3249.71,1523.47,2252.14,6478.38,4805.29,9764.43,4910.31,6504.11,5529.35,4487.11,5974.42,7924.36,1092.12,9884.84,1501.92,5778.42,2499.22,1952.2,17337.7,12138.3,2538.72,3632.36,14598.6,5204.4,3096.92,527.712,1110.67,1635.61,1407.12,402.924,505.836,667.236,721.54,526.413,586.709,6337.86,5129.96,8696.99,7607.73,9605.71,62211.1,15779.9,31745.4,12221.4,20523.7,46276.5,7194.84
2562.21,5136.37,5928.89,360.568,6850.73,16374.3,17819.1,665.624,12539.2,789.738,3249.71,1523.47,2252.14,6478.38,4805.29,9764.43,4910.31,6504.11,5529.35,4487.11,5974.42,7924.36,1092.12,9884.84,1501.92,5778.42,2499.22,1952.2,17337.7,12138.3,2538.72,3632.36,14598.6,5204.4,3096.92,527.712,1110.67,1635.61,1407.12,402.924,505.836,667.236,721.54,526.413,586.709,6337.86,5129.96,8696.99,7607.73,9605.71,62211.1,15779.9,31745.4,12221.4,20523.7,46276.5,7194.84
2562.21,5136.37,5928.89,360.568,6850.73,16374.3,17819.1,665.624,12539.2,789.738,3249.71,1523.47,2252.14,6478.38,4805.29,9764.43,4910.31,6504.11,5529.35,4487.11,5974.42,7924.36,1092.12,9884.84,1501.92,5778.42,2499.22,1952.2,17337.7,12138.3,2538.72,3632.36,14598.6,5204.4,3096.92,527.712,1110.67,1635.61,1407.12,402.924,505.836,667.236,721.54,526.413,586.709,6337.86,5129.96,8696.99,7607.73,9605.71,62211.1,15779.9,31745.4,12221.4,20523.7,46276.5,7194.84
2562.21,5136.37,5928.89,360.568,6850.73,16374.3,17819.1,665.624,12539.2,789.738,3249.71,1523.47,2252.14,6478.38,4805.29,9764.43,4910.31,6504.11,5529.35,4487.11,5974.42,7924.36,1092.12,9884.84,1501.92,5778.42,2499.22,1952.2,17337.7,12138.3,2538.72,3632.36,14598.6,5204.4,3096.92,527.712,1110.67,1635.61,1407.12,402.924,505.836,667.236,721.54,526.413,586.709,6337.86,5129.96,8696.99,7607.73,9605.71,62211.1,15779.9,31745.4,12221.4,20523.7,46276.5,7194.84
2562.21,5136.37,5928.89,360.568,6850.73,16374.3,17819.1,665.624,12539.2,789.738,3249.71,1523.47,2252.14,6478.38,4805.29,9764.43,4910.31,6504.11,5529.35,4487.11,5974.42,7924.36,1092.12,9884.84,1501.92,5778.42,2499.22,1952.2,17337.7,12138.3,2538.72,3632.36,14598.6,5204.4,3096.92,527.712,1110.67,1635.61,1407.12,402.924,505.836,667.236,721.54,526.413,586.709,6337.86,5129.96,8696.99,7607.73,9605.71,62211.1,15779.9,31745.4,12221.4,20523.7,46276.5,7194.84
2562.21,5136.37,5928.89,360.568,6850.73,16374.3,17819.1,665.624,12539.2,789.738,3249.71,1523.47,2252.14,6478.38,4805.29,9764.43,4910.31,6504.11,5529.35,4487.11,5974.42,7924.36,1092.12,9884.84,1501.92,5778.42,2499.22,1952.2,17337.7,12138.3,2538.72,3632.36,14598.6,5204.4,3096.92,527.712,1110.67,1635.61,1407.12,402.924,505.836,667.236,721.54,526.413,586.709,6337.86,5129.96,8696.99,7607.73,9605.71,62211.1,15779.9,31745.4,12221.4,20523.7,46276.5,7194.84
