ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,bmsy,msy1,fmsy1,q1,q2,q3,SSB1,f
8.48827,0.662613,1.093045678,2759.81796,1812.096969,0.088968,1.42349,41949.4,14673.7,3313.05,0.315,0.145252,0.146347,0.0197566,14596.6,83.8249
8.14452,0.697948,1.093045678,2225.328891,828.7760716,0.088968,1.42349,34086.4,11660.5,2600.61,0.305,0.168979,0.141729,0.0226347,15175.1,151.432
8.78065,0.489127,1.093045678,3441.697197,480.4340663,0.088968,1.42349,52117.6,20423.4,3246.32,0.214,0.14752,0.117386,0.0200164,20535.3,140.607
8.11588,0.757619,1.093045678,2897.721449,418.6101261,0.088968,1.42349,24946.7,8236.15,2370.88,0.43,0.138454,0.148993,0.0173744,13014.7,147.26
7.97795,0.901423,1.093045678,2269.829506,1083.693074,0.088968,1.42349,23480.5,7022.87,2410.97,0.53,0.125675,0.209622,0.0203931,7221.91,162.614
8.61741,0.640027,1.093045678,1457.328144,663.7728516,0.088968,1.42349,51142.3,18162.2,3778.67,0.284,0.184241,0.282448,0.0209052,9522.52,148.615
8.26679,0.583714,1.093045678,1444.747724,2569.483025,0.088968,1.42349,33606.5,12361.6,2384.58,0.263,0.13783,0.232415,0.019841,7482.92,150.57
7.96714,0.889461,1.093045678,2649.006651,655.665008,0.088968,1.42349,28442.4,8555.31,2588.21,0.439,0.156941,0.138671,0.0200318,19414.8,151.123
8.08476,0.798675,1.093045678,3534.015363,209.1663775,0.088968,1.42349,28255.4,9057.9,2555.96,0.41,0.155214,0.0863542,0.0188052,22696.6,146.194
7.85782,0.590498,1.093045678,2671.245174,1165.039184,0.088968,1.42349,24222.2,8879.09,1659.25,0.251,0.140603,0.108682,0.0190252,15956.7,161.112
8.28687,0.559525,1.093045678,2845.004704,2566.478488,0.088968,1.42349,36318,13559.4,2400.95,0.237,0.147596,0.173795,0.0193924,11502.8,153.706
8.40646,0.654372,1.093045678,2548.295543,3949.680624,0.088968,1.42349,37203.5,13115.2,2971.66,0.318,0.125503,0.11991,0.0158407,17275.7,151.725
8.33725,0.624232,1.093045678,2407.875253,308.0647537,0.088968,1.42349,34120.3,12240.5,2646.94,0.302,0.144924,0.145079,0.0210585,14430.4,143.32
8.71301,0.632563,1.093045678,1692.699719,590.4706909,0.088968,1.42349,58080.5,20703.1,4175.84,0.273,0.153403,0.131816,0.0214836,16647.4,146.187
8.13949,0.867654,1.093045678,2184.648008,542.4847639,0.088968,1.42349,31283.7,9559.25,2920.24,0.449,0.12982,0.076349,0.019999,34634,147.284
8.36302,0.913863,1.093045678,2602.401626,2833.505736,0.088968,1.42349,30267.9,8962.56,3377.71,0.612,0.118595,0.103127,0.0187316,20484.8,160.272
9.11389,0.467119,1.093045678,1887.729381,5049.679223,0.088968,1.42349,92253.9,36671.7,4779.64,0.167,0.146061,0.169332,0.02099,12546,150.662
8.40048,0.594806,1.093045678,2047.387768,5414.197776,0.088968,1.42349,37236.7,13634.6,2733.88,0.276,0.131413,0.123763,0.0176089,16008.4,152.629
8.69118,0.668823,1.093045678,2718.59369,4526.978508,0.088968,1.42349,44701,15617.4,3846.83,0.356,0.0946555,0.0866179,0.0130326,28993.4,157.795
7.94456,0.739269,1.093045678,1705.59619,215.3554675,0.088968,1.42349,26830.8,8921.27,2185.24,0.342,0.156213,0.0950707,0.0216256,21117.8,158.601
8.41384,0.678323,1.093045678,1798.503124,925.0612948,0.088968,1.42349,41985,14543.1,3239.79,0.307,0.141874,0.120275,0.0189838,13852.8,155.5
8.45121,0.705156,1.093045678,1655.204756,1457.911192,0.088968,1.42349,41242.5,14033.5,3382.05,0.339,0.130981,0.120186,0.0190863,18844.5,145.445
8.48687,0.71134,1.093045678,2991.858365,2003.738571,0.088968,1.42349,38998.2,13233.1,3388.5,0.369,0.113275,0.104019,0.0141279,21711.8,148.974
8.22432,0.509647,1.093045678,2947.315397,196.6056606,0.088968,1.42349,36131,13934.1,2111.76,0.198,0.173931,0.171571,0.0225878,11807,141.894
8.78343,0.51077,1.093045678,2195.840131,783.7107414,0.088968,1.42349,65415.2,25290.9,3759.09,0.193,0.139357,0.124797,0.018962,14377.3,140.017
