rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013
4654.73,3370.58,2618.07,2991.82,5743.62,12493.4,14791.6,4095.91,4215.19,3518.67,1994.73,1926.7,1626.94,2980.53,16940.4,3427.53,5159.03,2805.58,3289.36,5298.03,2783.66,7218.02,4058.09,4133.32,2762.02,1939.42,2596.13,2382.21,16641.7,10373.9,2664.3,2464.92,4810.15,5333.24,3186.63,1666.96,1206.81,1340.55,1173.7,972.879,946.33,1030.2,586.937,524.612,4508.02,1337.11,1012.71,733.982,860.899,1100.32,3551.47,2313.01,2151.8,1323.53,1786.78,4358.45
8440.8,1881.58,998.21,656.397,10513.2,6214.12,14120.9,1821.74,6016.41,1258.19,2628.45,1475.12,940.855,770.539,16668.1,4108.01,2784.67,1604.86,1749.52,7749.84,2344.98,8850.26,5298.41,2753.72,1932.91,384.098,1575.63,1782.13,16419.7,10008.4,1133.82,1794.43,2000.09,5492.92,3878.02,1268.05,1050.93,520.187,879.63,1111.83,2081.33,479.636,712.536,184.246,5533.37,521.166,466.983,975.566,620.042,796.667,2321.96,3128.24,3352.41,1164.49,2088.93,1501.01
3946.77,1434.79,5367.16,4017.47,4510.11,9657.47,18027.8,2294.53,2637.62,7189.33,2365.49,3207.54,1701.4,3327.35,20401.4,2911.67,510.345,6986.38,1094.08,7365.18,1460.14,8212.61,2539.65,6050.07,2030.15,2645.52,844.29,586.915,23711.9,7661.94,4927.2,1430.21,5497.89,4155.86,2957.39,2161.72,1041.42,3262.11,957.941,729.619,532.394,934.482,842.409,306.206,4427.05,1354.43,2351.75,992.39,1805.04,356.063,5949.36,2287.87,2374.93,1383.58,1511.65,10262.8
1633.49,4498.08,9915.13,298.361,2396.27,11772.3,19277.6,1512.59,10096.7,3191.52,2661.42,3876.65,1828.39,5733.84,20615.8,1171.3,8253.19,2045.24,3418.74,10353.2,1555.14,10440.1,2496.05,895.949,7092.76,1365.05,458.518,6185.17,20987.8,8772.8,2152.08,4681.85,6954.97,2461.43,3353.05,1840.37,1929.86,1898.32,433.76,1099.6,1139.88,768.796,633.725,194.243,6222.66,1226.05,826.354,498.083,843.298,2098.75,3213.17,2854.78,3962.21,642.168,2664.49,1063.11
3867.61,5435.81,1540.07,4365.45,5960.42,5454.64,21962.7,1703.53,3192.3,4538.18,2488.83,3070.38,1916.57,1387.91,14807.4,1333.69,6235.8,2770.22,2091.13,4272.69,1920.39,14766.6,4467.55,4569.06,699.345,3139.94,1664.79,5771.45,15056.1,13658.5,2657.93,885.188,5844.51,2389.75,5511.83,3198.89,709.317,1861.91,852.498,2175.46,604.407,1707.64,842.58,183.98,5814.74,668.978,716.942,523.661,781.872,789.854,2397.26,908.549,1787.22,719.316,144.403,3468.78
6389.1,1178.16,4222.9,1755.53,7580.58,4535.32,26660.5,3660.24,422.672,4076.48,1250.96,1534.76,2964.21,1561.77,13101.2,6742.91,5599.97,2348.68,3108.29,5955.5,1347.8,7709.41,3317.41,2467.86,2943.09,1905.47,3913.05,980.65,16745.8,10252.2,1810.83,841.21,2969.11,6817.37,1846.21,2150.58,1236.85,1685.88,752.954,839.773,1189.99,758.927,233.256,292.001,1679.27,1183.86,342.002,617.668,372.498,576.762,1264.55,2368.61,1996.95,340.421,845.036,4703.24
1493.64,5599.2,320.392,4677.09,864.182,14286.7,18813,2602.66,2316.21,3592.17,3281.84,2550.46,2664.33,3632.35,11222.6,4882.54,7141.84,3679.57,1924.03,5406.17,2062.94,9702.42,2080.08,1450.81,4460.03,1286.63,3760.42,1556.96,12041.8,18397.7,3059.07,1414.42,3766.84,6559.43,2913.27,2702.15,1044.17,1851.82,420.718,1029.55,997.42,962.435,423.435,435.669,3603.97,624.28,482.303,474.021,677.365,1241.42,1987.92,2284.68,813.345,605.338,1091.66,2017.16
6921.58,1802.2,821.774,2954.12,2465.75,10993.2,14380.4,8713.33,4881.38,307.042,2620.85,1551.34,1209.14,4644.44,13406.2,5296.65,4710.63,3141.39,684.484,2615.04,4193.09,6815.36,6552.46,2861.93,1515.67,3211.27,1537.04,2721.97,14073.2,10337.2,4347.96,1471.32,4898.64,3621.69,2136.14,561.228,1424.41,1098.25,925.284,718.723,1026.14,1297.48,273.334,462.334,4978.59,184.332,1074.03,478.209,674.184,1727.79,3719.34,2162.67,772.275,848.684,1093.11,12248
1879.43,3786.51,716.708,4769.34,10976.1,5867.44,14334.6,2765.24,8808.18,2508.3,1787.71,2244.72,284.18,5625.01,17284.3,3150.22,4632.49,1970.23,3557.74,5754.76,2962.95,9163.55,4009.43,3617.75,2781.38,1228.61,2460.31,2376.51,19500.4,5997.53,1107.29,1529.65,5565.05,6350.59,4549.85,1344.3,304.542,1463.57,1016.48,796.978,290.962,1688.46,720.689,221.929,5769.69,1805.36,2592.34,647.492,1278.76,997.811,10796.8,3712.53,3464.56,1515.39,872.557,4003.28
2226.43,1831.7,4732.15,2889.84,8646.41,13998.4,6022.27,8380.98,942.436,5849.88,748.912,2575.98,1126.8,3792.35,14491.8,770.399,6508.42,4758.78,4971.64,2126.59,172.179,12683.1,2811.17,2578.02,1655.44,3090.85,915.508,990.423,23586.4,903.345,1801.3,2308.52,8077.85,5416.12,3080.29,815.989,647.141,592.93,2187.94,913.347,363.969,1514.7,124.437,253.367,6101.3,1799.13,621.347,2189.9,464.356,2091.13,3008.29,3031.12,3389.09,2639.96,807.595,300.48
5886.05,3221.15,3720.92,1243.67,4188.99,10903.3,21410.1,184.833,760.815,5534.1,3020.44,737.478,1211.99,1992.08,16202.1,661.423,9715.54,2289.39,6783.71,3365.88,2142.27,8518.02,3016.34,2893.52,3762.83,729.729,5948.25,1410.7,10435.5,13826.1,1009.37,3687.96,5833.11,4868.55,909.267,2195.78,804.972,1789.11,184.498,1843.53,680.551,1681.96,807.849,706.728,2853.41,1797.09,702.96,197.762,435.077,1488.52,3129.26,660.6,3609.78,522.212,2338,953.323
3683.12,5618.58,1475.11,7767.45,8169.04,1765.69,26996.2,2231.17,3066.72,2152.84,2646.4,1515.09,2788.95,5334.02,17639.6,3904.29,4402.13,2185.62,9361.23,2507.71,1369.53,8230.7,6090.79,2746.61,5326.55,2989.24,5894.84,497.637,21774.1,4620.36,2473.95,3428.16,2886.25,7613.84,4979.28,1859.59,739.579,662.215,940.058,694.367,1264.69,588.31,1022.37,988.021,7069.94,497.102,1253.8,143.728,1557.22,1048.2,6011.33,1102.62,4302.97,762.552,1912.89,4652.99
2502.3,5335.92,686.777,1990.79,8619.32,14636,4917.29,12512.3,4648.46,322.719,3141.51,1348.12,638.649,941.323,19546.3,3693.63,5328.07,2900.07,3268.8,4335.66,6228.2,2889.23,4964.54,3235.22,3618.2,4116.33,284.91,2283.35,19704,15564.9,1110.19,1031.34,4285.57,3902.96,4949.97,1918.74,1198.71,1932.19,762.345,1393.07,306.387,1304.99,1515.28,275.685,3837.64,1161.51,1515.85,507.384,863.713,2293.55,3405.15,2005.35,2947.25,826.821,1378.12,5001.27
7472.78,2016.24,3184.91,1264.89,7224.12,9418.6,11219,5092.64,1269.98,7704.51,3079.88,503.471,1887.7,2902.53,13917.8,3945.97,3818.24,1828.05,2248.43,6349.46,1775.57,2914.94,6458.23,3828.54,793.243,2185.44,6337.79,1917.23,6710.29,17157,3994.75,1292.23,3655.25,5964.46,2567.34,1522,633.015,1691.72,795.821,156.699,698.895,1768.51,455.613,338.022,5146.86,1254.62,1157.85,1048.72,374.667,1549.83,1305.82,3880.47,2796.54,587.773,1397.51,6201.7
4803.12,4098.18,1142.43,2108.71,6412.86,8217.57,17979.3,4652.47,5303.73,3869.02,206.862,3097.38,2728.75,2176.51,12710.1,8123.63,1209.88,4412.41,2204.57,8564.53,939.814,4319.44,5106.39,2793.14,3679.3,1241.25,4437.24,2451.27,17778.5,9432.39,3315.32,1813.06,2663.91,6525.92,2254.16,2398.19,1329.65,486.886,1621.79,687.333,920.146,1397.98,987.219,891.715,5755.61,1290.38,1129.62,2234.06,738.222,1225.38,9301.22,5632.59,4444.09,451.522,5071.54,8991.45
5873.49,6532,936.709,2947.43,7354.18,4832.63,32542.3,2051.42,3903.12,2426.51,1895.1,2191.5,1975.6,3215.42,20858.7,1561.4,6926.54,6054.03,4093.73,6444.03,7412.12,1575.85,5255.32,4975.28,3803.19,2438.29,2307.73,443.441,25669.7,10793,4158.61,5526.13,2169.89,7163.45,3441.92,1472.29,908.684,1962.97,1235.14,3851.21,1442.86,2534.31,215.757,749.831,6180.07,1340.3,2163.26,907.594,1208.53,588.712,3012.22,12574.1,2145.17,656.811,2292,5020.09
