sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014
16089.1,19761.2,21867.3,18574.6,16548.6,15759.7,18447.8,27502.7,41185.1,42150,34262.7,24767.1,18192.8,13768.2,11223.3,11618.3,24231.3,30978.1,31382.9,26840.9,21456.8,19811.7,18261.4,20988.1,18860,17688.6,17274.1,15605.8,14158.1,13671.7,25825,36394.8,30414.1,24149.3,22310,22097.3,15975.2,11210.2,7965.88,7376.37,6959.14,6216.4,5372.26,5037.17,4751.99,4336.6,7500.25,10199.9,10711.6,9982.27,8760.96,7916.8,9830.37,12249,13580.2,13181,12661.8,14596.6,16802
12727.2,15674.4,21210.8,19570,16715.9,13286.4,18813,25959.2,37272.5,37297.3,30770.1,20893.5,14449.5,10681.8,8200.22,7079.4,18806,26706.6,26728.9,21273.7,15522.9,16370.2,16774.5,21859.6,21758.7,20522.3,19168.9,15840.9,12739.4,11386.8,23458.9,34865.7,29375,22945.3,19116.5,18165.7,12640.7,8676.64,5828.75,4973.75,4312.06,3837.44,4406.84,4571.81,4418.7,3962.4,7958.3,10958.2,10991.4,10264.9,9141.21,8051.05,8870.38,11430.7,14503.1,15250.5,15350.4,15175.1,15364.4
12845.6,19853.3,22965.7,17598.7,16229.5,17419.6,19651.7,25436.1,39614.2,39770.5,29170.6,21919,17429.6,14492,12535.1,13184,28495.3,36242.8,31730.4,27291.4,21445.6,20440.5,18317.5,20961.6,17775.8,17763.2,17228.2,15468.9,12962,10006.8,26928.1,37760.4,32517.3,25551.4,22956.2,21628.6,14289.3,9769.76,6802.3,7811.48,8143.68,7079.12,5464.78,4602.36,4345.25,3879.88,6892.89,9471.06,10991.5,11169.4,10872.7,9618.11,12778.9,15926.3,16977.4,15965.6,14546.4,20535.3,25836.3
13769.2,22494.6,24014.8,19918.8,23331.6,23007.2,20608.8,25652.3,40734.3,40154.3,35391.8,26513,19920.2,16384.4,14350.9,16495.2,32631.9,37749.1,37500.2,31133.5,23576.2,24882.9,23346.8,27289.8,23788,18084.5,18288.6,17154.6,13311.5,14347.5,31443.7,42071.8,34837.3,27782,27480.1,24641.1,17020.4,11827.4,8713.87,8576.39,7536.77,6184.02,5074.75,4511.96,4083.26,3359.95,7783.62,11075.9,11091.4,9627.96,7893.02,7673.69,9735.65,12222.7,14889.3,14488.6,13917.4,13014.7,13020.2
15747.6,20241.8,22202.3,20107.7,17352.8,17238.3,20336.3,23508.2,38557.6,40471.2,30609.2,20944.2,15189,12179.9,10699.2,10253.1,20208.8,23825.8,24118.1,20577.1,15796.5,13719.5,11065.1,20205.7,21165.7,20615.8,18426.2,16488.7,14455.9,16052.8,28302.9,40659.3,36482.3,27872.5,25088,22011,15970.7,12363,9161.46,8634.55,7860.44,7656.7,6761.96,6629.47,6593.86,5742.51,9468.82,11892.8,11419.9,9849.88,8129.01,6871.02,7641.95,8200.53,8484.38,7706.63,6140.7,7221.91,9147.41
13454.5,15621.4,19308.1,14912.6,13914.5,13493,17855.6,21944.8,42155.6,48577.8,38553.2,28138.1,19964.9,14403.6,12614.4,12627.3,21434.4,28796.4,31708.7,27906,22942.8,22123.1,19814.2,22381.4,19704.6,16786.4,15840,14549.4,14486.3,13763,25674.8,36419.2,29367.3,21758.1,18075.6,18498.9,12131.6,8219.85,5565.04,5869.75,5813.54,5055.55,4586.43,4314.57,3879.12,3241.97,4086.63,5218.44,5301.21,4879.25,4051.45,3351.18,3888.56,5852.53,7836.21,7632.4,6881.07,9522.52,11867.2
12389,19190.1,20892,18368.9,15685.8,15290.4,14675.2,23185.6,40655.7,43421.7,33924.9,23339.4,17541.7,14418.1,13349.5,14798.3,22930.5,27856.5,30109.1,27618,22045.9,20255,18039.4,22759.2,19929.6,15467,14984.7,13333.5,12916.2,12829,20932.3,36125,33794.7,27231,24031.8,23437,16839.7,13175.5,10175.9,9737.36,8551.6,7206.63,6112.13,5563.97,5021.35,4361.93,6675.47,8220.99,7843.83,6820.36,5610.63,5308,6532.92,8550.12,9088.91,7959.57,7094.47,7482.92,8112.63
11526.2,17416.9,23607.3,21057.1,17356.5,15589.8,15231.9,21629.9,34743.1,41138.6,37302.7,25962.9,19495.2,14963.5,11798,13430.2,24359.6,31409.3,33199.5,29416.7,22506.8,17450.4,15970,19418.4,19535.5,18945,17560.8,16484.6,15117,14681.1,24980.9,35398.1,31422.9,25801.5,24675.7,23405,15343.7,9745.74,6583.6,6047.44,5612.14,4759.71,4106.33,4201.55,4107.69,3721.27,7438.32,9835.57,10121.9,9394.01,8133.71,7926.26,10616.4,13476.1,13905.2,12515.8,11117,19414.8,26909.4
17210.7,24662.8,26133.5,21865.1,17948,17203,24665,31205.1,41029.9,40087.2,35075,26873.8,20137.3,15594.1,11532.5,13245.3,27333.5,34400.8,33897.7,28099.8,22477.9,20815.2,19481.1,23841.2,21757.2,19739.4,18851.4,15986,14021.9,13260,27671.4,36983.1,28311.2,20688.2,19057.4,20593.5,15517,11042.1,7311.62,6425.89,6023.76,5208.62,3809.47,3948.06,4257.53,3950.53,8107.22,11998,14172.2,14104.7,12796.5,11454.3,18686,25831.5,28724,27487.7,24069.5,22696.6,23164.2
21572.1,24192.8,22904.6,16582.4,15568.4,15833.8,21574,33817.7,41725.1,42817.6,33992.5,26887.3,20067.3,15647.3,12808.4,13561.2,24585.2,27835.2,28245.4,26582.7,24711.4,21379.1,16740.5,22573.7,22387.5,19809.8,17667.8,16114.7,13811.2,11428.7,28658.5,35644,26211.4,19527.9,21086,23421.4,17750.3,12831.5,8838.98,7075.96,7042.79,6814.95,5723.82,5488.87,5020.43,4150.39,8442.78,12653.3,13468,13705.4,12661.3,12154.3,13638.7,15971.3,18225.8,19422.1,18515.9,15956.7,14892.7
15482.7,18437.8,21509.5,18847.8,17875.9,16580.5,17128.4,23933.2,42434.1,44995.6,34840.5,25494.2,20603.7,16002.2,12657.8,11562.6,22752.2,26738,29709.7,27815.8,25958,23994.9,21268.6,24457.8,21424.2,18788.9,18030.8,15679.2,16276.4,16775,23521.8,33884.4,27656.6,22154.6,22300.8,23154.9,15157.8,10297.5,7064.3,6864.01,5900.3,5630.88,5142.67,5475.73,5830.4,5731.77,7583.94,9658.6,10030.5,8892.27,7159.25,6613.91,8665.97,9866.39,11797.1,11813.5,11803.3,11502.8,12290.7
20399.5,28908.2,32631.9,30437.5,26473.8,27251.7,32489.1,32489.8,48596.8,50862.4,40595.6,27994.6,20600.4,15282.9,13008.7,15567.4,29731,36887.2,35736.6,28847,26707.4,25154.2,21083.6,22478.4,21469.9,19653,20101.4,19930,21480,20446.3,34994.2,42607.8,33736.2,26780.5,22990.5,22847.2,18556.4,14432.4,10431.4,8607.33,7173.14,5791.88,5032.2,4536.87,4425.95,4595.79,10198,13608.1,13713.1,11943.4,10352.7,9335.2,12955.1,15424.9,17567.7,16974.8,15790.9,17275.7,18808.4
