ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,bmsy,msy1,fmsy1,q1,q2,q3,SSB1,f
6079.65,0.573689,0.367288,2880.34,1734.73,0.088968,1.42349, 54145.1, 20981.9, 3691.7, 0.234127,0.124276,0.118347,0.0189417,16063.2,71.3789
6079.65,0.573689,0.367288,2880.34,1734.73,0.088968,1.42349, 54145.1, 20981.9, 3691.7, 0.234127,0.124276,0.118347,0.0189417,16063.2,71.3789
5946.35,0.613579,0.376872,3041.54,2251.33,0.088968,1.42349, 50928.8, 19213.4, 3749.96, 0.264397,0.120076,0.109982,0.0176278,19539,91.3084
6412.03,0.550401,0.39248,3036.44,2115.93,0.088968,1.42349, 51632.8, 20373.3, 3594, 0.237802,0.114383,0.117794,0.0171798,15637.4,97.4613
6144.41,0.554614,0.399694,3339.08,2443.47,0.088968,1.42349, 48124.8, 18941.2, 3425.62, 0.245422,0.0980639,0.101894,0.0152052,19065.2,103.786
5180.08,0.65165,0.421044,3464.04,2836.95,0.088968,1.42349, 37477.4, 13792.6, 3181.88, 0.327744,0.092169,0.0954051,0.0152133,16993.9,112.267
5161.7,0.616324,0.388609,3187.89,2051.84,0.088968,1.42349, 42196, 15898.1, 3200.27, 0.275484,0.0965675,0.0989885,0.0158413,17273.9,106.482
5935.13,0.611594,0.370103,3194.16,1889.05,0.088968,1.42349, 52249.7, 19731.1, 3779.18, 0.257934,0.0979343,0.0784145,0.0163204,25347.4,110.213
6728.72,0.547324,0.35963,3109.91,1434.15,0.088968,1.42349, 61868, 24404.4, 3979.37, 0.214303,0.101932,0.0835717,0.0170339,24786.9,111.447
5750.31,0.600609,0.374923,3207.92,1607.15,0.088968,1.42349, 49638.8, 18891.7, 3576.94, 0.255219,0.0954175,0.0858149,0.017205,21485.3,115.492
6085.04,0.689844,0.400363,3482.16,2040.49,0.088968,1.42349, 47538.5, 17034.8, 4030.26, 0.334,0.0864813,0.0820011,0.0156171,23576.4,115.379
5680.13,0.715263,0.404078,3660.05,2367.97,0.088968,1.42349, 43755.2, 15405.5, 3838.3, 0.355669,0.0808333,0.0793303,0.0151314,25000.2,120.571
7170.17,0.617498,0.411159,3541.24,2386.95,0.088968,1.42349, 53790, 20267.8, 4289.68, 0.295118,0.0801823,0.094401,0.0147563,17836.3,125.377
5846.67,0.628332,0.398709,3337.29,2537.2,0.088968,1.42349, 45965.2, 17182.7, 3618.38, 0.291557,0.0816662,0.104967,0.0151249,16995.5,124.018
5214.18,0.708878,0.403274,3400.48,2081.42,0.088968,1.42349, 40288.1, 14247.9, 3505.47, 0.350266,0.0840669,0.099656,0.0150163,20214.7,122.809
5321.98,0.715983,0.400251,3673.03,1892.07,0.088968,1.42349, 41595, 14637.9, 3621.51, 0.352024,0.0787923,0.0865581,0.014825,22295,124.869
5539.08,0.707872,0.389411,3402.75,1945.89,0.088968,1.42349, 45139.3, 15974.3, 3807.43, 0.335013,0.0866614,0.0913938,0.0149097,21981.8,127.702
5375.34,0.70389,0.388434,3658.17,2375.91,0.088968,1.42349, 43972.5, 15603.8, 3686.08, 0.331359,0.0776779,0.0667509,0.0144263,27260.8,131.169
5301.16,0.783071,0.395313,3674.57,2269.93,0.088968,1.42349, 42222.8, 14175.3, 3870.88, 0.395056,0.0758585,0.064877,0.0147107,26321.2,133.903
4594.98,0.825081,0.389299,3483.95,2581.04,0.088968,1.42349, 37461.9, 12202.6, 3510.44, 0.419538,0.0781048,0.0613736,0.0145422,27509.5,131.09
5389.12,0.882511,0.394522,3428.55,2491.08,0.088968,1.42349, 43054.4, 13414.9, 4264.57, 0.476116,0.0829894,0.0739118,0.0147992,22647.8,132.342
5708.3,0.824178,0.411963,3396.12,2653.45,0.088968,1.42349, 42695.7, 13893.4, 4198.51, 0.451139,0.0796061,0.0907104,0.0144323,17869.2,134.514
5016.84,0.855848,0.385179,3245.23,2439.37,0.088968,1.42349, 41568.1, 13235.6, 3954.08, 0.43848,0.0779202,0.0723622,0.014634,24158.9,143.382
5861.97,0.825662,0.403108,3373.38,2746.42,0.088968,1.42349, 45321.5, 14742.2, 4378.34, 0.439484,0.0783953,0.069298,0.0149613,25669.7,146.196
6812.56,0.762068,0.408557,3369.15,2685.89,0.088968,1.42349, 51604.2, 17578, 4778.05, 0.395605,0.0799713,0.0750263,0.0147998,23303.8,141.942
5589.83,0.822499,0.426104,3434.08,3179.73,0.088968,1.42349, 39711.3, 12921.3, 4017.62, 0.470973,0.0838425,0.0894198,0.0148948,19503,137.237
4224.38,0.822206,0.403472,3142.44,2843.88,0.088968,1.42349, 32615.7, 10636.4, 3144.58, 0.437106,0.0930324,0.107199,0.0162102,16939.6,127.642
4069.31,0.864016,0.36743,2824.2,1648.8,0.088968,1.42349, 36219.8, 11476.2, 3331.53, 0.419316,0.10559,0.0932909,0.0180328,22391.5,134.367
5515.21,0.703934,0.396225,3090.14,1808.92,0.088968,1.42349, 43773.8, 15533.7, 3732.46, 0.3394,0.0980932,0.094095,0.0164482,21668.9,140.554
4051.21,0.830883,0.405721,3265.52,2083.79,0.088968,1.42349, 31014.9, 10046.8, 3025.7, 0.447736,0.0876636,0.0786606,0.0160005,26776.1,125.892
5896.75,0.767549,0.418598,3592.57,2603.35,0.088968,1.42349, 43043.4, 14597.8, 4091.11, 0.4127,0.0832162,0.0686834,0.0147899,28784.8,132.998
5485.58,0.720715,0.418049,3458.81,1855.09,0.088968,1.42349, 40122.3, 14069.7, 3645.18, 0.375299,0.0868643,0.0738459,0.0157508,25588.3,130.909
5268.71,0.651532,0.40949,3311,1588.87,0.088968,1.42349, 39771.3, 14635.3, 3294.87, 0.31668,0.0893345,0.0807538,0.0158984,21449.7,128.879
5619.82,0.642125,0.419886,3388.27,1621.24,0.088968,1.42349, 40830, 15126.3, 3419.41, 0.31989,0.0959332,0.0828198,0.0175046,22397.2,141.477
6141.86,0.607005,0.381423,2951.18,1395.41,0.088968,1.42349, 51653.3, 19579.4, 3809.1, 0.264041,0.11654,0.0910947,0.0196147,20661.1,141.107
5153.62,0.664441,0.397732,3103.92,1533.27,0.088968,1.42349, 40668.2, 14829.3, 3334.33, 0.31432,0.105886,0.0998182,0.0178858,18153.9,134.013
5214.63,0.550835,0.399316,2814.15,1920.73,0.088968,1.42349, 40901.3, 16141.1, 2891.77, 0.242787,0.114821,0.128739,0.0184883,14078.5,132.757
5477.86,0.555476,0.390428,2678.37,1499.61,0.088968,1.42349, 44463.5, 17479, 3105.82, 0.23949,0.122719,0.144085,0.0188844,12102.5,132.38
6580.17,0.548106,0.417318,3012.35,1814.01,0.088968,1.42349, 48256.9, 19102.2, 3530.45, 0.253712,0.111555,0.127916,0.0169227,13861.3,128.156
5635.75,0.518962,0.389857,2788.66,1876.05,0.088968,1.42349, 45847, 18500.4, 3009.18, 0.216967,0.120281,0.115454,0.0185934,15257.3,119.099
6585.97,0.461533,0.401596,2860.83,1787.05,0.088968,1.42349, 51211.5, 21602.9, 3072.82, 0.188296,0.114563,0.111292,0.0180016,15889.9,123.726
7344.02,0.441749,0.375125,2509.75,1385.62,0.088968,1.42349, 63344.6, 27068.9, 3417.1, 0.163254,0.129187,0.134231,0.0195881,13066,120.781
5767.06,0.551587,0.390524,2767.54,1600.52,0.088968,1.42349, 46793.4, 18445.8, 3249.3, 0.237187,0.121975,0.102362,0.0189707,19436.2,121.219
5374.12,0.555416,0.400552,2938.11,1428,0.088968,1.42349, 41954.3, 16504, 2995.71, 0.246531,0.111542,0.0959798,0.0185749,21983.1,127.205
6903.6,0.474391,0.384561,2888.69,1082.85,0.088968,1.42349, 57341.3, 23909.2, 3408.8, 0.187194,0.111094,0.0782629,0.0189765,28872.2,126.749
7787.44,0.425821,0.380176,2837.52,1388.95,0.088968,1.42349, 65819.2, 28510.5, 3445.39, 0.156135,0.106014,0.0820458,0.0186747,24970.6,126.116
5899.3,0.537295,0.395416,3072.64,1231.47,0.088968,1.42349, 46968.1, 18710.9, 3220.91, 0.231725,0.102105,0.0889839,0.0178945,26009.4,130.403
5258.95,0.6133,0.375851,2975.29,1617.65,0.088968,1.42349, 45227.4, 17064.8, 3321.33, 0.263426,0.101668,0.0844681,0.017125,27194.2,128.814
6648.04,0.509408,0.37865,2822.25,1667.36,0.088968,1.42349, 56533.2, 22950.8, 3556.56, 0.204517,0.0969196,0.101487,0.0171531,20058.8,127.731
4421.94,0.596301,0.370428,2621.03,1614.48,0.088968,1.42349, 38876.7, 14835.6, 2756.91, 0.249326,0.103304,0.100179,0.0175138,20634.1,130.155
4716.44,0.560894,0.359681,2638.04,1434.66,0.088968,1.42349, 43356.7, 16941.3, 2849.38, 0.221805,0.101986,0.0943366,0.0172161,22203.7,135.248
4799.27,0.604106,0.372612,3064.94,1451.99,0.088968,1.42349, 41819.6, 15875.6, 3011.98, 0.255505,0.0912149,0.0758579,0.0160801,24592.1,140.649
5808.25,0.556982,0.401801,3318.67,2074.69,0.088968,1.42349, 45129.1, 17734.5, 3239.01, 0.248404,0.0906588,0.0829559,0.0146482,21691.8,135.27
4629.71,0.636486,0.412623,3440.68,2166.74,0.088968,1.42349, 34543.9, 12845.8, 2829.71, 0.309278,0.0879053,0.074094,0.0149588,24638.3,135.574
3711.82,0.646766,0.396542,3050.68,1841.21,0.088968,1.42349, 29424.6, 10860.1, 2357.61, 0.301618,0.0973327,0.0883709,0.0157848,23442.6,138.072
4271.55,0.629679,0.414304,3333.27,2315.82,0.088968,1.42349, 31674.6, 11835.2, 2582.25, 0.306134,0.0948497,0.0908634,0.0146551,25424,141.311
3682.27,0.640548,0.406783,3276.73,2075.79,0.088968,1.42349, 28078.4, 10410.7, 2282.87, 0.306739,0.0860848,0.0812346,0.0141938,23088.3,156.896
5133.42,0.582458,0.427477,3260.29,1849.8,0.088968,1.42349, 36290.1, 14023.3, 2856.41, 0.284767,0.0928076,0.119778,0.0130271,15988.3,148.638
5607.69,0.573357,0.417296,3378.12,1755.7,0.088968,1.42349, 41128.4, 15988.9, 3127.52, 0.270528,0.0897593,0.0997986,0.0131085,21809.9,146.619
5368.5,0.535725,0.387395,3044.54,1177.72,0.088968,1.42349, 44095.8, 17576.2, 2963.27, 0.225507,0.0992456,0.104395,0.01488,23253.8,151.437
6128.86,0.556013,0.406272,3439.44,1537.63,0.088968,1.42349, 46824, 18418.2, 3388.04, 0.250976,0.0914505,0.0882864,0.0139371,25200.5,151.121
4986.17,0.597008,0.397116,3151,1381.27,0.088968,1.42349, 39439.8, 15065.3, 2970.23, 0.270203,0.0976619,0.0865234,0.0147973,25982.1,150.424
5343.2,0.586712,0.383618,3051.3,867.654,0.088968,1.42349, 44546.3, 17125.6, 3210.69, 0.253503,0.110825,0.0875553,0.0170662,24874.9,136.461
4910.33,0.6721,0.40892,3517.59,1131.12,0.088968,1.42349, 37144.7, 13475.5, 3146.26, 0.330315,0.0927818,0.0692758,0.0157922,29980.3,138.257
5281.78,0.62769,0.387672,3161.77,1355.58,0.088968,1.42349, 43336.3, 16200.2, 3327.63, 0.281775,0.106004,0.08984,0.0167695,23758.7,128.859
5342.16,0.608406,0.362359,2665.29,1218.07,0.088968,1.42349, 48560.4, 18369.1, 3436.35, 0.25018,0.130215,0.104413,0.0180848,22503,122.158
6861,0.54676,0.362466,2585.04,1231.13,0.088968,1.42349, 62339.1, 24605.8, 4032.39, 0.215804,0.132352,0.110534,0.0175,21637,134.383
8948.18,0.455485,0.359103,2455.06,799.027,0.088968,1.42349, 82458.2, 34793.4, 4431.27, 0.163526,0.13402,0.141935,0.0185047,13826.2,138.033
6301.37,0.642272,0.370713,2809.3,1264.14,0.088968,1.42349, 55335.6, 20466.2, 4164.97, 0.276403,0.114585,0.0784737,0.0186808,22614.7,140.244
5507.73,0.567996,0.352649,2506.56,954.739,0.088968,1.42349, 52164.8, 20271.5, 3409.17, 0.220999,0.13282,0.0973356,0.0210453,17451.1,132.847
6932.92,0.497713,0.373166,2655.77,1386.69,0.088968,1.42349, 60275.6, 24669.2, 3662.81, 0.194594,0.133769,0.115922,0.0193567,14530,127.551
4461.19,0.581851,0.390176,2945.4,1551.67,0.088968,1.42349, 36246.8, 13987.3, 2632.34, 0.255437,0.117283,0.111404,0.0175768,14082.9,119.372
3967.37,0.630888,0.363899,2595.18,1033.55,0.088968,1.42349, 35832.8, 13350.8, 2618.96, 0.264174,0.136762,0.112665,0.0202746,15185.5,120.147
3377.5,0.680061,0.344012,2442.8,1085.75,0.088968,1.42349, 33208.4, 11958.9, 2453.43, 0.275183,0.134791,0.11456,0.0196723,15676.9,125.117
3714.6,0.731704,0.365935,2520.42,1648.51,0.088968,1.42349, 33267.5, 11579.7, 2726.34, 0.326252,0.131342,0.123881,0.0196743,14623.7,128.093
4528.72,0.730782,0.3841,2809.94,1483.95,0.088968,1.42349, 37684.1, 13127.1, 3213.74, 0.344783,0.114387,0.105679,0.0176964,16692,132.853
4300.86,0.680681,0.393789,3109.57,1386.65,0.088968,1.42349, 34457.5, 12424.4, 2851.83, 0.321302,0.100318,0.0896235,0.0165687,19864.7,123.961
5117.12,0.635373,0.39696,3015.57,1876.36,0.088968,1.42349, 40499.7, 15065.5, 3203.77, 0.294597,0.104063,0.10688,0.01561,19070.4,126.812
5354.88,0.579457,0.384055,2887.03,1763.06,0.088968,1.42349, 44566.7, 17220.4, 3182.14, 0.249462,0.113654,0.0964549,0.0167619,22236.7,121.084
4381.17,0.55298,0.379258,2814.07,1486.58,0.088968,1.42349, 37165.7, 14624.6, 2522.57, 0.230375,0.112374,0.104198,0.0175007,19792.7,121.081
4610.32,0.535446,0.362431,2626.3,1218,0.088968,1.42349, 41895.5, 16669.1, 2659.63, 0.209509,0.11709,0.110715,0.0190701,19606.6,124.762
5184.49,0.463783,0.381201,2814.21,1143.19,0.088968,1.42349, 43640.2, 18339.5, 2515.35, 0.179153,0.107743,0.111709,0.0176554,18361.1,124.332
7890.28,0.469857,0.395817,3178.6,1206.43,0.088968,1.42349, 62722.8, 26273, 3785.73, 0.190433,0.0926801,0.0867523,0.0159399,22337.6,128.532
5732.34,0.523671,0.397392,2902.12,1302.31,0.088968,1.42349, 45293.9, 18225.3, 3047.73, 0.224588,0.106399,0.114633,0.016476,16457.7,125.648
6079.78,0.491707,0.403773,2944.72,1378.47,0.088968,1.42349, 46887.8, 19328.6, 3013.83, 0.208502,0.110405,0.117191,0.0170746,16673.5,123.921
7765.49,0.460496,0.385684,2761.07,1161.94,0.088968,1.42349, 64214.8, 27067.4, 3710.95, 0.179472,0.112246,0.113649,0.0181361,18463.3,125.629
7830.96,0.456775,0.373229,2648.79,1129.21,0.088968,1.42349, 68066, 28736.6, 3791.25, 0.171078,0.119342,0.127319,0.0181488,17246.2,125.63
8254.31,0.487114,0.355357,2446.83,1119.91,0.088968,1.42349, 77279.6, 31821.6, 4412.06, 0.178976,0.13319,0.140717,0.0198301,16046.4,120.279
9043.4,0.540693,0.376683,2715.02,1135.44,0.088968,1.42349, 77513.3, 30761.6, 5128.05, 0.221504,0.128182,0.127969,0.0185954,18858.6,129.303
8006.17,0.498857,0.369885,2471.8,1057.63,0.088968,1.42349, 70545.1, 28838.9, 4264.33, 0.193402,0.142123,0.162149,0.0195685,13878.3,128.793
7570.19,0.534323,0.369621,2348.81,1129.73,0.088968,1.42349, 66775.7, 26605.6, 4301.51, 0.213357,0.141849,0.179843,0.0197999,10069.5,130.009
8542.81,0.493975,0.359356,2172.31,753.986,0.088968,1.42349, 78638.7, 32230.4, 4595, 0.184862,0.152461,0.208943,0.021302,8137.14,123.715
