ft1_gear1_1956,ft1_gear1_1957,ft1_gear1_1958,ft1_gear1_1959,ft1_gear1_1960,ft1_gear1_1961,ft1_gear1_1962,ft1_gear1_1963,ft1_gear1_1964,ft1_gear1_1965,ft1_gear1_1966,ft1_gear1_1967,ft1_gear1_1968,ft1_gear1_1969,ft1_gear1_1970,ft1_gear1_1971,ft1_gear1_1972,ft1_gear1_1973,ft1_gear1_1974,ft1_gear1_1975,ft1_gear1_1976,ft1_gear1_1977,ft1_gear1_1978,ft1_gear1_1979,ft1_gear1_1980,ft1_gear1_1981,ft1_gear1_1982,ft1_gear1_1983,ft1_gear1_1984,ft1_gear1_1985,ft1_gear1_1986,ft1_gear1_1987,ft1_gear1_1988,ft1_gear1_1989,ft1_gear1_1990,ft1_gear1_1991,ft1_gear1_1992,ft1_gear1_1993,ft1_gear1_1994,ft1_gear1_1995,ft1_gear1_1996,ft1_gear1_1997,ft1_gear1_1998,ft1_gear1_1999,ft1_gear1_2000,ft1_gear1_2001,ft1_gear1_2002,ft1_gear1_2003,ft1_gear1_2004,ft1_gear1_2005,ft1_gear1_2006,ft1_gear1_2007,ft1_gear1_2008,ft1_gear1_2009,ft1_gear1_2010,ft1_gear1_2011,ft1_gear1_2012,ft1_gear1_2013,ft1_gear2_1956,ft1_gear2_1957,ft1_gear2_1958,ft1_gear2_1959,ft1_gear2_1960,ft1_gear2_1961,ft1_gear2_1962,ft1_gear2_1963,ft1_gear2_1964,ft1_gear2_1965,ft1_gear2_1966,ft1_gear2_1967,ft1_gear2_1968,ft1_gear2_1969,ft1_gear2_1970,ft1_gear2_1971,ft1_gear2_1972,ft1_gear2_1973,ft1_gear2_1974,ft1_gear2_1975,ft1_gear2_1976,ft1_gear2_1977,ft1_gear2_1978,ft1_gear2_1979,ft1_gear2_1980,ft1_gear2_1981,ft1_gear2_1982,ft1_gear2_1983,ft1_gear2_1984,ft1_gear2_1985,ft1_gear2_1986,ft1_gear2_1987,ft1_gear2_1988,ft1_gear2_1989,ft1_gear2_1990,ft1_gear2_1991,ft1_gear2_1992,ft1_gear2_1993,ft1_gear2_1994,ft1_gear2_1995,ft1_gear2_1996,ft1_gear2_1997,ft1_gear2_1998,ft1_gear2_1999,ft1_gear2_2000,ft1_gear2_2001,ft1_gear2_2002,ft1_gear2_2003,ft1_gear2_2004,ft1_gear2_2005,ft1_gear2_2006,ft1_gear2_2007,ft1_gear2_2008,ft1_gear2_2009,ft1_gear2_2010,ft1_gear2_2011,ft1_gear2_2012,ft1_gear2_2013,ft1_gear3_1956,ft1_gear3_1957,ft1_gear3_1958,ft1_gear3_1959,ft1_gear3_1960,ft1_gear3_1961,ft1_gear3_1962,ft1_gear3_1963,ft1_gear3_1964,ft1_gear3_1965,ft1_gear3_1966,ft1_gear3_1967,ft1_gear3_1968,ft1_gear3_1969,ft1_gear3_1970,ft1_gear3_1971,ft1_gear3_1972,ft1_gear3_1973,ft1_gear3_1974,ft1_gear3_1975,ft1_gear3_1976,ft1_gear3_1977,ft1_gear3_1978,ft1_gear3_1979,ft1_gear3_1980,ft1_gear3_1981,ft1_gear3_1982,ft1_gear3_1983,ft1_gear3_1984,ft1_gear3_1985,ft1_gear3_1986,ft1_gear3_1987,ft1_gear3_1988,ft1_gear3_1989,ft1_gear3_1990,ft1_gear3_1991,ft1_gear3_1992,ft1_gear3_1993,ft1_gear3_1994,ft1_gear3_1995,ft1_gear3_1996,ft1_gear3_1997,ft1_gear3_1998,ft1_gear3_1999,ft1_gear3_2000,ft1_gear3_2001,ft1_gear3_2002,ft1_gear3_2003,ft1_gear3_2004,ft1_gear3_2005,ft1_gear3_2006,ft1_gear3_2007,ft1_gear3_2008,ft1_gear3_2009,ft1_gear3_2010,ft1_gear3_2011,ft1_gear3_2012,ft1_gear3_2013,ft1_gear4_1956,ft1_gear4_1957,ft1_gear4_1958,ft1_gear4_1959,ft1_gear4_1960,ft1_gear4_1961,ft1_gear4_1962,ft1_gear4_1963,ft1_gear4_1964,ft1_gear4_1965,ft1_gear4_1966,ft1_gear4_1967,ft1_gear4_1968,ft1_gear4_1969,ft1_gear4_1970,ft1_gear4_1971,ft1_gear4_1972,ft1_gear4_1973,ft1_gear4_1974,ft1_gear4_1975,ft1_gear4_1976,ft1_gear4_1977,ft1_gear4_1978,ft1_gear4_1979,ft1_gear4_1980,ft1_gear4_1981,ft1_gear4_1982,ft1_gear4_1983,ft1_gear4_1984,ft1_gear4_1985,ft1_gear4_1986,ft1_gear4_1987,ft1_gear4_1988,ft1_gear4_1989,ft1_gear4_1990,ft1_gear4_1991,ft1_gear4_1992,ft1_gear4_1993,ft1_gear4_1994,ft1_gear4_1995,ft1_gear4_1996,ft1_gear4_1997,ft1_gear4_1998,ft1_gear4_1999,ft1_gear4_2000,ft1_gear4_2001,ft1_gear4_2002,ft1_gear4_2003,ft1_gear4_2004,ft1_gear4_2005,ft1_gear4_2006,ft1_gear4_2007,ft1_gear4_2008,ft1_gear4_2009,ft1_gear4_2010,ft1_gear4_2011,ft1_gear4_2012,ft1_gear4_2013
0.163141,0.219245,0.371671,0.257511,0.190655,0.123955,0.143839,0.128245,0.20626,0.289468,0.384742,0.338261,0.310718,0.254904,0.136217,0.148259,0.154788,0.16109,0.230841,0.283986,0.269242,0.245175,0.171703,0.394002,0.316622,0.200442,0.193219,0.20108,0.15834,0.0972171,0.195193,0.37628,0.279546,0.189192,0.215176,0.52872,0.492913,0.44154,0.193235,0.180021,0.219679,0.261404,0.218759,0.15951,0.139295,0.0613735,0.0446416,0.0557582,0.0648536,0.0937373,0.0991192,0.0471185,0.0347353,0.0557945,0.0932781,0.0827995,0.0691055,0.0525252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.218447,0.278148,0.359658,0.222411,0.193796,0.145978,0.130752,0.129202,0.212499,0.342526,0.449823,0.453766,0.405753,0.335428,0.190079,0.280823,0.208688,0.19663,0.283761,0.3385,0.372235,0.288184,0.184555,0.401516,0.278924,0.166127,0.164383,0.191685,0.161738,0.100953,0.203122,0.366153,0.276931,0.188892,0.256139,0.726679,0.622585,0.583213,0.266734,0.286656,0.403613,0.448112,0.275761,0.20485,0.153241,0.0675684,0.0391135,0.0509405,0.0606413,0.0802223,0.0937017,0.0437614,0.0377495,0.060185,0.0869804,0.0710318,0.0572219,0.0468325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.230877,0.219265,0.362311,0.310583,0.19029,0.111137,0.131622,0.136086,0.213769,0.328719,0.486396,0.388379,0.340609,0.250586,0.119337,0.129969,0.120959,0.137101,0.234068,0.259957,0.269025,0.235486,0.176777,0.383034,0.30695,0.206194,0.212197,0.181607,0.17566,0.140668,0.205851,0.360631,0.264811,0.199011,0.205035,0.573978,0.564391,0.492636,0.236959,0.176906,0.194485,0.246087,0.229611,0.178075,0.14483,0.0678912,0.0456679,0.0611538,0.060436,0.080296,0.0826826,0.0379431,0.0265942,0.0429671,0.0735074,0.0625144,0.0581882,0.0368132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17862,0.185245,0.334257,0.24628,0.13324,0.0869492,0.124281,0.141303,0.207262,0.306225,0.397113,0.319522,0.308398,0.208109,0.107917,0.102653,0.116273,0.136555,0.205174,0.266622,0.250587,0.203486,0.129862,0.295098,0.242634,0.208775,0.18396,0.186285,0.17669,0.0947651,0.155954,0.283646,0.264125,0.156996,0.176322,0.441512,0.436461,0.426275,0.179081,0.152122,0.215742,0.310736,0.229084,0.174993,0.163044,0.0802607,0.0428029,0.0571483,0.0648853,0.105115,0.115576,0.0511121,0.0365183,0.0590578,0.0822329,0.0782193,0.057433,0.0592111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15749,0.201666,0.362338,0.261116,0.161919,0.112057,0.117918,0.166081,0.206426,0.316673,0.475165,0.432601,0.404689,0.29795,0.136273,0.186349,0.177515,0.205976,0.297367,0.32785,0.35891,0.410108,0.307655,0.444858,0.299545,0.166296,0.158816,0.169526,0.151365,0.0812999,0.169402,0.2926,0.233298,0.155098,0.180738,0.561933,0.555803,0.408863,0.169553,0.158125,0.204509,0.21936,0.173195,0.117687,0.100702,0.0448648,0.0340806,0.0488569,0.0613552,0.0968288,0.105351,0.0549073,0.049783,0.0890262,0.149011,0.146227,0.155572,0.118872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.217542,0.263978,0.464902,0.331152,0.221153,0.140756,0.140429,0.152186,0.213687,0.256171,0.316831,0.319439,0.294402,0.240267,0.108372,0.132897,0.184285,0.167453,0.229154,0.25211,0.229911,0.211479,0.144246,0.370034,0.309696,0.205842,0.195579,0.21777,0.161803,0.0881558,0.199702,0.404638,0.292085,0.203583,0.278906,0.667438,0.647559,0.653254,0.264656,0.208842,0.278201,0.323888,0.268184,0.16896,0.168652,0.0778491,0.0912627,0.107466,0.130867,0.1994,0.248533,0.122588,0.0861929,0.113146,0.159987,0.143498,0.130254,0.0765924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.214775,0.216341,0.405601,0.242819,0.209925,0.13273,0.16772,0.165734,0.197621,0.275334,0.40083,0.380278,0.320279,0.229755,0.114951,0.110546,0.153683,0.179709,0.240672,0.265247,0.237806,0.232409,0.14688,0.359214,0.311112,0.227813,0.242161,0.24738,0.158176,0.116199,0.230384,0.378659,0.256506,0.152338,0.216459,0.519197,0.42348,0.348356,0.144765,0.140678,0.171692,0.220898,0.190298,0.135707,0.126455,0.0528673,0.0512069,0.0747595,0.0863473,0.155604,0.154756,0.068751,0.0484383,0.0807803,0.140472,0.136545,0.123485,0.104339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.243301,0.255876,0.343817,0.226766,0.181125,0.1476,0.183506,0.168383,0.23571,0.304869,0.376633,0.283061,0.279521,0.246254,0.124254,0.113711,0.162387,0.148819,0.22144,0.249618,0.25896,0.269108,0.195214,0.458197,0.31477,0.186559,0.190753,0.177232,0.146262,0.0915531,0.184519,0.390911,0.273373,0.149596,0.185937,0.533158,0.476626,0.492602,0.249353,0.231813,0.299403,0.366926,0.327271,0.193121,0.172835,0.068367,0.0461082,0.0595496,0.0689988,0.102358,0.109588,0.0462375,0.0297452,0.0512124,0.0904025,0.0939945,0.0808485,0.0382813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158756,0.186395,0.303976,0.203717,0.173085,0.114485,0.0987093,0.109268,0.194229,0.312499,0.367621,0.296092,0.274558,0.242751,0.127899,0.126304,0.131864,0.147058,0.207634,0.25282,0.267514,0.23495,0.159871,0.376382,0.288726,0.174833,0.194054,0.18393,0.163478,0.108662,0.157398,0.36015,0.281884,0.227061,0.242877,0.643383,0.53334,0.422056,0.210303,0.193868,0.252987,0.336283,0.294569,0.202299,0.141561,0.0726978,0.0397574,0.0496891,0.0496709,0.0725706,0.0685492,0.0306352,0.019196,0.0263322,0.0444664,0.0374477,0.0372441,0.0319606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.105769,0.185202,0.374511,0.283712,0.213737,0.117419,0.12472,0.106242,0.185053,0.276655,0.325477,0.314356,0.281623,0.221947,0.114872,0.116981,0.16676,0.177565,0.251217,0.264712,0.249409,0.200052,0.170106,0.334947,0.266081,0.16916,0.189808,0.193192,0.170281,0.114288,0.177311,0.375304,0.316828,0.226772,0.226206,0.503388,0.397317,0.354505,0.178865,0.179489,0.205735,0.214225,0.206895,0.148853,0.13908,0.065303,0.0369786,0.0423825,0.0487355,0.0674748,0.0655117,0.0323025,0.0246186,0.0462592,0.0640515,0.0551393,0.0472432,0.0482181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
