ft1_gear1_1956,ft1_gear1_1957,ft1_gear1_1958,ft1_gear1_1959,ft1_gear1_1960,ft1_gear1_1961,ft1_gear1_1962,ft1_gear1_1963,ft1_gear1_1964,ft1_gear1_1965,ft1_gear1_1966,ft1_gear1_1967,ft1_gear1_1968,ft1_gear1_1969,ft1_gear1_1970,ft1_gear1_1971,ft1_gear1_1972,ft1_gear1_1973,ft1_gear1_1974,ft1_gear1_1975,ft1_gear1_1976,ft1_gear1_1977,ft1_gear1_1978,ft1_gear1_1979,ft1_gear1_1980,ft1_gear1_1981,ft1_gear1_1982,ft1_gear1_1983,ft1_gear1_1984,ft1_gear1_1985,ft1_gear1_1986,ft1_gear1_1987,ft1_gear1_1988,ft1_gear1_1989,ft1_gear1_1990,ft1_gear1_1991,ft1_gear1_1992,ft1_gear1_1993,ft1_gear1_1994,ft1_gear1_1995,ft1_gear1_1996,ft1_gear1_1997,ft1_gear1_1998,ft1_gear1_1999,ft1_gear1_2000,ft1_gear1_2001,ft1_gear1_2002,ft1_gear1_2003,ft1_gear1_2004,ft1_gear1_2005,ft1_gear1_2006,ft1_gear1_2007,ft1_gear1_2008,ft1_gear1_2009,ft1_gear1_2010,ft1_gear1_2011,ft1_gear1_2012,ft1_gear1_2013,ft1_gear2_1956,ft1_gear2_1957,ft1_gear2_1958,ft1_gear2_1959,ft1_gear2_1960,ft1_gear2_1961,ft1_gear2_1962,ft1_gear2_1963,ft1_gear2_1964,ft1_gear2_1965,ft1_gear2_1966,ft1_gear2_1967,ft1_gear2_1968,ft1_gear2_1969,ft1_gear2_1970,ft1_gear2_1971,ft1_gear2_1972,ft1_gear2_1973,ft1_gear2_1974,ft1_gear2_1975,ft1_gear2_1976,ft1_gear2_1977,ft1_gear2_1978,ft1_gear2_1979,ft1_gear2_1980,ft1_gear2_1981,ft1_gear2_1982,ft1_gear2_1983,ft1_gear2_1984,ft1_gear2_1985,ft1_gear2_1986,ft1_gear2_1987,ft1_gear2_1988,ft1_gear2_1989,ft1_gear2_1990,ft1_gear2_1991,ft1_gear2_1992,ft1_gear2_1993,ft1_gear2_1994,ft1_gear2_1995,ft1_gear2_1996,ft1_gear2_1997,ft1_gear2_1998,ft1_gear2_1999,ft1_gear2_2000,ft1_gear2_2001,ft1_gear2_2002,ft1_gear2_2003,ft1_gear2_2004,ft1_gear2_2005,ft1_gear2_2006,ft1_gear2_2007,ft1_gear2_2008,ft1_gear2_2009,ft1_gear2_2010,ft1_gear2_2011,ft1_gear2_2012,ft1_gear2_2013,ft1_gear3_1956,ft1_gear3_1957,ft1_gear3_1958,ft1_gear3_1959,ft1_gear3_1960,ft1_gear3_1961,ft1_gear3_1962,ft1_gear3_1963,ft1_gear3_1964,ft1_gear3_1965,ft1_gear3_1966,ft1_gear3_1967,ft1_gear3_1968,ft1_gear3_1969,ft1_gear3_1970,ft1_gear3_1971,ft1_gear3_1972,ft1_gear3_1973,ft1_gear3_1974,ft1_gear3_1975,ft1_gear3_1976,ft1_gear3_1977,ft1_gear3_1978,ft1_gear3_1979,ft1_gear3_1980,ft1_gear3_1981,ft1_gear3_1982,ft1_gear3_1983,ft1_gear3_1984,ft1_gear3_1985,ft1_gear3_1986,ft1_gear3_1987,ft1_gear3_1988,ft1_gear3_1989,ft1_gear3_1990,ft1_gear3_1991,ft1_gear3_1992,ft1_gear3_1993,ft1_gear3_1994,ft1_gear3_1995,ft1_gear3_1996,ft1_gear3_1997,ft1_gear3_1998,ft1_gear3_1999,ft1_gear3_2000,ft1_gear3_2001,ft1_gear3_2002,ft1_gear3_2003,ft1_gear3_2004,ft1_gear3_2005,ft1_gear3_2006,ft1_gear3_2007,ft1_gear3_2008,ft1_gear3_2009,ft1_gear3_2010,ft1_gear3_2011,ft1_gear3_2012,ft1_gear3_2013,ft1_gear4_1956,ft1_gear4_1957,ft1_gear4_1958,ft1_gear4_1959,ft1_gear4_1960,ft1_gear4_1961,ft1_gear4_1962,ft1_gear4_1963,ft1_gear4_1964,ft1_gear4_1965,ft1_gear4_1966,ft1_gear4_1967,ft1_gear4_1968,ft1_gear4_1969,ft1_gear4_1970,ft1_gear4_1971,ft1_gear4_1972,ft1_gear4_1973,ft1_gear4_1974,ft1_gear4_1975,ft1_gear4_1976,ft1_gear4_1977,ft1_gear4_1978,ft1_gear4_1979,ft1_gear4_1980,ft1_gear4_1981,ft1_gear4_1982,ft1_gear4_1983,ft1_gear4_1984,ft1_gear4_1985,ft1_gear4_1986,ft1_gear4_1987,ft1_gear4_1988,ft1_gear4_1989,ft1_gear4_1990,ft1_gear4_1991,ft1_gear4_1992,ft1_gear4_1993,ft1_gear4_1994,ft1_gear4_1995,ft1_gear4_1996,ft1_gear4_1997,ft1_gear4_1998,ft1_gear4_1999,ft1_gear4_2000,ft1_gear4_2001,ft1_gear4_2002,ft1_gear4_2003,ft1_gear4_2004,ft1_gear4_2005,ft1_gear4_2006,ft1_gear4_2007,ft1_gear4_2008,ft1_gear4_2009,ft1_gear4_2010,ft1_gear4_2011,ft1_gear4_2012,ft1_gear4_2013
0.172151,0.212103,0.370763,0.257095,0.188581,0.121539,0.147169,0.115755,0.205631,0.29974,0.392799,0.344586,0.314688,0.25262,0.131585,0.143903,0.144108,0.161308,0.228955,0.277545,0.256956,0.239081,0.170144,0.385388,0.317153,0.20515,0.199748,0.204616,0.161534,0.101111,0.162412,0.374167,0.288996,0.190148,0.212968,0.548747,0.522721,0.469673,0.199582,0.180858,0.215942,0.249299,0.199402,0.143367,0.122199,0.0498781,0.0397099,0.0554812,0.0639322,0.0886277,0.0892928,0.041266,0.0311026,0.0524004,0.0877565,0.0754374,0.059908,0.0480919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.111146,0.149572,0.268237,0.208622,0.157771,0.106573,0.131898,0.0928043,0.164865,0.220777,0.284089,0.251634,0.230457,0.200067,0.109107,0.116816,0.119594,0.142087,0.192155,0.210455,0.197452,0.213895,0.165564,0.389139,0.324645,0.184165,0.167528,0.164177,0.123218,0.069227,0.126607,0.290577,0.236541,0.15404,0.176181,0.475451,0.466219,0.376678,0.159215,0.133928,0.160751,0.18059,0.15253,0.114749,0.0941512,0.0361073,0.0254408,0.0334641,0.0404944,0.0550401,0.0560574,0.0288616,0.0213313,0.0342552,0.0596057,0.0501603,0.0409001,0.0307286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.151351,0.167061,0.25405,0.168337,0.134013,0.0947025,0.143654,0.110919,0.160075,0.233445,0.303266,0.280958,0.2484,0.199924,0.111978,0.136653,0.125929,0.129358,0.175559,0.189625,0.174094,0.169241,0.137127,0.260732,0.240223,0.157703,0.147521,0.164178,0.12425,0.0698648,0.111999,0.293459,0.21423,0.136435,0.171023,0.483509,0.434676,0.326132,0.128613,0.0987427,0.137442,0.161473,0.120848,0.0825983,0.0791714,0.0336325,0.0260008,0.03682,0.0449749,0.0627391,0.0604768,0.0299511,0.0203717,0.0336072,0.0601048,0.0495578,0.0360353,0.0245894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.138586,0.181287,0.304013,0.193238,0.162806,0.112674,0.112473,0.0806593,0.138162,0.253386,0.314514,0.276371,0.279777,0.229318,0.0977283,0.127692,0.134702,0.138492,0.18088,0.208852,0.193982,0.149242,0.107037,0.263487,0.237892,0.159358,0.165907,0.177412,0.144871,0.0947684,0.118519,0.276682,0.198377,0.135995,0.159421,0.469711,0.449873,0.368493,0.134685,0.109441,0.144767,0.16693,0.113476,0.0752274,0.0669837,0.0273085,0.0253741,0.03928,0.0518771,0.0723938,0.0815277,0.0381063,0.0238124,0.036204,0.064185,0.058902,0.0382872,0.0352309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.144384,0.187382,0.266167,0.174884,0.133,0.0995749,0.0910321,0.0937424,0.165059,0.254516,0.355945,0.295673,0.276713,0.207617,0.0833081,0.092074,0.133966,0.147527,0.203013,0.201859,0.188842,0.171859,0.123774,0.340302,0.283512,0.177592,0.181142,0.155518,0.142733,0.0805131,0.128422,0.280827,0.205755,0.132516,0.169732,0.422283,0.433587,0.363419,0.132404,0.120376,0.153554,0.179245,0.116188,0.073217,0.0642908,0.0241124,0.0230675,0.0349241,0.0445161,0.0558717,0.0588462,0.0318862,0.0238965,0.037931,0.063755,0.0566066,0.0405261,0.0345411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.129327,0.144828,0.230183,0.169037,0.117907,0.0795501,0.11082,0.0810608,0.166397,0.251026,0.329987,0.337908,0.338185,0.234214,0.0896809,0.0779105,0.113671,0.12002,0.169957,0.177507,0.156509,0.147171,0.0958279,0.290801,0.22104,0.172918,0.163653,0.15572,0.118701,0.0709476,0.125027,0.236587,0.203634,0.116036,0.135886,0.328539,0.351452,0.319421,0.116612,0.0886772,0.123086,0.134098,0.0871412,0.0679086,0.0606097,0.023027,0.0197264,0.0300128,0.0328691,0.0439364,0.0459154,0.0205076,0.0167035,0.0290095,0.0492448,0.050233,0.0385573,0.0324607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0976291,0.128416,0.275772,0.19309,0.150781,0.0987496,0.12648,0.0931584,0.153934,0.231992,0.348718,0.320335,0.309427,0.212968,0.0811059,0.08461,0.116315,0.145569,0.205476,0.229243,0.216119,0.195202,0.148064,0.367279,0.262393,0.189939,0.177579,0.161304,0.11183,0.0667521,0.126812,0.272296,0.229189,0.140195,0.153956,0.382969,0.364299,0.30648,0.13532,0.110183,0.155515,0.157515,0.116764,0.0770888,0.0660288,0.0255224,0.0257209,0.0353591,0.0421008,0.0566973,0.0638214,0.0294986,0.024788,0.0421533,0.0675656,0.0551831,0.0503712,0.0408513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.111779,0.141184,0.279178,0.189032,0.156995,0.107199,0.145432,0.100572,0.156586,0.22492,0.268664,0.262106,0.283487,0.212196,0.0968409,0.103341,0.107382,0.116746,0.175512,0.188935,0.183435,0.135717,0.120425,0.298013,0.268207,0.163356,0.176304,0.148186,0.10498,0.0592923,0.1195,0.258537,0.206575,0.143736,0.165374,0.417249,0.380023,0.270346,0.13478,0.116636,0.131131,0.14697,0.119761,0.0872155,0.0732922,0.0292138,0.0230677,0.0329717,0.0382719,0.0625249,0.0686412,0.0319256,0.0222639,0.0400054,0.0704687,0.0622774,0.0518726,0.0405869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15701,0.169274,0.24939,0.192422,0.140565,0.11246,0.132824,0.0814033,0.158215,0.208239,0.303716,0.284049,0.29147,0.244771,0.119811,0.111742,0.100357,0.110744,0.166872,0.205196,0.191318,0.16422,0.140578,0.36773,0.287275,0.183524,0.164351,0.163803,0.111552,0.0620835,0.114387,0.257422,0.20756,0.144692,0.15559,0.40405,0.406987,0.397636,0.177091,0.142729,0.136325,0.16209,0.138987,0.0914582,0.0833442,0.0331814,0.0259883,0.0349296,0.0370554,0.056534,0.0665125,0.0292929,0.0238526,0.0403018,0.0652634,0.0586321,0.0434568,0.0337248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0977752,0.151432,0.257583,0.189584,0.132094,0.102412,0.112953,0.0824351,0.166298,0.245809,0.342037,0.278828,0.300167,0.246763,0.105173,0.127997,0.102375,0.117947,0.173388,0.205451,0.183999,0.140377,0.125016,0.25616,0.252393,0.132106,0.144764,0.142261,0.108408,0.0727435,0.132223,0.304338,0.223406,0.175043,0.154968,0.387096,0.32438,0.314187,0.137904,0.134364,0.146766,0.161517,0.13521,0.0917759,0.0815457,0.0290592,0.0247665,0.0323411,0.0343836,0.0513777,0.0594097,0.0277001,0.0232318,0.035571,0.0526101,0.0508398,0.040008,0.0271264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
