ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,bmsy,msy1,fmsy1,q1,q2,q3,SSB1,f
5704.15,0.600743,0.386998,2925.22,1652.42,0.088968,1.42349, 46925.8, 17869.5, 3474.23, 0.264596,0.128162,0.127347,0.019741,15192.9,75.3258
4983.38,0.688041,0.392192,3297.55,2300.95,0.088968,1.42349, 40173.4, 14412.2, 3339.65, 0.324613,0.0961642,0.0809469,0.0162109,25551.2,103.51
5628.48,0.642104,0.424965,3663.8,2025.54,0.088968,1.42349, 40149.5, 14875.6, 3398.19, 0.324661,0.0897926,0.0806794,0.0152376,29093.7,116.889
5235.66,0.652868,0.431764,3609.62,1742.23,0.088968,1.42349, 36453.2, 13405.5, 3169.1, 0.339113,0.0889106,0.0948358,0.0156302,22886.1,132.537
6473.88,0.64437,0.413534,3698.56,1836.43,0.088968,1.42349, 48141.8, 17805.1, 3988.86, 0.315531,0.0868076,0.0888384,0.0154991,21583.9,123.348
6634.9,0.640833,0.416093,3913.18,2128.77,0.088968,1.42349, 48877.1, 18122.5, 4054.54, 0.315454,0.0745081,0.0724817,0.014108,22006.8,136.431
5328.55,0.807108,0.418815,3534.84,2692.76,0.088968,1.42349, 38865.1, 12802.8, 3823.83, 0.446255,0.0854236,0.0925236,0.0153133,18276.1,134.904
5774.96,0.83145,0.454676,3686.45,2966.55,0.088968,1.42349, 37154.3, 11961, 4014.85, 0.526939,0.082175,0.0957636,0.0144673,17653.3,134.957
5318.37,0.880666,0.444904,3633,1648.22,0.088968,1.42349, 35371.7, 10949.4, 3892.09, 0.564555,0.0906666,0.0870219,0.0154174,22847.6,133.918
5367.5,0.809528,0.455312,3725.26,3161.62,0.088968,1.42349, 34459.1, 11287.4, 3662.22, 0.504742,0.08398,0.0793886,0.0145643,27596.8,142.095
4488,0.850043,0.431932,3304.58,2359.35,0.088968,1.42349, 31229.1, 9937.47, 3268.6, 0.507189,0.105479,0.0904889,0.0169577,19974.8,133.786
6164.94,0.820927,0.45554,3653.17,2988.75,0.088968,1.42349, 39548.4, 12837.9, 4244.72, 0.517102,0.0965428,0.100034,0.015064,18766.7,128.205
5646.86,0.735662,0.437367,3509.43,1800.23,0.088968,1.42349, 38549.6, 13366.2, 3698.85, 0.410414,0.0941126,0.0970811,0.0157718,16082.2,130.957
5264.3,0.671655,0.413802,3111.25,1902.39,0.088968,1.42349, 39108.3, 14192.8, 3345.4, 0.334851,0.107171,0.110849,0.0159203,16058.7,120.739
4840.69,0.729486,0.407294,3230.33,1519.36,0.088968,1.42349, 36841.1, 12842.3, 3299.88, 0.369556,0.100292,0.0864251,0.0163946,23302.9,116.898
6736.15,0.594462,0.391083,3068.96,1198.72,0.088968,1.42349, 54537.8, 20863, 4039.46, 0.2639,0.103348,0.0958143,0.0158397,24354.6,135.51
4625.97,0.70321,0.444837,3491.34,1520.68,0.088968,1.42349, 30773.7, 10918.8, 2903.18, 0.392577,0.089703,0.0845013,0.0143787,22502.2,131.473
4412.01,0.68364,0.446298,3679.68,1840.58,0.088968,1.42349, 29203.7, 10507.3, 2706.96, 0.378276,0.0909907,0.0900395,0.0135854,23416.1,143.976
