rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013
4233.87,3376.95,2783.23,3081.91,5028.6,17274.9,11203.4,4696.84,4325.24,3393.8,2222.06,2118.77,1865.3,2852.38,18881,3392.82,4503.68,3184.22,3460.74,4857.48,3237.37,7415.56,4151.42,3845.47,2911.75,2180.43,2312.68,2255.87,23081.2,4571.59,3294.62,3015.42,4689.38,4699.13,3601.92,1889.12,1371.14,1408.85,1294.69,1118.18,1133.67,1073.46,785.408,904.392,4302.69,1299.43,1147.56,998.353,1067.77,1253.78,3693,2542.72,2322.29,1838.71,2291.19,3579.24
3091.75,2253.61,2791.53,2242.4,7254.34,20156.4,13296.8,7104.74,2913.07,2487.12,2379.12,1227.58,2864.15,2611.54,22076.6,4032.67,4493.56,4635.08,3052.24,3166.43,2781.93,7103.54,4272.73,6465.1,3438.84,3290.56,2556.24,3159.84,24601.8,6721.96,1604.61,2239.81,6690.81,4039.58,2940.48,2916.39,1216.09,2120.6,1211.68,1013.95,1311.33,1166.77,1563.8,1517.27,7233.78,1681.58,1920.66,985.304,1247.36,1870.76,4799.96,4608.11,2921.72,2547.47,2676.12,9493.56
6879.04,2760.46,3648.56,1669.46,2881.65,23449.3,20243.1,3943.22,2704.48,2963.54,2869.96,2747.81,2767.8,1232.34,23122.7,6770.85,5358.82,7949.56,3190.3,5598.24,1424.89,11755.2,4705.62,3975.22,2452.92,4434.28,3158.24,3798.25,31619.5,2922.85,2693.91,3272.84,5893.08,4001.21,5263.46,2865.03,2189.86,2053.92,869.514,2095.53,2276.28,1124.03,896.381,1658.14,6719.95,1667.57,1550.55,2080.5,1205.9,1760.88,7939.19,3184.28,3922.44,3241.77,5944.45,8984.21
5357.48,4879.11,3415.21,2000.41,9505.77,24555.7,9430.65,7328.38,3723.95,2242.08,2760.82,2956.94,4222.61,1191.5,20383,8664.39,5656.97,3977.64,4975.14,9764.54,1368.94,8635.46,7121.82,2226.41,2740.41,2836.71,2395.36,2775.14,34787,3024.96,6548.91,1677.46,6991.25,3215.94,4432.97,2556.67,3051.78,1868.07,1190.47,2074.56,2112.79,2949.3,629.826,2155.27,5372.38,791.025,1369.45,1603.76,1618.81,1536.28,6360.09,5304.4,2542.33,2256.71,7078.73,2848.94
8158.28,2138.59,4147.92,2290.69,13584.4,13597.4,14403.8,7628.48,2586.2,3739.84,1623.86,4303.35,5274.55,1903.58,14951.5,8589.55,6730.17,4280.19,5161.18,5949.23,1736.37,6235.31,6691.39,4370.83,2997.67,4278.28,924.937,4309.9,30742.1,3532.52,6185.12,3410.46,3198.92,6926.44,2731.5,1528.53,2588.35,1529.14,1693,1730.56,2510.07,2527.37,1485.71,1776.9,5279.98,1732.4,2129.02,1931.96,1036.17,1253.45,6068.5,2546.59,3099.07,3634.52,5189.54,2496.28
5544.89,1468.43,7359.76,2286.07,3791.73,24393.1,7905.12,7321.46,2758.59,2546.49,2493.15,4158.15,6782.47,4595.83,17071.3,11377.5,3512.43,5978.39,3487.83,8672.14,3669.19,5617.1,4254.54,3080.53,4649.18,5280.46,1203.09,3651.68,31959.9,8456.78,1861.87,4601.62,6113.17,5264.85,2362.01,928.831,4183.04,2227.16,1646.35,2180.03,2006.57,1446.41,2509.65,1408.4,7989.77,1878.66,3144.47,1641.15,2212.01,2964.44,5551.28,3745.85,3857.43,1778.72,4897.11,2489.16
3195.5,2566.27,3787.64,3312.98,3069.79,27375.9,13767.9,1835.75,3226.29,5908,1508.73,3076.49,6315.54,3477.16,16748.1,5562.02,4413.18,4877.98,1713.56,9906.84,2486.17,6718.72,5774.21,2535.9,7035.8,2346.69,4512.49,1986.65,30704.5,6061.02,2798.88,2709.85,5863.11,6704.4,3362.14,1245.11,1589.69,2241.5,1257.67,2363.02,2050.85,2146.51,1194.39,1821.27,5479.13,2315.98,1963.16,1181.42,1882.77,1350.46,3936.01,3411.95,5979.06,2457.97,1702.65,2609.72
7913.48,1078.6,4165.93,3181.2,2858.97,25708,22000.7,2802.58,6459.89,2334.37,2067.65,1845.98,5601.15,2835,28119.3,4086.64,4051.18,10159.1,1853.49,10073.6,3609.06,5179.14,4110.21,7814.23,3713.55,3403.5,6192.25,3346.01,32747,6032.58,2551.49,1420.12,8964.42,5379.19,6680.65,1388.07,913.131,4162.06,1080.27,1768.71,3012.76,1181.03,1151.44,1809.04,8155.56,2251.93,1233.92,1477,1560.68,2008.37,6061.8,3739.61,2217.43,2587.31,3685.2,3891.12
5558.62,1671.1,2296.4,2545.54,5586.68,27573.5,17060,2157.73,3950.64,2503.56,1912.31,1709.65,4978.82,2883.5,31595.6,2449.92,3762.7,9646.23,1469.3,6648.31,2281.97,4612.18,7734.11,5333.67,5808.72,2520.31,2904.21,6959.45,32882,2970.13,4385.4,2996.37,6066.62,3728.35,4720.11,985.6,1434.67,3596.98,2284.04,1373.65,1316.25,1770.02,1195.75,2021.76,7098.23,3136.22,1918.23,1324.87,1251.84,1904.79,5147.57,4346.71,2123.8,4212.63,5207.32,5581.43
10010.1,1928.57,3209.83,2766.92,12281.9,18334.9,18054.3,1952.27,5162.23,6174.04,728.549,3203.6,3403.53,2831.37,30393,3019.71,4774.02,6267.13,1680.14,13484.8,1255.1,7294.41,4128.69,9292.99,2008.63,6809.69,1497.43,1962.36,32831,2920.17,4135.48,2903.45,13445.2,6047.45,4239.4,834.766,1031.85,3282.87,1885.72,1900.88,1340.2,1762.2,1552.34,1833.13,8027.52,3449.05,1551.61,1746.72,1256.46,1558,6319.11,5145.43,5001.99,1693.18,3693.52,12915.6
