sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014
14444.9,19136,20265.7,17399,15742.2,15223.6,17081.3,28728.3,38780.8,38038.5,31052.7,22603.2,16738.1,12989.4,10983.3,11303.2,24485.1,29194,29626.3,25536.4,20892.3,18970.7,17367.2,19714.4,17494.5,16277.8,15764.9,14445.6,13134.3,12517.9,28859.3,33764,27538,22626.8,21147.8,19508.6,13905.5,9797.66,7285.68,6928.4,6642.26,6072.52,5493.53,5261.58,5095.32,5067.85,8037.68,9780.05,10355.2,10017.8,9207.13,8616.21,10484.9,12430.4,13695.9,13731.8,13872.6,15192.9,16606.1
22427.5,27230.5,26785.3,21851.2,18672.4,16527.9,19276.2,33434,46292,48334.3,40736.3,30212.1,22613,16725.5,14119.6,13649,28836.3,34747,35012.2,31517.5,26396.1,22222.6,18650.6,19647.5,17021.1,17789.7,18536.1,18418,17347.3,17122.5,34476.5,41434.7,34209.5,27248.7,25940.3,23260.4,16050.1,11936.6,9188.23,9102.97,8695.78,7796.46,7072.18,6657.95,6871.83,7344.55,12696.9,15612.9,16847.9,16085.5,14514.3,13433.1,15412.6,18608.7,20458.1,20642.2,20429.4,25551.2,28320.3
17688.2,24678,28036.7,24693.2,22517.7,19456,17668.1,32037.8,49287.5,49601.1,39674.5,28221.3,20601,16156.1,14073,12498.4,27769.2,35139.9,36491,35553.1,30618.9,27621,22672.8,26063.3,24260.4,21954.2,19733.2,18908.5,17607.9,17583.4,40248.5,45076.3,36025.8,29059.8,26688.7,22995.3,17072,13125.6,11063.3,10892.7,9929.33,9314.82,9146.67,8684.85,8068.77,7962.67,12395.8,14527.5,14906.4,14596.1,13225.7,12207.5,16675.7,19617.4,21622.9,21874,23867.1,29093.7,31356.1
17511.9,21719.5,22817.1,20789.2,19438,17193,21250.8,38976.7,48851.3,48760.3,38478.8,26777.5,19429.5,15011.8,14175.8,13322.8,26534.6,34240.9,35779.1,31829.2,27404.6,28264.6,25298.1,26842.5,25578.3,21780.9,19153.5,16732.5,14528.2,13579.7,38617.6,44630.1,39637.6,32202.3,29775.7,24904.4,17288.6,12375.2,10625.5,10550.4,9846.39,9295.08,8996.43,9973.43,9632.7,9864.03,13124.4,13771.6,13266.3,12309.1,11236.4,10331.4,13828.1,18188,19914.5,19401.7,22035.3,22886.1,23336.8
16995.2,22786.5,26856.1,23679.3,22244.9,20166,27221,37392.2,47701,47918.1,37805.1,26796.1,19030.1,15907.1,16487.6,16786.6,26100.1,32262.3,34378.7,31151.8,27936.8,26306.5,22641.2,22383.1,20534.4,19255.9,18357.5,17992.3,15658,15638.2,37873,43376.2,38604.8,32979.3,28545,26014.9,18197,12205.1,9885.28,9492.91,9213.26,8749.66,8925.94,9877.34,10326.5,10630.2,13876,15320.8,15784.4,15400.1,13913.5,12363.1,15079.6,16864.5,18076.8,18887.1,20991.2,21583.9,22303.4
18737.5,27449.5,30545.2,25958.1,25886.9,24113.4,23238.7,38245.9,46156.3,45328.4,35701.1,24866.7,17329.2,14194,16286.7,19411.5,31578.6,40669,40667.1,37076,31441.7,30815.9,28561.4,27909.4,22994,19745.3,18975.9,19577.9,17551.4,17140,39884.5,49212.3,42385.6,35713.1,33130.9,29922.8,21595.9,14338.2,12374.2,12448,12145.9,11622.5,11078.8,10628.3,11051.9,10987.9,16190.8,18551.7,19933.5,19325,18149.4,17608.8,19928.2,21900.6,23223,22046.1,22479.1,22006.8,22367
25806.4,30560.8,29479.2,23290.8,20321.7,18680.2,17969.8,36194.5,50097.2,47383.2,37085.1,27550.9,19446.4,14999.8,16177.6,18018.9,29362.2,33752.2,32769.2,28861.2,22591.1,23708.7,21868.7,22617,20081.5,17584.3,19300.7,18356.9,18481.5,17619.5,39097.4,45749.8,38196.4,30351.9,27626.4,26267.4,19752.1,13931.6,10548.7,9995.07,9298.16,9118.49,9110.87,9560.06,9524.57,9715.59,13139.7,15176.6,15813.5,14908.8,13809.6,12477.1,13647.5,15384.1,18938.5,19843.8,19097.7,18276.1,18479.9
23533.7,28140.7,30377.8,23590.6,20461.9,18171.9,16748.2,33092.8,51816.2,50329.1,42213.9,30568.1,21370.9,14808.8,14463.8,14877.9,34590.8,40151.3,38314.1,36764.9,29906.6,29493.5,27385.4,25596.5,20472.4,20463.1,20113.7,18636.7,19666.2,19806.1,42776.4,48324.1,39088.6,29370.5,27822.8,25270.5,20561.6,14881.3,11034.7,11436.5,10558.8,9673.61,9855.65,9281.12,8599.66,8465.49,13855.9,16470.6,16361.7,14979.1,13103.9,11877.3,14716.4,17195.7,17581.9,16830.3,16905.4,17653.3,18617.5
15571.3,26941.3,30100.8,25073.8,20481.9,17400.6,17792.7,36519.2,52755.6,49633.1,39707.6,27336.7,18698.9,12972.5,12557.7,13182.9,36116.6,42145.9,40251.9,38002.7,29932.2,26485.5,22328.9,20148.2,18753.1,18515,19982.3,18823.7,17144.4,19454.2,43688.4,47870.4,39827.9,31646.8,28175.4,23873.4,17769.1,11818.5,8249.94,8939.4,9532.28,9181,8268.03,7912.93,7609.57,7964.33,12851.8,16108.8,16976.1,15969.4,13961.3,12462.6,14422.6,17043.9,17568.9,18336.7,20190.3,22847.6,24118.8
26351.6,27509.5,29803.7,24375.3,20703.5,18187.3,23946.8,36666.9,50524.2,45866.9,36092.7,27293.7,19151.7,14414,12732,12861.3,34377.6,40178.5,38892.9,34373.8,26404.8,29089.2,26312.8,26169.2,22123.8,23195.5,21927.6,22612.6,19928.8,17330.4,39286.9,42225.4,33866.6,26741.9,29796,29572.7,22582.4,15754,10779.6,10331.9,9821.31,9279.93,8325.39,7941.29,7855.96,8101.95,13631.6,17240.1,17765,16746.6,14599.8,12668.1,15250.8,18623.9,21546.6,20903.7,20440.2,27596.8,30527.8
