ft1_gear1_1956,ft1_gear1_1957,ft1_gear1_1958,ft1_gear1_1959,ft1_gear1_1960,ft1_gear1_1961,ft1_gear1_1962,ft1_gear1_1963,ft1_gear1_1964,ft1_gear1_1965,ft1_gear1_1966,ft1_gear1_1967,ft1_gear1_1968,ft1_gear1_1969,ft1_gear1_1970,ft1_gear1_1971,ft1_gear1_1972,ft1_gear1_1973,ft1_gear1_1974,ft1_gear1_1975,ft1_gear1_1976,ft1_gear1_1977,ft1_gear1_1978,ft1_gear1_1979,ft1_gear1_1980,ft1_gear1_1981,ft1_gear1_1982,ft1_gear1_1983,ft1_gear1_1984,ft1_gear1_1985,ft1_gear1_1986,ft1_gear1_1987,ft1_gear1_1988,ft1_gear1_1989,ft1_gear1_1990,ft1_gear1_1991,ft1_gear1_1992,ft1_gear1_1993,ft1_gear1_1994,ft1_gear1_1995,ft1_gear1_1996,ft1_gear1_1997,ft1_gear1_1998,ft1_gear1_1999,ft1_gear1_2000,ft1_gear1_2001,ft1_gear1_2002,ft1_gear1_2003,ft1_gear1_2004,ft1_gear1_2005,ft1_gear1_2006,ft1_gear1_2007,ft1_gear1_2008,ft1_gear1_2009,ft1_gear1_2010,ft1_gear1_2011,ft1_gear1_2012,ft1_gear1_2013,ft1_gear2_1956,ft1_gear2_1957,ft1_gear2_1958,ft1_gear2_1959,ft1_gear2_1960,ft1_gear2_1961,ft1_gear2_1962,ft1_gear2_1963,ft1_gear2_1964,ft1_gear2_1965,ft1_gear2_1966,ft1_gear2_1967,ft1_gear2_1968,ft1_gear2_1969,ft1_gear2_1970,ft1_gear2_1971,ft1_gear2_1972,ft1_gear2_1973,ft1_gear2_1974,ft1_gear2_1975,ft1_gear2_1976,ft1_gear2_1977,ft1_gear2_1978,ft1_gear2_1979,ft1_gear2_1980,ft1_gear2_1981,ft1_gear2_1982,ft1_gear2_1983,ft1_gear2_1984,ft1_gear2_1985,ft1_gear2_1986,ft1_gear2_1987,ft1_gear2_1988,ft1_gear2_1989,ft1_gear2_1990,ft1_gear2_1991,ft1_gear2_1992,ft1_gear2_1993,ft1_gear2_1994,ft1_gear2_1995,ft1_gear2_1996,ft1_gear2_1997,ft1_gear2_1998,ft1_gear2_1999,ft1_gear2_2000,ft1_gear2_2001,ft1_gear2_2002,ft1_gear2_2003,ft1_gear2_2004,ft1_gear2_2005,ft1_gear2_2006,ft1_gear2_2007,ft1_gear2_2008,ft1_gear2_2009,ft1_gear2_2010,ft1_gear2_2011,ft1_gear2_2012,ft1_gear2_2013,ft1_gear3_1956,ft1_gear3_1957,ft1_gear3_1958,ft1_gear3_1959,ft1_gear3_1960,ft1_gear3_1961,ft1_gear3_1962,ft1_gear3_1963,ft1_gear3_1964,ft1_gear3_1965,ft1_gear3_1966,ft1_gear3_1967,ft1_gear3_1968,ft1_gear3_1969,ft1_gear3_1970,ft1_gear3_1971,ft1_gear3_1972,ft1_gear3_1973,ft1_gear3_1974,ft1_gear3_1975,ft1_gear3_1976,ft1_gear3_1977,ft1_gear3_1978,ft1_gear3_1979,ft1_gear3_1980,ft1_gear3_1981,ft1_gear3_1982,ft1_gear3_1983,ft1_gear3_1984,ft1_gear3_1985,ft1_gear3_1986,ft1_gear3_1987,ft1_gear3_1988,ft1_gear3_1989,ft1_gear3_1990,ft1_gear3_1991,ft1_gear3_1992,ft1_gear3_1993,ft1_gear3_1994,ft1_gear3_1995,ft1_gear3_1996,ft1_gear3_1997,ft1_gear3_1998,ft1_gear3_1999,ft1_gear3_2000,ft1_gear3_2001,ft1_gear3_2002,ft1_gear3_2003,ft1_gear3_2004,ft1_gear3_2005,ft1_gear3_2006,ft1_gear3_2007,ft1_gear3_2008,ft1_gear3_2009,ft1_gear3_2010,ft1_gear3_2011,ft1_gear3_2012,ft1_gear3_2013,ft1_gear4_1956,ft1_gear4_1957,ft1_gear4_1958,ft1_gear4_1959,ft1_gear4_1960,ft1_gear4_1961,ft1_gear4_1962,ft1_gear4_1963,ft1_gear4_1964,ft1_gear4_1965,ft1_gear4_1966,ft1_gear4_1967,ft1_gear4_1968,ft1_gear4_1969,ft1_gear4_1970,ft1_gear4_1971,ft1_gear4_1972,ft1_gear4_1973,ft1_gear4_1974,ft1_gear4_1975,ft1_gear4_1976,ft1_gear4_1977,ft1_gear4_1978,ft1_gear4_1979,ft1_gear4_1980,ft1_gear4_1981,ft1_gear4_1982,ft1_gear4_1983,ft1_gear4_1984,ft1_gear4_1985,ft1_gear4_1986,ft1_gear4_1987,ft1_gear4_1988,ft1_gear4_1989,ft1_gear4_1990,ft1_gear4_1991,ft1_gear4_1992,ft1_gear4_1993,ft1_gear4_1994,ft1_gear4_1995,ft1_gear4_1996,ft1_gear4_1997,ft1_gear4_1998,ft1_gear4_1999,ft1_gear4_2000,ft1_gear4_2001,ft1_gear4_2002,ft1_gear4_2003,ft1_gear4_2004,ft1_gear4_2005,ft1_gear4_2006,ft1_gear4_2007,ft1_gear4_2008,ft1_gear4_2009,ft1_gear4_2010,ft1_gear4_2011,ft1_gear4_2012,ft1_gear4_2013
0.159305,0.206364,0.364822,0.251693,0.182978,0.116938,0.139952,0.11587,0.205319,0.299194,0.390503,0.339131,0.306579,0.243462,0.125988,0.137061,0.144208,0.162666,0.229783,0.276722,0.253727,0.232448,0.164598,0.376845,0.310291,0.200668,0.195485,0.199609,0.156093,0.097032,0.16454,0.375538,0.288022,0.188324,0.208668,0.533959,0.50939,0.458533,0.196272,0.180392,0.218646,0.255717,0.206115,0.147805,0.126498,0.0524756,0.0419255,0.058596,0.0677039,0.0942338,0.0951486,0.0439637,0.03342,0.0567838,0.0958048,0.0832056,0.0666312,0.0530107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.241388,0.244273,0.407034,0.295716,0.202863,0.127251,0.147332,0.149342,0.263314,0.364946,0.523938,0.458688,0.341599,0.310928,0.150138,0.162617,0.168542,0.184503,0.262127,0.336356,0.365683,0.336837,0.261346,0.566294,0.446372,0.28248,0.242609,0.216738,0.188157,0.112698,0.196561,0.501653,0.360131,0.206526,0.258958,0.561702,0.548568,0.509719,0.211719,0.193308,0.226437,0.265398,0.226701,0.148517,0.132998,0.0561602,0.0474688,0.0649659,0.0801255,0.117271,0.105661,0.0467575,0.0340924,0.0603904,0.119898,0.0966468,0.0806823,0.0710373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.261696,0.27407,0.418913,0.303956,0.229596,0.134596,0.183343,0.140266,0.236836,0.325945,0.506789,0.426404,0.381056,0.295141,0.129678,0.158405,0.195953,0.226718,0.299994,0.365047,0.359371,0.319374,0.240986,0.609794,0.449676,0.283379,0.245871,0.208447,0.163402,0.0967208,0.19776,0.524093,0.413105,0.239955,0.219277,0.477408,0.452993,0.421448,0.19127,0.191659,0.232062,0.324205,0.26856,0.197258,0.166148,0.0789754,0.0705277,0.0989986,0.106062,0.146166,0.138718,0.0596715,0.0366989,0.0744688,0.128257,0.105845,0.0877535,0.078342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.136559,0.178783,0.276158,0.198584,0.13753,0.0967778,0.126018,0.103828,0.17951,0.235563,0.347219,0.275191,0.261529,0.187809,0.0961641,0.111725,0.126788,0.14853,0.21566,0.254496,0.234699,0.216213,0.161724,0.410784,0.247154,0.157701,0.154984,0.137586,0.109743,0.0733169,0.126622,0.333702,0.252153,0.155518,0.180484,0.418321,0.37373,0.337221,0.154364,0.148153,0.17769,0.21666,0.186912,0.150811,0.120732,0.0606458,0.0602164,0.0769459,0.0921254,0.134862,0.153575,0.0736368,0.0510411,0.1013,0.188177,0.162399,0.140073,0.106077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0986965,0.155097,0.262572,0.19616,0.155041,0.0975929,0.127501,0.0953289,0.149069,0.200002,0.294307,0.234591,0.224348,0.199489,0.103603,0.108567,0.0961582,0.130147,0.183537,0.203248,0.196241,0.184222,0.126848,0.307437,0.220385,0.152184,0.160276,0.176754,0.153503,0.107441,0.170637,0.370205,0.259877,0.148531,0.172203,0.432877,0.339802,0.284912,0.118948,0.104339,0.146995,0.174914,0.158944,0.124343,0.112608,0.0518381,0.0554549,0.0692054,0.0885146,0.130386,0.15795,0.0838575,0.0539427,0.0990172,0.193333,0.155913,0.127665,0.0950449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.109431,0.162025,0.281418,0.220461,0.170992,0.0945916,0.117671,0.0961863,0.170108,0.238148,0.333069,0.313575,0.291061,0.234068,0.126599,0.129034,0.110539,0.149303,0.197411,0.205728,0.19023,0.155631,0.121381,0.288471,0.218268,0.16388,0.16398,0.193118,0.14123,0.090892,0.147728,0.347134,0.220213,0.124287,0.159829,0.426991,0.38944,0.336011,0.12762,0.103913,0.121119,0.132378,0.134579,0.12266,0.108651,0.0545843,0.0522217,0.067966,0.079309,0.115238,0.121942,0.0682174,0.0455432,0.0976116,0.164865,0.118881,0.0986881,0.0836064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.156069,0.167993,0.275501,0.218534,0.182188,0.114529,0.131578,0.0859845,0.153027,0.195039,0.263333,0.215634,0.196677,0.148218,0.0842564,0.100079,0.122593,0.171261,0.235406,0.26394,0.242633,0.230052,0.1482,0.357839,0.272629,0.223111,0.192256,0.217968,0.160543,0.102028,0.155065,0.313382,0.215657,0.118921,0.148568,0.342235,0.350248,0.311824,0.122884,0.112058,0.129171,0.143454,0.132056,0.121994,0.119445,0.0551282,0.0514982,0.0787138,0.0821079,0.123571,0.145012,0.0807203,0.0570845,0.0954844,0.156899,0.132545,0.110141,0.0966511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.121016,0.143263,0.252677,0.166765,0.125613,0.087438,0.124331,0.111521,0.137225,0.183878,0.245864,0.203679,0.186312,0.145662,0.0843916,0.104542,0.11485,0.138926,0.19537,0.203058,0.152061,0.172069,0.146289,0.324856,0.255094,0.19678,0.179587,0.206835,0.14704,0.0844641,0.143387,0.251145,0.163786,0.105689,0.137382,0.347263,0.363552,0.30798,0.115503,0.101823,0.12531,0.152038,0.132167,0.118511,0.108227,0.0497524,0.0443778,0.0602669,0.0635555,0.10279,0.112702,0.0583744,0.048066,0.0844279,0.147371,0.124324,0.117217,0.114677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.108851,0.129233,0.243678,0.156476,0.116623,0.0756383,0.113557,0.104781,0.177432,0.264945,0.359384,0.297636,0.246787,0.191193,0.0880509,0.0998243,0.119654,0.149167,0.214817,0.238442,0.186973,0.157609,0.118312,0.312553,0.312803,0.204856,0.183856,0.193572,0.126866,0.0708582,0.143162,0.268096,0.162422,0.12183,0.131463,0.332243,0.391072,0.329686,0.120876,0.100134,0.14304,0.180413,0.146985,0.123243,0.117011,0.0523075,0.0554396,0.0756179,0.0906287,0.132428,0.150517,0.0712227,0.0500295,0.0996781,0.178641,0.150465,0.120077,0.0887409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.111311,0.155198,0.278021,0.214901,0.169748,0.108817,0.122815,0.107422,0.17474,0.230764,0.325178,0.301827,0.24359,0.183545,0.105848,0.146532,0.12786,0.137832,0.199841,0.250042,0.208952,0.187414,0.145656,0.348778,0.312017,0.215331,0.208598,0.242159,0.156401,0.105177,0.156133,0.249795,0.158325,0.11239,0.13741,0.374678,0.419603,0.34486,0.112996,0.110749,0.159224,0.182775,0.160045,0.14298,0.124156,0.0480433,0.046577,0.0613682,0.068857,0.104314,0.103014,0.0470405,0.0377085,0.0712312,0.112659,0.0897186,0.0841104,0.0665221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
