ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,bmsy,msy1,fmsy1,q1,q2,q3,SSB1,f
6477.79,0.596906,0.383691,2876.74,1749.75,0.088968,1.16071, 53989.9, 20610.4, 3947.47, 0.259705,0.129874,0.137718,0.0194143,13791.3,74.5512
6462.09,0.625459,0.348667,2393.65,988.125,0.088968,1.26476, 62261.9, 23261.5, 4362.85, 0.249175,0.142641,0.163071,0.0234219,11112.6,109.844
7021.44,0.555389,0.342326,2224.85,606.795,0.088968,0.979876, 69549.4, 27239.5, 4350.2, 0.207621,0.15937,0.194166,0.0237022,9640.02,127.16
8739.94,0.515125,0.429511,2810.06,2139.51,0.088968,0.838476, 61339.7, 24894, 4353.01, 0.239867,0.122746,0.236253,0.0161935,6879.78,113.618
7683.97,0.543838,0.416248,2678.83,3088.94,0.088968,0.852698, 56573, 22461.8, 4101.19, 0.250127,0.114385,0.227806,0.0152074,8296.65,119.877
11024,0.52659,0.415598,2783.74,2188.21,0.088968,0.814773, 81357.6, 32709, 5721.97, 0.238323,0.109544,0.19291,0.0156401,8943.57,132.503
11983.5,0.47391,0.412037,2634.77,1741.46,0.088968,0.683151, 89607.2, 37472.2, 5651.82, 0.201827,0.111218,0.222516,0.0159754,7513.08,137.451
6332.99,0.681411,0.432546,2844.61,2544.94,0.088968,0.890062, 43971.7, 15849, 3953.44, 0.361441,0.09961,0.19516,0.0143123,6746.22,137.877
10236,0.606947,0.414732,2877.53,2118.77,0.088968,0.619451, 75783.2, 28769.2, 6006.38, 0.291049,0.109567,0.222056,0.0150138,8155.92,134.697
13706.2,0.568663,0.422861,2928.42,2171.44,0.088968,0.77686, 98513.4, 38436.1, 7526.85, 0.271637,0.106212,0.151766,0.0162661,11421.2,132.394
18029.6,0.495144,0.433692,3223.39,3041.6,0.088968,0.726024, 124679, 51383.5, 8596.74, 0.2288,0.11319,0.15566,0.0156901,11903.8,133.476
10027.4,0.695577,0.404273,2664.17,2039.64,0.088968,0.708077, 77186, 27549.7, 6638.87, 0.341973,0.137245,0.217349,0.0176091,10854.6,129.124
10036.5,0.681626,0.418574,2876.48,1728.04,0.088968,0.861655, 73268.3, 26406.4, 6400.3, 0.346857,0.128928,0.201515,0.0165548,10260.8,133.528
9280.72,0.593148,0.381794,2502.5,1979.77,0.088968,0.684237, 77935.9, 29825.7, 5645.09, 0.255999,0.129768,0.27722,0.0173547,7054.49,126.267
9597.12,0.673488,0.393193,2625.93,2216.62,0.088968,0.711178, 77067.6, 27925.6, 6320.2, 0.315981,0.127613,0.211078,0.0187177,8144.35,135.292
7598.44,0.658109,0.40595,2665.68,1681.35,0.088968,1.02698, 58121.6, 21289.6, 4815.43, 0.317831,0.121765,0.176569,0.0181622,11908.7,142.856
7114.99,0.6019,0.387676,2377.4,1574.25,0.088968,0.904099, 58376.5, 22213, 4335.23, 0.265835,0.125545,0.177035,0.0203468,9465.64,124.164
11994.1,0.454046,0.403862,2755.83,1859.67,0.088968,0.896776, 92468.5, 39247.1, 5480.21, 0.184735,0.111942,0.157934,0.0191723,13002.8,128.201
10036.9,0.500257,0.415456,3096.46,2123.17,0.088968,0.986713, 74111.5, 30383.4, 4966.92, 0.220976,0.109338,0.130845,0.0192368,19209.1,127.946
9456.29,0.463641,0.402731,2860.18,1503.91,0.088968,1.23147, 73215.4, 30837.3, 4425.03, 0.190219,0.1358,0.149653,0.0185869,14921.6,128.358
5941.68,0.551262,0.416824,3241.6,1350.52,0.088968,1.06533, 43653.2, 17240.1, 3206.38, 0.255452,0.122342,0.115543,0.0166805,19568.9,129.448
6824.09,0.579626,0.420441,3135.42,2131.3,0.088968,0.786463, 49479.7, 19152.9, 3822.23, 0.277206,0.110632,0.128996,0.013594,16654.4,135.917
7253.19,0.515173,0.446271,3419.86,2526.29,0.088968,0.953944, 48014.3, 19506.1, 3527.23, 0.251155,0.108039,0.126951,0.0135776,16332.1,131.712
7052.67,0.446366,0.397888,2943.54,1590.18,0.088968,1.14644, 55620.7, 23738.7, 3194.19, 0.176912,0.115401,0.132544,0.0170635,15725.9,139.717
5990.13,0.43117,0.429606,3045.52,2294.69,0.088968,1.15146, 42026.6, 18221.7, 2486.73, 0.18247,0.1022,0.168056,0.0171425,11004.2,133.95
4454.14,0.53876,0.43875,2547.97,2426.5,0.088968,0.870926, 30260.9, 12074.7, 2279.96, 0.262728,0.148932,0.24991,0.0196925,7013.18,150.411
7372.33,0.575396,0.431341,2740.89,2367.87,0.088968,0.771442, 51406.6, 19968.1, 4037.46, 0.282931,0.144841,0.227004,0.0182912,9792.97,139.281
5890.86,0.57411,0.395879,2559.65,1206.08,0.088968,0.877753, 46817.6, 18170.5, 3404.25, 0.254875,0.156328,0.175389,0.0198127,12684.6,133.251
4998.88,0.563613,0.388423,2325.49,1187.73,0.088968,0.944796, 40894.6, 15981.9, 2879.86, 0.243036,0.16363,0.214593,0.0198898,9131.47,131.621
4692.93,0.561203,0.366852,2043.83,1312.93,0.088968,0.701181, 41870.1, 16366, 2798.82, 0.226765,0.180914,0.384596,0.0190019,4507.49,138.957
5942.74,0.531815,0.391071,2389.93,1057.99,0.088968,0.790076, 48116.3, 19238, 3238.33, 0.225525,0.152365,0.272421,0.0161106,7046.49,141.663
6833.54,0.429889,0.406693,2543.28,1459.5,0.088968,0.957678, 52125.2, 22570, 2926.53, 0.170679,0.158963,0.289975,0.0154998,5976.6,144.281
7074.46,0.497711,0.415481,2572.67,1233.74,0.088968,0.83046, 52232.4, 21454.8, 3483.64, 0.219325,0.161979,0.311404,0.0161105,4750.54,140.811
4995.4,0.488167,0.39534,2382.96,1659.38,0.088968,0.824228, 39783.4, 16431.9, 2492.8, 0.201449,0.154639,0.340343,0.0163831,4843.71,145.909
5731.67,0.466784,0.424583,2591.99,2248.95,0.088968,0.672917, 40941.7, 17235.9, 2611.36, 0.204089,0.135857,0.316479,0.0153098,4794.93,143.981
4083.62,0.720638,0.400397,2203.9,1241.95,0.088968,0.963271, 31898.6, 11189.3, 2791.02, 0.35547,0.154568,0.318291,0.0197025,5049.23,148.712
4223.98,0.763421,0.38386,2416.88,1373.52,0.088968,1.01598, 35181.7, 11980.7, 3091.34, 0.366891,0.144621,0.216165,0.0202988,8984.36,138.725
6414.64,0.737869,0.430902,2467.94,2230.96,0.088968,0.827558, 44798.4, 15512.6, 4250.54, 0.404151,0.140185,0.339907,0.016407,4315.34,144.6
6576.74,0.654854,0.39778,2246.08,1780.89,0.088968,0.854178, 51888.9, 19045.9, 4208.34, 0.308034,0.170756,0.333817,0.0188886,4140.92,130.72
7486.34,0.677591,0.428161,2370.29,2116.51,0.088968,0.784761, 52794.9, 19081, 4684.41, 0.353885,0.153802,0.344921,0.0172103,3794.75,147.214
8335.47,0.671174,0.39283,2376.77,1468.8,0.088968,0.754055, 67030.2, 24326.9, 5478.66, 0.314119,0.147135,0.294226,0.0155828,5241.96,140.698
9291.75,0.637919,0.427867,2667.72,2303.82,0.088968,0.699027, 65595.6, 24376, 5557.41, 0.324391,0.128024,0.327784,0.0147341,5520.53,130.977
7215.96,0.560534,0.36638,2119.47,1270.86,0.088968,0.918625, 64506.5, 25224.9, 4302.86, 0.22607,0.142632,0.313764,0.0178636,5675.15,128.058
8358.98,0.576791,0.41515,2420.17,2697.13,0.088968,0.727822, 61791.3, 23960.9, 4701.06, 0.271166,0.124045,0.356742,0.0159025,4519.98,141.602
8320.66,0.581347,0.436667,2771.6,2471.48,0.088968,0.761099, 56942.1, 22028.8, 4560.55, 0.291465,0.121803,0.204328,0.0166639,7112.43,142.621
6159.2,0.607205,0.404599,2135.85,2570.92,0.088968,0.682218, 47352.6, 17966.1, 3674.2, 0.282784,0.165253,0.33253,0.0193043,4055.86,145.002
5489.52,0.652532,0.397405,1972.07,1625.51,0.088968,0.606729, 43373.2, 15945.4, 3505.37, 0.306165,0.178506,0.342986,0.0214375,3378.01,158.399
5786.15,0.712064,0.447889,2459.22,2294.19,0.088968,0.760735, 38091.7, 13428.2, 3648.57, 0.403612,0.140988,0.229449,0.0177353,5857.82,154.871
8641.61,0.658849,0.424311,2703.9,2587.34,0.088968,0.765909, 61788, 22626.2, 5325.91, 0.336119,0.126092,0.153767,0.0166691,11141.1,136.622
5254.98,0.739811,0.413199,2751.94,2463.68,0.088968,0.74505, 39125.9, 13538.1, 3584.03, 0.384162,0.115337,0.137467,0.0163382,12066,127.765
4679.84,0.672959,0.414283,2406.39,2941.44,0.088968,0.810673, 34704.8, 12583.4, 2976.03, 0.336256,0.130966,0.165136,0.0177734,8808.51,129.812
5323.5,0.69652,0.392282,2166.28,3194.4,0.088968,0.775648, 42900.4, 15301.2, 3599.06, 0.330348,0.152893,0.244981,0.0196516,5500.31,134.685
4307.91,0.905124,0.398456,2178.11,2211.56,0.088968,0.627581, 33900.5, 10364.6, 3442.56, 0.504336,0.155161,0.198329,0.022325,7109.29,135.039
8961.68,0.639874,0.398115,2557.33,1849.27,0.088968,0.807149, 70614.7, 26187.7, 5630.69, 0.298534,0.148203,0.125995,0.0212977,13305.5,136.622
7781.32,0.598937,0.407418,2906.08,1634.28,0.088968,0.706215, 59193.9, 22591.2, 4569.91, 0.279678,0.131727,0.111764,0.0196376,21699.5,144.606
10043.4,0.552331,0.413201,2844.96,2019.19,0.088968,0.826142, 74777.8, 29503.4, 5459.72, 0.253551,0.126175,0.150362,0.0178426,15429.8,134.666
7559.3,0.735011,0.376308,2507.55,1261.17,0.088968,0.712157, 64890.6, 22538.2, 5461.08, 0.339245,0.146587,0.12174,0.0204541,20923.9,123.89
7523.69,0.710262,0.356466,2350.07,1295.95,0.088968,0.732164, 70108.4, 24754.8, 5504.41, 0.303783,0.149072,0.109551,0.0215022,21389,132.524
7748.89,0.572163,0.407009,2776.87,2108.04,0.088968,0.83639, 59037.5, 22958.7, 4384.61, 0.261922,0.121396,0.115023,0.018612,16279.1,135.778
7657.8,0.550153,0.395587,2568.68,1274.66,0.088968,0.912352, 60928.6, 24050.5, 4268.29, 0.239783,0.127284,0.131103,0.0188052,14235.3,131.622
7635.19,0.4874,0.378227,2302.53,1833.78,0.088968,1.14113, 65037.9, 26836.2, 3916.65, 0.191443,0.139578,0.169066,0.0189478,14256.7,135.525
6636.88,0.513853,0.427965,3048.06,1599.3,0.088968,1.08955, 46837, 19024.3, 3305.51, 0.237981,0.10897,0.104491,0.016693,24240.3,138.158
5286.08,0.642271,0.402212,2733.95,2227.28,0.088968,0.878082, 41008, 15184.7, 3308.43, 0.303764,0.121008,0.11624,0.016617,21489.6,144.2
4893.53,0.767308,0.412849,3264.5,1647.03,0.088968,0.927889, 36481.9, 12378.1, 3424.91, 0.405109,0.112855,0.0792413,0.0160805,30469.3,144.05
5491.63,0.643706,0.42034,2990.43,1846.05,0.088968,0.710323, 39833, 14740.8, 3345.4, 0.321432,0.118342,0.117875,0.0149481,17203.3,143.189
5162.19,0.590384,0.365961,2222.17,803.985,0.088968,0.79563, 46226.9, 17707.1, 3218.51, 0.242652,0.181155,0.162065,0.020872,16544.2,143.416
4632.97,0.531953,0.368412,2419.47,1051.13,0.088968,0.79581, 41070.4, 16389.8, 2627.74, 0.211262,0.132815,0.153907,0.0182784,11976.3,145.885
4555.91,0.617176,0.36679,2484,855.103,0.088968,0.789377, 40658.2, 15292.6, 2939.95, 0.258584,0.135355,0.119181,0.0187216,17419.1,137.441
5837.08,0.61393,0.334534,2242.41,726.714,0.088968,0.747264, 59856.7, 22513.3, 3995.61, 0.232529,0.152804,0.138976,0.0214932,16276.3,145.691
6861.17,0.595976,0.365713,2465.36,1081.22,0.088968,0.93412, 61504.3, 23468.5, 4313.03, 0.245646,0.13438,0.131247,0.0220944,16821.6,132.255
5655.45,0.78066,0.379639,2434.67,975.012,0.088968,0.993537, 47902.5, 16117.5, 4233.98, 0.374002,0.138022,0.122841,0.0214668,16673.1,147.973
3968.17,0.865383,0.396636,2594.01,1208.84,0.088968,1.247, 31445.4, 9928.68, 3089.5, 0.464056,0.12517,0.108632,0.0184448,22016.5,143.745
3123.96,0.86028,0.38979,2700.48,1429.14,0.088968,1.22933, 25420.2, 8063.42, 2450.97, 0.449072,0.117104,0.0941785,0.0170953,22280.4,145.612
6671.78,0.605573,0.421461,2578.13,1735.49,0.088968,0.828732, 48196.9, 18318.6, 3867.35, 0.295804,0.128158,0.194703,0.0174716,10748.6,137.502
6338.26,0.675014,0.414552,2422.64,1217.36,0.088968,0.670488, 46956.8, 17001.5, 4038.09, 0.337987,0.131611,0.210144,0.0173007,8998.79,144.608
6997.57,0.60698,0.396387,2496.59,1896.97,0.088968,0.617159, 55504.6, 21055, 4229.82, 0.275938,0.128621,0.175956,0.0189619,12248.8,145.062
3915.3,0.799831,0.379458,2211.75,1608.45,0.088968,0.788763, 33187.1, 11015.3, 2980.57, 0.387479,0.147711,0.195916,0.0202155,10994.5,137.996
3777.75,0.779593,0.391337,2202.25,1769.99,0.088968,0.705182, 30555.6, 10285.3, 2768.71, 0.38749,0.135321,0.219093,0.0173945,8665.98,135.599
5264.33,0.622923,0.408478,2326.36,1594.57,0.088968,0.748257, 39888.4, 14971.9, 3184.88, 0.296437,0.11972,0.208195,0.0162083,8590.36,141.282
7353.54,0.582531,0.429791,2797.49,1619.47,0.088968,0.771251, 51558.4, 19924.1, 4078.12, 0.286691,0.101749,0.177956,0.0129141,10050.6,136.914
7649.44,0.605,0.439076,2916.8,1872.69,0.088968,0.725514, 51910.5, 19748, 4316.6, 0.31067,0.0967272,0.151704,0.0126026,11547.5,148.93
5911.96,0.724942,0.432168,2670.71,1462.15,0.088968,0.667324, 41103.1, 14364.8, 3861.69, 0.395205,0.111867,0.149431,0.0149733,12163.2,151.708
6549.4,0.75818,0.430499,2819.97,1482.9,0.088968,0.572676, 45804.9, 15630.3, 4425.37, 0.420478,0.106264,0.128182,0.0149294,13578.9,154.541
5545.73,0.739397,0.412923,2607.53,1414.02,0.088968,0.617986, 41332.8, 14306, 3782.48, 0.383519,0.124506,0.158043,0.0165832,10847.7,151.026
5353.1,0.749229,0.442357,2759.33,1402.15,0.088968,0.763342, 35916.3, 12327.8, 3526.34, 0.428446,0.129899,0.181624,0.0165737,9070.06,148.817
4974.01,0.757038,0.417559,2800.21,2100.17,0.088968,0.923011, 36445.9, 12454.9, 3423.78, 0.402919,0.116787,0.140935,0.0158355,14910.4,138.323
5838.16,0.80363,0.389226,2822.06,2144.17,0.088968,0.849342, 47610.7, 15753.5, 4383.16, 0.402817,0.107376,0.104824,0.0167276,19354.4,144.104
5935.8,0.73866,0.417711,3340.96,1984,0.088968,0.86209, 43468.9, 15051, 4015.55, 0.388667,0.0951039,0.0774543,0.0161046,21902.2,144.701
5959.91,0.729624,0.397909,2908.85,1826.88,0.088968,0.809845, 46998.9, 16383.8, 4126.28, 0.35909,0.105142,0.107186,0.0167019,19081.7,136.944
4842.84,0.820795,0.417157,2804.1,1450.6,0.088968,0.940029, 35536.8, 11588.1, 3523.54, 0.455865,0.116361,0.124604,0.0185469,11862.2,139.24
5808.05,0.714703,0.409489,2441.14,1331.99,0.088968,0.733109, 43842.7, 15441.5, 3888.47, 0.361199,0.134953,0.233124,0.0180604,5082.35,144.087
5536.07,0.672146,0.379909,2414.58,1280.43,0.088968,0.794601, 46840.6, 16982.8, 3725.11, 0.302655,0.118247,0.191372,0.0165427,6689.7,158.093
4838.32,0.665278,0.354456,2090.58,746.792,0.088968,0.886574, 45472.2, 16546.7, 3386.85, 0.275934,0.154965,0.232976,0.0214085,6427.31,142.965
5101.54,0.620422,0.368811,2498.31,1052.48,0.088968,0.998302, 45150, 16946.6, 3293.47, 0.262049,0.119932,0.14912,0.0207149,12187.7,134.188
4541.34,0.667671,0.385314,2743.25,893.956,0.088968,0.821658, 37608.2, 13679.2, 3011.85, 0.304825,0.119722,0.118598,0.0203617,17870.1,124.31
5597.36,0.70468,0.391747,3071.48,1397.91,0.088968,0.802143, 45201.1, 16031.6, 3819.72, 0.335277,0.100825,0.0911352,0.0179759,24006.5,138.833
5499.72,0.720333,0.418476,3092.46,1278.14,0.088968,0.913681, 40163.2, 14087.7, 3650.79, 0.375498,0.107938,0.121996,0.016869,16940,133.95
5246.84,0.756245,0.405609,2911.51,1263.32,0.088968,0.953072, 40185.2, 13746.7, 3677.89, 0.38753,0.114696,0.146252,0.0179217,15279.1,127.466
6655.84,0.583747,0.396126,3060.55,1144.4,0.088968,1.00887, 52847, 20373, 3898.66, 0.261087,0.113386,0.106425,0.0174026,21360.4,129.923
9068.96,0.636981,0.403826,3087.76,1498.04,0.088968,0.759368, 69926.4, 25988.6, 5625.11, 0.301705,0.110164,0.109162,0.0163451,16904.3,131.91
8622.79,0.657408,0.396238,3076.96,1376.32,0.088968,0.719508, 68435.1, 25074.2, 5548.11, 0.30829,0.0881974,0.10189,0.0148663,13846.1,151.522
6303.43,0.675526,0.386374,2517.92,1333.33,0.088968,0.705967, 51983.3, 18807.2, 4209.33, 0.31083,0.13122,0.171334,0.0175738,10580,137.624
11255.6,0.459299,0.365491,2481.8,1297.46,0.088968,0.800881, 100990, 42517.1, 5558, 0.168736,0.133771,0.174754,0.0165838,11178.6,137.107
8613.18,0.470178,0.425047,3019.85,2090.66,0.088968,0.781229, 61422.1, 25789.9, 3950.76, 0.206634,0.116656,0.129738,0.0152344,14533.6,137.563
6513.02,0.570986,0.434674,3053.31,2490.37,0.088968,0.882985, 44884.1, 17492.1, 3526.59, 0.282469,0.1142,0.101637,0.0158198,18941.2,141.094
8338.79,0.443354,0.422509,3082.78,1591.21,0.088968,1.0291, 60011.5, 25739.3, 3608.08, 0.18723,0.105573,0.103843,0.0159404,23102.8,146.944
6466.81,0.490344,0.4127,2786.68,1877.96,0.088968,0.839251, 48237.5, 19920.3, 3152.18, 0.212861,0.114474,0.128201,0.0146665,16310.9,143.821
7852.17,0.38126,0.393595,2749.82,1946.69,0.088968,0.914702, 62957, 28406.3, 2960.27, 0.134116,0.102723,0.132037,0.0133697,20746.3,142.621
5423.5,0.458103,0.405613,2890.59,1894.01,0.088968,0.783541, 41537.6, 17576.4, 2494.62, 0.188217,0.093916,0.108327,0.0128177,22272.4,150.894
4873,0.466062,0.411844,2844.97,1964.47,0.088968,0.62867, 36464.1, 15342.1, 2259.93, 0.196635,0.0975135,0.149631,0.0122432,16949.4,159.363
