rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013
4309.48,3515.02,2883.7,3183.23,5305.51,16063.3,11780.2,4565.51,4331.83,3505.38,2254.72,2157.99,1902.66,2960.29,18160.3,3377.89,4689.97,3231.92,3557.37,5071.91,3180.09,7207.1,4163.49,3855.5,2878.42,2209.12,2438.48,2317.93,21960.3,5261.16,3333.9,3013.56,4855.81,4684.67,3384.99,1829.41,1318.52,1333.51,1221.65,1070.96,1102.38,1080.82,729.296,780.899,4098.96,1234.59,1056,921.147,1023.74,1189.07,3342.43,2295.14,2123.47,1623.22,2044.28,3444.46
3181.97,3340.74,3091.92,1978.02,4665.92,9069.56,12042.5,4950.56,4879.59,3674.23,2613.69,1163.56,1638.87,2269.86,15651.2,3396.68,2632.51,1881.9,1577.95,6151.64,1337.61,6585.04,3881.44,4653.08,2676.4,2355.06,1218.28,2219.07,18515.3,4284.65,4540.8,4170.27,2301.37,6083.94,2841.77,1792.7,888.11,1563.26,1027.5,679.455,1038.33,1156.65,552.15,954.493,3063.57,696.699,617.016,635.423,1239.86,1196.08,3244.55,882.765,1148.33,1877.8,1870.41,1681.51
3106.36,3058.59,3413.53,1842.17,2040.35,15662.7,10635.4,3621.63,3570.94,3349.24,2028.44,1878.16,1598.96,1244.98,13164.9,4110.66,3967.36,1779.65,3442.5,4164.71,886.066,6431.59,5183.54,3297.49,3148.86,3364.9,1209.35,2752.77,14457,4956.8,2845.43,6599.67,4315.95,5005.74,2678.81,952.67,528.108,858.172,1345.55,284.724,1303.31,620.176,591.138,631.938,1590.56,1320.98,995.971,580.424,759.707,1086.55,3047.76,785.991,1570.45,832.418,2093.52,1199.85
7175.56,3501.86,5466.48,2214.46,3428.13,18857.4,17951.5,5618.24,3853.07,5872.64,1221.92,4218.8,1752.98,2143.28,23403.6,2689.7,4474.47,5118.46,4088.25,4007.76,4119.17,8257.91,9433.38,3565.17,3716.87,4419.77,2225.83,1951.72,27776.5,3342.42,2974.9,6339.22,3492.16,7329.65,5700.94,661.709,1182.5,1763.94,1473.55,858.945,676.173,1377.38,750.876,705.09,2209.65,2013.86,936.286,542.73,637.394,631.024,3390.58,666.921,1428.65,1271.13,1142.11,2448.23
4923.53,3509.91,1843.32,6479.97,3389.95,23571.4,19683.7,4628.95,2430.52,4108.56,1174.13,1951.04,2219.32,3705.72,28749.4,1527.3,2673.71,3928.66,6448.29,4840.6,6032.34,6997.45,5775.44,3107.55,1891.32,2531.65,2748.97,739.207,24266.3,9628.73,3932.58,7161.44,2685.41,5084.11,7283.65,1179.31,1157.88,2275.76,1127.67,727.476,590.149,1503.01,514.863,837.096,2677.16,1598.1,586.026,577.257,601.753,526.352,3026.93,1089.44,757.447,1961,1183.11,3538.19
4157.78,4878.06,1412.18,7675.44,3874.35,24563.7,9375.87,4275.7,4591.62,4822.68,1575.9,3199.91,774.304,4833.01,24320.5,1530.76,7327.21,6841.62,2629.09,7725.4,4342.38,7790.61,4899.83,2048.16,3654.1,2439.12,3434.85,729.737,24858.3,7375.97,8419.59,5086.45,1907.86,4138.75,5648.16,1106.72,4019.43,1950.39,1487.93,969.916,348.386,1098.69,504.092,697.816,3203.83,1729.62,1156.19,311.106,956.45,792.076,2871.75,1132.79,1168.34,2983.47,1571.96,1449.36
2981.84,2954.94,1566.74,3444.98,8750.51,32288.7,8788.44,4596.19,5855.85,3850.45,1228.44,4643.15,763.622,3796.2,16898.7,2294.72,7204.98,3592.15,2287.1,6878.44,7008.83,5217.95,4132.93,2254.04,4212.63,2261.03,3010.97,1100.45,25023.9,10858.1,4791.63,5707.31,1834.76,7017.03,3533.1,940.27,2579.9,2643.31,1426.8,863.886,356.048,1196.49,386.469,637.762,2838.59,1811.26,681.359,460.563,578.418,495.767,2854.79,2005.18,919.687,1375.14,2125.97,842.925
6136.84,6568.22,1420.25,2270.17,7474.5,18509.8,30293,3649.5,4514.07,2979.96,1544.15,4656.9,557.933,3833.06,20721.3,4066.31,7538.84,8727.8,5572.17,2332.44,4249.01,8588.13,3979.89,1886.38,6230.99,1767.59,4562.88,1297.24,27089.8,17237.8,2277.3,5711.79,1855.15,6334.01,3167.66,1722.37,2990.52,2717.74,1355.96,671.445,484.153,1732.06,479.738,455.747,4955.9,1409.88,1131.23,725.569,558.577,1062.67,2109.77,2528.08,1077.04,1161.79,1824.8,518.058
4017.91,7290.73,1236.64,5030.76,4251.33,17888.8,11450.6,5094.6,6107.41,5413.25,1176.03,6018.71,1838.57,2485.04,18448.6,2924.52,7553.31,7734,5265,5555.79,5248.49,3652.62,1967.38,6282.2,4043.38,2106.77,5638.01,1316.54,22878.9,15932.1,4628.91,1667.94,4750.38,3943.46,2074,3659.58,1614.53,2537.8,951.564,907.864,457.685,1554.85,611.807,401.302,2555.54,1825.56,810.092,510.751,561.705,1283.53,2200.16,1136.64,1036.99,1328.75,2238.53,2423.45
2930.13,3383.25,1612.82,5169.23,6676.1,19653.6,14764.6,4977.06,3821.46,4641.51,1785.48,3405.16,1382.52,1182.24,24576.4,3050.24,7330.63,2022.73,5954.54,5161.63,4713.35,5126.98,2353.2,5638.89,1584.48,2933.38,4515.76,1160.65,27170.6,18779.5,4850.73,1786.34,2651.01,3225.28,5090.61,2412.41,3538.39,674.457,1343.04,1134.56,637.425,924.843,1310.27,526.823,3634.73,2727.86,701.057,830.228,1226.78,1544.28,2749.18,1771.72,2142.7,2495.55,1462.38,2945.99
5522.81,5670.72,2825.63,6216.49,8833.62,15907.4,18283.8,5127.97,2927.3,6042.13,2525.28,3647.53,1580.65,1982.98,20396.4,7757.79,7502.15,2449.55,7103.59,4818.8,5792.9,6262.11,1738.43,5136.68,2259.51,2738.56,3318.19,1592.38,24908.4,14958.6,8358.56,1257.84,4112.11,2798.07,4525.5,2813.39,2870.49,1085.67,1188.02,605.772,1212.01,1903.11,800.784,762.513,3035.42,2244.49,538.856,792.548,1938.81,1533.45,2740.38,3034.27,1385.66,1939.27,2343.24,3249.89
