sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014
15523,19618.3,20534.8,17711.4,16169.9,15779,17897.2,28676.1,38810.3,38081.9,31177,22879,17107.5,13411.8,11434.2,11825.8,24447.6,28934.9,29484.2,25560.7,21105.4,19445.1,17903.2,20092.7,17825.2,16602.7,16064.8,14757.4,13545.6,13010.2,28479.2,33602.4,27577.2,22801.5,21529.3,19973.1,14200.5,9986.26,7392.33,6938.56,6558.27,5926.01,5317.57,5103.24,4924.77,4816.07,7609.67,9259.84,9780.2,9426.89,8645.65,8085.83,9754.52,11475.2,12566.6,12470,12488.6,13791.3,15316.3
11256.6,16549,17870.4,15712.9,14812,14151.2,16040,21684.9,30428.6,30625,25851.3,18560.9,14047.8,10978.1,9173.45,9499.11,20527.2,25132.3,24975.9,20602,15128.5,14513.6,12403.3,14361.1,12312.8,12565.4,12892.2,12704.1,11530.3,11134.6,24310.7,28241.9,22718.9,20132.6,18574.5,18284,13219.9,9364.61,6616.36,6505.33,6254.29,5508.55,4927.68,4862.85,4754.91,4885.86,7050.47,8135.76,8252.06,7718.43,7287.12,7210.58,9265.66,10318.6,10525.2,10433.7,10736.2,11112.6,12130.7
9957.38,15597,16874.7,14792.2,14284.7,13531.3,13443.3,23462.8,33512.4,33391.1,27327.2,18954.6,13844.7,10785.5,9321.37,9090.63,17877.1,21948.8,22619.8,18847.1,15458.5,14133.7,11693.4,13563,12451.9,11993.4,12590.1,13355,12640.6,12935.3,23113.6,26392.2,19659.8,18748.3,19567.4,20156.8,15357.9,10779.3,7405.97,6319.33,5910.73,4843.69,4333.52,3935.29,3744.62,3689.65,4663.74,5748.68,6355.04,6284.84,5857.7,5775.09,7798.63,8924.86,9606.54,9100.6,9484.04,9640.02,10562.1
18534.2,23016.9,25531.3,22677.6,22123.5,20368.2,19432.1,30417.2,44498,44835.8,36990.6,28302.6,20706.5,17148.1,14570.8,13526.3,29154.6,32940,31779.7,27750.1,23035.8,19862.7,18148.1,20535.1,21541.6,21056.4,20623.7,20190.7,18457.9,16578.8,35264,38850.3,30381.8,26706.5,24080.4,23491.1,19465.2,13875,9982.32,8845.95,8019.33,6790.48,5427.99,5050.64,4696.41,4430.45,5551.68,6904.21,7223.84,6607.84,5581.35,4668.59,6450.86,7018.68,7127.75,6562.09,6115.95,6879.78,8517.84
26316.5,28272.5,27337.6,22999.6,19115.5,19759.3,20205.7,35582.1,52905.6,53742.8,44006.4,32311,23262.3,17116.6,13713.2,13783.7,34391.3,40027.9,37409.2,31328.1,27693.3,25018.3,24434.5,25880,23500.2,21173.1,18624.3,16212.9,14415.3,12028.9,28314.4,36293.4,30569.5,28784.6,26257.2,23618.2,20055,15512.4,11938.6,11195.3,10097.2,8346.98,6547.8,5957.36,5286.74,4916.26,6357.88,7503.51,7450.33,6684.84,5590.83,4568.09,6029.95,6894.59,6705.56,6663.11,6522.16,8296.65,10183.1
23815.8,25553.3,24352.2,21450.9,17759,19641.5,21171.3,37764.8,47036,44320.6,36045.9,27107.4,19343.3,15226.6,11764.7,12842.4,30378.4,34825,35850.5,33806.2,28396.2,27304.4,26023.1,27445.6,24207.6,20528.2,18756,16602.5,15269.1,13170.1,30009.2,36753.9,34448.7,32181.2,28555.9,24191.8,18554.3,13149.4,11911.3,11989,11505.1,10129,8116.09,6816.53,5650.16,4924.06,6618.96,7998.73,8459.83,7631.98,6676.81,5841.06,7101.87,7787.18,7685.66,8445.14,8843.77,8943.57,10027.9
16888.7,24568.1,25420.8,21659.9,17619.6,15862.3,19969.2,44022.2,56159.7,53814.1,45747.9,34921,25852.6,21605.9,17521.5,16785.1,27131.2,29074.2,29694.2,25760.6,20358.2,19762,21273.4,22599,19175.1,16121.4,15401.6,14146.7,13202.1,11759.1,29185.2,39082.7,35381.7,32767.3,28961.6,27056.3,20816.8,14514.6,11581.2,11566.9,10999.4,9613.16,7671.6,6609.42,5475.57,4706.37,6139.66,7527.62,7630.23,6901.94,5786.66,4728.14,6006.56,7504.74,7714.83,7373.73,7770.7,7513.08,8499.25
19984.8,25863.6,28120.4,27072.3,23612.7,20426.4,22009.8,33329.6,56684.8,58844.9,50428.1,37548.8,27246.8,22201.8,17385.3,16274.2,29388.6,33407.1,34782.4,34343,31640.4,27295.7,23668.9,24596.6,20690.8,16882.3,17411.3,15741.1,15475.8,14067.5,32813.3,47383,42727.2,38861.5,33000.3,28780.6,20616.4,14238.6,11724.2,11883.7,11230,9497.89,7402.71,6735.79,5808.16,4936.01,7914.92,9462.43,9730.94,8939.08,7432.4,6427.99,6922.75,8270.9,8372.63,7664.35,7583.94,6746.22,7630.78
24590.7,30203,30429.2,28945,25294.9,24216.2,23997.1,33975.9,42249.4,40619.7,34250.5,26733.3,19725,18366.1,16416.8,15900,27653.9,30629.6,32106.9,31371.6,28534,27100.3,26327.3,24681.4,18259.2,16945.2,17044.3,15750.1,16725.1,15979.4,31632.7,44415.1,41603.6,36023.7,31955.8,27387.2,18984.5,14145.8,11051.8,11073.1,10247.1,8713.18,6782.13,6200.82,5548.02,4796.38,5979.65,7228.33,7419.81,6743.23,5648.02,5243.76,6287.61,6949.06,6861.78,6419.07,6987.65,8155.92,9978.36
21747.8,26409.7,25325,20968,16970.5,16784.2,19737,33252.2,45526.8,44729.6,36697.2,27490.6,19824.8,16268.9,13510.7,11636.2,27965.7,32882.6,34877.8,29268.1,25112.5,23054.9,21935.1,21680.9,16613.2,15736.4,14005.9,12889.7,13214.5,12393.4,31554.6,47748,46097.7,40066.1,33558.1,26636.3,19373.2,13725,12011.2,11049,9920.3,8379.22,6683.86,5654.16,5375.19,4904.65,7092.41,9409.59,9764.39,9111.71,8192.78,7793.01,8984.11,9878.64,10451.3,10860.9,10691.8,11421.2,12658.8
