ft1_gear1_1956,ft1_gear1_1957,ft1_gear1_1958,ft1_gear1_1959,ft1_gear1_1960,ft1_gear1_1961,ft1_gear1_1962,ft1_gear1_1963,ft1_gear1_1964,ft1_gear1_1965,ft1_gear1_1966,ft1_gear1_1967,ft1_gear1_1968,ft1_gear1_1969,ft1_gear1_1970,ft1_gear1_1971,ft1_gear1_1972,ft1_gear1_1973,ft1_gear1_1974,ft1_gear1_1975,ft1_gear1_1976,ft1_gear1_1977,ft1_gear1_1978,ft1_gear1_1979,ft1_gear1_1980,ft1_gear1_1981,ft1_gear1_1982,ft1_gear1_1983,ft1_gear1_1984,ft1_gear1_1985,ft1_gear1_1986,ft1_gear1_1987,ft1_gear1_1988,ft1_gear1_1989,ft1_gear1_1990,ft1_gear1_1991,ft1_gear1_1992,ft1_gear1_1993,ft1_gear1_1994,ft1_gear1_1995,ft1_gear1_1996,ft1_gear1_1997,ft1_gear1_1998,ft1_gear1_1999,ft1_gear1_2000,ft1_gear1_2001,ft1_gear1_2002,ft1_gear1_2003,ft1_gear1_2004,ft1_gear1_2005,ft1_gear1_2006,ft1_gear1_2007,ft1_gear1_2008,ft1_gear1_2009,ft1_gear1_2010,ft1_gear1_2011,ft1_gear1_2012,ft1_gear1_2013,ft1_gear2_1956,ft1_gear2_1957,ft1_gear2_1958,ft1_gear2_1959,ft1_gear2_1960,ft1_gear2_1961,ft1_gear2_1962,ft1_gear2_1963,ft1_gear2_1964,ft1_gear2_1965,ft1_gear2_1966,ft1_gear2_1967,ft1_gear2_1968,ft1_gear2_1969,ft1_gear2_1970,ft1_gear2_1971,ft1_gear2_1972,ft1_gear2_1973,ft1_gear2_1974,ft1_gear2_1975,ft1_gear2_1976,ft1_gear2_1977,ft1_gear2_1978,ft1_gear2_1979,ft1_gear2_1980,ft1_gear2_1981,ft1_gear2_1982,ft1_gear2_1983,ft1_gear2_1984,ft1_gear2_1985,ft1_gear2_1986,ft1_gear2_1987,ft1_gear2_1988,ft1_gear2_1989,ft1_gear2_1990,ft1_gear2_1991,ft1_gear2_1992,ft1_gear2_1993,ft1_gear2_1994,ft1_gear2_1995,ft1_gear2_1996,ft1_gear2_1997,ft1_gear2_1998,ft1_gear2_1999,ft1_gear2_2000,ft1_gear2_2001,ft1_gear2_2002,ft1_gear2_2003,ft1_gear2_2004,ft1_gear2_2005,ft1_gear2_2006,ft1_gear2_2007,ft1_gear2_2008,ft1_gear2_2009,ft1_gear2_2010,ft1_gear2_2011,ft1_gear2_2012,ft1_gear2_2013,ft1_gear3_1956,ft1_gear3_1957,ft1_gear3_1958,ft1_gear3_1959,ft1_gear3_1960,ft1_gear3_1961,ft1_gear3_1962,ft1_gear3_1963,ft1_gear3_1964,ft1_gear3_1965,ft1_gear3_1966,ft1_gear3_1967,ft1_gear3_1968,ft1_gear3_1969,ft1_gear3_1970,ft1_gear3_1971,ft1_gear3_1972,ft1_gear3_1973,ft1_gear3_1974,ft1_gear3_1975,ft1_gear3_1976,ft1_gear3_1977,ft1_gear3_1978,ft1_gear3_1979,ft1_gear3_1980,ft1_gear3_1981,ft1_gear3_1982,ft1_gear3_1983,ft1_gear3_1984,ft1_gear3_1985,ft1_gear3_1986,ft1_gear3_1987,ft1_gear3_1988,ft1_gear3_1989,ft1_gear3_1990,ft1_gear3_1991,ft1_gear3_1992,ft1_gear3_1993,ft1_gear3_1994,ft1_gear3_1995,ft1_gear3_1996,ft1_gear3_1997,ft1_gear3_1998,ft1_gear3_1999,ft1_gear3_2000,ft1_gear3_2001,ft1_gear3_2002,ft1_gear3_2003,ft1_gear3_2004,ft1_gear3_2005,ft1_gear3_2006,ft1_gear3_2007,ft1_gear3_2008,ft1_gear3_2009,ft1_gear3_2010,ft1_gear3_2011,ft1_gear3_2012,ft1_gear3_2013,ft1_gear4_1956,ft1_gear4_1957,ft1_gear4_1958,ft1_gear4_1959,ft1_gear4_1960,ft1_gear4_1961,ft1_gear4_1962,ft1_gear4_1963,ft1_gear4_1964,ft1_gear4_1965,ft1_gear4_1966,ft1_gear4_1967,ft1_gear4_1968,ft1_gear4_1969,ft1_gear4_1970,ft1_gear4_1971,ft1_gear4_1972,ft1_gear4_1973,ft1_gear4_1974,ft1_gear4_1975,ft1_gear4_1976,ft1_gear4_1977,ft1_gear4_1978,ft1_gear4_1979,ft1_gear4_1980,ft1_gear4_1981,ft1_gear4_1982,ft1_gear4_1983,ft1_gear4_1984,ft1_gear4_1985,ft1_gear4_1986,ft1_gear4_1987,ft1_gear4_1988,ft1_gear4_1989,ft1_gear4_1990,ft1_gear4_1991,ft1_gear4_1992,ft1_gear4_1993,ft1_gear4_1994,ft1_gear4_1995,ft1_gear4_1996,ft1_gear4_1997,ft1_gear4_1998,ft1_gear4_1999,ft1_gear4_2000,ft1_gear4_2001,ft1_gear4_2002,ft1_gear4_2003,ft1_gear4_2004,ft1_gear4_2005,ft1_gear4_2006,ft1_gear4_2007,ft1_gear4_2008,ft1_gear4_2009,ft1_gear4_2010,ft1_gear4_2011,ft1_gear4_2012,ft1_gear4_2013
0.259769,0.38746,0.702248,0.607069,0.404713,0.257418,0.3553,0.258918,0.374445,0.531409,0.619456,0.629794,0.616513,0.616764,0.345231,0.355884,0.570352,0.551771,0.61288,0.790133,0.807045,0.826178,0.509454,1.03909,1.36235,1.1565,0.720033,0.475968,0.284569,0.168731,0.513047,0.983189,0.793231,0.672732,0.445135,0.690619,0.710056,0.716346,0.41355,0.46322,0.676509,1.38543,2.41618,1.48433,1.68878,3.25547,1.93403,1.48923,1.13394,1.25232,1.54567,0.40727,0.176451,0.274262,0.476735,0.504154,0.379892,0.227104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.251338,0.374704,0.677739,0.611803,0.415908,0.272211,0.400902,0.27388,0.361013,0.537215,0.641523,0.57404,0.653615,0.599661,0.271012,0.313041,0.587424,0.573569,0.556536,0.75474,0.765055,0.779741,0.433925,1.11105,1.60411,1.06428,0.557622,0.323839,0.186963,0.126696,0.468271,1.03031,0.785489,0.75173,0.464304,0.685083,0.678355,0.683347,0.410758,0.462047,0.564474,1.57359,2.51082,1.41616,1.74434,3.22802,2.1742,1.5732,1.12002,1.15808,1.62221,0.356766,0.138706,0.238399,0.484075,0.558607,0.37415,0.216072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.227616,0.35007,0.636777,0.535672,0.385922,0.26945,0.423387,0.250159,0.340838,0.469624,0.562468,0.602293,0.610489,0.656187,0.338027,0.327956,0.453885,0.508294,0.682156,0.826868,0.754703,0.712172,0.421123,0.846833,1.19762,0.994629,0.623477,0.493898,0.306504,0.182082,0.567253,0.842427,0.770558,0.589618,0.373114,0.579744,0.600574,0.602104,0.323141,0.362181,0.655459,1.27016,2.61437,1.48183,1.84953,3.27056,2.04444,1.23663,0.987341,1.22225,1.62252,0.448218,0.184441,0.326156,0.545008,0.635125,0.525098,0.324024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.290158,0.371805,0.633999,0.610595,0.524798,0.372115,0.524865,0.274259,0.339881,0.381309,0.471779,0.473409,0.525409,0.433327,0.296614,0.306548,0.516041,0.561269,0.680044,0.824767,0.751846,0.748269,0.44501,0.994985,1.52669,1.31601,0.736592,0.607533,0.372275,0.2003,0.516635,0.986861,0.737214,0.602439,0.377786,0.578785,0.665985,0.596507,0.373923,0.369515,0.647335,1.30164,2.38444,1.47627,1.73387,2.85222,2.05221,1.55877,1.01738,1.14848,1.91478,0.502202,0.227544,0.350206,0.563376,0.701562,0.874104,0.769161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.197071,0.288705,0.646226,0.553578,0.367757,0.256328,0.290158,0.214233,0.330123,0.408662,0.467077,0.476601,0.471289,0.427814,0.187757,0.201062,0.416621,0.397911,0.513082,0.688058,0.751222,0.884047,0.445905,0.943016,1.3833,0.970883,0.684675,0.436734,0.280366,0.159879,0.438798,0.854793,0.695569,0.651986,0.42121,0.587491,0.665727,0.602313,0.326345,0.377036,0.597604,1.18896,2.06915,1.38707,1.76089,3.04774,2.14027,1.70956,1.07372,1.16924,1.57435,0.345108,0.148867,0.243338,0.583359,0.915515,1.29569,0.80911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.163927,0.295796,0.610461,0.618604,0.35425,0.212776,0.290977,0.22862,0.319342,0.435021,0.625385,0.729882,0.588038,0.526438,0.28341,0.297108,0.569728,0.595235,0.700756,1.0466,0.858611,0.638069,0.374235,0.897717,1.21035,1.14318,0.700933,0.417842,0.272532,0.15834,0.479723,0.940841,0.614881,0.585096,0.348186,0.629468,0.685013,0.674254,0.390862,0.444304,0.632713,1.38228,2.28691,1.43216,1.65099,3.15072,2.02676,1.44839,1.17877,1.42513,1.81603,0.516957,0.233139,0.306966,0.608873,0.955488,1.45243,0.846349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.226945,0.338466,0.660903,0.677515,0.449737,0.293572,0.336327,0.265521,0.352638,0.417551,0.498654,0.509332,0.543393,0.52509,0.271589,0.278992,0.542513,0.605681,0.682576,1.07347,0.944581,0.701981,0.411573,0.910382,0.973481,0.959512,0.662132,0.462737,0.283018,0.192321,0.562938,1.10124,0.752,0.624495,0.409214,0.693841,0.883322,0.800099,0.516402,0.486544,0.699293,1.3909,2.15875,1.42687,1.58384,3.16952,2.15348,1.43926,1.17706,1.5402,1.75307,0.533343,0.251251,0.354626,0.66632,1.06959,1.69176,0.99347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.379389,0.45672,0.656672,0.543158,0.335859,0.192705,0.294769,0.243375,0.312034,0.489887,0.550364,0.577317,0.596877,0.731166,0.390239,0.416211,0.829386,0.719167,0.788185,1.21327,0.96322,0.717904,0.416414,1.11946,1.60594,1.53757,0.940131,0.553741,0.323141,0.192369,0.465002,0.952218,0.701018,0.592712,0.395375,0.67411,0.755123,0.689239,0.362893,0.453522,0.624138,1.46065,2.42084,1.45202,1.79686,2.91311,1.93051,1.47015,1.08431,1.24157,1.77781,0.475012,0.264999,0.373203,0.691056,0.855932,1.10265,0.720054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.258325,0.453877,0.733389,0.579667,0.412609,0.286523,0.451071,0.29638,0.313827,0.405475,0.505576,0.500656,0.518497,0.606192,0.357279,0.382728,0.743281,0.663049,0.677035,0.984616,0.734455,0.636754,0.441131,1.23472,1.28612,1.11767,0.709426,0.526162,0.278682,0.178024,0.486404,1.09191,0.804317,0.672567,0.466594,0.609793,0.567056,0.599838,0.332607,0.374219,0.743391,1.67945,2.99047,1.51403,1.55043,3.3305,1.65318,1.15574,0.955316,1.26292,1.39158,0.376334,0.186432,0.32012,0.693452,0.917276,0.888936,0.665648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.214647,0.32273,0.624512,0.517157,0.386857,0.247636,0.3776,0.248829,0.267032,0.391477,0.491169,0.481473,0.411099,0.42205,0.259443,0.280319,0.734282,0.580192,0.585652,0.805364,0.654322,0.650154,0.437323,0.893541,1.31584,1.193,0.751016,0.537836,0.244781,0.135439,0.370341,0.798117,0.815306,0.762841,0.418551,0.595188,0.616342,0.622407,0.352531,0.382492,0.574111,0.962549,2.51517,1.49818,1.59212,3.72845,1.83636,1.3922,1.2231,1.64329,1.90822,0.404622,0.16527,0.287768,0.694867,1.05183,1.21397,0.553603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
