ro_gr1,h_gr1,m_gs1,rbar_ag1,rinit_ag1,rho_gr1,vartheta_gr1,bo,bmsy,msy1,fmsy1,q1,q2,q3,SSB1,f
8730.07,0.813018,0.391718,1552.61,372.996,0.088968,0.423308, 70506.8, 24018.6, 7254.55, 0.527421,0.439573,0.6459,0.0354476,3875.19,6598.71
14034.5,0.716413,0.416894,1467.64,99.6709,0.088968,0.442219, 103085, 37258.4, 10284.7, 0.47504,0.428813,0.600485,0.0335581,4481.29,6648.9
9753.67,0.783271,0.422165,1523.04,108.419,0.088968,0.37132, 70281.2, 24500.1, 7518.26, 0.55768,0.411581,0.707976,0.0329795,2952.6,6653.09
8063.32,0.892573,0.42299,1439.13,172.413,0.088968,0.343755, 57928.3, 19024.5, 6725.79, 0.696603,0.424823,0.885655,0.0344488,1469.48,6661.57
34230.1,0.7575,0.461569,1787.47,672.113,0.088968,0.358905, 215220, 76674, 24328.4, 0.611867,0.405223,0.759168,0.0297069,1774.02,6663.4
101577,0.598981,0.395849,1478.6,490.967,0.088968,0.382178, 807377, 311427, 67527.3, 0.335344,0.424178,0.91924,0.0328564,1915.66,6672.69
47305.3,0.608933,0.404898,1421.41,208.39,0.088968,0.413218, 363279, 139499, 31384.8, 0.354983,0.441525,0.960266,0.0343105,1457.63,6664.79
59635.7,0.793107,0.38166,1344.61,251.821,0.088968,0.303561, 501066, 172198, 49669.7, 0.487909,0.430241,0.91449,0.0360392,1750.5,6664.52
6673.19,0.823537,0.409866,1472.99,237.259,0.088968,0.387031, 50302.6, 17106.7, 5417.67, 0.577356,0.414689,0.822857,0.0343754,1660.96,6672.6
12170,0.819889,0.445643,1586.87,564.758,0.088968,0.276546, 80736.1, 27718.6, 9307.72, 0.657261,0.401659,0.78872,0.031314,2072.12,6679.81
7328.85,0.837507,0.404778,1443.76,107.143,0.088968,0.374936, 56307, 18980.2, 6064.44, 0.582037,0.448747,0.800225,0.0336224,2129.72,6670.02
16538.8,0.583916,0.479472,1616.53,222.068,0.088968,0.408384, 98113.1, 38735.8, 9518.29, 0.430147,0.389546,0.800187,0.0283099,1569.47,6670.2
18023.2,0.572936,0.490323,1921.5,495.461,0.088968,0.394653, 103326, 41141.7, 10075.4, 0.432824,0.364468,0.720374,0.028126,1496.6,6660.17
16308.3,0.699634,0.409481,1490.17,512.795,0.088968,0.350074, 123109, 44857.2, 11899.9, 0.445736,0.421395,1.01336,0.0332491,807.79,6675.48
