rt1_1958,rt1_1959,rt1_1960,rt1_1961,rt1_1962,rt1_1963,rt1_1964,rt1_1965,rt1_1966,rt1_1967,rt1_1968,rt1_1969,rt1_1970,rt1_1971,rt1_1972,rt1_1973,rt1_1974,rt1_1975,rt1_1976,rt1_1977,rt1_1978,rt1_1979,rt1_1980,rt1_1981,rt1_1982,rt1_1983,rt1_1984,rt1_1985,rt1_1986,rt1_1987,rt1_1988,rt1_1989,rt1_1990,rt1_1991,rt1_1992,rt1_1993,rt1_1994,rt1_1995,rt1_1996,rt1_1997,rt1_1998,rt1_1999,rt1_2000,rt1_2001,rt1_2002,rt1_2003,rt1_2004,rt1_2005,rt1_2006,rt1_2007,rt1_2008,rt1_2009,rt1_2010,rt1_2011,rt1_2012,rt1_2013
1000.07,4225.4,2807.5,566.429,4361.02,15935,2397.06,13156.8,386.989,4735.01,560.255,2156.14,618.073,3942.94,3708.57,8598.57,3910.33,2779.79,4462.46,1773.68,6474.17,3416.33,1441.89,4499.68,4230.42,3791.69,1705.13,953.791,10130.1,9662.22,586.451,3908.79,13646,996.068,3259.52,304.906,789.329,814.35,766.915,78.108,1102.59,819.476,138.707,50.1616,648.618,711.622,909.246,726.011,437.549,1577.52,465.476,1114.9,695.298,480.258,2107.92,1010.73
811.437,4826.62,2855.88,337.33,4323.5,16887.4,1150.14,16993.6,313.358,4940.08,491.896,3938.08,237.062,3313.65,3838.68,10416.4,2962.61,3441.26,4313.9,3172.33,5480.38,2236.5,2956.9,5356.36,5644.22,4703.6,1180.97,764.443,7911.92,12002.1,350.553,3088.32,14759.5,992.177,3638.87,272.307,319.786,1579.93,512.212,24.6543,1204.76,784.133,147.029,70.8929,612.704,788.438,1084.65,621.718,428.682,2016.88,566.221,808.995,662.641,419.333,2328.57,1800.11
2672.77,4175.25,1655.73,626.451,3722.42,21870.3,1788.55,13193.1,205.582,4515.08,442.888,2739.76,301.298,5453.47,4851.75,6166.05,3928.74,4318.82,4935.28,1852.34,8481.63,2929.93,620.17,5764.96,3174.09,3747.74,1514.6,408.626,13755.1,7882.31,745.221,5662.33,13208.5,741.003,3387.34,756.624,568.05,952.967,584.607,80.2614,1131.57,870.797,162.809,49.5736,660.151,845.441,728.954,877.716,379.984,1673.74,404.783,1086.07,659.74,289.646,1783.2,1059.44
187.445,3657.66,2354.62,143.059,4514.03,22303.2,1393.6,15419.6,376.687,2669.26,1719.96,2004.9,311.948,4533.46,3295.07,8313.45,4032.01,4335.89,2997.54,3188.48,6436.24,2991.39,500.408,6208.13,3526.61,3072.49,2418.83,1566.04,9244.78,11395.4,649.779,4387.27,13744.1,815.973,3961.37,368.794,761.727,722.491,672.868,79.7297,1186.47,891.066,161.806,57.8549,592.228,846.299,979.794,528.116,499.463,1359.31,342.81,1258.52,762.815,236.707,903.601,620.563
1881.72,5418.24,2575.06,792.651,9409.63,15676.5,6528.34,13066.7,1774.53,3926.49,275.493,5531.68,614.935,3889.43,5042.36,9625.03,5952.48,2996.04,2739.93,3039.99,7925.47,2282.66,2821.13,4911.84,4719.31,4779.39,1188.54,2972.49,11797,10859.7,660.964,2891.18,18456.3,616.015,3933.49,1069.24,320.033,854.378,1078.76,136.374,1058.93,880.398,146.085,103.218,566.632,887.557,1170.87,551.988,519.329,2240.61,500.114,519.136,755.755,203.25,1017.31,1363.95
275.351,6005.67,2432.41,2292.79,2800.79,18456.3,3516.38,7784.15,606.185,7127.95,505.321,2380.31,787.075,2512.68,4824.27,6463.25,3815.47,3904.17,6133.25,2849.27,5540.81,3327.71,854.11,4365.78,5858.06,3150.17,1136.25,2403.43,7267.42,13104.4,498.534,3199.01,14149.1,601.463,2910.03,388.8,671.47,685.416,850.776,161.008,1002.53,873.486,114.475,46.7759,577.384,913.519,654.298,618.674,506.352,1117.79,759.357,1035.16,360.641,239.48,691.189,1805.24
315.308,4832.14,1960.97,2381.23,2525.84,17430.6,6726.13,12340.9,129.547,4193.18,514.914,2672,345.266,4190.41,2806.31,8098.49,4905.16,1498.18,7255.28,1505.09,6889.38,4607.74,570.827,4251.54,5124.1,2453.76,2338.23,519.918,9015.71,13185.9,824.792,4039.66,11006.7,1181.52,3986.91,333.523,876.245,1193.2,732.189,107.052,1089.31,799.155,136.917,43.5256,613.711,897.607,563.604,1015.74,356.86,1243.66,576.349,885.191,450.318,205.605,698.682,1340.2
523.635,4916.95,3534.11,377.562,1612.71,20198.6,2952.38,10402.8,101.016,3768.34,567.883,2094.12,1223.69,1654.33,3879.08,8367.04,2835.81,3720.78,7717.5,954.263,6657.09,2333.1,1411.72,4906.92,3591.31,4539.47,1201.95,491.918,12496,8684.24,427.806,5271.65,11302,259.569,4069.24,486.38,595.123,842.364,568.875,105.779,1102,765.109,169.331,66.6902,650.64,780.149,904.172,636.846,458.265,1137.99,331.479,1131.72,653.57,139.05,1089.67,1030.46
3905.55,2861.1,2957.98,457.258,2147.51,22239.8,8255.78,8114.03,124.292,5115.1,381.833,1693.47,891.703,2702.66,2854.03,10719.8,2937.5,4353.2,6880.88,729.346,5452.85,5008.51,857.4,4963.8,3303.05,4872.25,1328.5,2815.73,8648.61,11670.7,123.496,4318.61,15836,737.191,2788.81,508.731,500.583,746.194,610.685,120.75,1290.74,839.807,145.458,21.55,737.206,760.567,861.456,744.186,549.792,1459.67,413.333,816.824,566.96,469.851,1252.75,547.888
3617.47,2338.93,4060.68,418.624,4075.59,21714.2,9773.86,7579.57,257.147,7133.65,453.544,1465.92,1200.81,3080.83,3207.18,10017.8,5123.22,3654.51,4760.39,952.216,9610.86,1758.36,1494.64,4705.62,3926.9,4967.03,4382.51,1254.71,11415.6,7250.42,441.968,5164.42,16786,452.974,3550.37,317.457,908.334,1325.36,520.775,65.5111,864.285,994.773,87.261,46.8682,742.912,684.673,822.481,1004.78,338.319,2012.36,370.615,837.953,522.249,213.387,1465.49,1322.98
