sbt1_1956,sbt1_1957,sbt1_1958,sbt1_1959,sbt1_1960,sbt1_1961,sbt1_1962,sbt1_1963,sbt1_1964,sbt1_1965,sbt1_1966,sbt1_1967,sbt1_1968,sbt1_1969,sbt1_1970,sbt1_1971,sbt1_1972,sbt1_1973,sbt1_1974,sbt1_1975,sbt1_1976,sbt1_1977,sbt1_1978,sbt1_1979,sbt1_1980,sbt1_1981,sbt1_1982,sbt1_1983,sbt1_1984,sbt1_1985,sbt1_1986,sbt1_1987,sbt1_1988,sbt1_1989,sbt1_1990,sbt1_1991,sbt1_1992,sbt1_1993,sbt1_1994,sbt1_1995,sbt1_1996,sbt1_1997,sbt1_1998,sbt1_1999,sbt1_2000,sbt1_2001,sbt1_2002,sbt1_2003,sbt1_2004,sbt1_2005,sbt1_2006,sbt1_2007,sbt1_2008,sbt1_2009,sbt1_2010,sbt1_2011,sbt1_2012,sbt1_2013,sbt1_2014
10139.1,13783.4,12246.1,9687.03,8997.49,7594.35,9144.78,20334.6,23820.2,27802.1,21074.6,14803.4,9433.08,6610.14,4675.47,6442.78,8670.27,13191.2,14213.1,11468.5,9544.23,7295.17,9072.1,10296.6,6048.87,5499.69,6928.93,8396.76,8408.36,7798.55,14153.2,19150,11984.2,8783.59,16571.5,16792.8,11696.1,6837.27,3915.49,3209.57,2706.2,1540.11,1131.09,1039.24,643.61,183.751,493.477,824.492,1165.46,1296.52,978.383,1651.3,2193.22,2972.28,3118.89,2511.47,3277.04,3875.19,4835.71
11657.8,14467.9,12078.7,9849.89,9155.86,7340.43,8596.54,20249.9,22523,29226.4,22766.3,15638.9,10004.9,7942.44,5858.15,6909.69,8691.67,14277.9,14487.9,12005.8,9898.29,8507.21,9507.76,9361.86,5882.77,6308.18,8884.36,11362.3,11152.5,9941.48,13829.9,19478.4,12126.5,8054.16,16253.9,16487.1,11770.6,7046.83,3676.58,3382.64,2878.03,1591.71,1117.54,1014.86,633.045,189.502,465.433,826.701,1293.71,1322.87,955.196,1955.21,2675.64,3224.92,3134.99,2323.53,3197.93,4481.29,5553.66
11813,15633.4,14879.8,11855.9,9433.27,7168.68,7880.98,23338.3,27533.4,30656.9,22750.6,15520.3,9388.18,6767.05,4520.19,7369.72,10798.6,13502,13212.9,11188.6,10158.9,8038.56,11310.6,12354.6,6707.92,6487.47,7173.87,8194.86,7697.69,6425.81,15399.6,19492.2,12373.9,10249.8,17954.1,17657.4,12750.4,8094.92,4810.52,3919.61,3074.27,1589.2,1153.63,1035.5,652.013,171.546,496.843,917.853,1163.16,1377.17,991.523,1670.82,2102.62,2767.78,2755.94,1965.43,2447.87,2952.6,3834.98
9830.66,14689.3,12834.2,9477.83,7875.07,5501.54,6944.5,23179,27154.7,32296.7,26451.5,17642.1,11563.8,8081.37,5649.38,7342.87,9080.61,13000.7,13513.9,11588.7,8867.42,7632.85,9868.59,10554.7,5135.7,5873.4,6757.79,7209.71,7127.99,7025.76,12960.3,19213.4,12442.9,9631.83,17419.6,17448.1,13100.6,7881,4733.11,3613.65,2874.15,1534.46,1194.3,1112.83,684.086,199.884,455.381,873.285,1253.64,1237.84,922.838,1386.21,1699.17,2482.58,2694.35,1934.88,1642.4,1469.48,2134.13
14103.4,15870.5,13536.4,11184.4,9874.28,7960.54,13007.4,24620.3,29500.4,32456.4,25508,17949.4,10964.4,10074.2,8360.99,9574.24,11934.8,16533,18425.5,14732.2,9822.63,7320.56,10178.6,10491.3,6709.03,6305.73,7870.86,9547.31,8779.44,9014.78,16717.7,22106,13897.2,8957.27,19508,19292.2,13747,8394.74,4770.22,3613.3,3104.57,1869.58,1260.44,1123.72,670.007,212.051,439.878,866.368,1349.09,1298.27,960.629,2150.66,2756.05,2908.26,2711.13,1679.36,1385.75,1774.02,2814.57
15847.2,16659,12538.8,10733.3,9830.77,9743.5,10491.8,23007.2,27889.1,27994.4,20105.9,15397.4,10106.9,7507.12,5714.34,6294.62,8924.95,11929.2,12171.7,10353.9,9876.78,9062.06,10575.4,11500,6457.83,5463.37,8090.78,9273.03,8605.01,8765.78,13220.4,20337.2,14182.4,10549.2,17906.8,18243.3,12433.9,7114.25,4042.05,3152.02,2681.45,1651.64,1123.44,1075.69,667.231,183.656,439.349,933.848,1079.04,1058.11,845.767,1221.54,1851.63,2631.3,2542.8,1604.58,1126.96,1915.66,2909.33
12336.4,14691.4,11838.5,9504.05,8009.21,7748.05,8342.1,20365.3,27404.4,31941.1,25010.7,17530.3,11119.4,7954.19,5580.44,7316.93,8769.34,12381.2,13671,9782.34,9364.01,7769.26,10107.2,12410.8,7299.44,6119.02,7997.02,8368.8,8288.66,7379.64,12585.6,19896,12995.8,9812.51,15240.3,15008.9,10964.5,6030.29,3444.93,3106.26,2776.46,1580.73,1152,1071.85,657.137,190.991,462.174,920.621,997.807,1280.05,890.943,1284.51,1768.83,2333.64,2230.82,1375.37,987.965,1457.63,2336.64
7405.57,13064,12448.7,10828,10949.9,9662.2,8956.64,22517.4,27884,30369.9,21922.8,14842.9,9276.03,6400.74,4698.33,4847.87,6578.92,10980.7,11218.2,9096.29,10103.2,8062.71,9913.5,10389.3,5257.61,5175.03,5851.45,7631.39,7591.44,6595.97,14878.1,20377.5,12524.1,10556.9,16706.6,15928.2,11513,7062.5,4173.57,3467.85,2725.86,1529.74,1109.7,1003.62,646.733,200.896,505.153,883.442,1216.96,1275.19,945.703,1253.1,1580.95,2292.76,2463.32,1586.23,1502.62,1750.5,2501.65
9493.54,12399.8,12693.5,9871.18,8843.74,7170.49,6760.72,22183.7,31639,33326.9,24132.2,17051.5,11151.4,7303.44,4852.58,5490.86,6577.74,12521.6,13111.2,11142.2,11097,8706.11,9249.06,10991.8,5695.95,5662.75,6445.22,8508.12,8245.67,8993.03,14534.6,20201.1,11777.1,8730.49,18272.9,18240.5,12730.2,7938.83,4551.06,3523.61,2738.61,1347.79,1126.39,994.989,635.658,176.06,556.971,953.7,1280.72,1388.66,1085.99,1666.48,2104.97,2563.53,2430.53,1683.26,1764.44,1660.96,2339.98
12200.6,15157.9,14938.1,10705.2,9862.27,8028.14,8931.53,24012.1,33746.6,34778.7,24334.5,18399.7,12727.6,8767.87,6315.99,6953.81,7987.89,12611.2,14669.5,12640.8,10422.6,7614.64,11626.9,11638.4,6269.8,5561.33,6494.02,8541.15,10453.4,10628,17719.5,20428.5,11970.8,8980.9,18966.2,18698.8,13169,7748.55,4529.36,3997.84,3213.11,1781.44,1110.4,1052.93,636.902,162.129,555.62,842.358,1081,1336.62,820.414,1827.71,2316.86,2749.28,2494.8,1421.21,1598.54,2072.12,3063.37
9205.33,13126,12212.9,8130.87,9059.4,8919.87,11091.4,27431.9,34709.9,34966.3,25485.1,17172.4,10673.7,6825.85,4686.22,6693.36,7922.59,15067.1,16972.6,14621.5,10825.1,8294.37,9891.36,10744.3,5396.62,5163.35,7226.99,8759.23,7711.2,7607,14618.4,19149.2,11363.6,8014.33,16836.8,16920.9,12174.3,7277.93,3971.39,3087.16,2645.4,1478.61,1063.96,1016.86,617.038,163.37,520.77,760.124,1134.79,1222.05,911.143,1456.17,1992.06,2749.51,2690.77,1986.2,1875.17,2129.72,2902.41
14080.9,17863.7,14394.8,13828.1,13399.3,11713.9,13521,28617.1,33440.2,32552.6,22349.6,16929.1,10627.4,7602.22,4950.68,8537.89,9791.45,17840.5,17973.7,14876.8,13519.5,9871.26,10104.3,9843.12,6620.19,6801.47,9789.78,13010.5,11806.5,12411.7,16680.4,20957.9,12588.1,9946.1,19778.1,18448.3,13749.1,8280.35,4980.67,3946.97,2879.15,1337.27,1245.76,1174.27,675.858,178.43,512.56,891.215,1352.63,1479.44,1029.79,1689.83,2112.25,2930.65,2692.5,1696.17,1812.62,1569.47,2227.23
15213.1,17291.2,14517.3,13062.3,12354,10342.9,12081.9,22070,28151.5,32182.3,25374.5,18533.4,11571.6,7929.04,5489.77,7612.24,10277.9,14582.1,16357.7,13259.4,13015.4,10394.9,10435.4,11265.1,6163.63,6559.8,9043.03,14719.3,14448.2,13478.2,16516.1,21022.4,14747.4,11748.4,21815.8,21696.4,14398.7,8392.65,4773.59,4163.05,3268.63,1698.55,1151.62,1144.61,691.162,202.164,579.018,885.151,1397.63,1428.73,1195.6,2319.41,2983.8,3317.89,3080.88,1971.9,1640.54,1496.6,2429.59
11985.1,14609.5,12303.4,9982.42,10409.7,9223.11,13084.8,24188.1,28391.1,28266.7,19822.8,14680.9,9744.34,5810.36,3460.32,6255.69,7893.27,15323.3,16471.1,12955.1,10963.2,7601.78,9555.02,9723.64,6602.58,5584.67,6520.81,9811.89,10206.1,10415,15645.3,20105.1,12898.2,9546.19,17675.3,17883.5,12245.1,6879.7,3954.1,3346.49,2838.6,1598.63,1064.48,1065.1,674.865,197.75,391.641,991.275,1274.71,1186.16,931.97,1607.75,2002.74,2401,2274.13,1523.92,1290.2,807.79,1519.87
